ticker,summary,target,time
BABA,"2020-01-06
Here are the key facts regarding BABA stock mentioned in the tweets:

* Bernstein boosts China-based internet names, including BABA. 2020-01-07
Here are the key facts related to BABA (Alibaba) stock:

* There are no specific earnings or revenue reports mentioned in the tweets related to Alibaba.
* Alibaba is mentioned as a reference stock in a list of popular stocks, alongside other tech giants like Apple, Amazon, and Microsoft.
* There are no specific price targets or ratings mentioned for Alibaba stock.
* Alibaba is mentioned as a part of a broader list of stocks, without any detailed analysis or discussion about the company's performance or prospects.

In summary, there are no significant facts or insights related to Alibaba stock in the provided tweets. 2020-01-08
Here are the key facts regarding BABA stock extracted from the tweets:

* Alibaba (BABA) undercuts Amazon (AMZN) in Europe to woo wary brands, according to Reuters.
* BABA was mentioned in a tweet about the most active options on Wednesday, along with other stocks such as TSLA, BYND, AAPL, AMD, and MSFT.
* A tweet mentioned a 1-hour view of BABA's stock price from a previous update, with a predicted short-term buying opportunity and a resumption of the rally higher.
* BABA was mentioned in a tweet about secular trends in the next decade, including the rise of e-commerce and digital payments.
* BABA was included in a list of stocks mentioned in a tweet about daily watchlists, swing, and day option trading alerts.
* BABA was mentioned in a tweet about the 2019 returns for every stock in the NYSE FANG+ index, but its return was not specified. 2020-01-09
From the provided tweets, here are the key facts related to BABA stock:

* None of the tweets mention BABA stock specifically, so there are no key facts to summarize.

The tweets provided are discussing various stocks, including AAPL, TSLA, AMD, SNAP, and others, but do not mention BABA (Alibaba Group Holding Limited) at all.",Positive,1/10/2020
BABA,"2020-01-07
Here are the key facts related to BABA (Alibaba) stock:

* There are no specific earnings or revenue reports mentioned in the tweets related to Alibaba.
* Alibaba is mentioned as a reference stock in a list of popular stocks, alongside other tech giants like Apple, Amazon, and Microsoft.
* There are no specific price targets or ratings mentioned for Alibaba stock.
* Alibaba is mentioned as a part of a broader list of stocks, without any detailed analysis or discussion about the company's performance or prospects.

In summary, there are no significant facts or insights related to Alibaba stock in the provided tweets. 2020-01-08
Here are the key facts regarding BABA stock extracted from the tweets:

* Alibaba (BABA) undercuts Amazon (AMZN) in Europe to woo wary brands, according to Reuters.
* BABA was mentioned in a tweet about the most active options on Wednesday, along with other stocks such as TSLA, BYND, AAPL, AMD, and MSFT.
* A tweet mentioned a 1-hour view of BABA's stock price from a previous update, with a predicted short-term buying opportunity and a resumption of the rally higher.
* BABA was mentioned in a tweet about secular trends in the next decade, including the rise of e-commerce and digital payments.
* BABA was included in a list of stocks mentioned in a tweet about daily watchlists, swing, and day option trading alerts.
* BABA was mentioned in a tweet about the 2019 returns for every stock in the NYSE FANG+ index, but its return was not specified. 2020-01-09
From the provided tweets, here are the key facts related to BABA stock:

* None of the tweets mention BABA stock specifically, so there are no key facts to summarize.

The tweets provided are discussing various stocks, including AAPL, TSLA, AMD, SNAP, and others, but do not mention BABA (Alibaba Group Holding Limited) at all. 2020-01-12
Here are the key facts regarding BABA stock:

**Fact 1**: Alibaba Group Holding Limited (BABA) was mentioned in a tweet discussing China-related stocks, including FXI, ASHR, BIDU, and IQ.

**Fact 2**: China Vice Premier Liu He and the trade delegation have departed Beijing for Washington D.C., which may have implications for BABA stock.

Note that there are no earnings or revenue reports mentioned for BABA stock in the provided tweets. If you provide more tweets, I can extract more facts about BABA stock. 2020-01-13
Here are the key facts regarding BABA stock mentioned in the tweets:

* Alibaba ($BABA) was mentioned as one of the top 10 most actively-traded stocks on Monday morning.
* Alibaba ($BABA) reached a new all-time high on the same day as other stocks like Apple ($AAPL) and the S&P 500.
* Alibaba ($BABA) was mentioned as one of the current holdings of a trader or investor.
* There were no other specific facts or updates mentioned about Alibaba's business, financials, or stock performance.",Negative,1/14/2020
BABA,"2020-01-08
Here are the key facts regarding BABA stock extracted from the tweets:

* Alibaba (BABA) undercuts Amazon (AMZN) in Europe to woo wary brands, according to Reuters.
* BABA was mentioned in a tweet about the most active options on Wednesday, along with other stocks such as TSLA, BYND, AAPL, AMD, and MSFT.
* A tweet mentioned a 1-hour view of BABA's stock price from a previous update, with a predicted short-term buying opportunity and a resumption of the rally higher.
* BABA was mentioned in a tweet about secular trends in the next decade, including the rise of e-commerce and digital payments.
* BABA was included in a list of stocks mentioned in a tweet about daily watchlists, swing, and day option trading alerts.
* BABA was mentioned in a tweet about the 2019 returns for every stock in the NYSE FANG+ index, but its return was not specified. 2020-01-09
From the provided tweets, here are the key facts related to BABA stock:

* None of the tweets mention BABA stock specifically, so there are no key facts to summarize.

The tweets provided are discussing various stocks, including AAPL, TSLA, AMD, SNAP, and others, but do not mention BABA (Alibaba Group Holding Limited) at all. 2020-01-12
Here are the key facts regarding BABA stock:

**Fact 1**: Alibaba Group Holding Limited (BABA) was mentioned in a tweet discussing China-related stocks, including FXI, ASHR, BIDU, and IQ.

**Fact 2**: China Vice Premier Liu He and the trade delegation have departed Beijing for Washington D.C., which may have implications for BABA stock.

Note that there are no earnings or revenue reports mentioned for BABA stock in the provided tweets. If you provide more tweets, I can extract more facts about BABA stock. 2020-01-13
Here are the key facts regarding BABA stock mentioned in the tweets:

* Alibaba ($BABA) was mentioned as one of the top 10 most actively-traded stocks on Monday morning.
* Alibaba ($BABA) reached a new all-time high on the same day as other stocks like Apple ($AAPL) and the S&P 500.
* Alibaba ($BABA) was mentioned as one of the current holdings of a trader or investor.
* There were no other specific facts or updates mentioned about Alibaba's business, financials, or stock performance. 2020-01-14
Here are the key facts regarding BABA stock mentioned in the tweets:

* Alibaba is expected to join the trillion-dollar market capitalization club soon, along with Amazon.
* $BABA was mentioned as one of the top actively-traded stocks.
* Xi Jinping's optimistic tone is expected to benefit China and companies like Alibaba ($BABA).
* Alibaba's stock price reached a historical high.

Note that there are limited mentions of BABA stock in the provided tweets, and most of the tweets are focused on other stocks or general market trends.",Negative,1/15/2020
BABA,"2020-01-09
From the provided tweets, here are the key facts related to BABA stock:

* None of the tweets mention BABA stock specifically, so there are no key facts to summarize.

The tweets provided are discussing various stocks, including AAPL, TSLA, AMD, SNAP, and others, but do not mention BABA (Alibaba Group Holding Limited) at all. 2020-01-12
Here are the key facts regarding BABA stock:

**Fact 1**: Alibaba Group Holding Limited (BABA) was mentioned in a tweet discussing China-related stocks, including FXI, ASHR, BIDU, and IQ.

**Fact 2**: China Vice Premier Liu He and the trade delegation have departed Beijing for Washington D.C., which may have implications for BABA stock.

Note that there are no earnings or revenue reports mentioned for BABA stock in the provided tweets. If you provide more tweets, I can extract more facts about BABA stock. 2020-01-13
Here are the key facts regarding BABA stock mentioned in the tweets:

* Alibaba ($BABA) was mentioned as one of the top 10 most actively-traded stocks on Monday morning.
* Alibaba ($BABA) reached a new all-time high on the same day as other stocks like Apple ($AAPL) and the S&P 500.
* Alibaba ($BABA) was mentioned as one of the current holdings of a trader or investor.
* There were no other specific facts or updates mentioned about Alibaba's business, financials, or stock performance. 2020-01-14
Here are the key facts regarding BABA stock mentioned in the tweets:

* Alibaba is expected to join the trillion-dollar market capitalization club soon, along with Amazon.
* $BABA was mentioned as one of the top actively-traded stocks.
* Xi Jinping's optimistic tone is expected to benefit China and companies like Alibaba ($BABA).
* Alibaba's stock price reached a historical high.

Note that there are limited mentions of BABA stock in the provided tweets, and most of the tweets are focused on other stocks or general market trends. 2020-01-15
Here are the key facts regarding BABA stock mentioned in the tweets:

* There are no specific facts mentioned about BABA stock in the provided tweets.

The tweets appear to be related to trading and investing, mentioning various stock tickers including BABA, but not providing any specific information or facts about BABA stock.",Negative,1/16/2020
BABA,"2020-01-12
Here are the key facts regarding BABA stock:

**Fact 1**: Alibaba Group Holding Limited (BABA) was mentioned in a tweet discussing China-related stocks, including FXI, ASHR, BIDU, and IQ.

**Fact 2**: China Vice Premier Liu He and the trade delegation have departed Beijing for Washington D.C., which may have implications for BABA stock.

Note that there are no earnings or revenue reports mentioned for BABA stock in the provided tweets. If you provide more tweets, I can extract more facts about BABA stock. 2020-01-13
Here are the key facts regarding BABA stock mentioned in the tweets:

* Alibaba ($BABA) was mentioned as one of the top 10 most actively-traded stocks on Monday morning.
* Alibaba ($BABA) reached a new all-time high on the same day as other stocks like Apple ($AAPL) and the S&P 500.
* Alibaba ($BABA) was mentioned as one of the current holdings of a trader or investor.
* There were no other specific facts or updates mentioned about Alibaba's business, financials, or stock performance. 2020-01-14
Here are the key facts regarding BABA stock mentioned in the tweets:

* Alibaba is expected to join the trillion-dollar market capitalization club soon, along with Amazon.
* $BABA was mentioned as one of the top actively-traded stocks.
* Xi Jinping's optimistic tone is expected to benefit China and companies like Alibaba ($BABA).
* Alibaba's stock price reached a historical high.

Note that there are limited mentions of BABA stock in the provided tweets, and most of the tweets are focused on other stocks or general market trends. 2020-01-15
Here are the key facts regarding BABA stock mentioned in the tweets:

* There are no specific facts mentioned about BABA stock in the provided tweets.

The tweets appear to be related to trading and investing, mentioning various stock tickers including BABA, but not providing any specific information or facts about BABA stock. 2020-01-16
Here are the key facts regarding BABA stock:

* Alibaba ($BABA) and Tencent ($TCEHY) are expected to continue their growth trajectory in the Asian e-commerce sector.
* The growth in China mobile payments is 10X the size of most developed market and OECD economies, indicating a strong market trend for BABA.
* BABA is considered a buy or bullish stock by some investors, with expectations of continued growth.

Note: There are no specific financial metrics, earnings reports, or company announcements mentioned in these tweets regarding BABA stock. The tweets are more focused on general market trends and investor opinions.",Positive,1/17/2020
BABA,"2020-01-13
Here are the key facts regarding BABA stock mentioned in the tweets:

* Alibaba ($BABA) was mentioned as one of the top 10 most actively-traded stocks on Monday morning.
* Alibaba ($BABA) reached a new all-time high on the same day as other stocks like Apple ($AAPL) and the S&P 500.
* Alibaba ($BABA) was mentioned as one of the current holdings of a trader or investor.
* There were no other specific facts or updates mentioned about Alibaba's business, financials, or stock performance. 2020-01-14
Here are the key facts regarding BABA stock mentioned in the tweets:

* Alibaba is expected to join the trillion-dollar market capitalization club soon, along with Amazon.
* $BABA was mentioned as one of the top actively-traded stocks.
* Xi Jinping's optimistic tone is expected to benefit China and companies like Alibaba ($BABA).
* Alibaba's stock price reached a historical high.

Note that there are limited mentions of BABA stock in the provided tweets, and most of the tweets are focused on other stocks or general market trends. 2020-01-15
Here are the key facts regarding BABA stock mentioned in the tweets:

* There are no specific facts mentioned about BABA stock in the provided tweets.

The tweets appear to be related to trading and investing, mentioning various stock tickers including BABA, but not providing any specific information or facts about BABA stock. 2020-01-16
Here are the key facts regarding BABA stock:

* Alibaba ($BABA) and Tencent ($TCEHY) are expected to continue their growth trajectory in the Asian e-commerce sector.
* The growth in China mobile payments is 10X the size of most developed market and OECD economies, indicating a strong market trend for BABA.
* BABA is considered a buy or bullish stock by some investors, with expectations of continued growth.

Note: There are no specific financial metrics, earnings reports, or company announcements mentioned in these tweets regarding BABA stock. The tweets are more focused on general market trends and investor opinions. 2020-01-20
Here are the key facts regarding BABA stock:

* No specific financial data or earnings reports are mentioned in the tweets.
* Jim Cramer recommends BABA as the only company in China.
* There is a forecast of a potential rally in BABA stock, with a article link provided.
* No other information is mentioned regarding BABA's current stock price, market trends, or company performance.",Negative,1/21/2020
BABA,"2020-01-14
Here are the key facts regarding BABA stock mentioned in the tweets:

* Alibaba is expected to join the trillion-dollar market capitalization club soon, along with Amazon.
* $BABA was mentioned as one of the top actively-traded stocks.
* Xi Jinping's optimistic tone is expected to benefit China and companies like Alibaba ($BABA).
* Alibaba's stock price reached a historical high.

Note that there are limited mentions of BABA stock in the provided tweets, and most of the tweets are focused on other stocks or general market trends. 2020-01-15
Here are the key facts regarding BABA stock mentioned in the tweets:

* There are no specific facts mentioned about BABA stock in the provided tweets.

The tweets appear to be related to trading and investing, mentioning various stock tickers including BABA, but not providing any specific information or facts about BABA stock. 2020-01-16
Here are the key facts regarding BABA stock:

* Alibaba ($BABA) and Tencent ($TCEHY) are expected to continue their growth trajectory in the Asian e-commerce sector.
* The growth in China mobile payments is 10X the size of most developed market and OECD economies, indicating a strong market trend for BABA.
* BABA is considered a buy or bullish stock by some investors, with expectations of continued growth.

Note: There are no specific financial metrics, earnings reports, or company announcements mentioned in these tweets regarding BABA stock. The tweets are more focused on general market trends and investor opinions. 2020-01-20
Here are the key facts regarding BABA stock:

* No specific financial data or earnings reports are mentioned in the tweets.
* Jim Cramer recommends BABA as the only company in China.
* There is a forecast of a potential rally in BABA stock, with a article link provided.
* No other information is mentioned regarding BABA's current stock price, market trends, or company performance. 2020-01-21
Here are the key facts regarding BABA stock extracted from the tweets:

* Elliott Wave View has a bullish outlook on Alibaba Group Holding ($BABA).
* Alibaba's stock was mentioned among those with exposure to China, which were affected by coronavirus fears.
* Alibaba's stock was one of the most actively traded on a particular Tuesday morning.
* Jim Cramer recommended $BABA as the only company in China.
* KeyBanc maintains an overweight rating on $BABA and raises its price target to $260 from $243.

Let me know if you'd like me to continue summarizing facts from the remaining tweets!",Positive,1/22/2020
BABA,"2020-01-15
Here are the key facts regarding BABA stock mentioned in the tweets:

* There are no specific facts mentioned about BABA stock in the provided tweets.

The tweets appear to be related to trading and investing, mentioning various stock tickers including BABA, but not providing any specific information or facts about BABA stock. 2020-01-16
Here are the key facts regarding BABA stock:

* Alibaba ($BABA) and Tencent ($TCEHY) are expected to continue their growth trajectory in the Asian e-commerce sector.
* The growth in China mobile payments is 10X the size of most developed market and OECD economies, indicating a strong market trend for BABA.
* BABA is considered a buy or bullish stock by some investors, with expectations of continued growth.

Note: There are no specific financial metrics, earnings reports, or company announcements mentioned in these tweets regarding BABA stock. The tweets are more focused on general market trends and investor opinions. 2020-01-20
Here are the key facts regarding BABA stock:

* No specific financial data or earnings reports are mentioned in the tweets.
* Jim Cramer recommends BABA as the only company in China.
* There is a forecast of a potential rally in BABA stock, with a article link provided.
* No other information is mentioned regarding BABA's current stock price, market trends, or company performance. 2020-01-21
Here are the key facts regarding BABA stock extracted from the tweets:

* Elliott Wave View has a bullish outlook on Alibaba Group Holding ($BABA).
* Alibaba's stock was mentioned among those with exposure to China, which were affected by coronavirus fears.
* Alibaba's stock was one of the most actively traded on a particular Tuesday morning.
* Jim Cramer recommended $BABA as the only company in China.
* KeyBanc maintains an overweight rating on $BABA and raises its price target to $260 from $243.

Let me know if you'd like me to continue summarizing facts from the remaining tweets! 2020-01-22
Here are the key facts regarding BABA stock (Alibaba Group) mentioned in the tweets:

* Masks are selling for as much as $100 for a box of 20 on Alibaba's Taobao and JD.com platforms in China due to the Wuhan Coronavirus outbreak.

Note that there are no other mentions of BABA stock or Alibaba Group in the provided tweets.",Negative,1/23/2020
BABA,"2020-01-16
Here are the key facts regarding BABA stock:

* Alibaba ($BABA) and Tencent ($TCEHY) are expected to continue their growth trajectory in the Asian e-commerce sector.
* The growth in China mobile payments is 10X the size of most developed market and OECD economies, indicating a strong market trend for BABA.
* BABA is considered a buy or bullish stock by some investors, with expectations of continued growth.

Note: There are no specific financial metrics, earnings reports, or company announcements mentioned in these tweets regarding BABA stock. The tweets are more focused on general market trends and investor opinions. 2020-01-20
Here are the key facts regarding BABA stock:

* No specific financial data or earnings reports are mentioned in the tweets.
* Jim Cramer recommends BABA as the only company in China.
* There is a forecast of a potential rally in BABA stock, with a article link provided.
* No other information is mentioned regarding BABA's current stock price, market trends, or company performance. 2020-01-21
Here are the key facts regarding BABA stock extracted from the tweets:

* Elliott Wave View has a bullish outlook on Alibaba Group Holding ($BABA).
* Alibaba's stock was mentioned among those with exposure to China, which were affected by coronavirus fears.
* Alibaba's stock was one of the most actively traded on a particular Tuesday morning.
* Jim Cramer recommended $BABA as the only company in China.
* KeyBanc maintains an overweight rating on $BABA and raises its price target to $260 from $243.

Let me know if you'd like me to continue summarizing facts from the remaining tweets! 2020-01-22
Here are the key facts regarding BABA stock (Alibaba Group) mentioned in the tweets:

* Masks are selling for as much as $100 for a box of 20 on Alibaba's Taobao and JD.com platforms in China due to the Wuhan Coronavirus outbreak.

Note that there are no other mentions of BABA stock or Alibaba Group in the provided tweets. 2020-01-23
Here are the key facts related to BABA (Alibaba Group) stock mentioned in the tweets:

1. Alibaba's stock price was affected by Coronavirus fears, trading lower in pre-market hours.
2. Alibaba Group will announce its December quarter 2019 results on February 13, 2020.
3. The stock was considered oversold, with a potential for 1000%+ gain.
4. Alibaba was among the top 10 most actively-traded stocks on a particular day.
5. The stock was part of a trading watchlist, with members reporting profits.
6. Alibaba's stock broke down out of its daily channel and longer-term trend, but was expected to consolidate before earnings.

Note that there are no specific financial metrics or earnings-related information mentioned in these tweets, unlike the Apple-related tweets provided in the examples.",Negative,1/24/2020
BABA,"2020-01-20
Here are the key facts regarding BABA stock:

* No specific financial data or earnings reports are mentioned in the tweets.
* Jim Cramer recommends BABA as the only company in China.
* There is a forecast of a potential rally in BABA stock, with a article link provided.
* No other information is mentioned regarding BABA's current stock price, market trends, or company performance. 2020-01-21
Here are the key facts regarding BABA stock extracted from the tweets:

* Elliott Wave View has a bullish outlook on Alibaba Group Holding ($BABA).
* Alibaba's stock was mentioned among those with exposure to China, which were affected by coronavirus fears.
* Alibaba's stock was one of the most actively traded on a particular Tuesday morning.
* Jim Cramer recommended $BABA as the only company in China.
* KeyBanc maintains an overweight rating on $BABA and raises its price target to $260 from $243.

Let me know if you'd like me to continue summarizing facts from the remaining tweets! 2020-01-22
Here are the key facts regarding BABA stock (Alibaba Group) mentioned in the tweets:

* Masks are selling for as much as $100 for a box of 20 on Alibaba's Taobao and JD.com platforms in China due to the Wuhan Coronavirus outbreak.

Note that there are no other mentions of BABA stock or Alibaba Group in the provided tweets. 2020-01-23
Here are the key facts related to BABA (Alibaba Group) stock mentioned in the tweets:

1. Alibaba's stock price was affected by Coronavirus fears, trading lower in pre-market hours.
2. Alibaba Group will announce its December quarter 2019 results on February 13, 2020.
3. The stock was considered oversold, with a potential for 1000%+ gain.
4. Alibaba was among the top 10 most actively-traded stocks on a particular day.
5. The stock was part of a trading watchlist, with members reporting profits.
6. Alibaba's stock broke down out of its daily channel and longer-term trend, but was expected to consolidate before earnings.

Note that there are no specific financial metrics or earnings-related information mentioned in these tweets, unlike the Apple-related tweets provided in the examples. 2020-01-26
Here are the key facts regarding BABA (Alibaba Group Holding Limited) stock:

* There is no specific information about BABA's earnings, revenue, or guidance in the provided tweets.
* Some tweets mention that China's economy is facing challenges, which could affect BABA's performance.
* One tweet mentions that the user has a big position in BABA, indicating a significant investment.
* Another tweet compares BABA to Baidu, suggesting that investors may be considering both options.

No other specific facts about BABA were extracted from the tweets.",Negative,1/27/2020
