ds,y_actual,y_predicted,timesfm-q-0.1,timesfm-q-0.2,timesfm-q-0.3,timesfm-q-0.4,timesfm-q-0.5,timesfm-q-0.6,timesfm-q-0.7,timesfm-q-0.8,timesfm-q-0.9
2023-01-31,144.2899932861328,142.4136,137.62856,139.71564,140.95943,141.62082,142.4136,142.62553,143.17664,143.72528,145.02405
2023-02-01,145.42999267578125,143.73549,138.03867,140.50204,141.91353,142.76517,143.73549,144.06276,144.75943,145.57854,147.17555
2023-02-02,150.82000732421875,145.5656,141.94548,143.60432,144.45296,144.99501,145.5656,145.93799,146.54196,147.16908,148.49437
2023-02-03,154.5,149.61504,145.3301,147.15427,148.374,148.96352,149.61504,150.04492,150.77138,151.46097,152.9174
2023-02-06,151.72999572753906,154.58026,148.95609,151.56966,153.22112,153.95149,154.58026,154.92456,155.80008,156.744,158.27214
2023-02-07,154.64999389648438,152.0243,147.12173,149.36455,150.79057,151.27818,152.0243,152.22505,153.02785,153.67348,155.07893
2023-02-08,151.9199981689453,155.66168,149.88147,152.4238,153.90218,154.76657,155.66168,156.11502,157.15167,158.03706,160.09703
2023-02-09,150.8699951171875,151.94771,145.8151,148.52614,150.05357,150.90138,151.94771,152.2078,153.18771,154.03818,155.78458
2023-02-10,151.00999450683594,148.31186,143.46274,145.34367,146.53752,147.31221,148.31186,148.64014,149.36794,150.11586,151.73628
2023-02-13,153.85000610351562,149.36221,144.54637,146.38405,147.55524,148.3577,149.36221,149.78494,150.3164,151.16498,152.82219
2023-02-14,153.1999969482422,153.44247,148.07288,150.34087,151.59038,152.3188,153.44247,153.72983,154.45139,155.31894,156.9242
2023-02-15,155.3300018310547,153.11423,148.76534,150.65733,151.69922,152.31183,153.11423,153.41383,154.12346,154.89178,156.27919
2023-02-16,153.7100067138672,154.6451,150.82474,152.51093,153.48788,153.89229,154.6451,154.9613,155.34782,156.08762,157.22269
2023-02-17,152.5500030517578,154.41808,151.01472,152.61703,153.25179,153.74477,154.41808,154.69696,155.22176,155.7305,156.96281
2023-02-21,148.47999572753906,152.86504,149.14684,150.80016,151.83548,152.35458,152.86504,153.23625,153.55257,154.22046,155.08435
2023-02-22,148.91000366210938,147.91972,144.48593,145.76274,146.66605,147.24007,147.91972,148.40732,148.99316,149.77652,151.18837
2023-02-23,149.39999389648438,147.7069,144.85112,145.90706,146.69154,147.1871,147.7069,148.11504,148.51941,149.14021,150.18275
2023-02-24,146.7100067138672,148.29291,145.39511,146.45847,147.15585,147.75038,148.29291,148.81708,149.24924,149.94676,151.19826
2023-02-27,147.9199981689453,146.67001,144.49258,145.28284,145.80592,146.27995,146.67001,147.1192,147.451,148.03674,148.99753
2023-02-28,147.41000366210938,146.9292,144.68723,145.46036,146.00026,146.49324,146.9292,147.39784,147.8214,148.45065,149.5524
2023-03-01,145.30999755859375,147.0571,144.61288,145.50748,146.04973,146.59267,147.0571,147.58136,148.10829,148.73271,149.9552
2023-03-02,145.91000366210938,145.73125,143.67343,144.44586,144.93353,145.37946,145.73125,146.24777,146.79677,147.45294,148.60252
2023-03-03,151.02999877929688,146.15892,144.7516,145.27182,145.59886,145.90346,146.15892,146.61575,146.99397,147.55461,148.51544
2023-03-06,153.8300018310547,150.84982,148.33698,149.29265,149.84096,150.31078,150.84982,151.35394,152.01407,152.75754,154.12715
2023-03-07,151.60000610351562,153.3658,150.83954,151.8372,152.46268,152.87422,153.3658,153.8026,154.42094,155.11436,156.31569
2023-03-08,152.8699951171875,151.89435,149.69559,150.55363,151.12845,151.50192,151.89435,152.31047,152.83539,153.4651,154.52576
2023-03-09,150.58999633789062,152.9272,150.40489,151.36913,151.99269,152.47217,152.9272,153.39236,153.94283,154.63664,155.7774
2023-03-10,148.5,151.08122,148.67465,149.59036,150.1449,150.6288,151.08122,151.607,152.08765,152.77484,153.88097
2023-03-13,150.47000122070312,149.7802,147.20274,148.2333,148.78242,149.2888,149.7802,150.34947,150.86127,151.62706,152.85721
2023-03-14,152.58999633789062,150.69757,148.36118,149.23863,149.74292,150.19711,150.69757,151.15942,151.67563,152.34016,153.36786
2023-03-15,152.99000549316406,152.18413,149.78574,150.70027,151.22652,151.66899,152.18413,152.64899,153.17989,153.8223,154.79442
2023-03-16,155.85000610351562,152.79732,150.44933,151.33339,151.85948,152.3675,152.79732,153.25575,153.6839,154.28008,155.19641
2023-03-17,155.0,154.38129,151.32874,152.38326,153.1352,153.84343,154.38129,154.96527,155.56857,156.41411,157.76868
2023-03-20,157.39999389648438,154.00575,151.07738,152.18553,152.99539,153.52733,154.00575,154.54514,154.95567,155.75404,156.78786
2023-03-21,159.27999877929688,155.83842,152.06996,153.39044,154.35237,155.12697,155.83842,156.54648,157.29538,158.39526,160.1718
2023-03-22,157.8300018310547,157.7951,153.47856,155.08163,156.21494,157.03438,157.7951,158.46835,159.32358,160.49359,162.32149
2023-03-23,158.92999267578125,156.27196,152.82571,154.23474,155.0969,155.68985,156.27196,156.74623,157.21274,157.99329,159.12712
2023-03-24,160.25,157.19421,153.43417,154.8626,155.83495,156.49916,157.19421,157.76694,158.29082,159.1735,160.57532
2023-03-27,158.27999877929688,160.09564,156.1613,157.71753,158.69801,159.33615,160.09564,160.62105,161.06923,161.9418,163.21054
2023-03-28,157.64999389648438,157.91878,154.52249,155.87407,156.76031,157.25508,157.91878,158.4658,158.72333,159.5645,160.59189
2023-03-29,160.77000427246094,157.84639,154.6583,155.90074,156.74605,157.18091,157.84639,158.36502,158.5546,159.35426,160.31525
2023-03-30,162.36000061035156,160.86229,157.83057,159.0218,159.79135,160.27518,160.86229,161.4469,161.81935,162.58145,163.68051
2023-03-31,164.89999389648438,161.4283,158.49203,159.70293,160.44495,160.83014,161.4283,161.88895,162.29443,162.9361,163.94911
2023-04-03,166.1699981689453,163.80392,160.55469,161.71808,162.54884,163.22847,163.80392,164.281,164.72458,165.46265,166.70168
2023-04-04,165.6300048828125,165.67891,162.16408,163.437,164.2955,164.98332,165.67891,166.15941,166.59543,167.27902,168.66142
2023-04-05,163.75999450683594,164.08972,160.41226,161.76657,162.67564,163.33504,164.08972,164.56458,164.9521,165.55061,166.89262
2023-04-06,164.66000366210938,162.03152,157.97002,159.48375,160.4397,161.20952,162.03152,162.49164,162.96043,163.59694,165.04446
2023-04-10,162.02999877929688,163.9052,159.93771,161.6596,162.57149,163.18938,163.9052,164.22694,164.6559,165.2917,166.35725
2023-04-11,160.8000030517578,159.92986,156.10591,157.63217,158.46967,159.11415,159.92986,160.35947,160.73047,161.2986,162.6155
2023-04-12,160.10000610351562,159.63724,156.47778,157.7947,158.46837,158.93256,159.63724,159.99411,160.35126,160.83177,161.89188
2023-04-13,165.55999755859375,158.7983,156.08098,157.12154,157.70755,158.13788,158.7983,159.15643,159.42369,159.90193,160.90184
2023-04-14,165.2100067138672,165.10146,161.78072,163.16086,163.90913,164.42934,165.10146,165.54141,165.98364,166.60611,167.64868
2023-04-17,165.22999572753906,164.81836,162.04665,163.11432,163.84972,164.35977,164.81836,165.2819,165.64214,166.38084,167.28207
2023-04-18,166.47000122070312,164.71736,162.03816,163.0909,163.81297,164.31494,164.71736,165.15358,165.54485,166.26093,167.20691
2023-04-19,167.6300048828125,165.22061,162.10295,163.3453,164.0747,164.65323,165.22061,165.66013,166.14421,166.86919,168.01584
2023-04-20,166.64999389648438,166.8925,163.85551,165.08047,165.79326,166.34563,166.8925,167.2268,167.69812,168.30421,169.27303
2023-04-21,165.02000427246094,165.55725,162.51216,163.71512,164.42764,165.01164,165.55725,165.92348,166.38402,167.10007,168.15012
2023-04-24,165.3300018310547,163.43413,160.73259,161.73508,162.41554,162.9074,163.43413,163.85344,164.2657,164.94211,165.94745
2023-04-25,163.77000427246094,164.81645,162.48781,163.35852,163.9454,164.27884,164.81645,165.16147,165.4831,166.0711,166.87776
2023-04-26,163.75999450683594,163.83965,161.37236,162.26645,162.86226,163.30206,163.83965,164.3097,164.7113,165.32828,166.2041
2023-04-27,168.41000366210938,163.83586,161.71762,162.48955,162.98369,163.3822,163.83586,164.21303,164.60959,165.17046,165.91138
2023-04-28,169.67999267578125,168.70709,165.60027,166.6788,167.43808,168.03616,168.70709,169.30789,170.03252,170.95987,172.35823
2023-05-01,169.58999633789062,168.91158,166.00507,167.05386,167.76852,168.3389,168.91158,169.50444,170.14441,171.00375,172.2352
2023-05-02,168.5399932861328,168.86423,166.12468,167.17987,167.86644,168.38884,168.86423,169.35487,169.87503,170.59015,171.56987
2023-05-03,167.4499969482422,167.16002,164.56493,165.57251,166.18558,166.66048,167.16002,167.6226,168.06169,168.75569,169.6785
2023-05-04,165.7899932861328,166.66913,164.06421,165.09169,165.69823,166.18346,166.66913,167.1043,167.50562,168.19746,169.14813
2023-05-05,173.57000732421875,165.30367,162.69572,163.72658,164.36218,164.82954,165.30367,165.70946,166.13696,166.83168,167.74257
2023-05-08,173.5,170.89853,165.99016,167.71555,168.88739,169.87383,170.89853,171.78816,172.85812,174.26086,176.66928
2023-05-09,171.77000427246094,171.40498,167.1853,168.82137,169.84088,170.58505,171.40498,172.07437,172.88913,173.9793,175.7172
2023-05-10,173.55999755859375,171.20633,167.47798,168.99709,169.90947,170.57076,171.20633,171.92537,172.51028,173.49973,174.97217
2023-05-11,173.75,172.80238,169.00636,170.54002,171.4808,172.1054,172.80238,173.49477,174.08035,175.03734,176.43945
2023-05-12,172.57000732421875,173.10336,169.45332,170.90643,171.86272,172.48366,173.10336,173.7321,174.24594,175.16249,176.48703
2023-05-15,172.07000732421875,172.58176,169.34677,170.5491,171.42072,172.05724,172.58176,173.1312,173.7227,174.60161,175.82916
2023-05-16,172.07000732421875,172.20216,169.30142,170.40562,171.2734,171.71887,172.20216,172.63776,173.04643,173.82324,174.7279
2023-05-17,172.69000244140625,171.60022,169.18973,170.13945,170.80302,171.14671,171.60022,171.9608,172.19731,172.8238,173.52943
2023-05-18,175.0500030517578,172.30963,170.24696,171.15141,171.71567,172.00291,172.30963,172.61758,172.6964,173.24886,173.78745
2023-05-19,175.16000366210938,174.49799,171.87393,172.99594,173.73448,174.11446,174.49799,174.86327,174.97787,175.6305,176.33884
2023-05-22,174.1999969482422,174.39142,171.57042,172.7713,173.54927,173.91208,174.39142,174.82925,174.98631,175.66359,176.48752
2023-05-23,171.55999755859375,174.05676,171.6897,172.77785,173.41489,173.66722,174.05676,174.46495,174.60014,175.1038,175.80002
2023-05-24,171.83999633789062,171.60599,168.87445,170.00009,170.70035,171.12604,171.60599,172.11038,172.47685,173.12547,174.09698
2023-05-25,172.99000549316406,171.0996,168.47266,169.5455,170.19093,170.61125,171.0996,171.56775,172.01245,172.72806,173.70857
2023-05-26,175.42999267578125,172.59962,169.71342,170.88483,171.59206,172.04135,172.59962,173.10257,173.53256,174.26752,175.3013
2023-05-30,177.3000030517578,174.3407,171.61406,172.68362,173.33434,173.82799,174.3407,174.8213,175.2942,176.04999,177.1069
2023-05-31,177.25,175.66325,172.56395,173.78175,174.55775,175.09099,175.66325,176.17862,176.78098,177.61928,178.87556
2023-06-01,180.08999633789062,176.11636,173.63235,174.65785,175.29463,175.67624,176.11636,176.53458,176.93141,177.53265,178.38025
