date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-07-03,10000.0,10000.0,10000.0,10000.0,369747950000,36974795,713,10000.0,10000.0
2023-07-04,10000.0,10000.0,10000.0,10000.0,212759400000,21275940,495,10000.0,10000.0
2023-07-05,10000.0,10000.0,10000.0,10000.0,281944760000,28194476,992,10000.0,10000.0
2023-08-16,10309.0,10312.0,10309.0,10309.0,3059698075,296792,90,10000.0,10312.0
2023-08-19,10331.0,10379.0,10331.0,10365.0,120074581951,11584136,488,10309.0,10378.0
2023-08-20,10385.0,10385.0,10344.0,10366.0,157765338874,15219278,354,10365.0,10368.0
2023-08-21,10373.0,10374.0,10373.0,10374.0,154917914523,14933329,154,10366.0,10374.0
2023-08-22,10380.0,10381.0,10380.0,10381.0,31986992078,3081360,126,10374.0,10381.0
2023-08-23,10392.0,10393.0,10391.0,10391.0,82333353280,7923202,106,10381.0,10393.0
2023-08-26,10408.0,10409.0,10408.0,10409.0,103331306422,9927560,161,10391.0,10409.0
2023-08-27,10500.0,10500.0,10415.0,10415.0,64572989220,6199771,126,10409.0,10416.0
2023-08-28,10423.0,10423.0,10422.0,10423.0,27346178362,2623754,111,10415.0,10423.0
2023-08-29,10429.0,10430.0,10429.0,10429.0,41087641858,3939716,108,10423.0,10429.0
2023-08-30,10441.0,10441.0,10440.0,10441.0,11416341508,1093462,128,10429.0,10441.0
2023-09-02,10458.0,10459.0,10458.0,10459.0,116964195891,11183364,152,10441.0,10459.0
2023-09-03,10465.0,10466.0,10465.0,10465.0,13552648474,1294984,88,10459.0,10466.0
2023-09-04,10472.0,10473.0,10472.0,10472.0,47495844856,4535482,90,10465.0,10473.0
2023-09-05,10487.0,10488.0,10487.0,10488.0,14763138189,1407635,59,10472.0,10488.0
2023-09-09,10508.0,10509.0,10508.0,10509.0,134448166429,12793648,121,10488.0,10508.0
2023-09-10,10516.0,10517.0,10516.0,10517.0,48261314638,4588999,114,10509.0,10517.0
2023-09-11,10523.0,10524.0,10523.0,10523.0,55156100217,5241311,90,10517.0,10524.0
2023-09-12,10531.0,10531.0,10530.0,10531.0,30225099136,2870133,60,10523.0,10531.0
2023-09-13,10544.0,10545.0,10544.0,10545.0,114984028437,10904220,117,10531.0,10545.0
2023-09-17,10567.0,10567.0,10566.0,10566.0,69281305968,6556886,107,10545.0,10567.0
2023-09-18,10575.0,10575.0,10574.0,10574.0,93752520566,8866212,110,10566.0,10575.0
2023-09-19,10582.0,10582.0,10581.0,10582.0,31280964885,2956148,79,10574.0,10582.0
2023-09-20,10592.0,10593.0,10592.0,10593.0,11561472151,1091450,64,10582.0,10593.0
2023-09-23,10611.0,10611.0,10610.0,10611.0,25435460193,2397113,101,10593.0,10611.0
2023-09-25,10626.0,10626.0,10625.0,10626.0,63570162793,5982757,102,10611.0,10626.0
