date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-08-24,4050.0,4050.0,4050.0,4050.0,457378083000,112932860,13793,1000.0,4050.0
2022-08-27,4131.0,4131.0,3969.0,4057.0,473862780671,116788532,40306,4050.0,3969.0
2022-08-28,3976.0,3976.0,3976.0,4003.0,11346871816,2853841,669,4057.0,3976.0
2022-08-29,3923.0,3923.0,3923.0,3953.0,10665110953,2718611,764,4003.0,3923.0
2022-08-30,3874.0,3874.0,3874.0,3874.0,21662489862,5591763,1481,3953.0,3874.0
2022-08-31,3797.0,3844.0,3797.0,3798.0,247466140406,65164289,26178,3874.0,3797.0
2022-09-03,3723.0,3723.0,3723.0,3735.0,13564958988,3643556,713,3798.0,3723.0
2022-09-04,3661.0,3661.0,3661.0,3677.0,12453231973,3401593,699,3735.0,3661.0
2022-09-05,3604.0,3604.0,3604.0,3604.0,21466000640,5956160,1368,3677.0,3604.0
2022-09-06,3532.0,3560.0,3532.0,3532.0,83547076004,23652830,6960,3604.0,3532.0
2022-09-07,3462.0,3462.0,3462.0,3485.0,10041839118,2900589,718,3532.0,3462.0
2022-09-10,3416.0,3416.0,3416.0,3455.0,6466874008,1893113,416,3485.0,3416.0
2022-09-11,3386.0,3386.0,3386.0,3427.0,6007471674,1774209,406,3455.0,3386.0
2022-09-12,3359.0,3359.0,3359.0,3399.0,5939679392,1768288,367,3427.0,3359.0
2022-09-13,3332.0,3332.0,3332.0,3367.0,6801358368,2041224,454,3399.0,3332.0
2022-09-14,3300.0,3300.0,3300.0,3352.0,3205540800,971376,248,3367.0,3300.0
2022-09-18,3285.0,3285.0,3285.0,3348.0,887961780,270308,97,3352.0,3285.0
2022-09-19,3282.0,3282.0,3282.0,3345.0,592975350,180675,71,3348.0,3282.0
2022-09-20,3279.0,3279.0,3279.0,3343.0,441251751,134569,47,3345.0,3279.0
2022-09-21,3277.0,3277.0,3277.0,3341.0,322230687,98331,37,3343.0,3277.0
2022-09-24,3074.0,3074.0,3013.0,3068.0,42737251140,13928431,2275,3341.0,3013.0
2022-09-26,3007.0,3007.0,3007.0,3062.0,1373239767,456681,190,3068.0,3007.0
