date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-11-05,10000.0,10000.0,10000.0,10000.0,4900000000000,490000000,9303,10000.0,10000.0
2022-11-20,10410.0,10580.0,10310.0,10466.0,260024616265,24844766,2160,10000.0,10501.0
2022-11-21,10560.0,10560.0,10260.0,10399.0,285706309145,27474810,2280,10466.0,10434.0
2022-11-22,10353.0,10550.0,10309.0,10433.0,150759384997,14450059,1395,10399.0,10522.0
2022-11-23,10510.0,10579.0,10481.0,10539.0,102852068153,9759567,1140,10433.0,10538.0
2022-11-26,10560.0,10598.0,10211.0,10379.0,148357039199,14294631,1805,10539.0,10276.0
2022-11-27,10310.0,10440.0,10240.0,10311.0,68299997517,6624260,1178,10379.0,10377.0
2022-11-28,10448.0,10448.0,10310.0,10379.0,55490425220,5346276,679,10311.0,10413.0
2022-11-29,10375.0,10500.0,10367.0,10419.0,87353195467,8383755,814,10379.0,10499.0
2022-11-30,10450.0,10530.0,10420.0,10496.0,78714699888,7499453,765,10419.0,10520.0
2022-12-03,10450.0,10614.0,10424.0,10570.0,137531280245,13010871,931,10496.0,10577.0
2022-12-04,10639.0,10688.0,10558.0,10605.0,158905080166,14983326,878,10570.0,10585.0
2022-12-05,10599.0,10600.0,10470.0,10523.0,104178335734,9900311,764,10605.0,10529.0
2022-12-06,10463.0,10540.0,10371.0,10431.0,64471933104,6180951,693,10523.0,10390.0
2022-12-07,10400.0,10494.0,10316.0,10352.0,72486696163,7002086,693,10431.0,10325.0
2022-12-10,10303.0,10303.0,10059.0,10092.0,110167301707,10916566,1142,10352.0,10090.0
2022-12-11,10038.0,10255.0,10038.0,10125.0,75056679640,7413205,743,10092.0,10112.0
2022-12-12,10100.0,10540.0,10092.0,10404.0,124924444125,12007797,1431,10125.0,10500.0
2022-12-13,10569.0,11137.0,10559.0,10956.0,433054981730,39526180,2726,10404.0,11112.0
2022-12-14,11228.0,11275.0,10950.0,11106.0,254154784492,22884780,1847,10956.0,11000.0
