date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-06-13,10000.0,10000.0,10000.0,10000.0,4900000000000,490000000,30815,10000.0,10000.0
2023-07-08,10250.0,10360.0,10150.0,10270.0,870107734690,84726228,4905,10000.0,10290.0
2023-07-09,10290.0,10420.0,10130.0,10240.0,343003420200,33481774,4864,10270.0,10200.0
2023-07-10,10210.0,10300.0,10020.0,10110.0,248731576740,24612857,4082,10240.0,10130.0
2023-07-11,10120.0,10120.0,9950.0,10010.0,256546136030,25626385,3965,10110.0,10000.0
2023-07-12,10000.0,10270.0,9800.0,10000.0,285926720920,28602208,3367,10010.0,10190.0
2023-07-15,10180.0,10250.0,9930.0,10040.0,205154743820,20442804,2432,10000.0,9980.0
2023-07-16,9950.0,10000.0,9720.0,9810.0,171425799160,17474429,2383,10040.0,9770.0
2023-07-17,9720.0,10030.0,9450.0,9790.0,285514867130,29177033,2937,9810.0,10030.0
2023-07-18,10030.0,10520.0,9970.0,10250.0,574511767410,56044999,4762,9790.0,10490.0
2023-07-19,10450.0,10470.0,9850.0,10120.0,441603646330,43644516,6028,10250.0,9930.0
2023-07-22,9850.0,9960.0,9400.0,9570.0,337902892580,35295314,3151,10120.0,9540.0
2023-07-23,9530.0,9920.0,9520.0,9740.0,203287991920,20863975,1942,9570.0,9910.0
2023-07-24,10000.0,10080.0,9830.0,9990.0,234190454330,23450533,1960,9740.0,10040.0
2023-07-25,10080.0,10150.0,9850.0,9980.0,220865731120,22126998,2164,9990.0,10000.0
2023-07-26,10000.0,10060.0,9810.0,9990.0,224420085550,22468772,1678,9980.0,10000.0
2023-07-29,10010.0,10060.0,9940.0,10010.0,183455743040,18335280,1316,9990.0,10000.0
2023-07-30,9950.0,10020.0,9690.0,9790.0,183195469530,18711506,2072,10010.0,9860.0
2023-07-31,9860.0,10060.0,9800.0,9940.0,186816189320,18786103,1722,9790.0,10060.0
2023-08-01,10050.0,10250.0,9940.0,10120.0,416679649160,41159150,2844,9940.0,10230.0
2023-08-05,10180.0,10450.0,10120.0,10250.0,481235344210,46950264,3097,10120.0,10140.0
2023-08-06,10090.0,10140.0,9980.0,10080.0,190755489960,18921417,1869,10250.0,10070.0
2023-08-07,10120.0,10210.0,9880.0,10020.0,307296067260,30677757,2963,10080.0,9890.0
2023-08-08,9900.0,9970.0,9790.0,9860.0,224263012860,22737365,1733,10020.0,9920.0
2023-08-09,10010.0,10020.0,9900.0,9970.0,114884485600,11525153,860,9860.0,9970.0
2023-08-12,9860.0,9900.0,9550.0,9630.0,126671550600,13152910,1782,9970.0,9550.0
2023-08-13,9530.0,9840.0,9530.0,9720.0,97187865530,10003595,1017,9630.0,9810.0
