date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-02-19,10000.0,10000.0,10000.0,10000.0,545179250000,54517925,348,10000.0,10000.0
2023-02-20,10000.0,10000.0,10000.0,10000.0,176309150000,17630915,328,10000.0,10000.0
2023-02-21,10000.0,10000.0,10000.0,10000.0,258511600000,25851160,246,10000.0,10000.0
2023-02-22,10000.0,10000.0,10000.0,10000.0,1911005000000,191100500,745,10000.0,10000.0
2023-04-03,10264.0,10265.0,10264.0,10264.0,80025902781,7796709,160,10000.0,10265.0
2023-04-04,10270.0,10271.0,10270.0,10270.0,69751095782,6791709,187,10264.0,10270.0
2023-04-05,10275.0,10277.0,10275.0,10275.0,20429208474,1988152,102,10270.0,10276.0
2023-04-08,10294.0,10295.0,10294.0,10294.0,33471570061,3251508,78,10275.0,10295.0
2023-04-09,10301.0,10301.0,10300.0,10300.0,112459614435,10918259,70,10294.0,10301.0
2023-04-10,10306.0,10307.0,10306.0,10307.0,63125079670,6124717,82,10300.0,10306.0
2023-04-11,10314.0,10317.0,10313.0,10314.0,107546213585,10427502,57,10307.0,10313.0
2023-04-15,10334.0,10334.0,10333.0,10333.0,110755213602,10718555,73,10314.0,10334.0
2023-04-16,10341.0,10341.0,10340.0,10340.0,2529255817,244599,45,10333.0,10340.0
2023-04-17,10346.0,10347.0,10346.0,10346.0,10430267617,1008134,45,10340.0,10347.0
2023-04-18,10353.0,10353.0,10352.0,10352.0,291567372831,28165181,94,10346.0,10352.0
2023-04-19,10367.0,10368.0,10367.0,10367.0,150661346873,14532675,59,10352.0,10368.0
2023-04-24,10392.0,10393.0,10392.0,10392.0,45846397148,4411691,49,10367.0,10393.0
2023-04-25,10398.0,10399.0,10398.0,10398.0,68753056647,6612131,47,10392.0,10398.0
2023-04-26,10411.0,10411.0,10410.0,10410.0,18911460944,1816656,39,10398.0,10410.0
2023-04-29,10425.0,10426.0,10425.0,10425.0,48205247078,4623991,40,10410.0,10426.0
2023-04-30,10431.0,10432.0,10431.0,10431.0,66477299830,6373050,38,10425.0,10431.0
2023-05-01,10438.0,10439.0,10438.0,10438.0,2329636889,223185,24,10431.0,10439.0
2023-05-02,10445.0,10446.0,10445.0,10445.0,94581567819,9055145,56,10438.0,10445.0
2023-05-03,10460.0,10461.0,10460.0,10460.0,27161197419,2596631,45,10445.0,10460.0
2023-05-06,10475.0,10476.0,10475.0,10475.0,32296900031,3083118,38,10460.0,10476.0
2023-05-07,10481.0,10481.0,10481.0,10481.0,8706367561,830681,24,10475.0,10481.0
2023-05-08,10488.0,10489.0,10488.0,10489.0,39026968078,3720886,76,10481.0,10489.0
2023-05-09,10494.0,10495.0,10494.0,10494.0,2640813619,251649,18,10489.0,10494.0
2023-05-10,10509.0,10510.0,10509.0,10509.0,7023865505,668355,30,10494.0,10510.0
2023-05-13,10524.0,10524.0,10523.0,10523.0,17309322818,1644888,31,10509.0,10523.0
2023-05-14,10531.0,10531.0,10530.0,10530.0,5290710270,502440,27,10523.0,10530.0
2023-05-15,10545.0,10546.0,10545.0,10546.0,8672782823,822381,24,10530.0,10546.0
2023-05-17,10561.0,10562.0,10561.0,10561.0,70613885493,6686134,43,10546.0,10561.0
2023-05-20,10576.0,10577.0,10576.0,10576.0,142928248529,13514394,76,10561.0,10576.0
2023-05-21,10584.0,10584.0,10583.0,10583.0,9229799177,872094,54,10576.0,10583.0
2023-05-22,10590.0,10591.0,10590.0,10590.0,28823432650,2721712,37,10583.0,10591.0
2023-05-23,10597.0,10598.0,10597.0,10598.0,2192193962,206859,22,10590.0,10597.0
2023-05-24,10613.0,10615.0,10613.0,10614.0,27643899975,2604369,22,10598.0,10615.0
2023-05-27,10627.0,10628.0,10627.0,10627.0,315891592633,29725349,82,10614.0,10628.0
2023-05-28,10634.0,10635.0,10634.0,10634.0,20419972067,1920242,27,10627.0,10635.0
2023-05-29,10641.0,10642.0,10641.0,10641.0,487506537453,45813939,84,10634.0,10642.0
2023-05-30,10649.0,10649.0,10648.0,10648.0,331607829451,31142234,63,10641.0,10648.0
2023-05-31,10670.0,10671.0,10669.0,10669.0,409439951550,38375244,80,10648.0,10669.0
2023-06-03,10675.0,10676.0,10675.0,10675.0,191434196934,17932251,122,10669.0,10675.0
2023-06-06,10689.0,10690.0,10689.0,10689.0,29968766384,2803632,27,10675.0,10690.0
2023-06-07,10698.0,10698.0,10697.0,10698.0,5600786273,523548,30,10689.0,10698.0
2023-06-10,10719.0,10720.0,10719.0,10720.0,19563494924,1824992,41,10698.0,10719.0
