date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-06-17,3560.0,3560.0,3560.0,3560.0,2065832400,580290,12,1000.0,3560.0
2017-03-26,1521.0,1673.0,1521.0,1641.0,102953672,62744,13,3560.0,1673.0
2017-03-27,1805.0,1805.0,1805.0,1805.0,677658370,375434,49,1641.0,1805.0
2017-03-28,1965.0,1978.0,1701.0,1808.0,294090742,162673,44,1805.0,1750.0
2017-03-29,1740.0,1740.0,1681.0,1703.0,340589762,199995,40,1808.0,1694.0
2017-04-03,1650.0,1650.0,1536.0,1584.0,258029113,162944,51,1703.0,1545.0
2017-04-04,1535.0,1537.0,1455.0,1487.0,945161032,635750,65,1584.0,1496.0
2017-04-05,1529.0,1529.0,1444.0,1462.0,301739690,206402,42,1487.0,1476.0
2017-04-08,1499.0,1522.0,1471.0,1486.0,295968099,199209,45,1462.0,1479.0
2017-04-09,1437.0,1490.0,1437.0,1470.0,212274175,144381,28,1486.0,1489.0
2017-04-10,1450.0,1600.0,1440.0,1492.0,602774303,404053,74,1470.0,1600.0
2017-04-12,1619.0,1641.0,1551.0,1629.0,1038103431,637202,71,1492.0,1641.0
2017-04-15,1785.0,1785.0,1556.0,1719.0,778903020,453104,55,1629.0,1556.0
2017-04-16,1705.0,1705.0,1600.0,1646.0,233934280,142144,19,1719.0,1705.0
2017-04-17,1602.0,1660.0,1601.0,1632.0,260680771,159765,44,1646.0,1649.0
2017-04-18,1601.0,1689.0,1600.0,1603.0,559441404,349031,38,1632.0,1601.0
2017-04-19,1650.0,1689.0,1649.0,1671.0,219081803,131079,19,1603.0,1651.0
2017-04-22,1650.0,1720.0,1650.0,1686.0,314188204,186394,31,1671.0,1670.0
2017-04-23,1670.0,1690.0,1660.0,1664.0,220782720,132687,23,1686.0,1690.0
2017-04-24,1650.0,1650.0,1621.0,1643.0,65710000,40000,7,1664.0,1621.0
2017-04-26,1690.0,1807.0,1690.0,1802.0,1334170789,740574,85,1643.0,1807.0
2017-04-29,1704.0,1816.0,1625.0,1666.0,938334418,563276,62,1802.0,1651.0
2017-04-30,1627.0,1749.0,1627.0,1676.0,755320388,450781,65,1666.0,1740.0
2017-05-01,1700.0,1724.0,1673.0,1707.0,139246842,81583,17,1676.0,1724.0
2017-05-02,1671.0,1848.0,1670.0,1769.0,524664376,296539,41,1707.0,1845.0
2017-05-03,1849.0,1938.0,1800.0,1905.0,879795998,461718,72,1769.0,1935.0
2017-09-20,1650.0,1660.0,1650.0,1660.0,4147340000,2499000,179,1905.0,1660.0
2017-09-23,1680.0,1750.0,1680.0,1690.0,795467750,470553,19,1660.0,1750.0
2021-02-24,25000.0,25400.0,24000.0,24730.0,132304718460,5348892,3275,1690.0,24850.0
2021-02-27,24700.0,24700.0,23750.0,23820.0,85851330330,3604493,1317,24730.0,23750.0
2021-02-28,22880.0,23620.0,22870.0,22890.0,11509334710,502708,288,23820.0,22870.0
2021-03-01,21980.0,22100.0,21980.0,21980.0,17088902860,777383,480,22890.0,21980.0
2021-03-02,21120.0,24110.0,21120.0,22920.0,76426768680,3334703,1366,21980.0,22550.0
2021-03-03,22300.0,22530.0,22010.0,22030.0,19859156460,901551,481,22920.0,22010.0
2021-03-06,21300.0,22800.0,21150.0,21380.0,10571398740,494532,383,22030.0,21150.0
2021-03-07,20560.0,22000.0,20530.0,21080.0,35955594790,1705678,879,21380.0,21520.0
2021-03-08,21200.0,22000.0,20860.0,21280.0,24759061190,1163398,717,21080.0,20860.0
2021-03-09,20710.0,21500.0,20430.0,20700.0,23314863490,1126326,661,21280.0,20430.0
2021-03-10,20090.0,20180.0,19880.0,19900.0,15915979490,799638,411,20700.0,19890.0
2021-03-13,19170.0,20130.0,19170.0,19440.0,15570999250,800988,445,19900.0,19400.0
2021-03-14,19110.0,20300.0,19110.0,19770.0,11988610010,606523,439,19440.0,19650.0
2021-03-15,19650.0,20290.0,19070.0,19920.0,9918641610,497850,423,19770.0,19850.0
2021-03-16,19850.0,21250.0,19850.0,20350.0,11154433990,548006,442,19920.0,20600.0
2021-03-17,20400.0,21750.0,20400.0,21160.0,19892594350,940202,510,20350.0,21510.0
2021-03-27,21340.0,21700.0,20520.0,21240.0,8539780650,401989,260,21160.0,21490.0
2021-03-28,21240.0,21460.0,20560.0,20850.0,6110288230,292998,194,21240.0,20640.0
