date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-10-10,10000.0,10000.0,10000.0,10000.0,200000000000,20000000,287,10000.0,10000.0
2022-10-11,10000.0,10000.0,10000.0,10000.0,182000000000,18200000,320,10000.0,10000.0
2022-10-12,10000.0,10000.0,10000.0,10000.0,70295930000,7029593,238,10000.0,10000.0
2022-10-15,10000.0,10000.0,10000.0,10000.0,62897330000,6289733,199,10000.0,10000.0
2022-10-16,10000.0,10000.0,10000.0,10000.0,1042806740000,104280674,1203,10000.0,10000.0
2022-11-28,10251.0,10252.0,10250.0,10251.0,72623602164,7084719,195,10000.0,10252.0
2022-11-29,10260.0,10260.0,10259.0,10260.0,125384810311,12220825,304,10251.0,10259.0
2022-11-30,10266.0,10277.0,10265.0,10274.0,37221259013,3622996,120,10260.0,10277.0
2022-12-03,10284.0,10293.0,10284.0,10292.0,75022103690,7289149,200,10274.0,10293.0
2022-12-04,10299.0,10301.0,10299.0,10300.0,34314832599,3331491,106,10292.0,10300.0
2022-12-05,10307.0,10307.0,10306.0,10307.0,121204078179,11759904,292,10300.0,10307.0
2022-12-06,10314.0,10316.0,10314.0,10316.0,219749315702,21302048,368,10307.0,10316.0
2022-12-07,10322.0,10322.0,10318.0,10320.0,443279056713,42953834,900,10316.0,10322.0
2022-12-10,10336.0,10337.0,10336.0,10336.0,29890021244,2891753,91,10320.0,10336.0
2022-12-11,10343.0,10344.0,10343.0,10343.0,8716350260,842707,36,10336.0,10343.0
2022-12-12,10351.0,10352.0,10351.0,10352.0,17281155182,1669382,88,10343.0,10352.0
2022-12-13,10359.0,10359.0,10358.0,10358.0,18154607908,1752676,66,10352.0,10358.0
2022-12-14,10366.0,10367.0,10366.0,10367.0,27994903636,2700496,88,10358.0,10367.0
2022-12-17,10380.0,10381.0,10380.0,10381.0,16133474933,1554176,52,10367.0,10380.0
2022-12-18,10388.0,10389.0,10388.0,10388.0,43061843249,4145205,101,10381.0,10388.0
2022-12-19,10395.0,10396.0,10395.0,10395.0,67686018405,6511191,160,10388.0,10396.0
2022-12-20,10403.0,10404.0,10403.0,10403.0,38128732408,3665039,101,10395.0,10404.0
2022-12-21,10411.0,10411.0,10409.0,10410.0,149615970979,14372775,245,10403.0,10410.0
2022-12-24,10425.0,10426.0,10425.0,10425.0,54481043587,5225914,145,10410.0,10425.0
2022-12-25,10433.0,10434.0,10433.0,10434.0,117285061274,11240995,254,10425.0,10434.0
2022-12-26,10440.0,10441.0,10440.0,10440.0,25250173991,2418523,74,10434.0,10441.0
2022-12-28,10455.0,10456.0,10455.0,10456.0,147287152813,14086943,336,10440.0,10455.0
2022-12-31,10470.0,10471.0,10470.0,10470.0,24218983429,2313146,78,10456.0,10471.0
2023-01-01,10478.0,10479.0,10478.0,10479.0,129751456956,12382343,278,10470.0,10479.0
2023-01-02,10531.0,10532.0,10485.0,10489.0,132245581091,12608550,298,10479.0,10486.0
2023-01-03,10494.0,10494.0,10493.0,10494.0,91956174200,8762790,263,10489.0,10494.0
2023-01-04,10501.0,10501.0,10500.0,10500.0,66568250997,6339724,156,10494.0,10501.0
2023-01-07,10516.0,10516.0,10515.0,10516.0,8050165250,765542,45,10500.0,10516.0
2023-01-08,10523.0,10524.0,10523.0,10524.0,152410087082,14482759,334,10516.0,10523.0
2023-01-09,10531.0,10532.0,10531.0,10531.0,64285819752,6104212,152,10524.0,10532.0
2023-01-10,10538.0,10539.0,10538.0,10538.0,121315947502,11511945,252,10531.0,10539.0
2023-01-11,10546.0,10547.0,10546.0,10547.0,39778296775,3771605,101,10538.0,10546.0
2023-01-14,10561.0,10562.0,10561.0,10562.0,26227116861,2483202,67,10547.0,10562.0
2023-01-16,10577.0,10577.0,10576.0,10576.0,276206210866,26115570,516,10562.0,10577.0
2023-01-17,10584.0,10585.0,10584.0,10584.0,577679522570,54579045,908,10576.0,10584.0
2023-01-18,10592.0,10592.0,10591.0,10591.0,90105852662,8507604,233,10584.0,10592.0
2023-01-21,10607.0,10607.0,10606.0,10606.0,59227092656,5584144,149,10591.0,10606.0
2023-01-22,10614.0,10615.0,10614.0,10615.0,106051517642,9990981,233,10606.0,10615.0
2023-01-23,10623.0,10623.0,10622.0,10623.0,74311550927,6995500,171,10615.0,10623.0
2023-01-24,10631.0,10631.0,10630.0,10630.0,24409300086,2296162,75,10623.0,10631.0
2023-01-25,10639.0,10641.0,10639.0,10640.0,15368796661,1444488,71,10630.0,10641.0
2023-01-28,10656.0,10656.0,10655.0,10656.0,46135468733,4329703,111,10640.0,10655.0
2023-01-29,10663.0,10664.0,10663.0,10663.0,240798265020,22582548,472,10656.0,10663.0
2023-01-30,10672.0,10672.0,10671.0,10672.0,61428292177,5756036,168,10663.0,10672.0
2023-01-31,10680.0,10680.0,10678.0,10679.0,114574545642,10728859,230,10672.0,10678.0
2023-02-01,10690.0,10692.0,10690.0,10691.0,117061399342,10949220,247,10679.0,10692.0
2023-02-05,10713.0,10713.0,10712.0,10712.0,25141156762,2346976,86,10691.0,10713.0
2023-02-06,10721.0,10721.0,10720.0,10721.0,3967867842,370119,35,10712.0,10721.0
2023-02-07,10729.0,10729.0,10728.0,10729.0,29405566388,2740822,89,10721.0,10729.0
2023-02-08,10739.0,10742.0,10739.0,10741.0,67837972926,6315895,115,10729.0,10741.0
2023-02-12,10761.0,10761.0,10760.0,10760.0,22881243849,2126474,80,10741.0,10761.0
2023-02-13,10768.0,10769.0,10768.0,10769.0,45465344650,4221944,120,10760.0,10769.0
2023-02-14,10776.0,10779.0,10776.0,10777.0,302047511501,28027998,586,10769.0,10779.0
2023-02-15,10788.0,10789.0,10787.0,10788.0,230712701558,21385374,417,10777.0,10789.0
2023-02-19,10805.0,10806.0,10805.0,10806.0,21400863940,1980537,102,10788.0,10806.0
2023-02-20,10809.0,10818.0,10809.0,10816.0,136190293041,12592056,270,10806.0,10818.0
2023-02-21,10825.0,10826.0,10825.0,10826.0,88738601361,8196975,233,10816.0,10826.0
2023-02-22,10834.0,10836.0,10834.0,10835.0,150523984116,13892263,325,10826.0,10836.0
2023-02-25,10850.0,10851.0,10850.0,10850.0,128253078911,11820494,299,10835.0,10851.0
2023-02-26,10859.0,10860.0,10859.0,10860.0,602286788150,55459529,1146,10850.0,10860.0
2023-02-27,10867.0,10868.0,10867.0,10867.0,38079015982,3503955,76,10860.0,10868.0
2023-02-28,10876.0,10876.0,10875.0,10876.0,165462631995,15213871,101,10867.0,10876.0
2023-03-01,10884.0,10886.0,10884.0,10885.0,1305207254513,119903600,274,10876.0,10886.0
2023-03-04,10900.0,10904.0,10900.0,10904.0,220760256781,20246240,92,10885.0,10901.0
2023-03-05,10909.0,10910.0,10908.0,10909.0,483522826103,44324148,153,10904.0,10910.0
2023-03-06,10917.0,10918.0,10917.0,10917.0,4864497689,445582,45,10909.0,10918.0
2023-03-07,10928.0,10940.0,10928.0,10929.0,313678089378,28701466,76,10917.0,10929.0
2023-03-11,10950.0,10951.0,10941.0,10946.0,604037471667,55183565,189,10929.0,10941.0
2023-03-12,10959.0,10961.0,10958.0,10960.0,222858916431,20334490,102,10946.0,10960.0
2023-03-13,10967.0,10968.0,10967.0,10967.0,172712416947,15747991,83,10960.0,10967.0
2023-03-14,10976.0,10977.0,10976.0,10976.0,114554373058,10436738,134,10967.0,10977.0
2023-03-15,10984.0,10986.0,10984.0,10985.0,56445579109,5138362,104,10976.0,10986.0
2023-03-18,10996.0,11002.0,10995.0,11000.0,805576536713,73233624,202,10985.0,11002.0
2023-03-19,11016.0,11031.0,11016.0,11030.0,449448987589,40749539,166,11000.0,11019.0
2023-03-25,11052.0,11053.0,11052.0,11053.0,51821929143,4688594,67,11030.0,11053.0
2023-03-26,11061.0,11062.0,11061.0,11062.0,81257993164,7345907,66,11053.0,11062.0
2023-03-27,11070.0,11070.0,11069.0,11069.0,85059856171,7684246,51,11062.0,11070.0
2023-03-28,11078.0,11079.0,11078.0,11078.0,49901469800,4504420,60,11069.0,11079.0
2023-03-29,11092.0,11105.0,11091.0,11092.0,102579033926,9248095,73,11078.0,11105.0
2023-04-03,11120.0,11120.0,11119.0,11119.0,86001330578,7734597,68,11092.0,11120.0
2023-04-04,11128.0,11129.0,11128.0,11129.0,114131306953,10255509,125,11119.0,11129.0
2023-04-05,11137.0,11140.0,11137.0,11138.0,36291870102,3258344,86,11129.0,11140.0
2023-04-08,11154.0,11154.0,11153.0,11154.0,89818191991,8052844,87,11138.0,11154.0
2023-04-09,11162.0,11163.0,11162.0,11162.0,178581008848,15998336,129,11154.0,11162.0
2023-04-10,11171.0,11172.0,11170.0,11171.0,125307356109,11217307,78,11162.0,11172.0
2023-04-11,11186.0,11190.0,11182.0,11186.0,22033457602,1969691,35,11171.0,11190.0
2023-04-15,11203.0,11204.0,11203.0,11203.0,180602482283,16120823,96,11186.0,11204.0
2023-04-16,11212.0,11213.0,11212.0,11212.0,74215311291,6619270,65,11203.0,11212.0
2023-04-17,11221.0,11221.0,11220.0,11221.0,111359497644,9924297,64,11212.0,11221.0
2023-04-18,11229.0,11230.0,11229.0,11230.0,96314407588,8576794,103,11221.0,11229.0
2023-04-19,11260.0,11260.0,11242.0,11247.0,118989068592,10579806,83,11230.0,11242.0
2023-04-24,11272.0,11273.0,11272.0,11273.0,41536263285,3684632,62,11247.0,11273.0
2023-04-25,11281.0,11281.0,11280.0,11281.0,89287435276,7915050,55,11273.0,11281.0
2023-04-26,11290.0,11359.0,11289.0,11325.0,1770258195142,156310207,341,11281.0,11290.0
2023-04-29,11306.0,11307.0,11306.0,11307.0,271323765954,23996757,130,11325.0,11307.0
2023-04-30,11315.0,11316.0,11314.0,11315.0,513628587020,45395062,114,11307.0,11316.0
2023-05-01,11323.0,11324.0,11322.0,11323.0,451874131360,39908470,139,11315.0,11323.0
2023-05-02,11333.0,11333.0,11332.0,11332.0,202584755352,17877225,81,11323.0,11332.0
2023-05-03,11341.0,11348.0,11341.0,11341.0,166149960460,14649954,73,11332.0,11341.0
2023-05-06,11359.0,11359.0,11358.0,11358.0,120640119935,10621399,84,11341.0,11359.0
2023-05-07,11367.0,11368.0,11367.0,11367.0,175338848531,15425238,80,11358.0,11368.0
2023-05-08,11375.0,11376.0,11375.0,11375.0,12584988871,1106341,32,11367.0,11375.0
2023-05-09,11384.0,11385.0,11384.0,11384.0,35477202556,3116384,37,11375.0,11384.0
2023-05-10,11394.0,11400.0,11394.0,11395.0,84653461084,7428874,37,11384.0,11400.0
2023-05-13,11411.0,11412.0,11411.0,11411.0,21249127039,1862115,27,11395.0,11411.0
2023-05-14,11421.0,11421.0,11420.0,11421.0,108681842493,9516140,64,11411.0,11421.0
2023-05-15,11431.0,11438.0,11431.0,11432.0,108038300553,9450178,41,11421.0,11431.0
2023-05-17,11447.0,11452.0,11447.0,11447.0,54835629993,4790229,29,11432.0,11452.0
2023-05-20,11465.0,11465.0,11464.0,11465.0,330152739562,28797688,155,11447.0,11465.0
2023-05-21,11475.0,11475.0,11474.0,11474.0,136350049073,11883380,60,11465.0,11474.0
2023-05-22,11483.0,11483.0,11482.0,11482.0,67267320367,5858335,30,11474.0,11483.0
2023-05-23,11490.0,11491.0,11490.0,11491.0,70610931207,6145074,46,11482.0,11491.0
2023-05-24,11499.0,11501.0,11499.0,11500.0,158932046192,13820460,50,11491.0,11499.0
2023-05-27,11517.0,11517.0,11516.0,11516.0,11601870856,1007427,42,11500.0,11516.0
2023-05-28,11525.0,11526.0,11525.0,11525.0,14745871723,1279430,47,11516.0,11526.0
2023-05-29,11533.0,11534.0,11533.0,11533.0,155554291417,13487740,71,11525.0,11533.0
2023-05-30,11543.0,11543.0,11542.0,11542.0,416681019734,36101265,116,11533.0,11543.0
2023-05-31,11551.0,11555.0,11551.0,11554.0,33737838374,2919914,33,11542.0,11555.0
2023-06-03,11572.0,11577.0,11572.0,11572.0,12316943451,1064339,32,11554.0,11572.0
2023-06-06,11594.0,11595.0,11594.0,11594.0,61885412928,5337580,63,11572.0,11595.0
2023-06-07,11604.0,11609.0,11604.0,11604.0,85006541964,7325489,60,11594.0,11606.0
2023-06-10,11621.0,11622.0,11621.0,11622.0,119863903328,10313548,54,11604.0,11622.0
2023-06-11,11631.0,11631.0,11630.0,11631.0,1149944647213,98869880,277,11622.0,11630.0
2023-06-12,11639.0,11639.0,11638.0,11639.0,10271168908,882500,46,11631.0,11639.0
2023-06-13,11648.0,11648.0,11647.0,11647.0,472101570022,40534125,103,11639.0,11648.0
2023-06-14,11660.0,11660.0,11656.0,11657.0,17935432378,1538658,42,11647.0,11660.0
2023-06-17,11674.0,11675.0,11674.0,11674.0,116063788491,9941983,50,11657.0,11674.0
2023-06-18,11683.0,11684.0,11683.0,11683.0,188944593193,16171983,63,11674.0,11684.0
2023-06-19,11691.0,11692.0,11691.0,11691.0,221595096609,18953723,85,11683.0,11691.0
2023-06-20,11699.0,11700.0,11699.0,11699.0,146766944096,12544914,44,11691.0,11700.0
2023-06-21,11713.0,11714.0,11709.0,11710.0,24885287521,2125099,34,11699.0,11710.0
2023-06-24,11726.0,11727.0,11726.0,11726.0,17198519773,1466654,49,11710.0,11726.0
2023-06-25,11737.0,11737.0,11735.0,11736.0,722504875535,61563030,194,11726.0,11737.0
2023-06-26,11746.0,11746.0,11745.0,11745.0,58920885604,5016473,93,11736.0,11746.0
2023-06-27,11755.0,11755.0,11754.0,11754.0,187237151753,15929557,90,11745.0,11755.0
2023-06-28,11764.0,11770.0,11764.0,11765.0,12340131665,1048858,41,11754.0,11770.0
2023-07-01,11782.0,11782.0,11781.0,11781.0,67637596073,5741232,58,11765.0,11782.0
2023-07-02,11791.0,11792.0,11791.0,11791.0,122902703645,10423073,66,11781.0,11792.0
2023-07-03,11800.0,11801.0,11800.0,11801.0,71823369341,6086383,50,11791.0,11801.0
2023-07-04,11810.0,11811.0,11810.0,11811.0,32701093956,2768771,54,11801.0,11811.0
2023-07-05,11824.0,11824.0,11819.0,11820.0,13198949512,1116667,51,11811.0,11819.0
2023-07-08,11837.0,11838.0,11837.0,11837.0,13455808208,1136736,45,11820.0,11837.0
2023-07-09,11847.0,11847.0,11846.0,11847.0,17270550334,1457800,31,11837.0,11847.0
2023-07-10,11857.0,11857.0,11856.0,11857.0,35894109528,3027315,36,11847.0,11857.0
2023-07-11,11865.0,11866.0,11865.0,11865.0,201791445967,17006794,71,11857.0,11866.0
2023-07-12,11880.0,11880.0,11875.0,11875.0,117937586911,9931471,62,11865.0,11880.0
2023-07-15,11893.0,11894.0,11893.0,11893.0,4512630602,379425,31,11875.0,11893.0
2023-07-16,11903.0,11903.0,11902.0,11903.0,78241247369,6573255,47,11893.0,11903.0
2023-07-17,11912.0,11913.0,11912.0,11912.0,188981911410,15864470,72,11903.0,11912.0
2023-07-18,11921.0,11922.0,11921.0,11922.0,30673493410,2572856,40,11912.0,11922.0
2023-07-19,11935.0,11935.0,11931.0,11932.0,40884189501,3426340,59,11922.0,11932.0
2023-07-22,11949.0,11950.0,11949.0,11950.0,26381822809,2207741,51,11932.0,11950.0
2023-07-23,11958.0,11959.0,11958.0,11958.0,1949005770,162981,26,11950.0,11959.0
2023-07-24,11968.0,11968.0,11967.0,11967.0,31547650776,2636126,42,11958.0,11967.0
2023-07-25,11977.0,11977.0,11976.0,11976.0,22025552060,1839080,31,11967.0,11977.0
2023-07-26,11985.0,11990.0,11985.0,11985.0,40307442933,3363060,38,11976.0,11985.0
2023-07-29,12003.0,12004.0,12003.0,12004.0,33878113276,2822257,37,11985.0,12004.0
2023-07-30,12013.0,12014.0,12013.0,12013.0,6193509371,515567,19,12004.0,12014.0
2023-07-31,12021.0,12022.0,12021.0,12022.0,13171228292,1095608,23,12013.0,12022.0
2023-08-01,12030.0,12040.0,12030.0,12031.0,597418154909,49656846,111,12022.0,12040.0
2023-08-05,12058.0,12059.0,12058.0,12058.0,44272526429,3671609,42,12031.0,12059.0
2023-08-06,12067.0,12068.0,12067.0,12068.0,364237898527,30182292,89,12058.0,12067.0
2023-08-07,12075.0,12076.0,12075.0,12075.0,180449875053,14943625,66,12068.0,12076.0
2023-08-08,12083.0,12084.0,12083.0,12084.0,27712230368,2293306,44,12075.0,12084.0
2023-08-09,12091.0,12095.0,12091.0,12092.0,1863854424002,154139463,245,12084.0,12095.0
2023-08-12,12115.0,12116.0,12115.0,12116.0,49571153105,4091499,42,12092.0,12115.0
2023-08-13,12123.0,12124.0,12123.0,12124.0,101423159149,8365526,32,12116.0,12124.0
2023-08-14,12132.0,12132.0,12131.0,12131.0,1335369387276,110079060,216,12124.0,12131.0
2023-08-15,12139.0,12140.0,12138.0,12139.0,1423963045320,117304908,262,12131.0,12139.0
2023-08-16,12147.0,12150.0,12147.0,12149.0,96907195736,7976845,79,12139.0,12150.0
2023-08-19,12172.0,12173.0,12172.0,12172.0,35635134010,2927601,67,12149.0,12172.0
2023-08-20,12181.0,12181.0,12180.0,12180.0,20774815925,1705634,22,12172.0,12180.0
2023-08-21,12188.0,12189.0,12188.0,12189.0,17343459837,1422906,26,12180.0,12189.0
2023-08-22,12196.0,12197.0,12196.0,12196.0,30813765626,2526466,57,12189.0,12196.0
2023-08-23,12206.0,12210.0,12205.0,12208.0,11716462807,959698,26,12196.0,12210.0
2023-08-26,12230.0,12230.0,12229.0,12230.0,6202993690,507207,36,12208.0,12230.0
2023-08-27,12238.0,12238.0,12237.0,12237.0,14932674441,1220245,27,12230.0,12238.0
2023-08-28,12245.0,12246.0,12245.0,12246.0,52756850623,4308187,44,12237.0,12245.0
2023-08-29,12254.0,12254.0,12253.0,12253.0,608109486787,49628274,129,12246.0,12254.0
2023-08-30,12262.0,12265.0,12262.0,12263.0,102454569253,8354809,64,12253.0,12262.0
2023-09-02,12286.0,12287.0,12286.0,12286.0,153858045327,12523012,58,12263.0,12286.0
2023-09-03,12294.0,12295.0,12294.0,12294.0,133643597520,10870610,38,12286.0,12294.0
2023-09-04,12302.0,12303.0,12302.0,12303.0,37052987569,3011767,37,12294.0,12303.0
2023-09-05,12312.0,12320.0,12312.0,12315.0,536574786837,43570561,157,12303.0,12313.0
2023-09-09,12343.0,12345.0,12343.0,12343.0,591336520770,47907004,152,12315.0,12343.0
2023-09-10,12352.0,12352.0,12351.0,12352.0,804989601532,65172501,170,12343.0,12352.0
2023-09-11,12360.0,12361.0,12360.0,12361.0,2078936828191,168185449,346,12352.0,12360.0
2023-09-12,12368.0,12370.0,12368.0,12368.0,776099328753,62749540,159,12361.0,12369.0
2023-09-13,12382.0,12386.0,12379.0,12382.0,1957917172159,158126801,440,12368.0,12386.0
2023-09-17,12409.0,12410.0,12406.0,12408.0,754456549747,60806244,177,12382.0,12410.0
2023-09-18,12417.0,12417.0,12415.0,12416.0,487246074835,39244568,118,12408.0,12415.0
2023-09-19,12424.0,12425.0,12424.0,12424.0,232835768886,18740767,64,12416.0,12424.0
2023-09-20,12441.0,12442.0,12441.0,12441.0,220804942895,17747836,65,12424.0,12442.0
2023-09-23,12467.0,12468.0,12467.0,12467.0,72982292624,5853952,43,12441.0,12467.0
2023-09-25,12476.0,12477.0,12476.0,12476.0,118412753917,9491003,72,12467.0,12477.0
