date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-12-03,100.0,100.0,100.0,100.0,50040000000,50040,11,100.0,100.0
2013-12-08,100.0,100.0,100.0,100.0,100500000000,100500,11,100.0,100.0
2013-12-09,100.0,100.0,100.0,100.0,249460000000,249460,29,100.0,100.0
2013-12-29,100.0,100.0,100.0,100.0,33370000000,33370,8,100.0,100.0
2013-12-30,100.0,100.0,100.0,100.0,40000000,40,1,100.0,100.0
2014-01-04,100.0,100.0,100.0,100.0,870000000,870,1,100.0,100.0
2014-01-05,100.0,100.0,100.0,100.0,33390000000,33390,1,100.0,100.0
2014-01-12,100.0,100.0,100.0,100.0,14000000000,14000,1,100.0,100.0
2014-01-18,100.0,100.0,100.0,100.0,154890000000,154890,10,100.0,100.0
2014-01-21,100.0,100.0,100.0,100.0,20700000000,20700,6,100.0,100.0
2014-01-22,100.0,100.0,100.0,100.0,9310000000,9310,3,100.0,100.0
2014-01-25,100.0,100.0,100.0,100.0,9850000000,9850,8,100.0,100.0
2014-01-26,100.0,100.0,100.0,100.0,11120000000,11120,8,100.0,100.0
2014-01-27,100.0,100.0,100.0,100.0,3200000000,3200,3,100.0,100.0
2014-01-28,100.0,100.0,100.0,100.0,860000000,860,2,100.0,100.0
2014-01-29,100.0,100.0,100.0,100.0,15060000000,15060,6,100.0,100.0
2014-02-01,100.0,100.0,100.0,100.0,1000000000,1000,3,100.0,100.0
2014-02-02,100.0,100.0,100.0,100.0,1700000000,1700,3,100.0,100.0
2014-02-03,100.0,100.0,100.0,100.0,500000000,500,3,100.0,100.0
2014-02-04,100.0,100.0,100.0,100.0,4400000000,4400,7,100.0,100.0
2014-02-05,100.0,100.0,100.0,100.0,1850000000,1850,10,100.0,100.0
2014-02-08,100.0,100.0,100.0,100.0,1610000000,1610,2,100.0,100.0
2014-02-09,100.0,100.0,100.0,100.0,2400000000,2400,3,100.0,100.0
2014-02-10,100.0,100.0,100.0,100.0,2470000000,2470,5,100.0,100.0
2014-02-12,100.0,100.0,100.0,100.0,4000000000,4000,1,100.0,100.0
2014-02-15,100.0,100.0,100.0,100.0,500000000,500,3,100.0,100.0
2014-02-16,100.0,100.0,100.0,100.0,2290000000,2290,2,100.0,100.0
2014-02-17,100.0,100.0,100.0,100.0,70080000000,70080,3,100.0,100.0
2014-02-18,100.0,100.0,100.0,100.0,800000000,800,1,100.0,100.0
2014-02-22,100.0,100.0,100.0,100.0,10000000000,10000,1,100.0,100.0
2014-02-23,100.0,100.0,100.0,100.0,1350000000,1350,3,100.0,100.0
2014-02-24,100.0,100.0,100.0,100.0,1230000000,1230,3,100.0,100.0
2014-02-25,100.0,100.0,100.0,100.0,2850000000,2850,2,100.0,100.0
2014-02-26,100.0,100.0,100.0,100.0,15000000000,15000,1,100.0,100.0
2014-03-01,100.0,100.0,100.0,100.0,15630000000,15630,13,100.0,100.0
2014-03-04,100.0,100.0,100.0,100.0,2000000000,2000,2,100.0,100.0
2014-03-05,100.0,100.0,100.0,100.0,3000000000,3000,3,100.0,100.0
2014-03-08,100.0,100.0,100.0,100.0,900000000,900,2,100.0,100.0
2014-03-09,100.0,100.0,100.0,100.0,1000000000,1000,4,100.0,100.0
2014-03-11,100.0,100.0,100.0,100.0,470000000,470,2,100.0,100.0
2014-03-12,100.0,100.0,100.0,100.0,150000000000,150000,4,100.0,100.0
2014-03-15,100.0,100.0,100.0,100.0,1700000000,1700,2,100.0,100.0
2014-03-16,100.0,100.0,100.0,100.0,1520000000,1520,4,100.0,100.0
2014-03-17,100.0,100.0,100.0,100.0,900000000,900,4,100.0,100.0
2014-03-18,100.0,100.0,100.0,100.0,1520000000,1520,2,100.0,100.0
2014-03-19,100.0,100.0,100.0,100.0,1000000000,1000,2,100.0,100.0
2014-03-25,100.0,100.0,100.0,100.0,2200000000,2200,1,100.0,100.0
2014-03-30,100.0,100.0,100.0,100.0,3250000000,3250,4,100.0,100.0
2014-04-05,100.0,100.0,100.0,100.0,1500000000,1500,1,100.0,100.0
2014-04-06,100.0,100.0,100.0,100.0,100000000,100,4,100.0,100.0
2014-04-07,100.0,100.0,100.0,100.0,120000000,120,2,100.0,100.0
2014-04-08,100.0,100.0,100.0,100.0,270000000,270,3,100.0,100.0
2014-04-12,100.0,100.0,100.0,100.0,120000000,120,2,100.0,100.0
2014-04-13,100.0,100.0,100.0,100.0,640000000,640,3,100.0,100.0
2014-04-14,100.0,100.0,100.0,100.0,450000000,450,1,100.0,100.0
2014-04-15,100.0,100.0,100.0,100.0,70000000,70,1,100.0,100.0
2014-04-16,100.0,100.0,100.0,100.0,100000000,100,1,100.0,100.0
2014-04-19,100.0,100.0,100.0,100.0,40000000,40,1,100.0,100.0
2014-04-21,100.0,100.0,100.0,100.0,1840000000,1840,4,100.0,100.0
2014-04-22,100.0,100.0,100.0,100.0,2000000000,2000,1,100.0,100.0
2014-04-26,100.0,100.0,100.0,100.0,1250000000,1250,2,100.0,100.0
2014-04-27,100.0,100.0,100.0,100.0,5460000000,5460,6,100.0,100.0
2014-04-28,100.0,100.0,100.0,100.0,1090000000,1090,1,100.0,100.0
2014-04-29,100.0,100.0,100.0,100.0,3870000000,3870,4,100.0,100.0
2014-04-30,100.0,100.0,100.0,100.0,6800000000,6800,3,100.0,100.0
2014-05-03,100.0,100.0,100.0,100.0,1510000000,1510,2,100.0,100.0
2014-05-04,100.0,100.0,100.0,100.0,2970000000,2970,3,100.0,100.0
2014-05-05,100.0,100.0,100.0,100.0,550000000,550,1,100.0,100.0
2014-05-06,100.0,100.0,100.0,100.0,250000000,250,1,100.0,100.0
2014-05-10,100.0,100.0,100.0,100.0,4330000000,4330,3,100.0,100.0
2014-05-14,100.0,100.0,100.0,100.0,300000000,300,1,100.0,100.0
2014-05-17,100.0,100.0,100.0,100.0,200000000,200,1,100.0,100.0
2014-05-18,100.0,100.0,100.0,100.0,140000000,140,1,100.0,100.0
2014-05-19,100.0,100.0,100.0,100.0,140000000,140,1,100.0,100.0
2014-05-20,100.0,100.0,100.0,100.0,510000000,510,4,100.0,100.0
2014-05-24,100.0,100.0,100.0,100.0,320000000,320,2,100.0,100.0
2014-05-28,100.0,100.0,100.0,100.0,30000000,30,1,100.0,100.0
2014-05-31,100.0,100.0,100.0,100.0,400000000,400,1,100.0,100.0
2014-06-03,100.0,100.0,100.0,100.0,13610000000,13610,19,100.0,100.0
2014-06-07,100.0,100.0,100.0,100.0,520000000,520,2,100.0,100.0
2014-06-08,100.0,100.0,100.0,100.0,50000000,50,1,100.0,100.0
2014-06-09,100.0,100.0,100.0,100.0,10400000000,10400,1,100.0,100.0
2014-06-10,100.0,100.0,100.0,100.0,560000000,560,4,100.0,100.0
2014-06-11,100.0,100.0,100.0,100.0,21950000000,21950,10,100.0,100.0
2014-06-14,100.0,100.0,100.0,100.0,20350000000,20350,7,100.0,100.0
2014-06-15,100.0,100.0,100.0,100.0,20000000000,20000,2,100.0,100.0
2014-06-16,100.0,100.0,100.0,100.0,20500000000,20500,3,100.0,100.0
2014-06-17,100.0,100.0,100.0,100.0,23290000000,23290,14,100.0,100.0
2014-06-18,100.0,100.0,100.0,100.0,22330000000,22330,7,100.0,100.0
2014-06-21,100.0,100.0,100.0,100.0,22140000000,22140,11,100.0,100.0
2014-06-22,100.0,100.0,100.0,100.0,1310000000,1310,7,100.0,100.0
2014-06-23,100.0,100.0,100.0,100.0,2600000000,2600,3,100.0,100.0
2014-06-24,100.0,100.0,100.0,100.0,330000000,330,2,100.0,100.0
2014-06-25,100.0,100.0,100.0,100.0,440000000,440,3,100.0,100.0
2014-06-28,100.0,100.0,100.0,100.0,10030000000,10030,8,100.0,100.0
2014-06-29,100.0,100.0,100.0,100.0,3570000000,3570,8,100.0,100.0
2014-06-30,100.0,100.0,100.0,100.0,5600000000,5600,4,100.0,100.0
2014-07-01,100.0,100.0,100.0,100.0,10000000,10,1,100.0,100.0
2014-07-02,100.0,100.0,100.0,100.0,170000000,170,1,100.0,100.0
2014-07-05,100.0,100.0,100.0,100.0,870000000,870,11,100.0,100.0
2014-07-06,100.0,100.0,100.0,100.0,19600000000,19600,7,100.0,100.0
2014-07-07,100.0,100.0,100.0,100.0,14080000000,14080,24,100.0,100.0
2014-07-08,100.0,100.0,100.0,100.0,1250000000,1250,10,100.0,100.0
2014-07-09,100.0,100.0,100.0,100.0,2150000000,2150,5,100.0,100.0
2014-07-12,100.0,100.0,100.0,100.0,8330000000,8330,12,100.0,100.0
