date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-05-29,10000.0,10000.0,10000.0,10000.0,4900000000000,490000000,6924,10000.0,10000.0
2023-06-11,10010.0,10138.0,10000.0,10033.0,713372864696,71105937,5989,10000.0,10003.0
2023-06-12,10020.0,10060.0,9700.0,9910.0,973275436810,98166341,5158,10033.0,9910.0
2023-06-13,10010.0,10340.0,9990.0,10160.0,466110740880,45864395,4437,9910.0,10230.0
2023-06-14,10300.0,10410.0,10030.0,10190.0,697248367020,68415518,5810,10160.0,10070.0
2023-06-17,10050.0,10180.0,10040.0,10090.0,367633751080,36449974,3152,10190.0,10070.0
2023-06-18,10060.0,10110.0,10010.0,10060.0,184596310120,18352164,1987,10090.0,10110.0
2023-06-19,10120.0,10190.0,10050.0,10100.0,143519117130,14216039,2336,10060.0,10070.0
2023-06-20,10060.0,10200.0,10050.0,10120.0,165275105850,16328227,1946,10100.0,10200.0
2023-06-21,10170.0,10310.0,10130.0,10200.0,208916069460,20482936,2893,10120.0,10220.0
2023-06-24,10290.0,10420.0,10090.0,10280.0,298149479910,29007612,2575,10200.0,10420.0
2023-06-25,10450.0,10540.0,10350.0,10440.0,430487480890,41234690,3223,10280.0,10470.0
2023-06-26,10470.0,10750.0,10350.0,10600.0,344868028800,32535454,2892,10440.0,10630.0
2023-06-27,10800.0,10800.0,10210.0,10470.0,381858301480,36460894,3898,10600.0,10260.0
2023-06-28,10270.0,10470.0,10150.0,10350.0,135963372080,13131185,2441,10470.0,10400.0
2023-07-01,10420.0,10500.0,10340.0,10430.0,120750798190,11574223,2312,10350.0,10460.0
2023-07-02,10430.0,10760.0,10420.0,10600.0,231217331500,21812977,2956,10430.0,10710.0
2023-07-03,10700.0,11300.0,10640.0,10960.0,442204389600,40329404,4967,10600.0,11290.0
2023-07-04,11200.0,11460.0,10980.0,11220.0,387833439470,34573327,6734,10960.0,11060.0
2023-07-05,11070.0,11260.0,11050.0,11170.0,225060494770,20142104,4279,11220.0,11180.0
2023-07-08,11210.0,11340.0,11040.0,11190.0,181700463850,16230947,5210,11170.0,11140.0
2023-07-09,11140.0,11220.0,10800.0,10990.0,198733637700,18087707,4609,11190.0,10920.0
2023-07-10,10930.0,10960.0,10480.0,10650.0,220728193370,20733014,4938,10990.0,10530.0
2023-07-11,10540.0,10560.0,10130.0,10290.0,437903712540,42572581,5522,10650.0,10170.0
2023-07-12,10170.0,10400.0,10010.0,10210.0,305260601550,29909017,4071,10290.0,10360.0
2023-07-15,10430.0,10490.0,10130.0,10250.0,566719923440,55312593,5099,10210.0,10180.0
2023-07-16,10210.0,10210.0,9870.0,10000.0,156314832330,15627104,4947,10250.0,9890.0
2023-07-17,9910.0,10150.0,9580.0,9920.0,358923634420,36180611,4820,10000.0,10100.0
2023-07-18,10150.0,10620.0,10060.0,10310.0,688734370050,66774223,6592,9920.0,10430.0
2023-07-19,10400.0,10440.0,9840.0,10180.0,607027304250,59647464,8303,10310.0,9910.0
2023-07-22,9830.0,9830.0,9420.0,9620.0,246697876040,25635642,6491,10180.0,9510.0
2023-07-23,9460.0,9890.0,9460.0,9760.0,344756923540,35308772,4849,9620.0,9850.0
2023-07-24,9870.0,10110.0,9800.0,9970.0,370074973850,37130908,4593,9760.0,9990.0
2023-07-25,10010.0,10090.0,9840.0,9930.0,409787900490,41287110,4316,9970.0,9900.0
2023-07-26,9870.0,10000.0,9760.0,9920.0,271907922630,27421069,3706,9930.0,9960.0
2023-07-29,9950.0,10020.0,9880.0,9930.0,179509029900,18076444,2824,9920.0,9910.0
2023-07-30,9880.0,9940.0,9500.0,9660.0,200665107700,20770401,4846,9930.0,9700.0
2023-07-31,9760.0,9860.0,9670.0,9760.0,249939968640,25599909,3557,9660.0,9860.0
2023-08-01,9890.0,10080.0,9830.0,9980.0,417698537900,41853527,3529,9760.0,10050.0
2023-08-05,10050.0,10240.0,10000.0,10140.0,573551000880,56582074,3732,9980.0,10070.0
2023-08-06,10090.0,10090.0,9950.0,10020.0,230024710890,22951833,2396,10140.0,10000.0
2023-08-07,10000.0,10180.0,9920.0,10010.0,442582003420,44217547,3051,10020.0,9940.0
2023-08-08,9950.0,9970.0,9820.0,9880.0,308416538580,31207543,3258,10010.0,9870.0
2023-08-09,9940.0,9970.0,9800.0,9860.0,280061989330,28405931,2819,9880.0,9840.0
2023-08-12,9770.0,9770.0,9410.0,9530.0,239477818400,25115980,3940,9860.0,9440.0
2023-08-13,9430.0,9700.0,9390.0,9570.0,313692910540,32774993,3212,9530.0,9670.0
2023-08-14,9670.0,9730.0,9350.0,9530.0,404135701090,42422681,4715,9570.0,9400.0
2023-08-15,9430.0,9430.0,9140.0,9230.0,349818482050,37906888,4987,9530.0,9200.0
2023-08-16,9180.0,9250.0,9030.0,9130.0,299321882700,32778108,3609,9230.0,9110.0
2023-08-19,9120.0,9140.0,8810.0,8950.0,304287477920,34012476,4522,9130.0,8830.0
2023-08-20,8840.0,9090.0,8700.0,8910.0,495558550260,55604624,3723,8950.0,9070.0
2023-08-21,9000.0,9080.0,8790.0,8960.0,332064711140,37047690,3418,8910.0,8810.0
2023-08-22,8820.0,8850.0,8570.0,8670.0,476351667180,54917137,4403,8960.0,8740.0
2023-08-23,8750.0,9320.0,8670.0,9000.0,667227838250,74106777,4411,8670.0,9250.0
2023-08-26,9190.0,9780.0,9090.0,9540.0,1118507390960,117249692,5373,9000.0,9570.0
2023-08-27,9600.0,10220.0,9600.0,10040.0,1703060901120,169666172,7936,9540.0,10130.0
2023-08-28,10190.0,10480.0,9890.0,10140.0,1018599788910,100416091,7446,10040.0,9910.0
2023-08-29,10010.0,10370.0,9920.0,10040.0,1043597316870,103985954,6248,10140.0,9960.0
2023-08-30,9920.0,10080.0,9850.0,10000.0,734570570540,73465504,5757,10040.0,10000.0
2023-09-02,10010.0,10100.0,9760.0,9910.0,1087042622600,109693765,6165,10000.0,9840.0
2023-09-03,9840.0,10010.0,9750.0,9900.0,673963153740,68111249,5216,9910.0,9870.0
2023-09-04,9890.0,10530.0,9860.0,10200.0,2515899851430,246639706,7295,9900.0,10500.0
2023-09-05,10580.0,10680.0,10330.0,10480.0,1127304615150,107553024,5482,10200.0,10400.0
2023-09-09,10410.0,10410.0,9990.0,10140.0,553121918040,54535277,5546,10480.0,10020.0
2023-09-10,10000.0,10140.0,9890.0,10010.0,737163713770,73621159,5375,10140.0,9990.0
2023-09-11,9990.0,10100.0,9970.0,10040.0,594865128340,59226268,3743,10010.0,10040.0
2023-09-12,10040.0,10220.0,10040.0,10110.0,1497786652050,148210558,6294,10040.0,10060.0
2023-09-13,10080.0,10190.0,10030.0,10110.0,653310504880,64636164,4328,10110.0,10150.0
2023-09-17,10150.0,10260.0,10150.0,10200.0,645864879190,63311887,4011,10110.0,10210.0
2023-09-18,10230.0,10240.0,10080.0,10140.0,1447403927640,142688943,6036,10200.0,10090.0
2023-09-19,10070.0,10130.0,10000.0,10080.0,1382599209480,137134184,6224,10140.0,10030.0
2023-09-20,10040.0,10050.0,9980.0,10020.0,855499511910,85370924,4111,10080.0,10020.0
