date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-05-07,1500.0,1500.0,1500.0,1500.0,1500000,1000,1,0.0,1500.0
2001-06-02,1575.0,1575.0,1575.0,1575.0,1575000,1000,1,1500.0,1575.0
2001-06-11,1653.0,1653.0,1653.0,1653.0,1653000,1000,2,1575.0,1653.0
2001-06-13,1735.0,1735.0,1735.0,1735.0,1735000,1000,2,1653.0,1735.0
2001-06-16,1821.0,1821.0,1821.0,1821.0,1821000,1000,1,1735.0,1821.0
2001-06-17,1912.0,1912.0,1912.0,1912.0,1912000,1000,1,1821.0,1912.0
2001-06-18,2007.0,2007.0,2007.0,2007.0,2007000,1000,1,1912.0,2007.0
2001-06-23,2107.0,2107.0,2107.0,2107.0,2107000,1000,1,2007.0,2107.0
2001-06-25,2212.0,2212.0,2212.0,2212.0,4424000,2000,2,2107.0,2212.0
2001-06-26,2322.0,2322.0,2322.0,2322.0,11610000,5000,3,2212.0,2322.0
2001-07-01,2438.0,2438.0,2438.0,2438.0,12190000,5000,1,2322.0,2438.0
2001-07-02,2559.0,2559.0,2559.0,2559.0,12795000,5000,1,2438.0,2559.0
2001-07-03,2686.0,2686.0,2686.0,2686.0,13430000,5000,3,2559.0,2686.0
2001-07-04,2820.0,2820.0,2820.0,2820.0,23970000,8500,5,2686.0,2820.0
2001-07-07,2961.0,2961.0,2961.0,2961.0,135302895,45695,20,2820.0,2961.0
2001-07-09,3035.0,3035.0,3035.0,3035.0,6373500,2100,3,2961.0,3035.0
2001-07-10,3110.0,3110.0,3040.0,3110.0,36056600,11595,10,3035.0,3110.0
2001-07-11,3187.0,3187.0,3187.0,3187.0,31870000,10000,4,3110.0,3187.0
2001-07-14,3195.0,3200.0,3190.0,3191.0,92940225,29100,26,3187.0,3191.0
2001-07-15,3191.0,3200.0,3191.0,3200.0,19367301,6054,8,3191.0,3200.0
2001-07-16,3200.0,3200.0,3200.0,3200.0,10083200,3151,6,3200.0,3200.0
2001-07-18,3200.0,3200.0,3200.0,3200.0,6400000,2000,1,3200.0,3200.0
2001-07-22,3196.0,3196.0,3196.0,3196.0,3470856,1086,1,3200.0,3196.0
2001-07-25,3140.0,3140.0,3140.0,3140.0,11241200,3580,3,3196.0,3140.0
2001-07-29,3062.0,3096.0,3062.0,3096.0,38297908,12479,5,3140.0,3096.0
2001-07-30,3062.0,3062.0,3062.0,3062.0,263332,86,1,3096.0,3062.0
2001-08-08,2910.0,2910.0,2910.0,2910.0,5820000,2000,1,3062.0,2910.0
2001-08-13,2898.0,2899.0,2898.0,2899.0,14492000,5000,2,2910.0,2899.0
2001-08-20,2879.0,2879.0,2879.0,2879.0,2141976,744,1,2899.0,2879.0
2001-08-22,2880.0,2880.0,2880.0,2880.0,3885120,1349,1,2879.0,2880.0
2001-08-25,2890.0,2897.0,2890.0,2897.0,24541760,8480,7,2880.0,2897.0
2001-11-25,3018.0,3018.0,3018.0,3018.0,2975748,986,2,2897.0,3018.0
2001-12-17,2800.0,2800.0,2800.0,2800.0,2800000,1000,1,3018.0,2800.0
2001-12-26,2730.0,2730.0,2730.0,2730.0,1365000,500,1,2800.0,2730.0
2002-01-02,2662.0,2662.0,2662.0,2662.0,11180400,4200,5,2730.0,2662.0
2002-01-05,2662.0,2662.0,2662.0,2662.0,36110030,13565,4,2662.0,2662.0
2002-01-12,2596.0,2596.0,2596.0,2596.0,3138564,1209,3,2662.0,2596.0
2002-01-13,2596.0,2596.0,2596.0,2596.0,649000,250,1,2596.0,2596.0
2002-03-10,2000.0,2000.0,2000.0,2000.0,2000000,1000,1,2596.0,2000.0
2002-03-11,2005.0,2005.0,2005.0,2005.0,904255,451,1,2000.0,2005.0
2002-03-16,2005.0,2005.0,2005.0,2005.0,5012500,2500,3,2005.0,2005.0
2002-03-17,2006.0,2007.0,2006.0,2007.0,2508500,1250,2,2005.0,2007.0
2002-03-31,2050.0,2050.0,2050.0,2050.0,2451800,1196,3,2007.0,2050.0
2002-04-07,2050.0,2050.0,2050.0,2050.0,8200000,4000,1,2050.0,2050.0
2002-04-13,2050.0,2050.0,2050.0,2050.0,26391700,12874,2,2050.0,2050.0
2002-04-22,2100.0,2100.0,2100.0,2100.0,5386500,2565,1,2050.0,2100.0
2002-04-27,2110.0,2110.0,2110.0,2110.0,350260,166,1,2100.0,2110.0
2002-04-28,2150.0,2151.0,2150.0,2151.0,5375500,2500,2,2110.0,2151.0
2002-04-30,2258.0,2258.0,2258.0,2258.0,7903000,3500,1,2151.0,2258.0
2002-05-01,2370.0,2370.0,2370.0,2370.0,9776250,4125,2,2258.0,2370.0
2002-05-06,2488.0,2488.0,2488.0,2488.0,7464000,3000,1,2370.0,2488.0
2002-05-08,2612.0,2612.0,2612.0,2612.0,13060000,5000,1,2488.0,2612.0
2002-05-15,2730.0,2730.0,2614.0,2730.0,6348280,2336,3,2612.0,2730.0
2002-05-18,2800.0,2800.0,2800.0,2800.0,5600000,2000,1,2730.0,2800.0
2002-05-19,2800.0,2800.0,2800.0,2800.0,392000,140,1,2800.0,2800.0
2002-05-22,2800.0,2800.0,2800.0,2800.0,4961600,1772,1,2800.0,2800.0
2002-06-02,1201.0,1201.0,1201.0,1201.0,1201000,1000,1,2800.0,1201.0
2002-06-29,1261.0,1261.0,1261.0,1261.0,18915000,15000,3,1201.0,1261.0
2002-08-31,1500.0,1500.0,1500.0,1500.0,7500000,5000,1,1261.0,1500.0
2002-09-04,1575.0,1575.0,1575.0,1575.0,3150000,2000,1,1500.0,1575.0
2002-09-07,1653.0,1653.0,1653.0,1653.0,198360,120,1,1575.0,1653.0
2002-09-15,1655.0,1655.0,1655.0,1655.0,711650,430,3,1653.0,1655.0
2002-09-18,1655.0,1655.0,1655.0,1655.0,496500,300,1,1655.0,1655.0
2002-10-14,1573.0,1573.0,1573.0,1573.0,25168000,16000,2,1655.0,1573.0
2002-10-30,1584.0,1584.0,1584.0,1584.0,5083056,3209,2,1573.0,1584.0
2002-12-10,1663.0,1663.0,1663.0,1663.0,2946836,1772,6,1584.0,1663.0
2002-12-14,1746.0,1746.0,1746.0,1746.0,520308,298,1,1663.0,1746.0
2002-12-22,1833.0,1833.0,1833.0,1833.0,845013,461,1,1746.0,1833.0
2002-12-31,1924.0,1924.0,1924.0,1924.0,579124,301,1,1833.0,1924.0
2003-01-07,2020.0,2020.0,2020.0,2020.0,11596820,5741,1,1924.0,2020.0
2003-01-08,2121.0,2121.0,2121.0,2121.0,634179,299,1,2020.0,2121.0
2003-02-25,1500.0,2000.0,1500.0,2000.0,1900000,1000,2,2121.0,2000.0
2003-03-02,1900.0,1900.0,1900.0,1900.0,5700000,3000,1,2000.0,1900.0
