date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-09-30,9250.0,9290.0,8788.0,8881.0,1043195182439,117469518,35982,1000.0,8789.0
2020-10-03,8680.0,9060.0,8440.0,8673.0,1119551869799,129084030,40136,8881.0,8555.0
2020-10-04,8460.0,8490.0,8240.0,8259.0,389841764970,47202040,12126,8673.0,8240.0
2020-10-05,7847.0,7847.0,7847.0,7847.0,29077858894,3705602,685,8259.0,7847.0
2020-10-07,8050.0,8239.0,7650.0,8184.0,837077876849,102282348,26517,7847.0,8239.0
2020-10-10,8000.0,8450.0,7850.0,8126.0,488778747144,60146938,20133,8184.0,8060.0
2020-10-11,8000.0,8400.0,7880.0,8123.0,713777009526,87874557,21561,8126.0,7900.0
2020-10-12,7850.0,7950.0,7717.0,7770.0,282464520587,36355168,8183,8123.0,7717.0
2020-10-13,7560.0,8000.0,7400.0,7704.0,257615436797,33439377,9400,7770.0,7570.0
2020-10-14,7500.0,7520.0,7319.0,7336.0,170687809740,23266754,4498,7704.0,7319.0
2020-10-18,7040.0,7210.0,6970.0,6976.0,339388683419,48648287,10607,7336.0,6973.0
2020-10-19,6628.0,6700.0,6628.0,6628.0,581633944263,87751082,12022,6976.0,6628.0
2020-10-20,6481.0,6694.0,6298.0,6463.0,235512173174,36439446,10830,6628.0,6640.0
2020-10-21,6786.0,6786.0,6510.0,6769.0,521255272475,77004888,13431,6463.0,6786.0
2020-10-24,6750.0,6760.0,6431.0,6447.0,330641467307,51289315,7336,6769.0,6432.0
2020-10-26,6125.0,6397.0,6125.0,6214.0,313523581126,50455508,11888,6447.0,6350.0
2020-10-27,6225.0,6501.0,6006.0,6115.0,273691921579,44755008,9887,6214.0,6158.0
2020-10-28,6105.0,6420.0,5982.0,6332.0,432807489904,68347832,13198,6115.0,6420.0
2020-10-31,6477.0,6648.0,6300.0,6614.0,314411363429,47538164,9982,6332.0,6545.0
2020-11-01,6420.0,6500.0,6284.0,6306.0,180557521880,28634117,5786,6614.0,6300.0
2020-11-02,6050.0,6300.0,6001.0,6128.0,205154232119,33478755,7320,6306.0,6101.0
2020-11-04,6375.0,6434.0,6128.0,6425.0,194741018837,30307807,6405,6128.0,6434.0
2020-11-07,6104.0,6287.0,6104.0,6109.0,60132538680,9843872,805,6425.0,6104.0
2020-11-08,5804.0,5900.0,5804.0,5805.0,556220939700,95821353,7424,6109.0,5890.0
2020-11-09,5702.0,5901.0,5526.0,5673.0,159719216479,28152434,6929,5805.0,5660.0
2020-11-10,5610.0,5850.0,5390.0,5530.0,230172126174,41624086,7593,5673.0,5440.0
2020-11-11,5400.0,5699.0,5283.0,5440.0,205323347523,37740448,7994,5530.0,5600.0
2020-11-14,5540.0,5712.0,5500.0,5693.0,212080214602,37253359,6826,5440.0,5712.0
2020-11-15,5900.0,5900.0,5412.0,5761.0,779391146136,135280899,12661,5693.0,5762.0
2020-11-16,5531.0,5900.0,5500.0,5768.0,717611320972,124407498,15672,5761.0,5725.0
2020-11-17,5580.0,5860.0,5580.0,5767.0,581363951019,100811066,21934,5768.0,5790.0
2020-11-18,5860.0,6055.0,5790.0,5999.0,964342235648,160740326,22855,5767.0,6055.0
2020-11-21,6190.0,6190.0,5700.0,5941.0,412124136968,69364731,11881,5999.0,5761.0
2020-11-22,5710.0,5909.0,5644.0,5813.0,157230879448,27046526,5615,5941.0,5850.0
2020-11-23,5701.0,6050.0,5701.0,5823.0,150563142843,25855820,6709,5813.0,5825.0
2020-11-24,5760.0,5830.0,5582.0,5712.0,147845073468,25884895,6983,5823.0,5603.0
2020-11-25,5560.0,5748.0,5516.0,5640.0,149774295073,26554058,7495,5712.0,5700.0
2020-11-28,5525.0,5900.0,5525.0,5725.0,245926278871,42956971,10981,5640.0,5870.0
2020-11-29,5900.0,6011.0,5801.0,6005.0,393965579504,65606969,7881,5725.0,6011.0
2020-11-30,6298.0,6305.0,6111.0,6303.0,299444098181,47507648,7837,6005.0,6305.0
2020-12-01,6500.0,6618.0,6120.0,6549.0,736130003834,112397657,19240,6303.0,6484.0
2020-12-02,6410.0,6648.0,6250.0,6416.0,702256916959,109457139,29174,6549.0,6465.0
2021-07-07,7300.0,7300.0,7200.0,7292.0,95245300,13061,14,6416.0,7200.0
2021-07-10,7656.0,7656.0,6928.0,7025.0,1888340198,268815,79,7292.0,6928.0
2021-07-11,7350.0,7350.0,6674.0,6760.0,14542283157,2151165,256,7025.0,6674.0
2021-07-12,6850.0,6850.0,6422.0,6457.0,91442703659,14160837,615,6760.0,6422.0
2021-07-13,6600.0,6779.0,6135.0,6156.0,1604628377191,260670329,4064,6457.0,6600.0
2021-07-14,6463.0,6463.0,6463.0,6463.0,323150000000,50000000,538,6156.0,6463.0
2021-07-17,6786.0,6786.0,6786.0,6786.0,339300000000,50000000,265,6463.0,6786.0
2021-07-18,7125.0,7125.0,6650.0,6719.0,335958792114,50000000,936,6786.0,6650.0
2021-07-19,7054.0,7054.0,7054.0,7054.0,310062153432,43955508,611,6719.0,7054.0
2022-04-26,2520.0,2520.0,2520.0,2520.0,67999611960,26983973,1057,7054.0,2520.0
2022-04-27,2558.0,2575.0,2450.0,2501.0,343786100477,137455623,16795,2520.0,2513.0
2022-04-30,2477.0,2540.0,2419.0,2459.0,176480086383,71776036,8332,2501.0,2431.0
2022-05-01,2439.0,2439.0,2340.0,2365.0,132799834019,56149828,6838,2459.0,2363.0
2022-05-02,2360.0,2393.0,2312.0,2354.0,98837025581,41993949,5540,2365.0,2355.0
2022-05-07,2362.0,2393.0,2320.0,2339.0,129737359733,55459811,6504,2354.0,2330.0
2022-05-08,2330.0,2358.0,2291.0,2317.0,152257034890,65717794,7542,2339.0,2339.0
2022-05-09,2330.0,2367.0,2283.0,2318.0,109799001889,47368456,4890,2317.0,2305.0
2022-05-10,2302.0,2330.0,2261.0,2280.0,154209378042,67621871,4995,2318.0,2305.0
2022-05-11,2305.0,2416.0,2303.0,2379.0,144372191459,60683626,5623,2280.0,2416.0
2022-05-14,2490.0,2490.0,2382.0,2431.0,112904195897,46437710,4702,2379.0,2462.0
2022-05-15,2460.0,2488.0,2386.0,2437.0,86801078600,35616552,4320,2431.0,2480.0
2022-05-16,2438.0,2520.0,2437.0,2496.0,96999798291,38867380,7055,2437.0,2515.0
2022-05-17,2506.0,2558.0,2492.0,2516.0,93132442839,37017810,4302,2496.0,2510.0
2022-05-18,2500.0,2500.0,2447.0,2462.0,59773970416,24279553,3858,2516.0,2450.0
2022-05-21,2416.0,2462.0,2404.0,2419.0,48415617271,20012599,2226,2462.0,2420.0
2022-05-22,2440.0,2450.0,2397.0,2423.0,61564529250,25406720,2326,2419.0,2435.0
2022-05-23,2428.0,2449.0,2282.0,2338.0,99992695165,42777485,2611,2423.0,2340.0
2022-05-24,2301.0,2370.0,2300.0,2340.0,34099301060,14572235,1890,2338.0,2350.0
2022-05-25,2350.0,2387.0,2331.0,2353.0,55678591104,23660734,2299,2340.0,2379.0
2022-05-28,2341.0,2371.0,2300.0,2320.0,42589675964,18358765,1883,2353.0,2310.0
2022-05-29,2339.0,2339.0,2261.0,2285.0,40870357136,17887712,1815,2320.0,2309.0
2022-05-30,2322.0,2330.0,2286.0,2299.0,28186514445,12259268,1971,2285.0,2305.0
2022-05-31,2301.0,2323.0,2291.0,2310.0,35068975494,15179939,1765,2299.0,2311.0
2022-06-01,2300.0,2349.0,2280.0,2305.0,24342121166,10559378,1636,2310.0,2300.0
2022-06-06,2350.0,2350.0,2216.0,2240.0,48093594501,21472162,1935,2305.0,2228.0
2022-06-07,2220.0,2274.0,2206.0,2239.0,39858773478,17802189,1931,2240.0,2270.0
2022-06-08,2240.0,2271.0,2220.0,2239.0,28799057919,12861897,1604,2239.0,2248.0
2022-06-11,2230.0,2240.0,2200.0,2214.0,45454160884,20534659,1984,2239.0,2223.0
2022-06-12,2222.0,2320.0,2200.0,2259.0,85610933227,37903739,2820,2214.0,2319.0
2022-06-13,2320.0,2394.0,2305.0,2370.0,86339170456,36436384,2702,2259.0,2365.0
2022-06-14,2333.0,2410.0,2306.0,2387.0,80661331736,33790132,2469,2370.0,2360.0
2022-06-15,2341.0,2410.0,2316.0,2373.0,49819350857,20996594,1831,2387.0,2399.0
2022-06-18,2367.0,2367.0,2288.0,2304.0,62870029075,27286743,2263,2373.0,2307.0
2022-06-19,2295.0,2316.0,2280.0,2293.0,78404150017,34192406,2690,2304.0,2300.0
2022-06-20,2300.0,2313.0,2260.0,2284.0,101205048084,44301563,3324,2293.0,2266.0
2022-06-21,2278.0,2278.0,2231.0,2249.0,108827767152,48381464,4095,2284.0,2252.0
2022-06-22,2227.0,2250.0,2200.0,2217.0,158990714239,71726937,6352,2249.0,2223.0
2022-09-13,2700.0,2700.0,2700.0,2700.0,904626900,335047,13,2217.0,2700.0
2022-09-14,2835.0,2835.0,2565.0,2599.0,521961546,200810,25,2700.0,2565.0
2022-09-18,2500.0,2500.0,2470.0,2473.0,191363360,77368,18,2599.0,2470.0
2022-09-19,2596.0,2596.0,2350.0,2355.0,5413016804,2298047,75,2473.0,2350.0
2022-09-20,2260.0,2260.0,2238.0,2238.0,2220792236,992162,73,2355.0,2238.0
2022-09-21,2200.0,2349.0,2127.0,2127.0,366656517475,172378294,1556,2238.0,2127.0
2022-09-24,2210.0,2210.0,2021.0,2022.0,24266869675,12000000,230,2127.0,2021.0
2022-09-26,2123.0,2123.0,1980.0,1992.0,439599720207,220666125,1790,2022.0,2080.0
2022-09-28,2091.0,2091.0,2010.0,2037.0,120438825073,59112541,640,1992.0,2091.0
2022-10-01,2138.0,2138.0,2030.0,2067.0,11929738150,5772162,71,2037.0,2070.0
2022-10-02,2110.0,2110.0,2020.0,2020.0,14120063380,6989033,62,2067.0,2020.0
2023-07-08,1983.0,1983.0,1888.0,1976.0,13339107485,6750412,538,2020.0,1920.0
2023-07-09,1900.0,1910.0,1878.0,1883.0,308443738976,163825314,11081,1976.0,1894.0
2023-07-10,1855.0,1930.0,1855.0,1884.0,62424230563,33141581,3858,1883.0,1869.0
2023-07-11,1888.0,1888.0,1810.0,1831.0,30519378530,16671090,2626,1884.0,1820.0
2023-07-12,1812.0,1821.0,1740.0,1798.0,40583012256,22570895,2190,1831.0,1807.0
2023-07-15,1766.0,1886.0,1766.0,1842.0,26433675619,14348256,2123,1798.0,1826.0
2023-07-16,1840.0,1840.0,1770.0,1790.0,20555115800,11482111,1554,1842.0,1783.0
2023-07-17,1771.0,1783.0,1701.0,1717.0,27899516808,16247563,1617,1790.0,1783.0
2023-07-18,1772.0,1802.0,1760.0,1779.0,21555231696,12116222,1834,1717.0,1802.0
2023-07-19,1777.0,1820.0,1771.0,1793.0,16186007238,9026569,2064,1779.0,1790.0
2023-07-22,1765.0,1765.0,1706.0,1720.0,8585840596,4991603,956,1793.0,1726.0
2023-07-23,1711.0,1757.0,1702.0,1722.0,10622095860,6166896,1004,1720.0,1729.0
2023-07-24,1731.0,1776.0,1706.0,1744.0,8002503265,4587947,1131,1722.0,1744.0
2023-07-25,1731.0,1775.0,1725.0,1745.0,8587632756,4920254,934,1744.0,1730.0
2023-07-26,1722.0,1769.0,1720.0,1750.0,5375376205,3071095,808,1745.0,1751.0
2023-07-29,1723.0,1769.0,1723.0,1747.0,7410568455,4242658,885,1750.0,1750.0
2023-07-30,1740.0,1740.0,1711.0,1721.0,9825377201,5710626,811,1747.0,1722.0
2023-07-31,1731.0,1757.0,1721.0,1742.0,6510422852,3736749,877,1721.0,1737.0
2023-08-01,1741.0,1779.0,1740.0,1753.0,10003374338,5705757,1014,1742.0,1767.0
2023-08-05,1777.0,1815.0,1758.0,1794.0,13132825458,7322319,1228,1753.0,1802.0
2023-08-06,1797.0,1829.0,1771.0,1802.0,12775512105,7090678,1097,1794.0,1817.0
2023-08-07,1797.0,1860.0,1797.0,1841.0,17709413859,9622039,1843,1802.0,1840.0
2023-08-08,1840.0,1860.0,1812.0,1832.0,14997590604,8186917,1027,1841.0,1830.0
2023-08-09,1816.0,1873.0,1816.0,1846.0,22104238560,11974011,1138,1832.0,1843.0
2023-08-12,1820.0,1821.0,1771.0,1782.0,6662963282,3738075,690,1846.0,1787.0
2023-08-13,1772.0,1800.0,1760.0,1786.0,18988962455,10631984,917,1782.0,1793.0
2023-08-14,1805.0,1840.0,1805.0,1827.0,9387927218,5139101,1269,1786.0,1833.0
2023-08-15,1831.0,1841.0,1806.0,1823.0,13920351357,7634907,1279,1827.0,1835.0
2023-08-16,1819.0,1849.0,1819.0,1834.0,9275003466,5057846,1842,1823.0,1842.0
2023-08-19,1830.0,1841.0,1798.0,1803.0,62648258709,34741042,1381,1834.0,1800.0
2023-08-20,1795.0,1800.0,1776.0,1796.0,43586883676,24269988,1186,1803.0,1795.0
2023-08-21,1781.0,1815.0,1781.0,1800.0,22958717342,12755180,1151,1796.0,1795.0
2023-08-22,1800.0,1808.0,1777.0,1797.0,33731993002,18775848,1020,1800.0,1791.0
2023-08-23,1778.0,1830.0,1771.0,1789.0,25686435877,14356987,1070,1797.0,1830.0
2023-08-26,1791.0,1878.0,1790.0,1865.0,34190429042,18328539,1764,1789.0,1878.0
2023-08-27,1879.0,1958.0,1879.0,1953.0,79374367605,40651590,1958,1865.0,1958.0
2023-08-28,2000.0,2040.0,1962.0,2009.0,32724795587,16292589,1917,1953.0,2025.0
2023-08-29,2000.0,2027.0,1958.0,1994.0,24875642012,12474810,1691,2009.0,1990.0
2023-08-30,1958.0,2000.0,1958.0,1981.0,21134276076,10669815,2759,1994.0,1977.0
2023-09-02,1961.0,1980.0,1911.0,1939.0,38605672423,19908396,3312,1981.0,1942.0
2023-11-06,1990.0,1991.0,1990.0,1990.0,17761848610,8925239,72,1939.0,1990.0
2023-11-07,2020.0,2080.0,1980.0,2000.0,372030538025,186000000,1762,1990.0,2080.0
2023-11-08,2080.0,2080.0,1990.0,1996.0,105447321397,52823462,505,2000.0,2040.0
2023-11-11,2095.0,2095.0,2000.0,2009.0,43971820194,21890488,252,1996.0,2060.0
2023-11-12,2109.0,2109.0,2030.0,2045.0,9773939000,4779784,85,2009.0,2050.0
2023-11-13,2090.0,2090.0,2050.0,2065.0,2099334678,1016401,49,2045.0,2050.0
