date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-08-26,10000.0,10000.0,10000.0,10000.0,19740500000,1974050,580,10000.0,10000.0
2023-08-27,10000.0,10000.0,10000.0,10000.0,21066210000,2106621,610,10000.0,10000.0
2023-08-28,10000.0,10000.0,10000.0,10000.0,19244670000,1924467,362,10000.0,10000.0
2023-08-29,10000.0,10000.0,10000.0,10000.0,12951580000,1295158,215,10000.0,10000.0
2023-08-30,10000.0,10000.0,10000.0,10000.0,32635970000,3263597,319,10000.0,10000.0
2023-10-14,10000.0,10000.0,9850.0,9900.0,1082143850,109330,54,10000.0,9860.0
2023-10-15,9850.0,10890.0,9700.0,10070.0,9438609260,937250,210,9900.0,10800.0
2023-10-16,10070.0,11040.0,9620.0,9920.0,12241384150,1234135,279,10070.0,9790.0
2023-10-17,9800.0,9870.0,9560.0,9690.0,3404155140,351415,186,9920.0,9610.0
2023-10-18,9520.0,9520.0,9310.0,9440.0,2147871690,227549,109,9690.0,9490.0
2023-10-21,9420.0,9520.0,9400.0,9440.0,1244535750,131855,51,9440.0,9500.0
2023-10-22,9440.0,9470.0,9440.0,9450.0,869665420,92063,40,9440.0,9460.0
2023-10-23,9550.0,9550.0,9380.0,9440.0,3424055970,362828,48,9450.0,9380.0
2023-10-24,9440.0,9440.0,9370.0,9400.0,825009730,87813,32,9440.0,9380.0
2023-10-25,9490.0,10090.0,9300.0,9570.0,5332554080,557207,102,9400.0,9930.0
2023-10-28,10050.0,10050.0,8780.0,9090.0,7689953360,845780,135,9570.0,9000.0
2023-10-29,9000.0,9900.0,9000.0,9260.0,2712478970,292848,63,9090.0,9490.0
2023-10-30,9430.0,9670.0,9430.0,9570.0,2525310070,264008,46,9260.0,9670.0
2023-10-31,9700.0,9740.0,9500.0,9580.0,1107439520,115588,36,9570.0,9500.0
2023-11-01,9590.0,9890.0,9210.0,9550.0,2183339030,228718,44,9580.0,9560.0
2023-11-04,9730.0,10000.0,9670.0,9840.0,5740782950,583364,56,9550.0,9970.0
2023-11-05,9900.0,10040.0,9810.0,9900.0,1692055620,171000,28,9840.0,9870.0
2023-11-06,9990.0,10010.0,9860.0,9980.0,818686110,82039,40,9900.0,10000.0
2023-11-07,10000.0,10210.0,9910.0,10120.0,2600814760,257005,63,9980.0,10150.0
2023-11-08,10060.0,10190.0,10000.0,10040.0,1992775260,198538,31,10120.0,10000.0
2023-11-11,10000.0,10070.0,9920.0,10030.0,2305366690,229940,53,10040.0,9980.0
2023-11-12,9920.0,10050.0,9900.0,9910.0,624890820,63053,15,10030.0,9900.0
2023-11-13,9900.0,10090.0,9870.0,9960.0,3180670900,319359,26,9910.0,9870.0
2023-11-14,9950.0,9950.0,9900.0,9920.0,564211220,56882,25,9960.0,9910.0
2023-11-15,9820.0,9910.0,9810.0,9820.0,194195440,19784,23,9920.0,9810.0
2023-11-18,9820.0,9980.0,9800.0,9820.0,1462712430,148894,28,9820.0,9800.0
2023-11-19,9810.0,9820.0,9810.0,9820.0,47741030,4863,6,9820.0,9810.0
2023-11-20,9820.0,9830.0,9810.0,9810.0,350702770,35741,27,9820.0,9810.0
2023-11-21,9810.0,9830.0,9810.0,9810.0,512703310,52252,34,9810.0,9810.0
2023-11-22,9810.0,10050.0,9650.0,9860.0,2483110660,251810,42,9810.0,9790.0
2023-11-25,9820.0,9910.0,9810.0,9820.0,472849990,48154,17,9860.0,9910.0
2023-11-26,9820.0,9830.0,9820.0,9820.0,58458820,5951,9,9820.0,9820.0
2023-11-27,9810.0,9990.0,9810.0,9880.0,330356140,33430,23,9820.0,9810.0
2023-11-28,9840.0,9990.0,9820.0,9900.0,223553730,22590,21,9880.0,9990.0
2023-11-29,10020.0,10110.0,9890.0,10030.0,2338034980,233097,53,9900.0,10030.0
2023-12-02,10140.0,10140.0,9950.0,10080.0,3736814020,370698,42,10030.0,10100.0
2023-12-03,10090.0,10550.0,10090.0,10290.0,2321550880,225693,80,10080.0,10540.0
2023-12-04,10450.0,10650.0,10450.0,10520.0,2919572110,277463,42,10290.0,10510.0
2023-12-05,10400.0,10450.0,10020.0,10400.0,2580483140,248242,28,10520.0,10380.0
2023-12-06,10350.0,10370.0,10300.0,10340.0,1020458280,98682,15,10400.0,10310.0
2023-12-09,10270.0,10270.0,10250.0,10250.0,194895790,19014,9,10340.0,10250.0
2023-12-10,10260.0,10300.0,10260.0,10270.0,161746100,15753,11,10250.0,10300.0
2023-12-11,10270.0,10410.0,10270.0,10350.0,414077900,39994,16,10270.0,10350.0
2023-12-12,10550.0,10550.0,10400.0,10550.0,535253660,50744,9,10350.0,10490.0
2023-12-13,10410.0,10500.0,10400.0,10400.0,239835340,23060,9,10550.0,10500.0
2023-12-16,10350.0,10540.0,10350.0,10400.0,212677680,20454,15,10400.0,10510.0
2023-12-18,10480.0,10860.0,10480.0,10660.0,2639372930,247681,54,10400.0,10680.0
2023-12-19,10680.0,10690.0,10650.0,10660.0,233734120,21929,21,10660.0,10660.0
2023-12-20,10660.0,10690.0,10500.0,10610.0,34299200,3232,8,10660.0,10690.0
2023-12-23,10680.0,10700.0,10500.0,10650.0,403145890,37840,21,10610.0,10620.0
2023-12-24,10840.0,10840.0,10650.0,10670.0,617523160,57896,14,10650.0,10650.0
2023-12-25,10670.0,10880.0,10670.0,10680.0,77062480,7214,9,10670.0,10670.0
2023-12-26,10670.0,10680.0,10400.0,10670.0,902183180,84590,15,10680.0,10400.0
2023-12-27,10650.0,10700.0,10650.0,10650.0,195408210,18347,13,10670.0,10700.0
2023-12-30,10610.0,10990.0,10610.0,10760.0,1327108860,123300,20,10650.0,10710.0
2023-12-31,10760.0,10950.0,10760.0,10800.0,62718940,5805,15,10760.0,10770.0
2024-01-01,10750.0,10760.0,10700.0,10740.0,543512270,50622,16,10800.0,10710.0
2024-01-02,10720.0,10720.0,10700.0,10710.0,53743850,5018,9,10740.0,10700.0
2024-01-03,10750.0,10860.0,10710.0,10800.0,188906430,17485,12,10710.0,10710.0
2024-01-06,10710.0,10720.0,10710.0,10710.0,36084420,3368,7,10800.0,10720.0
2024-01-07,10900.0,10900.0,10720.0,10860.0,162401040,14952,17,10710.0,10870.0
2024-01-08,10870.0,10880.0,10860.0,10870.0,731132240,67284,10,10860.0,10860.0
2024-01-09,11000.0,11000.0,10870.0,10900.0,107099240,9825,8,10870.0,10870.0
2024-01-10,10900.0,11100.0,10900.0,11000.0,21509500,1955,3,10900.0,10900.0
2024-01-13,11220.0,11220.0,10400.0,10970.0,1031737200,94023,20,11000.0,10910.0
2024-01-14,10900.0,10990.0,10900.0,10940.0,59714660,5459,11,10970.0,10940.0
2024-01-15,11090.0,11090.0,10900.0,10910.0,964353850,88391,11,10940.0,10900.0
2024-01-16,10800.0,10820.0,10800.0,10800.0,754358000,69845,18,10910.0,10800.0
2024-01-17,10980.0,10980.0,10980.0,10980.0,66209400,6030,5,10800.0,10980.0
2024-01-20,10910.0,10910.0,10900.0,10900.0,570756100,52361,14,10980.0,10910.0
2024-01-21,10800.0,10820.0,10800.0,10810.0,180158500,16665,10,10900.0,10810.0
2024-01-22,10700.0,10730.0,10650.0,10680.0,186786570,17493,18,10810.0,10660.0
2024-01-23,10630.0,10640.0,10620.0,10630.0,88211380,8299,6,10680.0,10640.0
2024-01-24,10750.0,10770.0,10740.0,10750.0,22893510,2129,7,10630.0,10770.0
2024-01-27,10900.0,10920.0,10900.0,10910.0,619879380,56818,11,10750.0,10910.0
2024-01-28,10910.0,11050.0,10910.0,11000.0,104256230,9474,9,10910.0,11040.0
2024-01-29,10950.0,10950.0,10750.0,10930.0,853605850,78126,15,11000.0,10750.0
2024-01-30,10780.0,10780.0,10700.0,10730.0,171893250,16025,17,10930.0,10720.0
2024-01-31,10690.0,10690.0,10680.0,10680.0,146432800,13710,4,10730.0,10680.0
2024-02-03,10830.0,10830.0,10710.0,10720.0,42789720,3992,8,10680.0,10770.0
2024-02-04,10760.0,10850.0,10730.0,10800.0,15684780,1452,5,10720.0,10730.0
2024-02-05,10990.0,10990.0,10810.0,10820.0,35823900,3310,14,10800.0,10810.0
2024-02-06,10800.0,11090.0,10800.0,11020.0,861163140,78123,24,10820.0,11090.0
2024-02-07,11200.0,11200.0,11020.0,11030.0,2792171260,253084,34,11020.0,11030.0
2024-02-10,11030.0,11340.0,11030.0,11280.0,1106121080,98065,28,11030.0,11180.0
2024-02-12,11200.0,11200.0,11130.0,11140.0,1332547540,119633,16,11280.0,11200.0
2024-02-13,11140.0,11290.0,11100.0,11270.0,499700120,44350,19,11140.0,11290.0
2024-02-14,11100.0,11370.0,11090.0,11280.0,1752619480,155398,18,11270.0,11310.0
2024-02-17,11300.0,11500.0,11300.0,11430.0,3138452440,274604,36,11280.0,11400.0
2024-02-18,11440.0,11790.0,11440.0,11610.0,3097886810,266909,50,11430.0,11770.0
2024-02-19,11800.0,11880.0,11730.0,11860.0,441158020,37197,29,11610.0,11880.0
2024-02-20,12400.0,12400.0,11700.0,11790.0,2026190840,171866,44,11860.0,11700.0
2024-02-21,11840.0,11840.0,11750.0,11820.0,724934140,61348,38,11790.0,11820.0
2024-02-24,11830.0,11830.0,11430.0,11590.0,2347588200,202596,31,11820.0,11490.0
2024-02-26,11400.0,11620.0,11270.0,11360.0,1020782300,89871,35,11590.0,11270.0
2024-02-27,11200.0,11370.0,11160.0,11200.0,214638710,19164,17,11360.0,11350.0
2024-02-28,11350.0,11460.0,11280.0,11350.0,1431209840,126148,22,11200.0,11330.0
2024-03-02,11340.0,11870.0,11300.0,11650.0,3910742180,335722,42,11350.0,11780.0
2024-03-03,11900.0,12140.0,11310.0,12010.0,5026270900,418624,63,11650.0,12130.0
2024-03-04,12130.0,12210.0,11900.0,11980.0,4972399530,415003,31,12010.0,12000.0
2024-03-05,11990.0,12370.0,11990.0,12260.0,6368946500,519438,39,11980.0,12270.0
2024-03-06,12260.0,12400.0,12260.0,12310.0,3091480150,251090,51,12260.0,12400.0
2024-03-09,12400.0,12440.0,12240.0,12370.0,3871973110,312897,30,12310.0,12350.0
2024-03-10,12380.0,12900.0,12300.0,12390.0,3785532830,305582,17,12370.0,12440.0
2024-03-11,12400.0,12900.0,12160.0,12400.0,7941810620,640264,89,12390.0,12900.0
2024-03-12,12410.0,13000.0,12410.0,12610.0,6270859270,497395,42,12400.0,12590.0
2024-03-13,12380.0,12460.0,12380.0,12420.0,1280591260,103126,31,12610.0,12460.0
2024-03-16,12400.0,12430.0,12060.0,12150.0,8086794200,665359,58,12420.0,12170.0
2024-03-17,12130.0,12300.0,12110.0,12160.0,6192157190,509363,51,12150.0,12280.0
2024-03-18,12090.0,12490.0,12090.0,12340.0,1109995280,89936,24,12160.0,12490.0
2024-03-24,12490.0,13540.0,12300.0,12620.0,10490924570,831462,64,12340.0,12650.0
2024-03-25,12900.0,12900.0,12660.0,12830.0,1175635860,91635,16,12620.0,12660.0
2024-03-26,12360.0,12600.0,12360.0,12440.0,882850880,70983,19,12830.0,12600.0
2024-03-27,12640.0,12640.0,12460.0,12500.0,850130790,67988,18,12440.0,12500.0
2024-03-30,12530.0,12690.0,12530.0,12670.0,2103396510,165963,23,12500.0,12680.0
2024-04-02,12440.0,12440.0,12100.0,12350.0,1101794460,89244,15,12670.0,12440.0
2024-04-03,12370.0,12370.0,12340.0,12360.0,540125940,43684,14,12350.0,12350.0
2024-04-06,12140.0,12350.0,11800.0,11960.0,2705478070,226245,22,12360.0,11800.0
2024-04-07,11900.0,12130.0,10910.0,11890.0,4643092880,390628,20,11960.0,11990.0
2024-04-08,12040.0,12050.0,12000.0,12030.0,904685620,75201,16,11890.0,12050.0
2024-04-09,12050.0,12180.0,11960.0,12110.0,742228620,61292,17,12030.0,12170.0
2024-04-13,12040.0,12040.0,11620.0,11980.0,973609090,81241,17,12110.0,11640.0
2024-04-14,11800.0,11840.0,11750.0,11750.0,1882026150,160162,20,11980.0,11840.0
2024-04-15,11760.0,11980.0,11650.0,11790.0,3369939680,285819,30,11750.0,11790.0
2024-04-16,11570.0,11610.0,11560.0,11570.0,1170853180,101193,18,11790.0,11610.0
2024-04-17,11580.0,11770.0,11560.0,11620.0,1898047860,163394,10,11570.0,11770.0
2024-04-20,11880.0,12430.0,11880.0,12210.0,7289814780,596800,20,11620.0,12430.0
2024-04-21,12590.0,12590.0,12210.0,12350.0,3016304130,244205,38,12210.0,12210.0
2024-04-22,12360.0,12390.0,12350.0,12360.0,558732190,45214,11,12350.0,12390.0
2024-04-23,12490.0,12490.0,12190.0,12480.0,578527350,46370,8,12360.0,12390.0
2024-04-24,12420.0,12540.0,12360.0,12470.0,438718270,35172,28,12480.0,12540.0
2024-04-27,12440.0,12440.0,12430.0,12440.0,53788860,4324,4,12470.0,12430.0
2024-04-28,12290.0,12290.0,12050.0,12060.0,718824210,59606,12,12440.0,12050.0
2024-04-29,12000.0,12000.0,12000.0,12000.0,6300000,525,2,12060.0,12000.0
2024-04-30,12010.0,12010.0,11820.0,11900.0,903160830,75900,11,12000.0,11900.0
2024-05-01,11900.0,11900.0,11900.0,11900.0,10495800,882,1,11900.0,11900.0
2024-05-05,11900.0,12130.0,11900.0,11900.0,728364110,61205,11,11900.0,11900.0
2024-05-06,11960.0,11960.0,11750.0,11950.0,2486786160,208039,10,11900.0,11930.0
2024-05-08,11700.0,11730.0,11600.0,11660.0,966890130,82923,10,11950.0,11610.0
2024-05-11,11730.0,11730.0,11500.0,11580.0,430622620,37197,7,11660.0,11500.0
2024-05-12,11660.0,11660.0,11350.0,11360.0,389115920,34242,14,11580.0,11450.0
2024-05-13,11250.0,11250.0,11100.0,11210.0,244572920,21813,5,11360.0,11110.0
2024-05-14,11260.0,11260.0,11240.0,11250.0,2031787500,180646,8,11210.0,11240.0
2024-05-15,11230.0,11230.0,11230.0,11230.0,108504260,9662,2,11250.0,11230.0
2024-05-18,11270.0,11270.0,11180.0,11220.0,117717020,10489,3,11230.0,11180.0
2024-05-19,11150.0,11150.0,10820.0,10940.0,870836580,79569,2,11220.0,10820.0
2024-05-25,11060.0,11060.0,10800.0,10970.0,1036210500,94429,11,10940.0,10800.0
2024-05-26,10650.0,10650.0,10650.0,10650.0,53250000,5000,1,10970.0,10650.0
2024-05-27,10980.0,10980.0,10550.0,10600.0,672379180,63435,7,10650.0,10600.0
2024-05-28,10810.0,11020.0,10700.0,10850.0,1164807580,107347,15,10600.0,11020.0
2024-05-29,10940.0,11040.0,10850.0,10950.0,1013866730,92552,12,10850.0,11030.0
2024-06-01,10920.0,10920.0,10780.0,10840.0,1527936000,140920,12,10950.0,10780.0
2024-06-02,10750.0,10750.0,10750.0,10750.0,645000000,60000,2,10840.0,10750.0
2024-06-05,10750.0,10750.0,10360.0,10520.0,7739125000,736000,24,10750.0,10530.0
2024-06-08,10550.0,10550.0,10430.0,10460.0,867824250,82953,6,10520.0,10430.0
2024-06-09,10400.0,10750.0,10400.0,10420.0,709410500,68094,3,10460.0,10750.0
2024-06-10,10760.0,10790.0,10760.0,10780.0,948997380,88022,6,10420.0,10790.0
2024-06-11,10800.0,10800.0,10580.0,10630.0,2242707430,211000,11,10780.0,10580.0
2024-06-12,10530.0,10530.0,10480.0,10500.0,1470700000,140000,3,10630.0,10480.0
2024-06-15,10080.0,10500.0,10080.0,10350.0,2599058400,251096,8,10500.0,10210.0
2024-06-16,10250.0,10250.0,10250.0,10250.0,10250,1,1,10350.0,10250.0
2024-06-18,10270.0,10270.0,10270.0,10270.0,308100000,30000,1,10250.0,10270.0
2024-06-19,10270.0,10400.0,10210.0,10310.0,1543270150,149683,11,10270.0,10280.0
2024-06-22,10320.0,10320.0,10200.0,10210.0,1133667620,110997,4,10310.0,10200.0
2024-06-23,10200.0,10210.0,10200.0,10200.0,6202970,608,2,10210.0,10210.0
2024-06-24,10320.0,10400.0,10320.0,10390.0,1586381410,152689,7,10200.0,10400.0
2024-06-26,10670.0,10730.0,10580.0,10600.0,223214860,21066,5,10390.0,10730.0
