date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-07-09,10677.0,10677.0,10677.0,10677.0,5721067587,535831,19,10000.0,10677.0
2023-07-10,10684.0,10684.0,10677.0,10677.0,1461629599,136893,11,10677.0,10683.0
2023-07-11,10684.0,10691.0,10684.0,10685.0,10396843450,973060,19,10677.0,10691.0
2023-07-12,10691.0,10698.0,10691.0,10691.0,11231219637,1050502,22,10685.0,10691.0
2023-07-15,10712.0,10719.0,10712.0,10713.0,4345654795,405629,18,10691.0,10718.0
2023-07-16,10719.0,10724.0,10719.0,10719.0,1977873712,184520,9,10713.0,10724.0
2023-07-17,10733.0,10733.0,10727.0,10728.0,2428705116,226379,16,10719.0,10729.0
2023-07-18,10734.0,10741.0,10734.0,10736.0,4194128706,390678,11,10728.0,10740.0
2023-07-19,10741.0,10747.0,10741.0,10742.0,1468083793,136673,10,10736.0,10746.0
2023-07-22,10762.0,10768.0,10762.0,10762.0,7738353102,719041,15,10742.0,10764.0
2023-07-23,10769.0,10775.0,10769.0,10769.0,2244832521,208451,16,10762.0,10774.0
2023-07-24,10776.0,10784.0,10776.0,10779.0,879105154,81556,9,10769.0,10784.0
2023-07-25,10784.0,10784.0,10784.0,10784.0,3136461696,290844,7,10779.0,10784.0
2023-07-26,10792.0,10798.0,10791.0,10796.0,1997221642,185000,8,10784.0,10798.0
2023-07-29,10812.0,10812.0,10812.0,10812.0,258406800,23900,4,10796.0,10812.0
2023-07-30,10819.0,10819.0,10819.0,10819.0,6464255129,597491,8,10812.0,10819.0
2023-07-31,10830.0,10830.0,10826.0,10827.0,960620511,88728,11,10819.0,10826.0
2023-08-01,10833.0,10841.0,10833.0,10833.0,762854323,70419,5,10827.0,10841.0
2023-08-05,10862.0,10862.0,10862.0,10862.0,1783931432,164236,8,10833.0,10862.0
2023-08-06,10869.0,10875.0,10869.0,10871.0,3261300,300,2,10862.0,10875.0
2023-08-07,10876.0,10876.0,10876.0,10876.0,3401566884,312759,11,10871.0,10876.0
2023-08-08,10884.0,10884.0,10883.0,10884.0,152179989,13982,8,10876.0,10884.0
2023-08-09,10890.0,10890.0,10890.0,10890.0,246114000,22600,1,10884.0,10890.0
2023-08-12,10912.0,10919.0,10912.0,10916.0,8358694862,765749,24,10890.0,10919.0
2023-08-13,10926.0,10926.0,10919.0,10926.0,709754534,64961,8,10916.0,10926.0
2023-08-14,10926.0,10926.0,10926.0,10926.0,6017953392,550792,7,10926.0,10926.0
2023-08-15,10933.0,10933.0,10933.0,10933.0,3146768859,287823,11,10926.0,10933.0
2023-08-16,10940.0,10947.0,10940.0,10940.0,176017510,16089,3,10933.0,10940.0
2023-08-19,10962.0,10969.0,10962.0,10962.0,1012464746,92360,13,10940.0,10962.0
2023-08-20,10970.0,10974.0,10969.0,10970.0,480045477,43760,5,10962.0,10974.0
2023-08-21,10976.0,10977.0,10976.0,10976.0,1514427756,137976,8,10970.0,10977.0
2023-08-22,10983.0,10984.0,10983.0,10983.0,3387706450,308450,3,10976.0,10983.0
2023-08-23,10997.0,10997.0,10990.0,10990.0,556516800,50638,10,10983.0,10990.0
2023-08-26,11012.0,11019.0,11012.0,11012.0,3281360476,297973,10,10990.0,11019.0
2023-08-27,11019.0,11026.0,11019.0,11026.0,2316360206,210089,10,11012.0,11026.0
2023-08-28,11030.0,11030.0,11030.0,11030.0,55723560,5052,2,11026.0,11030.0
2023-08-29,11040.0,11040.0,11040.0,11040.0,23184000,2100,4,11030.0,11040.0
2023-08-30,11041.0,11047.0,11040.0,11042.0,461752484,41818,10,11040.0,11047.0
2023-09-02,11061.0,11068.0,11061.0,11064.0,933301025,84358,10,11042.0,11063.0
2023-09-03,11068.0,11068.0,11068.0,11068.0,3018110784,272688,6,11064.0,11068.0
2023-09-04,11076.0,11076.0,11076.0,11076.0,16170960,1460,2,11068.0,11076.0
2023-09-05,11083.0,11090.0,11083.0,11090.0,18523771678,1670322,8,11076.0,11089.0
2023-09-09,11111.0,11111.0,11111.0,11111.0,18593714061,1673451,5,11090.0,11111.0
2023-09-10,11124.0,11124.0,11118.0,11119.0,821308458,73867,7,11111.0,11124.0
