date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-01-23,20000.0,20000.0,12400.0,14910.0,1610258200000,108000000,105,1000.0,12400.0
2023-01-25,15650.0,15650.0,15650.0,15610.0,14867500000,950000,73,14910.0,15650.0
2023-01-28,16390.0,16390.0,16390.0,16380.0,15570500000,950000,88,15610.0,16390.0
2023-01-29,17190.0,17190.0,17190.0,17190.0,17088939990,994121,84,16380.0,17190.0
2023-01-30,18040.0,18040.0,17800.0,18040.0,960867643050,53268389,4576,17190.0,18040.0
2023-01-31,18900.0,18940.0,18520.0,18900.0,449985328660,23814987,2081,18040.0,18940.0
2023-02-01,19840.0,19840.0,19840.0,19840.0,62836871040,3167181,281,18900.0,19840.0
2023-02-05,20830.0,20830.0,20830.0,20830.0,24566318760,1179372,116,19840.0,20830.0
2023-02-06,21870.0,21870.0,21870.0,21870.0,248220344700,11349810,950,20830.0,21870.0
2023-02-07,22870.0,22870.0,21900.0,22850.0,420254990270,18395498,1141,21870.0,22450.0
2023-02-12,21800.0,22300.0,21750.0,21800.0,421038281000,19312637,1635,22850.0,21750.0
2023-02-13,21300.0,22850.0,21050.0,22150.0,701123231000,31687870,4587,21800.0,22850.0
2023-02-14,23250.0,23250.0,23250.0,23250.0,48341260500,2079194,196,22150.0,23250.0
2023-02-15,24400.0,24400.0,23400.0,24300.0,1047293859150,43115336,6636,23250.0,24400.0
2023-02-19,23100.0,23100.0,23100.0,23100.0,34175964900,1479479,343,24300.0,23100.0
2023-02-20,21950.0,22350.0,21950.0,21950.0,1124679312300,51182364,8838,23100.0,21950.0
2023-02-25,22900.0,23000.0,22300.0,22900.0,432463482850,18873138,3823,21950.0,22850.0
2023-02-26,22900.0,23500.0,21800.0,22250.0,256328426400,11529077,3012,22900.0,21800.0
2023-02-27,21250.0,21650.0,21150.0,21200.0,86206559900,4067656,722,22250.0,21150.0
2023-02-28,20500.0,21650.0,20150.0,20700.0,317001882700,15298370,3885,21200.0,21400.0
2023-03-01,21500.0,21700.0,20600.0,21450.0,312624961400,14577113,3118,20700.0,21200.0
2023-03-04,21550.0,21550.0,20400.0,20500.0,156198657850,7613927,1538,21450.0,20400.0
2023-03-05,20050.0,20800.0,19500.0,19700.0,325010101750,16516752,2967,20500.0,19750.0
2023-03-06,19550.0,20650.0,19050.0,20450.0,258908429850,12649949,2061,19700.0,20650.0
2023-03-07,20400.0,21400.0,20350.0,20850.0,112306659200,5384580,1393,20450.0,20900.0
2023-03-11,21300.0,21850.0,21300.0,21800.0,278700880850,12788970,1802,20850.0,21850.0
2023-03-12,21600.0,21600.0,20750.0,20800.0,227761144350,10937107,1923,21800.0,20750.0
2023-03-13,20250.0,20600.0,19800.0,20000.0,119358816300,5973520,1788,20800.0,19950.0
