date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-05-02,2160.0,2289.0,2111.0,2160.0,69869732565,32352184,16929,1000.0,2140.0
2022-05-07,2160.0,2160.0,2031.0,2071.0,46788131607,22586710,14811,2160.0,2081.0
2022-05-08,2050.0,2100.0,2000.0,2032.0,24981075647,12293328,10520,2071.0,2028.0
2022-05-09,2002.0,2014.0,1942.0,1969.0,21969881331,11160399,8278,2032.0,1953.0
2022-05-10,1940.0,1950.0,1884.0,1916.0,18146705363,9469724,7005,1969.0,1909.0
2022-05-11,1892.0,1996.0,1892.0,1945.0,23766984143,12221993,8963,1916.0,1970.0
2022-05-14,2037.0,2037.0,1954.0,1974.0,17907002294,9071978,7801,1945.0,1962.0
2022-05-15,1951.0,1951.0,1886.0,1920.0,15906655363,8284864,8430,1974.0,1945.0
2022-05-16,1921.0,1980.0,1862.0,1895.0,36328045228,19170246,23757,1920.0,1935.0
2022-05-17,1926.0,1941.0,1901.0,1918.0,16050713882,8370504,8676,1895.0,1908.0
2022-05-18,1902.0,1902.0,1832.0,1861.0,18159379148,9756268,11729,1918.0,1871.0
2022-05-21,1810.0,1896.0,1810.0,1832.0,8364399338,4565657,3220,1861.0,1850.0
2022-05-22,1813.0,1900.0,1813.0,1856.0,8026899330,4325904,3231,1832.0,1856.0
2022-05-23,1856.0,1898.0,1807.0,1830.0,11916630013,6513039,2286,1856.0,1816.0
2022-05-24,1805.0,1816.0,1780.0,1792.0,8688404996,4848406,2476,1830.0,1786.0
2022-05-25,1800.0,1801.0,1755.0,1780.0,8360589632,4695661,3371,1792.0,1781.0
2022-05-28,1765.0,1783.0,1679.0,1712.0,15827116228,9246429,2641,1780.0,1701.0
2022-05-29,1685.0,1685.0,1657.0,1665.0,5624675870,3378802,2152,1712.0,1661.0
2022-05-30,1632.0,1690.0,1632.0,1660.0,7044672703,4244856,3014,1665.0,1667.0
2022-05-31,1630.0,1700.0,1623.0,1663.0,6166210600,3707526,2464,1660.0,1683.0
2022-06-01,1640.0,1669.0,1640.0,1648.0,5303133941,3217228,2266,1663.0,1650.0
2022-06-06,1614.0,1650.0,1581.0,1609.0,7032200459,4370850,2214,1648.0,1603.0
2022-06-07,1600.0,1649.0,1585.0,1618.0,5150324644,3183288,2151,1609.0,1634.0
2022-06-08,1592.0,1650.0,1592.0,1632.0,4865801256,2980819,2008,1618.0,1643.0
2022-06-11,1605.0,1729.0,1605.0,1685.0,14916411791,8854564,3059,1632.0,1729.0
2022-06-12,1670.0,1786.0,1670.0,1757.0,12092685638,6883849,2947,1685.0,1786.0
2022-06-13,1799.0,1817.0,1721.0,1786.0,13455287579,7533257,3027,1757.0,1744.0
2022-06-20,1713.0,1788.0,1621.0,1703.0,4231344178,2484371,1337,1786.0,1688.0
2022-06-21,1625.0,1709.0,1624.0,1648.0,20846363237,12650682,4733,1703.0,1633.0
2022-06-22,1643.0,1671.0,1603.0,1642.0,17855823538,10872366,4962,1648.0,1649.0
2022-06-25,1604.0,1670.0,1604.0,1641.0,5628871902,3430043,2590,1642.0,1626.0
2022-06-26,1603.0,1652.0,1600.0,1622.0,5351549843,3299757,1401,1641.0,1611.0
2022-06-27,1605.0,1650.0,1603.0,1622.0,4371675046,2695893,2148,1622.0,1621.0
2022-06-28,1605.0,1630.0,1603.0,1619.0,5287827782,3266379,2048,1622.0,1622.0
2022-06-29,1612.0,1630.0,1607.0,1614.0,4445717195,2754064,1798,1619.0,1618.0
2022-07-02,1611.0,1630.0,1607.0,1614.0,8774908734,5436617,2195,1614.0,1615.0
2022-07-03,1608.0,1651.0,1602.0,1630.0,13195459757,8092977,3071,1614.0,1629.0
2022-07-04,1616.0,1622.0,1549.0,1591.0,16148867715,10147139,4956,1630.0,1610.0
2022-09-18,1600.0,1600.0,1600.0,1600.0,57817600,36136,2,1591.0,1600.0
2022-09-19,1620.0,1620.0,1600.0,1608.0,87766680,54581,9,1600.0,1600.0
2022-09-20,1610.0,1660.0,1610.0,1618.0,46975470,29027,5,1608.0,1610.0
2022-09-21,1620.0,1620.0,1610.0,1614.0,38740000,24000,3,1618.0,1610.0
2022-09-26,1680.0,1680.0,1502.0,1502.0,807025974888,537299720,46,1614.0,1502.0
2023-11-28,1741.0,1838.0,1620.0,1732.0,56626645972,32699161,4561,1502.0,1810.0
2023-11-29,1782.0,1853.0,1782.0,1846.0,18906946924,10239432,2841,1732.0,1853.0
2023-12-04,1970.0,1975.0,1863.0,1963.0,13670248717,6963209,1084,1846.0,1975.0
2023-12-05,2006.0,2100.0,2006.0,2085.0,26178880944,12555499,1549,1963.0,2100.0
2023-12-06,2230.0,2230.0,2105.0,2172.0,26081849362,12008567,2754,2085.0,2179.0
2023-12-09,2229.0,2229.0,2024.0,2060.0,10497724621,5096214,2225,2172.0,2072.0
2023-12-10,2040.0,2072.0,1951.0,2030.0,12394902070,6104982,1637,2060.0,2032.0
2023-12-11,2000.0,2034.0,1961.0,2024.0,17692841952,8743225,1608,2030.0,2032.0
2023-12-12,1970.0,2025.0,1970.0,2001.0,26147346336,13069747,1580,2024.0,2010.0
2023-12-13,1962.0,2000.0,1962.0,1992.0,8786574491,4411812,1164,2001.0,2000.0
2023-12-16,1978.0,1991.0,1978.0,1988.0,6285909174,3162059,1333,1992.0,1990.0
2023-12-18,1980.0,1989.0,1960.0,1982.0,16897836120,8524955,1588,1988.0,1985.0
2023-12-19,1962.0,1967.0,1960.0,1964.0,5294747372,2696034,1100,1982.0,1966.0
2023-12-20,1966.0,1966.0,1880.0,1894.0,3340734324,1763565,1020,1964.0,1887.0
2023-12-23,1880.0,1920.0,1874.0,1892.0,5964999781,3152193,1228,1894.0,1888.0
2023-12-24,1890.0,1893.0,1880.0,1885.0,6767368409,3589805,1460,1892.0,1892.0
2023-12-25,1880.0,1905.0,1875.0,1884.0,9303593479,4939327,1180,1885.0,1885.0
2023-12-26,1860.0,1885.0,1860.0,1878.0,4176198669,2223894,1161,1884.0,1884.0
2023-12-27,1860.0,1870.0,1845.0,1855.0,5951787808,3208527,3093,1878.0,1855.0
2023-12-30,1829.0,1845.0,1829.0,1839.0,4214803201,2291735,1124,1855.0,1840.0
2023-12-31,1840.0,1840.0,1792.0,1817.0,5610832275,3087946,928,1839.0,1796.0
2024-01-01,1792.0,1792.0,1752.0,1758.0,11799920437,6710222,1802,1817.0,1761.0
2024-01-02,1750.0,1820.0,1740.0,1776.0,2645922714,1489510,901,1758.0,1789.0
2024-01-03,1752.0,1848.0,1752.0,1807.0,2267666408,1255055,723,1776.0,1808.0
2024-01-06,1758.0,1841.0,1758.0,1832.0,5635585805,3076879,731,1807.0,1825.0
2024-01-07,1774.0,1856.0,1774.0,1824.0,2964099219,1624680,791,1832.0,1807.0
2024-01-08,1808.0,1879.0,1800.0,1823.0,2963383490,1625734,923,1824.0,1830.0
2024-01-09,1824.0,1879.0,1815.0,1850.0,5122387226,2769107,972,1823.0,1861.0
2024-01-10,1848.0,1942.0,1848.0,1911.0,3732675864,1953419,1030,1850.0,1920.0
2024-01-13,1940.0,1940.0,1860.0,1901.0,3752936890,1973685,979,1911.0,1892.0
2024-01-14,1863.0,1918.0,1863.0,1904.0,8281695902,4350735,1247,1901.0,1907.0
