date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-07-05,5400.0,5400.0,3800.0,4117.0,555822621400,135000000,170,1000.0,3800.0
2023-05-07,6000.0,6300.0,5950.0,6148.0,1083124793124,176163576,22698,2559.0,6300.0
2023-05-08,6455.0,6455.0,6360.0,6455.0,437228788266,67739719,14462,6148.0,6455.0
2023-05-09,6777.0,6777.0,6661.0,6774.0,778286245659,114891222,20436,6455.0,6777.0
2023-05-10,7112.0,7112.0,6860.0,7104.0,416958692452,58695721,12650,6774.0,7112.0
2023-05-13,7440.0,7450.0,7190.0,7420.0,477593122110,64387648,14557,7104.0,7450.0
2023-05-14,7790.0,7790.0,7610.0,7780.0,307824309170,39554786,8489,7420.0,7790.0
2023-05-15,8160.0,8160.0,7400.0,7760.0,1090733949750,140614160,33003,7780.0,7400.0
2023-05-22,7520.0,7700.0,7150.0,7290.0,109752810840,15049807,3760,7590.0,7150.0
2023-05-23,6930.0,7110.0,6930.0,6950.0,456840153570,65710868,16029,7290.0,6930.0
2023-05-24,6990.0,7150.0,6770.0,6970.0,212875234200,30529444,7525,6950.0,6900.0
2023-05-27,6860.0,6860.0,6630.0,6650.0,158760231040,23889374,6099,6970.0,6630.0
2023-05-28,6410.0,6590.0,6320.0,6340.0,20689632830,3262078,941,6650.0,6320.0
2023-05-29,6030.0,6260.0,6030.0,6060.0,218285188450,36031705,9005,6340.0,6030.0
2023-05-30,6030.0,6350.0,5980.0,6200.0,140598683310,22674887,5726,6060.0,6080.0
2023-05-31,6200.0,6200.0,5890.0,5910.0,103897997180,17589759,4495,6200.0,5890.0
2023-06-03,5670.0,6000.0,5670.0,5790.0,94607692850,16348968,4182,5910.0,5720.0
2023-06-06,5780.0,5870.0,5510.0,5540.0,123428727280,22273160,5845,5790.0,5510.0
2023-06-07,5500.0,5500.0,5270.0,5310.0,122155509430,23021757,5781,5540.0,5270.0
2023-06-10,5150.0,5160.0,5050.0,5050.0,14332853500,2835550,889,5310.0,5050.0
2023-06-11,4800.0,4920.0,4800.0,4800.0,58809523410,12239636,3186,5050.0,4800.0
2023-06-12,4560.0,4690.0,4560.0,4590.0,41218831190,8987780,2368,4800.0,4560.0
2023-06-13,4370.0,4810.0,4370.0,4540.0,967634993420,213072241,54348,4590.0,4810.0
2023-06-14,4760.0,4760.0,4760.0,4760.0,213711000440,44897269,12355,4540.0,4760.0
2023-06-17,4760.0,4790.0,4522.0,4590.0,1594450580552,347380625,92043,4760.0,4522.0
2023-06-18,4540.0,4580.0,4361.0,4379.0,627972966505,143394020,38474,4590.0,4425.0
2023-06-19,4300.0,4505.0,4210.0,4359.0,332591244044,76297181,20261,4379.0,4240.0
2023-06-20,4240.0,4520.0,4165.0,4321.0,384104741233,88900372,23023,4359.0,4441.0
2023-06-21,4443.0,4537.0,4412.0,4514.0,504610900297,111784763,27663,4321.0,4479.0
2023-06-24,4739.0,4739.0,4289.0,4307.0,288157195242,66906661,16912,4514.0,4289.0
2023-06-25,4250.0,4369.0,4100.0,4188.0,267276916921,63821300,17106,4307.0,4134.0
2023-06-26,4140.0,4331.0,4071.0,4205.0,172601863650,41042542,11474,4188.0,4162.0
2023-06-27,4190.0,4400.0,4120.0,4294.0,226280744075,52694487,12992,4205.0,4257.0
2023-06-28,4250.0,4343.0,4165.0,4242.0,129338710101,30491255,7666,4294.0,4215.0
2023-07-01,4215.0,4277.0,4162.0,4211.0,110440128750,26227097,7165,4242.0,4167.0
2023-07-02,4200.0,4290.0,4172.0,4230.0,137023984406,32389804,8044,4211.0,4256.0
2023-07-03,4250.0,4441.0,4250.0,4419.0,203921550752,46149377,10534,4230.0,4441.0
2023-07-04,4560.0,4587.0,4356.0,4452.0,323174676323,72595373,16753,4419.0,4388.0
2023-07-05,4429.0,4429.0,4312.0,4341.0,143551621168,33065770,8202,4452.0,4325.0
2023-07-08,4330.0,4393.0,4243.0,4323.0,128857031645,29806653,7558,4341.0,4251.0
2023-07-09,4252.0,4316.0,4195.0,4239.0,122193526248,28823581,7105,4323.0,4209.0
2023-07-10,4160.0,4247.0,4028.0,4074.0,239059122533,58674670,14129,4239.0,4033.0
2023-07-11,3915.0,3992.0,3871.0,3894.0,226427345101,58145136,14015,4074.0,3871.0
2023-07-12,3871.0,3871.0,3700.0,3731.0,144385282149,38699256,9317,3894.0,3750.0
2023-07-15,3770.0,3855.0,3691.0,3754.0,112928448875,30078734,7086,3731.0,3700.0
2023-07-16,3674.0,3786.0,3567.0,3577.0,158759326036,44382551,10027,3754.0,3567.0
2023-07-17,3480.0,3710.0,3444.0,3564.0,142562111293,40003685,4709,3577.0,3683.0
2023-07-18,3730.0,3742.0,3670.0,3741.0,117209952092,31330314,1232,3564.0,3742.0
2023-07-19,3780.0,3928.0,3718.0,3854.0,278489272365,72265156,4861,3741.0,3750.0
2023-07-22,4046.0,4046.0,3950.0,4041.0,469405659263,116150465,4012,3854.0,4046.0
2023-07-23,4090.0,4154.0,3955.0,4076.0,242148393906,59407313,4211,4041.0,4016.0
2023-07-24,4140.0,4180.0,4047.0,4103.0,132322957639,32249686,2576,4076.0,4080.0
2023-07-25,4130.0,4245.0,4070.0,4134.0,109966583023,26603307,2247,4103.0,4106.0
2023-07-26,4071.0,4215.0,4013.0,4153.0,104726242301,25218965,1716,4134.0,4189.0
2023-07-29,4150.0,4226.0,4070.0,4108.0,64701649837,15750288,1499,4153.0,4075.0
2023-07-30,4078.0,4125.0,3903.0,3929.0,201592178105,51306498,2648,4108.0,3910.0
2023-07-31,3900.0,4125.0,3900.0,4104.0,218182949061,53159008,2464,3929.0,4125.0
2023-08-01,4200.0,4309.0,4187.0,4301.0,134555472504,31283412,1282,4104.0,4309.0
2023-08-05,4400.0,4498.0,4330.0,4431.0,319449583978,72098320,4644,4301.0,4415.0
2023-08-06,4385.0,4400.0,4296.0,4337.0,142187501931,32785051,2914,4431.0,4305.0
2023-08-07,4308.0,4385.0,4245.0,4305.0,123803222769,28757314,2972,4337.0,4260.0
2023-08-08,4320.0,4320.0,4200.0,4256.0,79942927548,18785380,1718,4305.0,4225.0
2023-08-09,4258.0,4468.0,4253.0,4448.0,419948091660,94411445,5207,4256.0,4468.0
2023-08-12,4400.0,4404.0,4226.0,4248.0,101450927670,23884326,1493,4448.0,4226.0
2023-08-13,4110.0,4292.0,4050.0,4183.0,167076070749,39943828,3179,4248.0,4264.0
2023-08-14,4280.0,4392.0,4203.0,4353.0,198525735378,45610624,2482,4183.0,4295.0
2023-08-15,4294.0,4300.0,4136.0,4173.0,210727186706,50496360,2515,4353.0,4168.0
2023-08-16,4150.0,4255.0,4072.0,4161.0,100359636553,24118972,2799,4173.0,4208.0
2023-08-19,4171.0,4250.0,4020.0,4107.0,76302961871,18578793,1564,4161.0,4040.0
2023-08-20,4022.0,4140.0,4003.0,4059.0,65992218398,16256748,1420,4107.0,4032.0
2023-08-21,4032.0,4164.0,3904.0,3994.0,79934341119,20014903,2010,4059.0,3927.0
2023-08-22,3970.0,3970.0,3795.0,3799.0,218908234460,57627179,2884,3994.0,3795.0
2023-08-23,3750.0,3916.0,3750.0,3830.0,88266678180,23046465,1517,3799.0,3915.0
2023-08-26,3940.0,4021.0,3880.0,3999.0,105463799225,26375473,1494,3830.0,4021.0
2023-08-27,4188.0,4189.0,4050.0,4132.0,147946875447,35804521,1891,3999.0,4080.0
2023-08-28,4198.0,4245.0,4002.0,4114.0,82004194313,19933458,1917,4132.0,4043.0
2023-08-29,4013.0,4170.0,4001.0,4077.0,103397180640,25362795,2132,4114.0,4105.0
2023-08-30,4100.0,4280.0,4033.0,4213.0,142563008215,33840115,2987,4077.0,4197.0
2023-09-02,4170.0,4275.0,4053.0,4137.0,71752885589,17345260,1773,4213.0,4095.0
2023-09-03,4090.0,4207.0,4052.0,4116.0,75852137283,18429825,1613,4137.0,4097.0
2023-09-04,4135.0,4254.0,4075.0,4189.0,81687668375,19498575,1563,4116.0,4239.0
2023-09-05,4230.0,4271.0,4135.0,4196.0,68634041503,16358872,1657,4189.0,4167.0
2023-09-09,4200.0,4200.0,4051.0,4084.0,59707615892,14619639,1336,4196.0,4051.0
2023-09-10,4050.0,4140.0,4030.0,4103.0,40986979681,9989964,986,4084.0,4090.0
2023-09-11,4140.0,4150.0,4070.0,4096.0,38041905959,9286674,1013,4103.0,4081.0
2023-09-12,4148.0,4149.0,4012.0,4085.0,56743386644,13890421,1263,4096.0,4069.0
2023-09-13,4050.0,4095.0,4000.0,4031.0,72721839364,18041878,1407,4085.0,4050.0
2023-09-17,4076.0,4140.0,4030.0,4098.0,97447746248,23779747,1747,4031.0,4127.0
2023-09-18,4127.0,4127.0,4040.0,4069.0,58295254803,14326158,1370,4098.0,4056.0
2023-09-19,4050.0,4130.0,4010.0,4055.0,45358047796,11185585,1022,4069.0,4050.0
2023-09-20,4041.0,4118.0,4039.0,4067.0,45989164026,11306990,952,4055.0,4078.0
2023-09-23,4012.0,4118.0,4012.0,4069.0,33768374553,8298900,761,4067.0,4069.0
2023-09-25,4066.0,4094.0,3999.0,4024.0,81546846935,20263866,1403,4069.0,4050.0
2023-09-26,4006.0,4108.0,4005.0,4067.0,54745749683,13459835,1396,4024.0,4040.0
2023-09-27,4049.0,4125.0,4034.0,4084.0,36300185562,8888468,1054,4067.0,4099.0
2023-09-30,4041.0,4115.0,3950.0,4002.0,114350003215,28572882,3341,4084.0,4038.0
2023-10-01,4000.0,4030.0,3928.0,3962.0,61380677091,15491149,1610,4002.0,3982.0
2023-10-02,4005.0,4078.0,3941.0,4016.0,53414216919,13300465,1016,3962.0,4065.0
2023-10-04,4036.0,4101.0,4000.0,4058.0,44106691896,10870168,918,4016.0,4067.0
2023-10-07,4087.0,4099.0,3948.0,3998.0,45625758899,11412600,1070,4058.0,3961.0
2023-10-08,3952.0,3960.0,3799.0,3808.0,147844195522,38824304,2187,3998.0,3799.0
2023-10-09,3900.0,3900.0,3715.0,3785.0,46049158423,12167307,1013,3808.0,3800.0
2023-10-10,3865.0,3969.0,3752.0,3884.0,56596212370,14570887,1015,3785.0,3950.0
2023-10-11,3961.0,3966.0,3806.0,3851.0,41190165190,10696672,996,3884.0,3816.0
2023-10-14,3803.0,3810.0,3666.0,3720.0,38535165070,10358269,1176,3851.0,3700.0
2023-10-15,3746.0,3760.0,3628.0,3667.0,40644800507,11083647,1002,3720.0,3690.0
2023-10-16,3730.0,3850.0,3660.0,3838.0,82398407403,21469621,1076,3667.0,3850.0
2023-10-17,4000.0,4000.0,3857.0,3898.0,54781146024,14054480,1028,3838.0,3870.0
2023-10-18,3800.0,3938.0,3750.0,3800.0,37470036075,9861453,723,3898.0,3765.0
2023-10-21,3721.0,3837.0,3721.0,3780.0,31271208912,8273499,680,3800.0,3753.0
2023-10-22,3781.0,3877.0,3781.0,3836.0,30530670858,7958197,699,3780.0,3785.0
2023-10-23,3868.0,3868.0,3780.0,3804.0,54018251485,14198640,750,3836.0,3823.0
2023-10-24,3816.0,3859.0,3682.0,3726.0,40777697577,10944566,1113,3804.0,3745.0
2023-10-25,3720.0,3840.0,3713.0,3759.0,43688855776,11621563,848,3726.0,3742.0
2023-10-28,3640.0,3694.0,3572.0,3581.0,104715922390,29238100,1569,3759.0,3609.0
2023-10-29,3570.0,3725.0,3570.0,3672.0,26547993687,7229921,755,3581.0,3683.0
2023-10-30,3750.0,3855.0,3651.0,3839.0,114571054901,29842207,1178,3672.0,3815.0
2023-10-31,3850.0,3899.0,3733.0,3803.0,50789406667,13353693,1026,3839.0,3739.0
2023-11-01,3797.0,3801.0,3643.0,3721.0,51208159799,13761246,858,3803.0,3769.0
2023-11-04,3830.0,3904.0,3779.0,3826.0,49325065199,12891041,746,3721.0,3860.0
2023-11-05,3899.0,3969.0,3822.0,3886.0,45047267872,11592859,831,3826.0,3902.0
2023-11-06,3886.0,4080.0,3886.0,4052.0,189766064271,46826991,2973,3886.0,4048.0
2023-11-07,4060.0,4120.0,4010.0,4067.0,113304368303,27857340,1941,4052.0,4088.0
2023-11-08,4066.0,4137.0,4009.0,4064.0,94328118229,23210306,1764,4067.0,4068.0
2023-11-11,4150.0,4230.0,4040.0,4173.0,144349872920,34590274,2243,4064.0,4115.0
2023-11-12,4100.0,4208.0,4095.0,4127.0,59256290942,14357765,1243,4173.0,4100.0
2023-11-13,4170.0,4170.0,4076.0,4112.0,51599622146,12548757,1389,4127.0,4077.0
2023-11-14,4130.0,4130.0,4006.0,4048.0,47483521158,11731515,1197,4112.0,4020.0
2023-11-15,4011.0,4086.0,4011.0,4040.0,24155456981,5978506,738,4048.0,4053.0
2023-11-18,4070.0,4120.0,4035.0,4073.0,41739158247,10246568,775,4040.0,4040.0
2023-11-19,4069.0,4080.0,3954.0,4006.0,51620324074,12884728,1503,4073.0,3998.0
2023-11-20,3961.0,4051.0,3912.0,3956.0,79774700012,20163139,3366,4006.0,3985.0
2023-11-21,4000.0,4027.0,3953.0,3994.0,42961609710,10755460,1143,3956.0,4022.0
2023-11-22,4072.0,4072.0,3980.0,4004.0,41648576155,10402226,963,3994.0,3981.0
2023-11-25,4002.0,4025.0,3975.0,3993.0,44440459168,11129616,931,4004.0,3978.0
2023-11-26,4000.0,4029.0,3950.0,3968.0,28142215256,7091459,1120,3993.0,3975.0
2023-11-27,3998.0,4100.0,3994.0,4060.0,57223385832,14094240,1067,3968.0,4025.0
2023-11-28,4050.0,4098.0,4010.0,4047.0,38226666897,9444604,1203,4060.0,4056.0
2023-11-29,4090.0,4149.0,4049.0,4112.0,59634931997,14503377,1040,4047.0,4101.0
2023-12-02,4110.0,4190.0,4062.0,4128.0,70796961385,17150910,1278,4112.0,4072.0
2023-12-03,4067.0,4334.0,4052.0,4274.0,296224148172,69316496,2619,4128.0,4334.0
2023-12-04,4450.0,4487.0,4430.0,4482.0,153954953353,34349601,1038,4274.0,4487.0
2023-12-05,4706.0,4706.0,4611.0,4700.0,1046740719556,222712382,8374,4482.0,4674.0
2023-12-06,4700.0,4729.0,4580.0,4625.0,172148168934,37222422,2960,4700.0,4624.0
2023-12-09,4640.0,4680.0,4420.0,4522.0,145437333524,32164906,2406,4625.0,4461.0
2023-12-10,4461.0,4748.0,4404.0,4704.0,283093222330,60185428,2673,4522.0,4748.0
2023-12-11,4840.0,4939.0,4810.0,4909.0,433195300322,88245575,5433,4704.0,4878.0
2023-12-12,4850.0,4950.0,4750.0,4834.0,186880238506,38658662,2880,4909.0,4770.0
2023-12-13,4770.0,4980.0,4751.0,4888.0,166778058520,34123167,2644,4834.0,4883.0
2023-12-16,4980.0,4980.0,4761.0,4808.0,175286522596,36459611,2211,4888.0,4807.0
2023-12-18,4800.0,4897.0,4770.0,4832.0,181590419348,37584340,2037,4808.0,4795.0
2023-12-19,4772.0,4879.0,4710.0,4758.0,105096446850,22087364,1722,4832.0,4715.0
2023-12-20,4700.0,4716.0,4610.0,4662.0,129495772162,27778268,1821,4758.0,4650.0
2023-12-23,4660.0,4850.0,4592.0,4744.0,124881494708,26325231,1808,4662.0,4770.0
2023-12-24,4850.0,4981.0,4721.0,4956.0,445771257415,89951890,4164,4744.0,4981.0
2023-12-25,5099.0,5180.0,4940.0,5069.0,288496023365,56918251,4692,4956.0,5010.0
2023-12-26,5010.0,5043.0,4816.0,4867.0,324816156539,66739263,4585,5069.0,4816.0
2023-12-27,4794.0,4970.0,4713.0,4882.0,152682217343,31273729,2653,4867.0,4905.0
2023-12-30,4909.0,5040.0,4857.0,4937.0,131469926065,26628202,2338,4882.0,4870.0
2023-12-31,4810.0,4940.0,4770.0,4821.0,107417665387,22279937,2409,4937.0,4821.0
2024-01-01,4780.0,4967.0,4750.0,4892.0,112705494734,23038835,2017,4821.0,4841.0
2024-01-02,4841.0,4887.0,4696.0,4734.0,133892331933,28282961,2244,4892.0,4719.0
2024-01-03,4681.0,4779.0,4575.0,4636.0,133951127398,28895994,2746,4734.0,4588.0
2024-01-06,4530.0,4755.0,4522.0,4606.0,81141003310,17616012,1857,4636.0,4687.0
2024-01-07,4610.0,4728.0,4610.0,4676.0,58788384197,12572147,964,4606.0,4630.0
2024-01-08,4635.0,4720.0,4616.0,4677.0,62233767417,13307741,1022,4676.0,4707.0
2024-01-09,4641.0,4713.0,4562.0,4614.0,76556508277,16592391,1465,4677.0,4598.0
2024-01-10,4700.0,4710.0,4590.0,4644.0,90721050053,19534536,1164,4614.0,4645.0
2024-01-13,4690.0,4820.0,4641.0,4742.0,102784414768,21674784,1682,4644.0,4753.0
2024-01-14,4760.0,4898.0,4760.0,4821.0,116735800033,24214714,1630,4742.0,4800.0
2024-01-15,4600.0,4685.0,4517.0,4599.0,201807518768,43879778,3029,4821.0,4595.0
2024-01-16,4590.0,4590.0,4469.0,4504.0,114089687200,25330472,2209,4599.0,4484.0
2024-01-17,4485.0,4540.0,4373.0,4424.0,109035034152,24644965,2486,4504.0,4387.0
2024-01-20,4400.0,4500.0,4267.0,4356.0,132659279413,30455902,1973,4424.0,4280.0
2024-01-21,4256.0,4295.0,4142.0,4218.0,90218775837,21388860,1644,4356.0,4229.0
2024-01-22,4229.0,4310.0,4150.0,4223.0,51843621812,12276787,1121,4218.0,4220.0
2024-01-23,4160.0,4285.0,4056.0,4104.0,104411358569,25441121,1578,4223.0,4095.0
2024-01-24,4125.0,4300.0,4125.0,4242.0,43062257596,10150707,928,4104.0,4240.0
2024-01-27,4296.0,4399.0,4255.0,4318.0,38713141523,8965818,745,4242.0,4325.0
2024-01-28,4318.0,4434.0,4296.0,4345.0,65173840619,14999946,1508,4318.0,4325.0
2024-01-29,4251.0,4360.0,4218.0,4274.0,108596517306,25410374,1745,4345.0,4262.0
2024-01-30,4201.0,4289.0,4137.0,4186.0,83170247206,19870191,2003,4274.0,4151.0
2024-01-31,4053.0,4238.0,4053.0,4167.0,107772874624,25862781,1299,4186.0,4140.0
2024-02-03,4192.0,4375.0,4140.0,4352.0,76429184929,17560543,1081,4167.0,4375.0
2024-02-04,4386.0,4496.0,4355.0,4420.0,65097701768,14727291,1003,4352.0,4370.0
2024-02-05,4400.0,4447.0,4287.0,4341.0,33337283490,7678909,1325,4420.0,4353.0
2024-02-06,4450.0,4450.0,4290.0,4353.0,30612404340,7031764,642,4341.0,4299.0
2024-02-07,4288.0,4316.0,4240.0,4254.0,40671441465,9560957,1029,4353.0,4283.0
2024-02-10,4241.0,4320.0,4241.0,4273.0,30404634416,7115173,520,4254.0,4270.0
2024-02-12,4270.0,4280.0,4144.0,4202.0,33345585462,7935971,693,4273.0,4172.0
2024-02-13,4131.0,4278.0,4131.0,4164.0,30761886955,7387637,636,4202.0,4150.0
2024-02-14,4158.0,4187.0,4088.0,4102.0,44584869737,10868496,920,4164.0,4115.0
2024-02-17,4102.0,4169.0,4081.0,4100.0,27618518987,6735788,606,4102.0,4100.0
2024-02-18,4091.0,4250.0,4084.0,4156.0,21710774350,5224518,569,4100.0,4160.0
2024-02-19,4153.0,4241.0,4153.0,4193.0,23106657847,5511006,512,4156.0,4193.0
2024-02-20,4165.0,4240.0,4163.0,4194.0,18093925915,4314619,442,4193.0,4165.0
2024-02-21,4123.0,4217.0,4117.0,4147.0,24518325685,5911761,552,4194.0,4117.0
2024-02-24,4101.0,4180.0,4060.0,4106.0,27321411757,6654187,593,4147.0,4080.0
2024-02-26,4060.0,4146.0,3930.0,4008.0,37070005930,9247940,942,4106.0,3965.0
2024-02-27,3926.0,4009.0,3873.0,3910.0,53399093287,13657247,931,4008.0,3974.0
2024-02-28,3914.0,4050.0,3897.0,3946.0,59130763423,14985301,836,3910.0,3900.0
2024-03-02,3870.0,4143.0,3870.0,4070.0,73846175033,18145452,861,3946.0,4140.0
2024-03-03,4163.0,4265.0,4073.0,4176.0,98805240942,23657682,1281,4070.0,4119.0
2024-03-04,4100.0,4168.0,4000.0,4062.0,60423677880,14874653,1064,4176.0,4030.0
2024-03-05,4085.0,4138.0,4017.0,4068.0,75958359800,18670189,1055,4062.0,4072.0
2024-03-06,4086.0,4116.0,4042.0,4058.0,56002396373,13799759,1287,4068.0,4067.0
2024-03-10,4134.0,4134.0,4000.0,4022.0,22326370493,5550438,410,4058.0,4001.0
2024-03-11,4032.0,4090.0,4008.0,4038.0,52584169099,13020925,1126,4022.0,4069.0
2024-03-12,4089.0,4136.0,4016.0,4085.0,31484894089,7707691,747,4038.0,4022.0
2024-03-13,4127.0,4127.0,3989.0,4019.0,50325060998,12521464,1109,4085.0,3990.0
2024-03-16,4090.0,4090.0,3988.0,4038.0,29311109632,7259506,823,4019.0,4013.0
2024-03-17,4015.0,4147.0,4015.0,4103.0,11817367827,2880118,452,4038.0,4098.0
2024-03-18,4130.0,4281.0,4040.0,4213.0,25624255266,6081802,566,4103.0,4257.0
