date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-09-03,7200.0,7410.0,7200.0,7360.0,3603817140,489825,35,1000.0,7410.0
2023-09-04,7580.0,7580.0,7580.0,7580.0,22395398040,2954538,101,7360.0,7580.0
2023-09-05,7800.0,7800.0,7800.0,7800.0,4261108800,546296,24,7580.0,7800.0
2023-09-09,8030.0,8030.0,8030.0,8030.0,950800180,118406,17,7800.0,8030.0
2023-09-10,8270.0,8270.0,8270.0,8270.0,752363250,90975,17,8030.0,8270.0
2023-09-11,8510.0,8510.0,8510.0,8510.0,588551600,69160,14,8270.0,8510.0
2023-09-12,8260.0,8710.0,8260.0,8400.0,18359012910,2186256,159,8510.0,8700.0
2023-09-13,8640.0,8640.0,8160.0,8200.0,7183867900,876057,71,8400.0,8160.0
2023-09-17,8000.0,8260.0,7960.0,8050.0,7295652660,906278,73,8200.0,8260.0
2023-09-18,8040.0,8290.0,8040.0,8280.0,2650907320,320338,31,8050.0,8290.0
2023-09-19,8120.0,8350.0,8120.0,8220.0,5980580640,727524,56,8280.0,8350.0
2023-09-20,8200.0,8460.0,8200.0,8430.0,6595183640,782096,65,8220.0,8280.0
2023-09-23,8480.0,8480.0,8200.0,8310.0,2925255260,352224,23,8430.0,8210.0
2023-09-25,8150.0,8170.0,8070.0,8090.0,3582402590,442748,44,8310.0,8070.0
2023-09-26,8100.0,8100.0,7850.0,7940.0,3001488800,377885,44,8090.0,7850.0
2023-09-27,7710.0,7730.0,7710.0,7710.0,4271076250,553875,43,7940.0,7710.0
2023-09-30,7480.0,7500.0,7480.0,7480.0,4282374110,572345,42,7710.0,7480.0
2023-10-01,7260.0,7300.0,7260.0,7260.0,4926151550,678131,49,7480.0,7300.0
2023-10-02,7120.0,7240.0,7050.0,7060.0,7581249780,1073836,45,7260.0,7130.0
2023-10-04,7120.0,7270.0,7100.0,7160.0,5243567670,732030,36,7060.0,7180.0
2023-10-07,7210.0,7370.0,7210.0,7320.0,3535182290,482767,44,7160.0,7250.0
2023-10-08,7120.0,7130.0,7120.0,7120.0,2204020420,309341,24,7320.0,7130.0
2023-10-09,6930.0,7000.0,6930.0,6960.0,4981193370,715203,40,7120.0,6970.0
2023-10-10,6860.0,7080.0,6860.0,6960.0,5314351100,763696,24,6960.0,6960.0
2023-10-11,6900.0,7160.0,6900.0,7130.0,3656503880,512763,33,6960.0,7160.0
2023-10-14,7000.0,7010.0,6940.0,6970.0,2409143040,345422,26,7130.0,6960.0
2023-10-15,6910.0,7120.0,6910.0,7020.0,939346160,133770,18,6970.0,6950.0
2023-10-16,7000.0,7230.0,7000.0,7150.0,3254817850,455477,41,7020.0,7230.0
2023-10-17,7060.0,7360.0,7060.0,7190.0,3785681700,526291,36,7150.0,7130.0
2023-10-18,7350.0,7360.0,7080.0,7170.0,2030501940,283252,31,7190.0,7200.0
2023-10-21,7020.0,7340.0,7020.0,7130.0,759205670,106456,22,7170.0,7150.0
2023-10-22,7110.0,7110.0,6920.0,6960.0,16624151640,2388379,94,7130.0,6920.0
2023-10-23,7000.0,7000.0,6760.0,6770.0,14659519930,2166253,60,6960.0,6770.0
2023-10-24,6960.0,6970.0,6700.0,6920.0,2330053940,336541,30,6770.0,6890.0
2023-10-25,6720.0,7120.0,6720.0,7010.0,21506017420,3069431,150,6920.0,7120.0
2023-10-28,6800.0,6930.0,6800.0,6820.0,19234039880,2820651,90,7010.0,6850.0
2023-12-16,10300.0,10300.0,10300.0,10300.0,2935500000,285000,6,6820.0,10300.0
2023-12-18,10760.0,10760.0,10760.0,10760.0,1173700800,109080,4,10300.0,10760.0
2023-12-20,10400.0,10400.0,10300.0,10320.0,5160000000,500000,3,10760.0,10300.0
2023-12-23,10600.0,10600.0,10600.0,10600.0,7738000000,730000,5,10320.0,10600.0
2023-12-24,10600.0,10600.0,10400.0,10400.0,17867698000,1717945,16,10600.0,10400.0
2023-12-25,10010.0,10010.0,10010.0,10010.0,35524999510,3548951,22,10400.0,10010.0
2023-12-26,9780.0,9800.0,9410.0,9420.0,59321019300,6297549,55,10010.0,9410.0
2023-12-27,8400.0,8400.0,7700.0,7790.0,2929660693200,376117081,2221,9420.0,8120.0
