date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-08-29,10000.0,10000.0,10000.0,10000.0,3960000000000,396000000,10990,10000.0,10000.0
2022-09-18,10117.0,10117.0,10117.0,10117.0,64130975044,6338932,58,10000.0,10117.0
2022-09-19,10122.0,10123.0,10122.0,10123.0,880693367201,87001090,1002,10117.0,10123.0
2022-09-20,10129.0,10135.0,10128.0,10129.0,1171355399338,115646077,763,10123.0,10129.0
2022-09-21,10135.0,10135.0,10134.0,10134.0,864160151297,85269376,645,10129.0,10135.0
2022-09-24,10150.0,10155.0,10150.0,10153.0,315852518491,31109142,463,10134.0,10155.0
2022-09-26,10161.0,10165.0,10160.0,10164.0,62009511085,6101072,327,10153.0,10164.0
2022-09-28,10172.0,10178.0,10172.0,10176.0,210233490413,20660601,437,10164.0,10178.0
2022-10-01,10190.0,10190.0,10188.0,10190.0,43797471842,4298205,342,10176.0,10190.0
2022-10-02,10197.0,10197.0,10196.0,10197.0,193510474091,18977760,295,10190.0,10197.0
2022-10-03,10204.0,10204.0,10203.0,10204.0,398688155395,39071902,336,10197.0,10204.0
2022-10-04,10212.0,10213.0,10211.0,10213.0,88253664910,8641632,223,10204.0,10213.0
2022-10-08,10231.0,10231.0,10230.0,10231.0,864289624017,84477905,675,10213.0,10230.0
2022-10-09,10237.0,10238.0,10237.0,10238.0,223282846755,21809835,398,10231.0,10238.0
2022-10-10,10244.0,10246.0,10244.0,10245.0,213374895565,20827992,380,10238.0,10245.0
2022-10-11,10252.0,10252.0,10251.0,10252.0,160372988385,15643417,347,10245.0,10252.0
2022-10-12,10264.0,10265.0,10259.0,10262.0,325075500379,31678257,461,10252.0,10265.0
2022-10-15,10271.0,10273.0,10271.0,10273.0,278201352955,27081728,427,10262.0,10273.0
2022-10-16,10279.0,10280.0,10279.0,10280.0,403258694800,39228231,333,10273.0,10280.0
2022-10-17,10287.0,10287.0,10286.0,10287.0,288015929270,27998363,290,10280.0,10287.0
2022-10-18,10294.0,10295.0,10294.0,10294.0,175757932942,17073064,357,10287.0,10295.0
2022-10-19,10302.0,10308.0,10301.0,10305.0,222986621840,21638546,349,10294.0,10305.0
2022-10-22,10314.0,10315.0,10314.0,10314.0,393425328128,38144092,445,10305.0,10315.0
2022-10-23,10321.0,10350.0,10320.0,10321.0,428272929030,41496117,430,10314.0,10321.0
2022-10-24,10327.0,10328.0,10327.0,10327.0,126068392132,12207185,333,10321.0,10328.0
2022-10-25,10336.0,10336.0,10334.0,10334.0,289597492223,28022568,491,10327.0,10335.0
2022-10-26,10343.0,10345.0,10342.0,10343.0,113483802955,10972266,353,10334.0,10345.0
2022-10-29,10355.0,10357.0,10355.0,10356.0,716239677427,69164470,906,10343.0,10356.0
2022-10-30,10362.0,10363.0,10362.0,10362.0,90985138438,8780242,314,10356.0,10363.0
2022-10-31,10368.0,10369.0,10368.0,10369.0,184538477375,17797972,357,10362.0,10368.0
2022-11-01,10375.0,10376.0,10375.0,10375.0,253408283697,24423751,625,10369.0,10376.0
2022-11-02,10382.0,10382.0,10381.0,10382.0,286436445704,27590957,384,10375.0,10382.0
2022-11-05,10401.0,10402.0,10401.0,10401.0,517052119968,49710901,514,10382.0,10402.0
2022-11-06,10408.0,10408.0,10407.0,10407.0,609006941815,58517433,490,10401.0,10408.0
2022-11-07,10414.0,10414.0,10413.0,10413.0,360033504661,34574532,474,10407.0,10414.0
2022-11-08,10419.0,10420.0,10419.0,10420.0,1173643498440,112636563,697,10413.0,10420.0
2022-11-09,10426.0,10427.0,10426.0,10427.0,1037842268294,99535700,818,10420.0,10427.0
2022-11-12,10444.0,10445.0,10444.0,10444.0,651779355243,62404356,699,10427.0,10445.0
2022-11-13,10451.0,10451.0,10450.0,10450.0,674664286252,64559396,564,10444.0,10451.0
2022-11-14,10457.0,10457.0,10456.0,10456.0,420242563651,40190174,511,10450.0,10457.0
2022-11-15,10462.0,10463.0,10462.0,10463.0,292772651442,27982913,497,10456.0,10463.0
2022-11-16,10469.0,10470.0,10469.0,10470.0,1043296869202,99650232,769,10463.0,10470.0
2022-11-19,10489.0,10489.0,10488.0,10488.0,627512214871,59830468,541,10470.0,10489.0
2022-11-20,10495.0,10495.0,10494.0,10494.0,505615894702,48180401,519,10488.0,10495.0
2022-11-21,10501.0,10501.0,10500.0,10500.0,1255953561213,119610304,771,10494.0,10501.0
2022-11-22,10506.0,10507.0,10506.0,10506.0,517915650347,49295693,616,10500.0,10507.0
2022-11-23,10513.0,10514.0,10512.0,10512.0,840740741090,79975531,1050,10506.0,10513.0
2022-11-26,10533.0,10547.0,10533.0,10534.0,1736199294104,164819541,1249,10512.0,10547.0
2022-11-27,10549.0,10549.0,10540.0,10541.0,248166823227,23543343,783,10534.0,10541.0
2022-11-28,10547.0,10599.0,10547.0,10548.0,447917978548,42464012,1164,10541.0,10562.0
2022-11-29,10598.0,10598.0,10554.0,10556.0,322742585134,30575233,562,10548.0,10554.0
2022-11-30,10563.0,10586.0,10563.0,10565.0,276839081069,26203052,623,10556.0,10564.0
2022-12-03,10576.0,10577.0,10576.0,10576.0,360509017374,34085926,549,10565.0,10577.0
2022-12-04,10582.0,10583.0,10582.0,10583.0,598669889633,56571241,593,10576.0,10583.0
2022-12-05,10589.0,10590.0,10589.0,10589.0,517523508134,48871676,521,10583.0,10589.0
2022-12-06,10596.0,10596.0,10595.0,10596.0,375785315651,35465387,601,10589.0,10596.0
2022-12-07,10602.0,10603.0,10602.0,10603.0,542434100549,51160052,602,10596.0,10603.0
2022-12-10,10620.0,10621.0,10620.0,10620.0,627724607138,59106157,717,10603.0,10620.0
2022-12-11,10626.0,10627.0,10626.0,10627.0,262652728082,24716689,545,10620.0,10627.0
2022-12-12,10634.0,10634.0,10633.0,10633.0,259412320574,24396405,659,10627.0,10633.0
2022-12-13,10639.0,10640.0,10639.0,10639.0,536531110073,50428820,850,10633.0,10639.0
2022-12-14,10645.0,10646.0,10645.0,10646.0,887849167513,83398821,833,10639.0,10646.0
2022-12-17,10665.0,10665.0,10664.0,10664.0,741200020844,69503199,702,10646.0,10664.0
2022-12-18,10670.0,10671.0,10670.0,10670.0,372531119282,34912970,653,10664.0,10671.0
2022-12-19,10676.0,10677.0,10676.0,10676.0,432940181342,40551856,599,10670.0,10677.0
2022-12-20,10682.0,10683.0,10682.0,10682.0,768314755523,71923272,637,10676.0,10683.0
2022-12-21,10689.0,10689.0,10688.0,10689.0,595580549343,55721197,716,10682.0,10689.0
2022-12-24,10708.0,10709.0,10708.0,10708.0,887410639605,82870008,974,10689.0,10709.0
2022-12-25,10714.0,10715.0,10714.0,10714.0,428087232427,39954745,701,10708.0,10715.0
2022-12-26,10721.0,10721.0,10720.0,10720.0,778802858074,72647305,823,10714.0,10721.0
2022-12-28,10739.0,10743.0,10739.0,10740.0,2514903060991,234168042,1433,10720.0,10740.0
