date,open,high,low,adjClose,value,volume,count,yesterday,close
2024-01-23,26900.0,26900.0,24210.0,24820.0,228659592690,9211381,3228,2300.0,24230.0
2024-01-24,23620.0,26610.0,23620.0,25680.0,126810417880,4938017,2066,24820.0,25700.0
2024-01-30,25890.0,28100.0,24510.0,26850.0,124161675440,4623461,2275,25680.0,27590.0
2024-01-31,28090.0,28440.0,26500.0,27200.0,151252152080,5560489,2040,26850.0,26920.0
2024-02-03,27190.0,27500.0,26010.0,26560.0,74508131770,2805061,1400,27200.0,26290.0
2024-02-04,27000.0,27000.0,25070.0,25530.0,60467599180,2368784,1105,26560.0,25300.0
2024-02-05,25080.0,26700.0,24750.0,25510.0,56841215420,2228332,1030,25530.0,25580.0
2024-02-06,25250.0,25900.0,24610.0,24990.0,60512763980,2421925,855,25510.0,24860.0
2024-02-07,25430.0,25430.0,24270.0,24560.0,41697691540,1697779,812,24990.0,24310.0
2024-02-10,24310.0,25190.0,24250.0,24460.0,39018143550,1595384,747,24560.0,24300.0
2024-02-12,24210.0,24500.0,23430.0,23820.0,48731946880,2045524,713,24460.0,23720.0
2024-02-13,23600.0,24500.0,23070.0,23480.0,34110551420,1452585,587,23820.0,23080.0
2024-02-14,23120.0,23120.0,22370.0,22620.0,34386870280,1519937,739,23480.0,22430.0
2024-02-17,22290.0,23140.0,22020.0,22410.0,23049903140,1028547,529,22620.0,22210.0
2024-02-18,22120.0,23460.0,22120.0,22990.0,26687171070,1160979,553,22410.0,23350.0
2024-02-19,23350.0,23990.0,23210.0,23560.0,19420649150,824318,413,22990.0,23340.0
2024-02-20,23990.0,23990.0,23050.0,23260.0,25937971520,1115184,306,23560.0,23300.0
2024-02-21,23050.0,23250.0,22530.0,22880.0,22687718470,991395,388,23260.0,22900.0
2024-02-24,23700.0,23700.0,22100.0,22790.0,11391078730,499915,344,22880.0,22800.0
2024-02-26,22660.0,23000.0,21710.0,22030.0,45399556980,2061043,855,22790.0,21970.0
2024-02-27,21490.0,22020.0,21290.0,21630.0,27791579300,1285075,526,22030.0,21630.0
2024-02-28,21370.0,22740.0,21350.0,21750.0,31347710610,1441414,591,21630.0,21650.0
2024-03-02,21430.0,22450.0,21430.0,22100.0,43367648580,1962647,975,21750.0,22430.0
2024-03-03,22230.0,23750.0,22190.0,22900.0,43275660190,1890138,754,22100.0,22600.0
2024-03-04,22500.0,22870.0,22080.0,22260.0,62842868630,2823580,660,22900.0,22100.0
2024-03-05,21910.0,22710.0,21910.0,22370.0,73582928860,3289559,696,22260.0,22400.0
2024-03-06,22140.0,23890.0,22140.0,22910.0,89392099960,3901679,1010,22370.0,23540.0
2024-03-09,24200.0,25200.0,23580.0,24790.0,94524608900,3813625,1512,22910.0,25200.0
2024-03-10,25470.0,25470.0,24050.0,24790.0,97119224130,3918194,1015,24790.0,24900.0
2024-03-11,24200.0,25360.0,23750.0,24140.0,121470781990,5032472,1606,24790.0,23910.0
2024-03-12,23920.0,24730.0,23830.0,24320.0,211058657910,8678166,1911,24140.0,24420.0
2024-03-13,24070.0,24470.0,22040.0,23550.0,514957224630,21866560,2973,24320.0,22680.0
2024-08-04,19700.0,19700.0,19600.0,19700.0,4029713600,204566,13,23550.0,19600.0
2024-08-05,19510.0,19510.0,19510.0,19510.0,23021800,1180,4,19700.0,19510.0
2024-08-06,19320.0,19320.0,19320.0,19320.0,23705640,1227,2,19510.0,19320.0
2024-08-10,19130.0,19130.0,19130.0,19130.0,19130000,1000,1,19320.0,19130.0
2024-08-11,18940.0,18940.0,18940.0,18940.0,30304000,1600,3,19130.0,18940.0
2024-08-12,18760.0,18760.0,18760.0,18760.0,37520000,2000,2,18940.0,18760.0
2024-08-13,18580.0,18580.0,18580.0,18580.0,33462580,1801,3,18760.0,18580.0
2024-08-14,18400.0,18400.0,18400.0,18400.0,14423760000,783900,94,18580.0,18400.0
2024-08-17,18200.0,18200.0,18040.0,18040.0,14432144800,800000,96,18400.0,18040.0
2024-08-18,17680.0,17680.0,17680.0,17680.0,2803959600,158595,54,18040.0,17680.0
2024-08-19,17500.0,17500.0,17330.0,17330.0,5259057890,303448,31,17680.0,17330.0
2024-08-20,17100.0,17100.0,16990.0,16990.0,1442453510,84896,26,17330.0,16990.0
2024-08-21,16850.0,16850.0,16660.0,16690.0,59046356730,3537849,159,16990.0,16660.0
2024-08-24,16690.0,16690.0,16360.0,16360.0,1769204576200,108126719,3020,16690.0,16360.0
