date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-12-23,7000.0,7150.0,6840.0,7000.0,133966456420,19128755,1497,1000.0,6940.0
2023-12-24,6670.0,6960.0,6630.0,6750.0,103825423390,15388238,1234,7000.0,6730.0
2023-12-25,6650.0,6750.0,6610.0,6680.0,96508022690,14445637,641,6750.0,6670.0
2023-12-26,6620.0,6760.0,6620.0,6740.0,67327598440,9992079,558,6680.0,6760.0
2023-12-27,6700.0,6850.0,6690.0,6720.0,17371399720,2586005,317,6740.0,6720.0
2023-12-30,6700.0,6760.0,6400.0,6530.0,76421566060,11704627,573,6720.0,6450.0
2023-12-31,6600.0,6660.0,6500.0,6600.0,17582410710,2664895,285,6530.0,6610.0
2024-01-01,6610.0,6800.0,6610.0,6720.0,26065527750,3877542,520,6600.0,6730.0
2024-01-02,6670.0,6970.0,6570.0,6800.0,48370773820,7116510,546,6720.0,6960.0
2024-01-03,6650.0,6870.0,6650.0,6710.0,8101842920,1207321,125,6800.0,6700.0
2024-01-06,6610.0,6720.0,6610.0,6690.0,9869641130,1475440,142,6710.0,6720.0
2024-01-07,6640.0,6770.0,6640.0,6730.0,12119744400,1800065,209,6690.0,6750.0
2024-01-08,6690.0,6750.0,6680.0,6710.0,21141947040,3149852,180,6730.0,6730.0
2024-01-09,6700.0,6770.0,6700.0,6720.0,12337129470,1835200,147,6710.0,6720.0
2024-01-10,6700.0,6740.0,6690.0,6720.0,18390311570,2737139,233,6720.0,6710.0
2024-01-13,6670.0,6730.0,6530.0,6670.0,11012186320,1649823,223,6720.0,6670.0
2024-01-14,6610.0,6900.0,6610.0,6680.0,180831650510,27086517,912,6670.0,6680.0
2024-01-15,6620.0,6720.0,6580.0,6590.0,28440078620,4313474,207,6680.0,6610.0
2024-01-16,6580.0,6660.0,6580.0,6620.0,10950245900,1653282,148,6590.0,6620.0
2024-01-17,6590.0,6750.0,6590.0,6670.0,51617458410,7742780,279,6620.0,6730.0
2024-01-20,6580.0,6980.0,6580.0,6770.0,44069516030,6512491,421,6670.0,6820.0
2024-01-21,6800.0,6870.0,6690.0,6770.0,13854075760,2047740,196,6770.0,6870.0
2024-01-22,6850.0,6910.0,6750.0,6790.0,12725753760,1874822,188,6770.0,6800.0
2024-01-23,6650.0,6900.0,6600.0,6780.0,27469341440,4049995,392,6790.0,6670.0
2024-01-24,6670.0,6810.0,6670.0,6760.0,11048362450,1634281,177,6780.0,6810.0
2024-01-27,6690.0,6820.0,6630.0,6690.0,41232689900,6161532,224,6760.0,6640.0
2024-01-28,6710.0,6750.0,6590.0,6660.0,33103349980,4974145,231,6690.0,6670.0
2024-01-29,6590.0,6720.0,6590.0,6660.0,12179685330,1829640,126,6660.0,6720.0
2024-01-30,6600.0,6700.0,6570.0,6680.0,18029059060,2697862,133,6660.0,6630.0
2024-01-31,6610.0,6670.0,6610.0,6640.0,5825439960,877073,100,6680.0,6640.0
2024-02-03,6620.0,6710.0,6600.0,6680.0,16485598310,2468118,223,6640.0,6650.0
2024-02-04,6600.0,6680.0,6600.0,6660.0,8400842460,1262011,107,6680.0,6680.0
2024-02-05,6620.0,6700.0,6610.0,6650.0,17167242490,2580337,178,6660.0,6650.0
2024-02-06,6610.0,6620.0,6560.0,6600.0,23747340790,3596777,305,6650.0,6600.0
2024-02-07,6550.0,6620.0,6520.0,6580.0,35172110810,5347198,431,6600.0,6620.0
2024-02-10,6600.0,6610.0,6450.0,6550.0,11031097720,1684098,216,6580.0,6570.0
2024-02-12,6500.0,6590.0,6480.0,6550.0,11480400720,1753737,195,6550.0,6580.0
2024-02-13,6500.0,6650.0,6440.0,6540.0,4053169890,619805,87,6550.0,6600.0
2024-02-14,6450.0,6640.0,6450.0,6550.0,2956256760,451059,67,6540.0,6600.0
2024-02-17,6500.0,6630.0,6500.0,6550.0,3753838830,573408,61,6550.0,6540.0
2024-02-18,6540.0,6660.0,6410.0,6510.0,2435268810,373883,51,6550.0,6550.0
2024-02-19,6500.0,6690.0,6460.0,6500.0,18107256050,2784420,125,6510.0,6510.0
2024-02-20,6150.0,6580.0,6150.0,6540.0,2349143300,359270,44,6500.0,6550.0
2024-02-21,6500.0,6560.0,6490.0,6530.0,10655393370,1632321,80,6540.0,6530.0
2024-02-24,6220.0,6540.0,6220.0,6500.0,9519695570,1463836,147,6530.0,6520.0
2024-02-26,6360.0,6470.0,6230.0,6350.0,12570427440,1979110,289,6500.0,6320.0
2024-04-29,7200.0,7250.0,7200.0,7200.0,109870307600,15259758,258,6350.0,7200.0
2024-04-30,7800.0,7800.0,7200.0,7220.0,101211412450,14024905,243,7200.0,7200.0
2024-05-01,7200.0,7200.0,7200.0,7200.0,50520340800,7016714,138,7220.0,7200.0
2024-05-05,7210.0,7210.0,7000.0,7030.0,107655378150,15312328,277,7200.0,7000.0
2024-05-06,7000.0,7000.0,7000.0,7000.0,12794257000,1827751,64,7030.0,7000.0
2024-05-07,7000.0,7000.0,6950.0,6980.0,28600038700,4098705,102,7000.0,6950.0
2024-05-08,7000.0,7000.0,6700.0,6710.0,1122831929590,167289408,2190,6980.0,6850.0
2024-05-11,7380.0,7380.0,6800.0,6880.0,70147911690,10193146,180,6710.0,6800.0
2024-05-12,6820.0,6820.0,6700.0,6710.0,43955852700,6555285,150,6880.0,6700.0
2024-05-13,7250.0,7250.0,6550.0,6580.0,14464403150,2199556,73,6710.0,6800.0
2024-05-14,6900.0,6900.0,6700.0,6740.0,657315808630,97552013,987,6580.0,6850.0
