date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-09-03,10000.0,10000.0,10000.0,10000.0,871033560000,87103356,579,10000.0,10000.0
2023-09-04,10000.0,10000.0,10000.0,10000.0,108966440000,10896644,180,10000.0,10000.0
2023-09-05,10000.0,10000.0,10000.0,10000.0,602227520000,60222752,311,10000.0,10000.0
2023-10-11,10200.0,10250.0,10200.0,10239.0,320942052846,31345689,171,10000.0,10232.0
2023-10-14,10195.0,10246.0,10194.0,10210.0,6877895433,673649,94,10239.0,10200.0
2023-10-15,10240.0,10260.0,10230.0,10259.0,21443689219,2090286,47,10210.0,10260.0
2023-10-16,10240.0,10250.0,10240.0,10245.0,2345815585,228974,27,10259.0,10240.0
2023-10-17,10260.0,10260.0,10201.0,10243.0,56479399713,5514207,62,10245.0,10201.0
2023-10-18,10240.0,10300.0,10230.0,10269.0,14782815575,1439524,41,10243.0,10280.0
2023-10-21,10250.0,10280.0,10240.0,10253.0,1283517900,125188,19,10269.0,10241.0
2023-10-22,10250.0,10250.0,10230.0,10242.0,2358805070,230302,32,10253.0,10230.0
2023-10-23,10260.0,10260.0,10210.0,10237.0,3205901200,313172,54,10242.0,10239.0
2023-10-24,10240.0,10240.0,10235.0,10238.0,1555592877,151943,19,10237.0,10235.0
2023-10-25,10280.0,10280.0,10235.0,10239.0,37008812925,3614603,41,10238.0,10239.0
2023-10-28,10240.0,10268.0,10238.0,10239.0,41306618710,4034240,21,10239.0,10254.0
2023-10-29,10240.0,10240.0,10235.0,10239.0,636328916,62147,34,10239.0,10240.0
2023-10-30,10250.0,10327.0,10239.0,10327.0,282599097176,27365724,80,10239.0,10327.0
2023-10-31,10327.0,10327.0,10290.0,10322.0,1255164000,121600,3,10327.0,10290.0
2023-11-01,10260.0,10270.0,10251.0,10267.0,1316447771,128221,21,10322.0,10270.0
2023-11-04,10290.0,10290.0,10255.0,10258.0,246559093075,24036842,69,10267.0,10270.0
2023-11-05,10300.0,10420.0,10300.0,10371.0,2454967827,236723,21,10258.0,10410.0
2023-11-06,10421.0,10435.0,10405.0,10414.0,31397754586,3014967,19,10371.0,10435.0
2023-11-07,10415.0,10460.0,10415.0,10452.0,39923079287,3819617,34,10414.0,10455.0
2023-11-08,10461.0,10461.0,10418.0,10423.0,198321833121,19027856,55,10452.0,10430.0
2023-11-11,10475.0,10490.0,10470.0,10474.0,23063482448,2201900,24,10423.0,10490.0
2023-11-12,10490.0,10490.0,10483.0,10485.0,8325388,794,3,10474.0,10484.0
2023-11-13,10500.0,10508.0,10493.0,10496.0,79612568,7585,9,10485.0,10508.0
2023-11-14,10486.0,10501.0,10485.0,10497.0,87747942384,8359365,30,10496.0,10485.0
2023-11-15,10502.0,10502.0,10487.0,10502.0,84146206873,8012403,16,10497.0,10500.0
2023-11-18,10515.0,10515.0,10475.0,10485.0,10495961969,1001000,51,10502.0,10475.0
2023-11-19,10539.0,10539.0,10505.0,10531.0,73495220,6979,6,10485.0,10505.0
2023-11-20,10485.0,10486.0,10483.0,10484.0,53655762,5118,13,10531.0,10486.0
2023-11-21,10501.0,10529.0,10501.0,10518.0,590635797,56153,17,10484.0,10529.0
2023-11-22,10543.0,10549.0,10537.0,10541.0,26763751,2539,6,10518.0,10549.0
2023-11-25,10558.0,10572.0,10558.0,10560.0,9187000,870,4,10541.0,10572.0
2023-11-26,10560.0,10585.0,10560.0,10579.0,42644085,4031,7,10560.0,10585.0
2023-11-27,10605.0,10605.0,10573.0,10589.0,423778690600,40020500,52,10579.0,10588.0
2023-11-28,10596.0,10614.0,10590.0,10611.0,700528923,66021,14,10589.0,10614.0
2023-11-29,10615.0,10641.0,10593.0,10628.0,2395662684,225409,19,10611.0,10641.0
2023-12-02,10630.0,10699.0,10630.0,10636.0,2071967073,194803,23,10628.0,10665.0
2023-12-03,10696.0,10876.0,10696.0,10806.0,54863440112,5077088,25,10636.0,10871.0
2023-12-04,10850.0,10859.0,10815.0,10839.0,253883000,23423,15,10806.0,10844.0
2023-12-05,10970.0,10972.0,10931.0,10965.0,199503614880,18194567,92,10839.0,10972.0
2023-12-06,10955.0,10974.0,10891.0,10921.0,236755262,21678,12,10965.0,10899.0
2023-12-09,10907.0,10907.0,10810.0,10888.0,152214614,13980,11,10921.0,10810.0
2023-12-10,10847.0,10874.0,10825.0,10851.0,247789060,22836,13,10888.0,10850.0
2023-12-11,10866.0,10879.0,10846.0,10866.0,133234026,12261,3,10851.0,10846.0
2023-12-12,10848.0,10848.0,10770.0,10796.0,6488717709,601026,39,10866.0,10776.0
2023-12-13,10775.0,10791.0,10775.0,10786.0,15822925,1467,2,10796.0,10791.0
2023-12-16,10835.0,10948.0,10835.0,10884.0,338023667,31058,7,10786.0,10948.0
2023-12-18,10918.0,11021.0,10918.0,10970.0,66156017766,6030641,22,10884.0,11021.0
2023-12-19,11034.0,11034.0,10975.0,10992.0,78935380,7181,7,10970.0,11015.0
2023-12-20,10961.0,10970.0,10937.0,10937.0,47045781163,4301523,14,10992.0,10937.0
2023-12-23,10904.0,10904.0,10904.0,10904.0,9791792,898,4,10937.0,10904.0
2023-12-24,10906.0,10906.0,10906.0,10906.0,1134224,104,1,10904.0,10906.0
2023-12-25,10872.0,11660.0,10871.0,11159.0,19934389621,1786339,39,10906.0,10911.0
2023-12-26,10856.0,10900.0,10822.0,10876.0,3953479782,363492,13,11159.0,10846.0
2023-12-27,10826.0,10826.0,10826.0,10826.0,9212926,851,5,10876.0,10826.0
2023-12-30,11000.0,11000.0,10930.0,10940.0,1286540995,117597,7,10826.0,10935.0
2023-12-31,10944.0,10950.0,10890.0,10939.0,1154791308,105562,10,10940.0,10890.0
2024-01-01,10892.0,10892.0,10830.0,10850.0,112493086,10368,9,10939.0,10830.0
2024-01-02,10825.0,10825.0,10801.0,10807.0,58868255,5447,2,10850.0,10801.0
2024-01-03,10900.0,10900.0,10815.0,10836.0,5753900,531,2,10807.0,10815.0
2024-01-06,10800.0,10800.0,10760.0,10769.0,23240080,2158,2,10836.0,10760.0
2024-01-07,10825.0,10825.0,10805.0,10820.0,158517195,14651,4,10769.0,10805.0
2024-01-08,10775.0,10800.0,10766.0,10786.0,99703852,9244,12,10820.0,10766.0
2024-01-09,10839.0,10839.0,10760.0,10835.0,77001173,7107,6,10786.0,10760.0
2024-01-10,10830.0,11670.0,10790.0,11149.0,16570292569,1486249,58,10835.0,10790.0
2024-01-13,10770.0,10838.0,10740.0,10769.0,3804920869,353315,29,11149.0,10825.0
2024-01-14,10840.0,10899.0,10840.0,10852.0,1212036337,111689,12,10769.0,10880.0
2024-01-15,10860.0,10860.0,10850.0,10860.0,1645275000,151500,7,10852.0,10850.0
2024-01-16,10800.0,11700.0,10800.0,11194.0,7138197535,637684,28,10860.0,10910.0
2024-01-17,10810.0,10870.0,10730.0,10780.0,3333811984,309260,14,11194.0,10790.0
2024-01-20,10770.0,10850.0,10650.0,10750.0,81133160,7547,10,10780.0,10650.0
2024-01-21,10650.0,10740.0,10650.0,10707.0,2257475450,210835,10,10750.0,10740.0
2024-01-22,10715.0,10715.0,10610.0,10640.0,2574746415,241977,6,10707.0,10625.0
2024-01-23,10625.0,10625.0,10550.0,10610.0,785007270,73990,9,10640.0,10570.0
2024-01-24,10560.0,10620.0,10560.0,10617.0,346011300,32590,5,10610.0,10620.0
2024-01-27,10620.0,10660.0,10620.0,10646.0,748379280,70300,6,10617.0,10660.0
2024-01-28,10670.0,10670.0,10550.0,10605.0,4812408100,453800,12,10646.0,10592.0
2024-01-29,10740.0,10740.0,10660.0,10689.0,559130860,52307,6,10605.0,10660.0
2024-01-30,10660.0,10660.0,10600.0,10627.0,23380000,2200,3,10689.0,10600.0
2024-01-31,10590.0,10620.0,10590.0,10619.0,10810020,1018,4,10627.0,10620.0
2024-02-03,10660.0,10681.0,10660.0,10663.0,6344695,595,2,10619.0,10681.0
2024-02-04,10631.0,10631.0,10630.0,10630.0,108319890,10190,2,10663.0,10630.0
2024-02-05,10630.0,10650.0,10630.0,10645.0,13828370,1299,2,10630.0,10650.0
2024-02-06,10674.0,10674.0,10674.0,10674.0,3042090,285,1,10645.0,10674.0
2024-02-07,10640.0,10680.0,10640.0,10680.0,42731799760,4001109,6,10674.0,10680.0
2024-02-10,10700.0,10700.0,10700.0,10700.0,3049500,285,1,10680.0,10700.0
2024-02-12,10660.0,10660.0,10660.0,10660.0,540248800,50680,2,10700.0,10660.0
2024-02-13,10660.0,10730.0,10660.0,10700.0,54552460120,5098455,13,10660.0,10700.0
2024-02-14,10666.0,10690.0,10580.0,10592.0,122918414,11605,4,10700.0,10580.0
