date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-08-08,12807.0,12807.0,12807.0,12807.0,698040924480,54504640,1139,1000.0,12807.0
2021-08-09,13063.0,13063.0,12551.0,12856.0,435576315108,33882478,1966,12807.0,12580.0
2021-08-10,12878.0,12888.0,12599.0,12681.0,140171226108,11053555,803,12856.0,12602.0
2021-08-11,12700.0,12800.0,12428.0,12478.0,175873069714,14094931,994,12681.0,12730.0
2021-08-14,12690.0,12727.0,12488.0,12521.0,14503250335,1148424,247,12478.0,12678.0
2021-08-15,12708.0,12771.0,12699.0,12619.0,24136556830,1896257,275,12521.0,12708.0
2021-08-22,12840.0,12840.0,12619.0,12692.0,28373742606,2225293,255,12619.0,12745.0
2021-08-23,12800.0,12800.0,12441.0,12729.0,32971260766,2586072,267,12692.0,12700.0
2021-08-24,12856.0,12856.0,12655.0,12767.0,33507712190,2620353,243,12729.0,12788.0
2021-08-25,12600.0,12837.0,12600.0,12769.0,31103202358,2435506,225,12767.0,12831.0
2021-08-28,12833.0,12867.0,12741.0,12774.0,44908896626,3515382,299,12769.0,12769.0
2021-08-29,12849.0,12950.0,12849.0,12830.0,24538491821,1903583,274,12774.0,12904.0
2021-08-30,12958.0,12970.0,12835.0,12891.0,24666762254,1903614,230,12830.0,12958.0
2021-08-31,13019.0,13070.0,13019.0,12915.0,8822464645,676890,159,12891.0,13069.0
2021-09-01,13044.0,13149.0,12785.0,12918.0,6056619319,468170,157,12915.0,12915.0
2021-09-04,13090.0,13090.0,12900.0,12924.0,6778880286,522778,173,12918.0,12920.0
2021-09-05,12924.0,13000.0,12924.0,12924.0,5671593133,438709,150,12924.0,12924.0
2021-09-06,12998.0,12998.0,12670.0,12924.0,3156082407,244168,87,12924.0,12928.0
2021-09-08,13000.0,13001.0,12930.0,12938.0,10379667509,798669,251,12924.0,12990.0
2021-09-11,13000.0,13000.0,12561.0,12934.0,13053415000,1010148,220,12938.0,12938.0
2021-09-12,12934.0,12934.0,12570.0,12908.0,6521755305,512390,127,12934.0,12675.0
2021-09-13,12650.0,12970.0,12647.0,12887.0,11949652019,932194,192,12908.0,12910.0
2021-09-14,12887.0,12976.0,12887.0,12887.0,3679976724,285419,123,12887.0,12949.0
2021-09-15,12887.0,12950.0,12887.0,12887.0,4114227866,319163,153,12887.0,12899.0
2021-09-18,12501.0,12900.0,12501.0,12879.0,11973041121,931543,124,12887.0,12629.0
2021-09-19,12493.0,12700.0,12493.0,12856.0,4376145238,347027,84,12879.0,12621.0
2021-09-20,12599.0,12750.0,12599.0,12826.0,11631143282,914103,119,12856.0,12727.0
2021-09-21,12698.0,12850.0,12600.0,12820.0,12231118986,955562,146,12826.0,12839.0
2021-09-22,12825.0,12850.0,12692.0,12818.0,14994077851,1170254,138,12820.0,12840.0
2021-09-25,12882.0,12900.0,12750.0,12819.0,4532840245,353241,105,12818.0,12820.0
2021-09-26,12883.0,12999.0,12819.0,12821.0,3490182419,271697,106,12819.0,12999.0
2021-09-28,12950.0,12950.0,12821.0,12822.0,3231498337,251713,94,12821.0,12850.0
2021-09-29,12886.0,12899.0,12800.0,12822.0,8530217908,665347,124,12822.0,12830.0
2021-10-02,12886.0,12986.0,12822.0,12824.0,5462368023,425283,144,12822.0,12895.0
2021-10-03,12830.0,12900.0,12800.0,12825.0,3912523745,304892,78,12824.0,12824.0
2021-10-04,12890.0,12999.0,12825.0,12829.0,3904221153,303140,103,12825.0,12949.0
2021-10-06,12893.0,13000.0,12829.0,12833.0,4196946584,325855,98,12829.0,12830.0
2021-10-09,12897.0,12899.0,12833.0,12833.0,3126478207,243528,95,12833.0,12850.0
2021-10-10,12840.0,12900.0,12833.0,12834.0,5352782335,416780,118,12833.0,12850.0
2021-10-11,12840.0,12950.0,12780.0,12835.0,7062413072,550035,116,12834.0,12834.0
2021-10-12,12840.0,12910.0,12750.0,12834.0,10462062946,815448,111,12835.0,12850.0
2021-10-13,12834.0,12950.0,12705.0,12831.0,7440871215,580605,132,12834.0,12895.0
2021-10-16,12840.0,12980.0,12831.0,12834.0,3057711765,237342,114,12831.0,12970.0
2021-10-17,12980.0,12990.0,12834.0,12837.0,3349838210,259983,122,12834.0,12990.0
2021-10-18,12860.0,12990.0,12837.0,12838.0,2795353231,217560,69,12837.0,12850.0
2021-10-19,12902.0,12995.0,12840.0,12840.0,2320071912,180205,68,12838.0,12845.0
2021-10-20,12900.0,12998.0,12840.0,12841.0,2576899267,200272,65,12840.0,12930.0
2021-10-23,12845.0,12890.0,12778.0,12839.0,8607247252,670901,127,12841.0,12870.0
2021-10-25,12903.0,12903.0,12775.0,12837.0,3746582465,292292,116,12839.0,12840.0
2021-10-30,12840.0,12900.0,12837.0,12837.0,2187363180,170376,53,12837.0,12900.0
2021-10-31,12837.0,12900.0,12700.0,12836.0,3995785332,311698,141,12837.0,12870.0
2021-11-01,12840.0,12940.0,12836.0,12837.0,2519806703,196115,95,12836.0,12920.0
2021-11-02,12840.0,12920.0,12708.0,12835.0,2423037805,189393,99,12837.0,12880.0
2021-11-03,12835.0,12880.0,12450.0,12780.0,10586598138,842040,100,12835.0,12500.0
2021-11-06,12780.0,12800.0,12700.0,12780.0,3085634909,241386,109,12780.0,12780.0
2021-11-07,12785.0,12800.0,12700.0,12778.0,3648474657,286058,106,12780.0,12780.0
2021-11-08,12778.0,12820.0,12714.0,12777.0,2369857769,185876,94,12778.0,12800.0
2021-11-09,12777.0,12800.0,12650.0,12775.0,2593572480,203500,76,12777.0,12777.0
2021-11-10,12776.0,12800.0,12700.0,12773.0,2357744375,185199,72,12775.0,12777.0
2021-11-13,12773.0,12800.0,12645.0,12769.0,2856329985,225000,82,12773.0,12798.0
2021-11-14,12769.0,12798.0,12641.0,12767.0,2493563715,196003,79,12769.0,12798.0
2021-11-15,12767.0,12790.0,12600.0,12758.0,3766421581,297792,85,12767.0,12790.0
2021-11-16,12694.0,12700.0,12575.0,12753.0,2118024450,167696,63,12758.0,12600.0
2021-11-17,12625.0,12800.0,12550.0,12748.0,2075975207,164374,73,12753.0,12740.0
2021-11-20,12620.0,12800.0,12370.0,12738.0,1734376407,139261,64,12748.0,12381.0
2021-11-21,12483.0,12483.0,12356.0,12721.0,2361627069,190831,104,12738.0,12356.0
2021-11-24,12657.0,12730.0,12400.0,12716.0,2503870511,198553,62,12721.0,12657.0
2021-11-27,12589.0,12767.0,12335.0,12696.0,3049481423,246186,81,12716.0,12400.0
2021-11-28,12316.0,12378.0,12316.0,12679.0,2264977919,183868,96,12696.0,12321.0
2021-11-29,12425.0,12500.0,12320.0,12661.0,3209056515,258800,108,12679.0,12489.0
