date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-08-12,10000.0,10000.0,10000.0,10000.0,553183370000,55318337,842,10000.0,10000.0
2023-08-13,10000.0,10000.0,10000.0,10000.0,463488990000,46348899,874,10000.0,10000.0
2023-08-14,10000.0,10000.0,10000.0,10000.0,27389600000,2738960,648,10000.0,10000.0
2023-08-15,10000.0,10000.0,10000.0,10000.0,340760450000,34076045,487,10000.0,10000.0
2023-10-08,10000.0,10002.0,10000.0,10000.0,4802342784,480232,75,10000.0,10000.0
2023-10-09,10000.0,10030.0,9762.0,9986.0,6382798354,639196,233,10000.0,9930.0
2023-10-10,10000.0,10090.0,9750.0,9917.0,2364633127,238448,161,9986.0,9920.0
2023-10-11,10000.0,10000.0,9820.0,9908.0,2691269344,271625,121,9917.0,9957.0
2023-10-14,9900.0,9989.0,9761.0,9921.0,3480501685,350815,76,9908.0,9972.0
2023-10-15,9900.0,9994.0,9500.0,9884.0,2631341740,266218,66,9921.0,9994.0
2023-10-16,9850.0,9998.0,9840.0,9874.0,6453568778,653571,80,9884.0,9988.0
2023-10-17,9920.0,9930.0,9850.0,9887.0,3166180668,320238,67,9874.0,9900.0
2023-10-18,9880.0,9900.0,9860.0,9880.0,794638220,80426,52,9887.0,9870.0
2023-10-21,9860.0,9900.0,9860.0,9896.0,732610996,74032,29,9880.0,9880.0
2023-10-22,9880.0,9979.0,9880.0,9893.0,799482690,80810,25,9896.0,9900.0
2023-10-23,9900.0,9915.0,9880.0,9900.0,815549916,82376,30,9893.0,9915.0
2023-10-24,9870.0,9871.0,9850.0,9868.0,782496000,79300,34,9900.0,9860.0
2023-10-25,9850.0,9900.0,9800.0,9851.0,2349070500,238469,39,9868.0,9850.0
2023-10-28,9850.0,9850.0,9700.0,9766.0,1057846910,108317,51,9851.0,9750.0
2023-10-29,9750.0,9899.0,9750.0,9819.0,337036558,34324,24,9766.0,9899.0
2023-10-30,9850.0,9890.0,9850.0,9866.0,714285080,72401,47,9819.0,9880.0
2023-10-31,9870.0,9870.0,9820.0,9847.0,803384280,81589,24,9866.0,9850.0
2023-11-01,9850.0,9860.0,9750.0,9821.0,1958840850,199450,23,9847.0,9830.0
2023-11-04,9900.0,9920.0,9890.0,9903.0,1409392500,142323,31,9821.0,9900.0
2023-11-05,9900.0,10090.0,9900.0,10013.0,1546703016,154464,56,9903.0,10024.0
2023-11-06,10050.0,10050.0,9980.0,10003.0,1541183280,154074,28,10013.0,10000.0
2023-11-07,10000.0,10059.0,9950.0,9999.0,3782321919,378281,83,10003.0,10059.0
2023-11-08,10000.0,10000.0,9980.0,9998.0,1703916373,170429,36,9999.0,10000.0
2023-11-11,10000.0,10020.0,9980.0,9993.0,2030885480,203226,27,9998.0,9980.0
2023-11-12,9980.0,10010.0,9980.0,10001.0,1938880642,193877,30,9993.0,10000.0
2023-11-13,10000.0,10000.0,9980.0,10000.0,20785569805,2078561,27,10001.0,10000.0
2023-11-14,9970.0,10000.0,9950.0,9977.0,974021075,97630,23,10000.0,9985.0
2023-11-15,9950.0,9960.0,9950.0,9950.0,218015550,21911,24,9977.0,9950.0
2023-11-18,9930.0,9940.0,9930.0,9930.0,348802280,35126,16,9950.0,9930.0
2023-11-19,9950.0,9960.0,9950.0,9950.0,262135140,26344,10,9930.0,9960.0
2023-11-20,9920.0,9950.0,9850.0,9907.0,1007850684,101734,43,9950.0,9948.0
2023-11-21,9930.0,9940.0,9930.0,9931.0,98941590,9963,7,9907.0,9930.0
2023-11-22,10020.0,10020.0,9920.0,9989.0,882285990,88326,22,9931.0,9920.0
2023-11-25,9950.0,9950.0,9950.0,9950.0,213875250,21495,10,9989.0,9950.0
2023-11-26,9920.0,10000.0,9920.0,9967.0,138426240,13889,9,9950.0,9990.0
2023-11-27,10000.0,10000.0,10000.0,10000.0,44910000,4491,6,9967.0,10000.0
2023-11-28,9975.0,10045.0,9975.0,10015.0,200807058479,20050575,80,10000.0,10045.0
2023-11-29,10031.0,10070.0,10000.0,10040.0,1794892960,178776,34,10015.0,10070.0
2023-12-02,10075.0,10150.0,10050.0,10094.0,4631973684,458899,63,10040.0,10150.0
2023-12-03,10149.0,10350.0,10050.0,10177.0,109966560069,10805636,110,10094.0,10260.0
2023-12-04,10399.0,10490.0,10120.0,10320.0,33681209061,3263757,81,10177.0,10250.0
2023-12-05,10260.0,10300.0,10100.0,10257.0,28972937724,2824829,109,10320.0,10300.0
2023-12-06,10200.0,10280.0,10150.0,10200.0,2639138050,258744,33,10257.0,10200.0
2023-12-09,10250.0,10490.0,10170.0,10238.0,630820040,61616,22,10200.0,10170.0
2023-12-10,10220.0,10340.0,10200.0,10236.0,1253338000,122443,29,10238.0,10330.0
2023-12-11,10250.0,10270.0,10199.0,10238.0,2188206661,213742,22,10236.0,10260.0
2023-12-12,10300.0,10379.0,10250.0,10373.0,25553214430,2463447,24,10238.0,10350.0
2023-12-13,10250.0,10260.0,10220.0,10240.0,739041000,72174,15,10373.0,10260.0
2023-12-16,10250.0,10350.0,10250.0,10270.0,572682300,55764,19,10240.0,10350.0
2023-12-18,10350.0,10400.0,10300.0,10327.0,10724081371,1038480,34,10270.0,10325.0
2023-12-19,10350.0,10400.0,10250.0,10306.0,2073183986,201158,38,10327.0,10360.0
2023-12-20,10550.0,10550.0,10250.0,10298.0,2798837082,271793,31,10306.0,10429.0
2023-12-23,10300.0,10480.0,10250.0,10310.0,3037449183,294616,23,10298.0,10418.0
2023-12-24,10350.0,10470.0,10250.0,10417.0,14750496350,1415971,34,10310.0,10350.0
2023-12-25,10300.0,10340.0,10200.0,10250.0,4073499960,397405,45,10417.0,10340.0
2023-12-26,10270.0,10350.0,10200.0,10216.0,3736429080,365738,28,10250.0,10340.0
2023-12-27,10300.0,10350.0,10200.0,10259.0,3429657250,334300,36,10216.0,10300.0
2023-12-30,10300.0,10300.0,10200.0,10277.0,2900215075,282204,33,10259.0,10275.0
2023-12-31,10300.0,10400.0,10275.0,10292.0,513577500,49900,8,10277.0,10380.0
2024-01-01,10300.0,10300.0,10200.0,10299.0,32328007065,3139067,34,10292.0,10250.0
2024-01-02,10275.0,10300.0,10200.0,10236.0,1430743800,139769,17,10299.0,10300.0
2024-01-03,10250.0,10250.0,10175.0,10219.0,1340611850,131186,15,10236.0,10225.0
2024-01-06,10225.0,10300.0,10200.0,10211.0,589473400,57727,14,10219.0,10300.0
2024-01-07,10250.0,10400.0,10200.0,10335.0,32922185430,3185586,29,10211.0,10300.0
2024-01-08,10250.0,10275.0,10200.0,10226.0,1535903476,150193,16,10335.0,10250.0
2024-01-09,10241.0,10300.0,10225.0,10234.0,192924700,18852,12,10226.0,10300.0
2024-01-10,10250.0,10298.0,10200.0,10231.0,2600868964,254214,36,10234.0,10290.0
2024-01-13,10275.0,10340.0,10200.0,10250.0,3645983246,355704,50,10231.0,10330.0
2024-01-14,10254.0,10550.0,10225.0,10489.0,71113028447,6779879,76,10250.0,10550.0
2024-01-15,10400.0,10500.0,10301.0,10389.0,2352122588,226409,24,10489.0,10400.0
2024-01-16,10400.0,10500.0,10300.0,10393.0,8388190450,807133,38,10389.0,10400.0
2024-01-17,10400.0,10530.0,10350.0,10471.0,9856066700,941279,35,10393.0,10530.0
2024-01-20,10225.0,10530.0,10225.0,10299.0,305810798,29693,11,10471.0,10250.0
2024-01-21,10300.0,10300.0,10300.0,10300.0,110931000,10770,2,10299.0,10300.0
2024-01-22,10250.0,10250.0,10200.0,10229.0,562588450,55000,6,10300.0,10250.0
2024-01-23,10250.0,10449.0,10200.0,10234.0,590303540,57679,18,10229.0,10250.0
2024-01-24,10250.0,10450.0,10250.0,10379.0,242845003150,23397423,41,10234.0,10310.0
2024-01-27,10231.0,10329.0,10200.0,10327.0,31619952180,3061966,23,10379.0,10250.0
2024-01-28,10275.0,10330.0,10200.0,10273.0,747327950,72749,14,10327.0,10330.0
2024-01-29,10200.0,10200.0,10150.0,10165.0,956987298,94144,12,10273.0,10200.0
2024-01-30,10250.0,10275.0,10200.0,10240.0,3025129024,295420,32,10165.0,10250.0
2024-01-31,10250.0,10400.0,10200.0,10314.0,18998804000,1842060,15,10240.0,10260.0
2024-02-03,10326.0,10500.0,10260.0,10331.0,730986160,70758,15,10314.0,10260.0
2024-02-04,10350.0,10350.0,10275.0,10324.0,522764350,50634,8,10331.0,10275.0
