date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-06-27,5800.0,5973.0,5626.0,5792.0,85825905102,14816785,1279,1000.0,5626.0
2023-06-28,5620.0,5620.0,5620.0,5620.0,951505340,169307,13,5792.0,5620.0
2023-07-01,5460.0,5460.0,5460.0,5460.0,2202498480,403388,27,5620.0,5460.0
2023-07-02,5300.0,5460.0,5300.0,5310.0,371288183020,69908973,3746,5460.0,5380.0
2023-07-03,5460.0,5460.0,5460.0,5460.0,11823362460,2165451,144,5310.0,5460.0
2023-07-04,5620.0,5620.0,5500.0,5610.0,186189315380,33180721,1853,5460.0,5620.0
2023-07-05,5510.0,5660.0,5450.0,5510.0,59974180020,10879599,716,5610.0,5520.0
2023-07-08,5570.0,5670.0,5460.0,5620.0,36350278310,6464259,399,5510.0,5670.0
2023-07-09,5780.0,5780.0,5780.0,5780.0,17354317060,3002477,162,5620.0,5780.0
2023-07-10,5950.0,5950.0,5950.0,5950.0,4395181700,738686,57,5780.0,5950.0
2023-07-11,6120.0,6120.0,5820.0,6070.0,200711516870,33066125,1802,5950.0,5860.0
2023-07-12,5990.0,6250.0,5900.0,6220.0,124678305580,20060625,1109,6070.0,6250.0
2023-07-15,6400.0,6400.0,6400.0,6400.0,8553881600,1336544,63,6220.0,6400.0
2023-07-16,6590.0,6590.0,6590.0,6590.0,5227530680,793252,53,6400.0,6590.0
2023-07-17,6780.0,6780.0,6600.0,6770.0,104414273370,15424636,810,6590.0,6780.0
2023-07-18,6970.0,6970.0,6970.0,6970.0,55096009920,7904736,369,6770.0,6970.0
2023-07-19,7050.0,7170.0,6770.0,7030.0,123467927310,17562558,1215,6970.0,6940.0
2023-07-22,7100.0,7240.0,6930.0,7150.0,39550585870,5535380,497,7030.0,7240.0
2023-07-23,7360.0,7360.0,7360.0,7360.0,36430645760,4949816,310,7150.0,7360.0
2023-07-24,7580.0,7580.0,7370.0,7580.0,89337628870,11792849,719,7360.0,7580.0
2023-07-25,7630.0,7790.0,7360.0,7580.0,22927989180,3026727,238,7580.0,7360.0
2023-07-26,7360.0,7360.0,7360.0,7360.0,579968000,78800,8,7580.0,7360.0
2023-07-29,7140.0,7140.0,7140.0,7140.0,3460429560,484654,38,7360.0,7140.0
2023-07-30,6930.0,6930.0,6930.0,6930.0,1824329430,263251,13,7140.0,6930.0
2023-07-31,6730.0,6730.0,6730.0,6730.0,830111850,123345,8,6930.0,6730.0
2023-08-01,6530.0,6690.0,6530.0,6550.0,105487366900,16114565,854,6730.0,6530.0
2023-08-05,6360.0,6360.0,6360.0,6360.0,2196731280,345398,28,6550.0,6360.0
2023-08-06,6170.0,6170.0,6170.0,6170.0,738857500,119750,7,6360.0,6170.0
2023-08-07,5990.0,5990.0,5990.0,5990.0,2863573410,478059,41,6170.0,5990.0
2023-08-08,5820.0,5820.0,5820.0,5820.0,3283975740,564257,50,5990.0,5820.0
2023-08-09,5650.0,5650.0,5650.0,5650.0,7471486550,1322387,90,5820.0,5650.0
2023-08-12,5490.0,5490.0,5490.0,5490.0,521571960,95004,8,5650.0,5490.0
2023-08-13,5330.0,5330.0,5330.0,5330.0,2573377300,482810,28,5490.0,5330.0
2023-08-14,5180.0,5190.0,5180.0,5180.0,79815797380,15408354,835,5330.0,5180.0
2023-08-15,5030.0,5030.0,5030.0,5030.0,19514342730,3879591,207,5180.0,5030.0
2023-08-16,4880.0,4980.0,4880.0,4880.0,81566688370,16705382,849,5030.0,4880.0
2023-08-19,4740.0,4740.0,4740.0,4740.0,4047230040,853846,49,4880.0,4740.0
2023-08-20,4600.0,4600.0,4600.0,4600.0,4198746600,912771,40,4740.0,4600.0
2023-08-21,4470.0,4470.0,4470.0,4470.0,14728761750,3295025,170,4600.0,4470.0
2023-08-22,4340.0,4340.0,4340.0,4340.0,139932888340,32242601,1410,4470.0,4340.0
