date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-07-04,48000.0,50400.0,45600.0,48625.0,287873002927,5920292,1904,1000.0,49300.0
2020-07-05,50370.0,51056.0,47001.0,50704.0,503687581209,9933811,2123,48625.0,51056.0
2020-07-06,53239.0,53239.0,53239.0,53239.0,25116509791,471769,323,50704.0,53239.0
2020-07-07,55900.0,55900.0,55300.0,55882.0,168211499996,3010112,1247,53239.0,55900.0
2020-07-08,58676.0,58676.0,53088.0,53886.0,379452843235,7041792,2751,55882.0,53088.0
2020-07-11,51210.0,56580.0,51210.0,54317.0,428788865719,7894152,2273,53886.0,56000.0
2020-07-12,57032.0,57032.0,57032.0,57032.0,56377386704,988522,323,54317.0,57032.0
2020-07-13,59883.0,59883.0,58000.0,59793.0,247542127816,4139988,1045,57032.0,59883.0
2020-07-14,61444.0,62782.0,61010.0,62619.0,202792954054,3238501,1098,59793.0,62782.0
2020-07-15,63000.0,65749.0,62782.0,65306.0,243497400765,3728580,1388,62619.0,64300.0
2020-07-18,62041.0,65980.0,62041.0,62665.0,544718640422,8692511,2125,65306.0,63450.0
2020-07-19,63000.0,65798.0,62130.0,65228.0,323797569959,4964098,941,62665.0,65798.0
2020-07-20,68488.0,68489.0,66000.0,68355.0,455273528553,6660391,1215,65228.0,67170.0
2020-07-22,64938.0,69990.0,64938.0,66353.0,261283111781,3937754,1511,68355.0,66800.0
2020-07-25,66101.0,69670.0,63036.0,64089.0,1030802847428,16083919,2167,66353.0,63036.0
2020-07-26,63100.0,64099.0,60885.0,61667.0,614556931813,9965784,1393,64089.0,60885.0
2020-07-27,58584.0,58600.0,58584.0,58584.0,109017175040,1860867,426,61667.0,58584.0
2020-07-28,55655.0,59450.0,55655.0,57302.0,276128248053,4818803,1231,58584.0,55655.0
2020-07-29,54440.0,57250.0,54437.0,54484.0,124284312261,2281127,755,57302.0,54550.0
2020-08-01,54110.0,57208.0,54110.0,57122.0,138024084560,2416313,511,54484.0,57208.0
2020-08-02,59000.0,59978.0,55000.0,59630.0,241000564596,4041628,730,57122.0,59978.0
2020-08-03,60021.0,59978.0,56649.0,57043.0,20793850369,364530,215,59630.0,56649.0
2020-08-04,54201.0,56929.0,54191.0,54200.0,183628090091,3387982,586,57043.0,54201.0
2020-08-05,53899.0,53899.0,51490.0,51999.0,95883824049,1843939,632,54200.0,53088.0
2020-08-09,50201.0,54598.0,50201.0,53306.0,77819787218,1459877,631,51999.0,54598.0
2020-08-10,54600.0,54600.0,50641.0,50998.0,113689850922,2229321,514,53306.0,51001.0
2020-08-11,48750.0,51990.0,48449.0,48879.0,73201534114,1497595,352,50998.0,50000.0
2020-08-12,47011.0,51290.0,46436.0,47328.0,102586397865,2167549,346,48879.0,46438.0
2020-08-15,44962.0,46438.0,44962.0,44964.0,63420639276,1410491,311,47328.0,44962.0
2020-08-16,43000.0,43900.0,42716.0,42741.0,67284726708,1574260,279,44964.0,43000.0
2020-08-17,40750.0,44878.0,40750.0,42931.0,27234718266,634382,297,42741.0,44878.0
2020-08-18,45077.0,45077.0,40785.0,44892.0,85693176367,1908893,307,42931.0,43550.0
2020-08-19,42648.0,42648.0,42648.0,42648.0,137639596320,3227340,84,44892.0,42648.0
2020-08-22,42660.0,44480.0,40516.0,41628.0,55561008490,1334692,457,42648.0,41210.0
2020-08-23,39570.0,41620.0,39547.0,39629.0,79942579433,2017258,246,41628.0,39547.0
2020-08-24,38100.0,38600.0,37648.0,37652.0,190725329477,5065432,403,39629.0,37648.0
2020-08-25,38100.0,39534.0,38100.0,39527.0,183948260658,4653789,227,37652.0,39534.0
2020-08-26,41503.0,41503.0,41000.0,41503.0,400931977701,9660410,822,39527.0,41503.0
2021-02-17,46100.0,46100.0,46100.0,46100.0,109756585700,2380837,33,41503.0,46100.0
2023-12-23,16090.0,16090.0,15290.0,15480.0,19155388300,1237430,419,46100.0,15290.0
2023-12-24,15050.0,15050.0,14710.0,14740.0,7466975500,506455,363,15480.0,14710.0
2023-12-25,14010.0,14010.0,14010.0,14010.0,2278992690,162669,107,14740.0,14010.0
2023-12-26,13310.0,13420.0,13310.0,13310.0,60422597190,4539119,344,14010.0,13310.0
2023-12-27,12690.0,13100.0,12650.0,12730.0,35327381690,2774456,681,13310.0,12980.0
2023-12-30,12970.0,13090.0,12730.0,12870.0,17136822440,1331695,367,12730.0,12900.0
