date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-01-15,10000.0,10000.0,10000.0,10000.0,94184940000,9418494,186,10000.0,10000.0
2022-01-16,10000.0,10000.0,10000.0,10000.0,1076370000,107637,40,10000.0,10000.0
2022-01-17,10000.0,10000.0,10000.0,10000.0,7792920000,779292,42,10000.0,10000.0
2022-01-18,10000.0,10000.0,10000.0,10000.0,8631390000,863139,62,10000.0,10000.0
2022-01-19,10000.0,10000.0,10000.0,10000.0,96784240000,9678424,150,10000.0,10000.0
2022-03-09,10281.0,10282.0,10281.0,10281.0,7976073739,775807,32,10000.0,10281.0
2022-03-12,10298.0,10300.0,10298.0,10298.0,13966898276,1356209,63,10281.0,10298.0
2022-03-13,10305.0,10305.0,10304.0,10304.0,4594165526,445860,23,10298.0,10304.0
2022-03-14,10309.0,10310.0,10309.0,10310.0,5774783080,560120,12,10304.0,10310.0
2022-03-15,10315.0,10317.0,10315.0,10316.0,30322498155,2939415,76,10310.0,10316.0
2022-03-16,10322.0,10323.0,10321.0,10322.0,56178003595,5442736,100,10316.0,10322.0
2022-03-19,10340.0,10345.0,10338.0,10339.0,59387739205,5743864,136,10322.0,10345.0
2022-03-26,10382.0,10383.0,10378.0,10380.0,1223440310,117862,13,10339.0,10382.0
2022-03-27,10387.0,10389.0,10387.0,10388.0,5563594585,535596,29,10380.0,10388.0
2022-03-29,10401.0,10403.0,10400.0,10401.0,16203299488,1557907,60,10388.0,10400.0
2022-03-30,10406.0,10407.0,10405.0,10406.0,880787914,84644,17,10401.0,10406.0
2022-04-03,10431.0,10431.0,10428.0,10429.0,20339934283,1950239,52,10406.0,10430.0
2022-04-04,10348.0,10437.0,10348.0,10435.0,18030821251,1727954,56,10429.0,10436.0
2022-04-05,10441.0,10443.0,10441.0,10441.0,16827047389,1611581,56,10435.0,10443.0
2022-04-06,10449.0,10449.0,10448.0,10448.0,36380880735,3482046,80,10441.0,10448.0
2022-04-09,10465.0,10466.0,10465.0,10466.0,4441692797,424412,29,10448.0,10465.0
2022-04-10,10471.0,10472.0,10471.0,10472.0,12262942295,1171061,36,10466.0,10472.0
2022-04-11,10477.0,10478.0,10477.0,10477.0,5446568975,519841,22,10472.0,10477.0
2022-04-12,10482.0,10483.0,10482.0,10483.0,13996579285,1335179,43,10477.0,10483.0
2022-04-13,10487.0,10489.0,10487.0,10488.0,4581967849,436868,29,10483.0,10489.0
2022-04-16,10505.0,10506.0,10505.0,10505.0,12347632685,1175363,32,10488.0,10506.0
2022-04-17,10602.0,10602.0,10511.0,10512.0,31455440540,2992345,89,10505.0,10512.0
2022-04-18,10517.0,10518.0,10517.0,10518.0,16731933034,1590798,37,10512.0,10518.0
2022-04-19,10522.0,10523.0,10522.0,10522.0,32260745949,3065932,75,10518.0,10522.0
2022-04-20,10531.0,10532.0,10531.0,10532.0,10517300995,998613,35,10522.0,10532.0
2022-04-24,10551.0,10552.0,10551.0,10551.0,5235885068,496235,27,10532.0,10552.0
2022-04-25,10557.0,10558.0,10557.0,10558.0,15048451844,1425324,66,10551.0,10558.0
2022-04-26,10565.0,10565.0,10564.0,10565.0,3898660039,369031,37,10558.0,10565.0
2022-04-27,10571.0,10576.0,10570.0,10572.0,116025665092,10975139,225,10565.0,10571.0
2022-04-30,10593.0,10594.0,10593.0,10594.0,13513313491,1275621,67,10572.0,10594.0
2022-05-01,10602.0,10603.0,10601.0,10602.0,64719247069,6104440,148,10594.0,10602.0
2022-05-02,10610.0,10612.0,10610.0,10610.0,21383745014,2015348,71,10602.0,10611.0
2022-05-07,10628.0,10629.0,10628.0,10628.0,21400479423,2013571,74,10610.0,10629.0
2022-05-08,10634.0,10635.0,10634.0,10634.0,21781056621,2048236,62,10628.0,10635.0
2022-05-09,10640.0,10641.0,10640.0,10640.0,36285357101,3410267,93,10634.0,10640.0
2022-05-10,10647.0,10648.0,10647.0,10647.0,3969103863,372786,26,10640.0,10648.0
2022-05-11,10654.0,10655.0,10654.0,10655.0,9360250213,878501,32,10647.0,10655.0
2022-05-14,10673.0,10674.0,10672.0,10673.0,83512617388,7824686,179,10655.0,10673.0
2022-05-15,10680.0,10681.0,10679.0,10681.0,7446374978,697192,29,10673.0,10679.0
2022-05-16,10686.0,10687.0,10686.0,10686.0,68951251324,6452478,115,10681.0,10686.0
2022-05-17,10692.0,10693.0,10692.0,10693.0,7931077160,741730,23,10686.0,10693.0
2022-05-18,10698.0,10702.0,10698.0,10701.0,39690048357,3709057,58,10693.0,10702.0
2022-05-21,10720.0,10721.0,10719.0,10720.0,50177688031,4680769,100,10701.0,10720.0
2022-05-22,10728.0,10728.0,10727.0,10728.0,92601863950,8631810,179,10720.0,10728.0
2022-05-23,10735.0,10735.0,10734.0,10735.0,7799392530,726549,34,10728.0,10735.0
2022-05-24,10742.0,10742.0,10741.0,10742.0,59545623518,5543262,127,10735.0,10741.0
2022-05-25,10748.0,10750.0,10748.0,10749.0,112803018453,10494297,213,10742.0,10749.0
2022-05-28,10771.0,10793.0,10770.0,10780.0,53071049021,4922947,126,10749.0,10775.0
2022-05-29,10801.0,10835.0,10799.0,10806.0,39638315913,3668096,146,10780.0,10835.0
2022-05-30,10825.0,11087.0,10825.0,10888.0,38555651864,3541103,296,10806.0,10900.0
2022-05-31,10896.0,10896.0,10895.0,10896.0,177764343518,16315332,433,10888.0,10896.0
2022-06-01,10911.0,10911.0,10910.0,10911.0,44624355449,4089930,195,10896.0,10911.0
2022-06-06,11000.0,11080.0,10939.0,10940.0,93029452787,8503671,320,10911.0,10940.0
2022-06-07,10948.0,10948.0,10947.0,10948.0,149334221010,13640553,395,10940.0,10948.0
2022-06-08,11100.0,11100.0,10955.0,10968.0,51696492029,4713280,222,10948.0,10975.0
2022-06-11,10994.0,11057.0,10982.0,10996.0,39758207241,3615762,257,10968.0,10999.0
2022-06-12,11081.0,11119.0,11007.0,11078.0,29915100463,2700488,247,10996.0,11110.0
2022-06-13,11194.0,11283.0,11120.0,11220.0,56140181364,5003468,394,11078.0,11239.0
2022-06-14,11289.0,11333.0,11216.0,11263.0,70323177549,6243928,486,11220.0,11331.0
2022-06-15,11390.0,11490.0,11280.0,11408.0,76975942935,6747680,605,11263.0,11479.0
2022-06-18,11446.0,11597.0,11434.0,11511.0,119899455088,10415720,744,11408.0,11586.0
2022-06-19,11655.0,11655.0,11320.0,11526.0,138960750140,12055825,1082,11511.0,11440.0
2022-06-20,11430.0,11475.0,11212.0,11362.0,283573351786,24958652,1353,11526.0,11369.0
2022-06-21,11368.0,11369.0,11211.0,11308.0,129676285899,11467570,553,11362.0,11270.0
2022-06-22,11309.0,11313.0,11308.0,11308.0,84602064217,7481425,388,11308.0,11308.0
2022-06-25,11326.0,11327.0,11324.0,11326.0,80333544558,7092895,260,11308.0,11326.0
2022-06-26,11331.0,11332.0,11331.0,11331.0,9908195630,874407,80,11326.0,11331.0
2022-06-27,11338.0,11339.0,11337.0,11337.0,28217040387,2488845,124,11331.0,11337.0
2022-06-28,11344.0,11345.0,11343.0,11343.0,12416812052,1094645,73,11337.0,11345.0
2022-06-29,11350.0,11352.0,11350.0,11351.0,10922013825,962212,76,11343.0,11351.0
2022-07-02,11371.0,11372.0,11370.0,11370.0,16130822896,1418669,102,11351.0,11370.0
2022-07-03,11377.0,11378.0,11376.0,11376.0,53689758958,4719510,136,11370.0,11378.0
2022-07-04,11383.0,11384.0,11383.0,11384.0,14714951913,1292631,68,11376.0,11383.0
2022-07-05,11391.0,11393.0,11391.0,11392.0,62846942428,5516847,128,11384.0,11393.0
2022-07-06,11399.0,11401.0,11399.0,11399.0,7828423037,686734,48,11392.0,11401.0
2022-07-09,11418.0,11420.0,11418.0,11419.0,48124974001,4214455,103,11399.0,11419.0
2022-07-11,11434.0,11436.0,11433.0,11434.0,16885847333,1476767,82,11419.0,11434.0
2022-07-12,11441.0,11443.0,11440.0,11441.0,14117692588,1233908,56,11434.0,11442.0
2022-07-13,11449.0,11449.0,11447.0,11448.0,6953868884,607412,50,11441.0,11449.0
2022-07-16,11467.0,11468.0,11466.0,11467.0,13456976919,1173552,87,11448.0,11467.0
2022-07-17,11475.0,11475.0,11473.0,11474.0,6787250904,591522,52,11467.0,11474.0
2022-07-19,11488.0,11488.0,11486.0,11487.0,33787059553,2941335,95,11474.0,11487.0
2022-07-20,11494.0,11496.0,11494.0,11495.0,9159402488,796823,38,11487.0,11494.0
2022-07-23,11513.0,11515.0,11513.0,11514.0,13787584371,1197511,63,11495.0,11513.0
2022-07-24,11522.0,11522.0,11520.0,11521.0,11720121015,1017286,40,11514.0,11520.0
2022-07-25,11527.0,11528.0,11527.0,11528.0,24908968469,2160821,58,11521.0,11527.0
2022-07-26,11534.0,11535.0,11534.0,11534.0,33692959481,2921092,97,11528.0,11535.0
2022-07-27,11541.0,11543.0,11541.0,11542.0,9918775866,859381,40,11534.0,11542.0
2022-07-30,11561.0,11563.0,11561.0,11561.0,8470888985,732686,48,11542.0,11563.0
2022-07-31,11569.0,11570.0,11568.0,11569.0,19145715674,1654955,45,11561.0,11568.0
2022-08-01,11577.0,11578.0,11576.0,11577.0,17533419975,1514564,55,11569.0,11576.0
2022-08-02,11585.0,11587.0,11584.0,11585.0,14608074399,1260934,59,11577.0,11584.0
2022-08-03,11594.0,11594.0,11592.0,11593.0,7276168906,627613,39,11585.0,11594.0
2022-08-06,11610.0,11613.0,11610.0,11612.0,14393208748,1239550,55,11593.0,11611.0
2022-08-09,11631.0,11632.0,11630.0,11630.0,16146138282,1388305,58,11612.0,11630.0
2022-08-10,11637.0,11639.0,11637.0,11638.0,5694200765,489295,32,11630.0,11637.0
2022-08-13,11656.0,11658.0,11656.0,11657.0,7592641005,651348,36,11638.0,11658.0
2022-08-14,11664.0,11664.0,11663.0,11663.0,3645346441,312550,37,11657.0,11663.0
2022-08-15,11670.0,11672.0,11670.0,11670.0,10726339696,919132,34,11663.0,11671.0
2022-08-16,11677.0,11677.0,11676.0,11676.0,2160016240,184990,38,11670.0,11676.0
2022-08-17,11683.0,11684.0,11682.0,11683.0,32242099697,2759793,64,11676.0,11684.0
2022-08-20,11702.0,11704.0,11702.0,11702.0,43863848622,3748388,113,11683.0,11703.0
2022-08-21,11708.0,11711.0,11708.0,11710.0,12370520754,1056448,50,11702.0,11709.0
2022-08-22,11718.0,11718.0,11716.0,11717.0,7275590063,620937,41,11710.0,11716.0
2022-08-23,11723.0,11725.0,11723.0,11724.0,11987436780,1022496,56,11717.0,11724.0
2022-08-24,11730.0,11733.0,11730.0,11731.0,9947028505,847922,40,11724.0,11731.0
2022-08-27,11751.0,11752.0,11750.0,11750.0,19505617472,1660015,74,11731.0,11752.0
2022-08-28,11756.0,11758.0,11756.0,11757.0,4712206487,400801,36,11750.0,11758.0
2022-08-29,11763.0,11764.0,11749.0,11762.0,99336362937,8445868,186,11757.0,11764.0
2022-08-30,11769.0,11771.0,11765.0,11769.0,26903721761,2286020,78,11762.0,11765.0
2022-08-31,11775.0,11776.0,11769.0,11771.0,38602267689,3279419,80,11769.0,11773.0
2022-09-03,11790.0,11792.0,11790.0,11790.0,13326835944,1130307,57,11771.0,11790.0
2022-09-04,11796.0,11797.0,11793.0,11795.0,11296678498,957718,34,11790.0,11797.0
2022-09-05,11802.0,11803.0,11437.0,11789.0,17200868697,1459001,70,11795.0,11437.0
2022-09-06,11808.0,11809.0,11808.0,11808.0,19463372509,1648288,72,11789.0,11809.0
2022-09-07,11817.0,11818.0,11816.0,11817.0,27925507432,2363148,49,11808.0,11818.0
2022-09-10,11836.0,11838.0,11836.0,11837.0,63629471321,5375524,102,11817.0,11838.0
2022-09-11,11845.0,11845.0,11843.0,11843.0,19158697618,1617700,43,11837.0,11844.0
2022-09-12,11849.0,11851.0,11849.0,11849.0,6569521827,554427,26,11843.0,11850.0
2022-09-13,11856.0,11857.0,11855.0,11855.0,8699875552,733854,22,11849.0,11857.0
2022-09-14,11861.0,11863.0,11861.0,11861.0,63698137476,5370339,50,11855.0,11863.0
2022-09-18,11886.0,11887.0,11885.0,11885.0,90244262812,7593027,60,11861.0,11885.0
2022-09-19,11891.0,11893.0,11891.0,11891.0,7833670591,658785,24,11885.0,11891.0
2022-09-20,11897.0,11898.0,11897.0,11897.0,7496295654,630092,26,11891.0,11897.0
2022-09-21,11904.0,11904.0,11903.0,11903.0,41830775472,3514292,29,11897.0,11903.0
2022-09-24,11921.0,11922.0,11921.0,11922.0,4739923547,397591,25,11903.0,11922.0
2022-09-26,11935.0,11936.0,11935.0,11935.0,2140255465,179321,24,11922.0,11935.0
2022-09-28,11948.0,11949.0,11948.0,11948.0,7868682742,658576,39,11935.0,11949.0
2022-10-01,11968.0,11969.0,11968.0,11968.0,19006431746,1588102,28,11948.0,11968.0
2022-10-02,11974.0,11975.0,11974.0,11974.0,23735790398,1982275,14,11968.0,11975.0
2022-10-03,11983.0,11983.0,11981.0,11981.0,74717284175,6236303,79,11974.0,11981.0
2022-10-04,11988.0,11990.0,11988.0,11988.0,3832598018,319698,12,11981.0,11990.0
2022-10-08,12015.0,12017.0,12015.0,12015.0,4877041481,405905,16,11988.0,12017.0
2022-10-09,12022.0,12024.0,12022.0,12022.0,4475992190,372302,19,12015.0,12022.0
2022-10-10,12030.0,12030.0,12029.0,12030.0,18830821605,1565335,18,12022.0,12030.0
2022-10-11,12036.0,12037.0,12036.0,12036.0,25701335092,2135371,50,12030.0,12036.0
2022-10-12,12043.0,12044.0,12043.0,12044.0,38742783636,3216827,72,12036.0,12044.0
2022-10-15,12065.0,12066.0,12065.0,12065.0,6273921720,520003,22,12044.0,12066.0
2022-10-16,12072.0,12073.0,12072.0,12072.0,16707012798,1383932,26,12065.0,12073.0
2022-10-17,12079.0,12080.0,12079.0,12079.0,35792826109,2963189,35,12072.0,12080.0
2022-10-18,12086.0,12086.0,12085.0,12086.0,1068639403,88421,20,12079.0,12086.0
2022-10-19,12092.0,12092.0,12091.0,12092.0,5710935292,472291,34,12086.0,12092.0
2022-10-22,12111.0,12112.0,12111.0,12112.0,16122841683,1331186,42,12092.0,12112.0
2022-10-23,12118.0,12119.0,12118.0,12118.0,7813894472,644809,34,12112.0,12119.0
2022-10-24,12125.0,12126.0,12125.0,12125.0,4737713531,390730,27,12118.0,12125.0
2022-10-25,12132.0,12133.0,12132.0,12132.0,2208023266,181995,37,12125.0,12133.0
2022-10-26,12139.0,12140.0,12139.0,12139.0,42022491988,3461765,43,12132.0,12140.0
2022-10-29,12161.0,12161.0,12160.0,12160.0,8946554500,735721,30,12139.0,12160.0
2022-10-30,12166.0,12167.0,12166.0,12167.0,6609185843,543216,30,12160.0,12167.0
2022-10-31,12173.0,12174.0,12173.0,12174.0,47100960747,3868996,42,12167.0,12173.0
2022-11-01,12181.0,12181.0,12180.0,12180.0,57546959356,4724678,41,12174.0,12180.0
2022-11-02,12187.0,12188.0,12187.0,12187.0,6671820472,547441,26,12180.0,12188.0
2022-11-05,12208.0,12209.0,12208.0,12208.0,7011839811,574358,28,12187.0,12208.0
2022-11-06,12215.0,12216.0,12215.0,12215.0,7828044533,640851,42,12208.0,12215.0
2022-11-07,12222.0,12223.0,12222.0,12223.0,9378686040,767321,50,12215.0,12223.0
2022-11-08,12229.0,12230.0,12229.0,12229.0,12114970709,990652,45,12223.0,12229.0
2022-11-09,12237.0,12237.0,12236.0,12237.0,5194442286,424499,26,12229.0,12236.0
2022-11-12,12257.0,12258.0,12257.0,12258.0,53034114948,4326513,46,12237.0,12258.0
2022-11-13,12265.0,12265.0,12264.0,12264.0,6421183406,523559,43,12258.0,12265.0
2022-11-14,12272.0,12272.0,12271.0,12271.0,9060505139,738360,39,12264.0,12272.0
2022-11-15,12278.0,12279.0,12278.0,12278.0,1263573896,102913,23,12271.0,12279.0
2022-11-16,12285.0,12286.0,12285.0,12286.0,3324983602,270634,27,12278.0,12286.0
2022-11-19,12307.0,12307.0,12306.0,12306.0,6112267904,496680,41,12286.0,12306.0
2022-11-20,12313.0,12314.0,12313.0,12314.0,31092850212,2525065,37,12306.0,12314.0
2022-11-21,12321.0,12321.0,12320.0,12320.0,3093843339,251123,26,12314.0,12321.0
2022-11-22,12328.0,12328.0,12327.0,12328.0,2626120900,213021,12,12320.0,12328.0
2022-11-23,12335.0,12335.0,12334.0,12335.0,3149123347,255310,34,12328.0,12335.0
2022-11-26,12356.0,12356.0,12355.0,12356.0,2450016260,198290,33,12335.0,12356.0
2022-11-27,12363.0,12363.0,12362.0,12362.0,1238507012,100185,18,12356.0,12362.0
2022-11-28,12369.0,12370.0,12369.0,12369.0,9403281411,760208,28,12362.0,12370.0
2022-11-29,12376.0,12377.0,12376.0,12376.0,3661787708,295870,25,12369.0,12377.0
2022-11-30,12383.0,12384.0,12383.0,12384.0,4113134831,332134,14,12376.0,12383.0
2022-12-03,12405.0,12405.0,12404.0,12405.0,7258294634,585124,27,12384.0,12405.0
2022-12-04,12411.0,12412.0,12411.0,12411.0,9624063382,775428,29,12405.0,12411.0
2022-12-05,12418.0,12419.0,12418.0,12418.0,8551341852,688620,25,12411.0,12419.0
2022-12-06,12426.0,12426.0,12425.0,12426.0,1368679472,110149,13,12418.0,12426.0
2022-12-07,12432.0,12433.0,12432.0,12432.0,3902648423,313908,22,12426.0,12433.0
2022-12-10,12454.0,12455.0,12454.0,12454.0,5917450614,475134,23,12432.0,12454.0
2022-12-11,12461.0,12462.0,12461.0,12461.0,5131344727,411784,26,12454.0,12461.0
2022-12-12,12469.0,12469.0,12468.0,12468.0,6435361034,516149,20,12461.0,12468.0
