date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-11-14,10000.0,10000.0,10000.0,10000.0,630920680000,63092068,461,10000.0,10000.0
2023-11-15,10000.0,10000.0,10000.0,10000.0,349079320000,34907932,179,10000.0,10000.0
2023-12-24,10110.0,10150.0,10000.0,10050.0,6528698500,649906,61,10000.0,10000.0
2023-12-25,10030.0,10200.0,9880.0,10000.0,11892958660,1189019,70,10050.0,10020.0
2023-12-26,10000.0,10020.0,9580.0,10000.0,10834727870,1083428,45,10000.0,10020.0
2023-12-27,10000.0,10020.0,10000.0,10000.0,339309220,33928,32,10000.0,10020.0
2023-12-30,10000.0,10030.0,10000.0,10020.0,2295023200,228989,20,10000.0,10030.0
2023-12-31,10030.0,10030.0,10000.0,10010.0,293693540,29347,20,10020.0,10000.0
2024-01-01,10000.0,10030.0,10000.0,10030.0,48429059630,4828509,30,10010.0,10010.0
2024-01-02,10000.0,10050.0,9970.0,10000.0,655989700,65597,21,10030.0,10030.0
2024-01-03,10000.0,10000.0,10000.0,10000.0,590960000,59096,7,10000.0,10000.0
2024-01-06,10000.0,10050.0,9950.0,10030.0,11332437530,1129724,21,10000.0,10020.0
2024-01-07,10000.0,10050.0,10000.0,10030.0,5147090140,513199,18,10030.0,10010.0
2024-01-08,10000.0,10050.0,10000.0,10050.0,39845674200,3964994,24,10030.0,10040.0
2024-01-09,10010.0,10030.0,10000.0,10030.0,10156676140,1012672,18,10050.0,10030.0
2024-01-10,10000.0,10100.0,10000.0,10050.0,1383407040,137621,20,10030.0,10090.0
2024-01-13,10000.0,10180.0,10000.0,10090.0,6194659500,613925,27,10050.0,10050.0
2024-01-14,10190.0,10190.0,10130.0,10180.0,228795780,22464,9,10090.0,10130.0
2024-01-15,10200.0,10200.0,10020.0,10100.0,1147429600,113580,11,10180.0,10100.0
2024-01-16,10000.0,10100.0,10000.0,10080.0,4054090000,402009,14,10100.0,10070.0
2024-01-17,10100.0,10100.0,10060.0,10080.0,5245443620,520376,15,10080.0,10060.0
2024-01-20,10100.0,10100.0,10060.0,10080.0,4031000000,400000,10,10080.0,10060.0
2024-01-21,10010.0,10080.0,10010.0,10020.0,7456140,744,4,10080.0,10080.0
2024-01-22,11020.0,11020.0,10040.0,10090.0,3637743320,360590,19,10020.0,10050.0
2024-01-23,10010.0,10190.0,10000.0,10000.0,453492210,45338,5,10090.0,10010.0
2024-01-24,10000.0,10010.0,10000.0,10000.0,63953000,6395,7,10000.0,10000.0
2024-01-27,10010.0,10150.0,10010.0,10060.0,7948500,790,2,10000.0,10150.0
2024-01-28,10170.0,10950.0,10000.0,10500.0,21119606160,2010739,66,10060.0,10270.0
