date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-05-29,10000.0,10000.0,10000.0,10000.0,400084020000,40008402,852,10000.0,10000.0
2023-05-30,10000.0,10000.0,10000.0,10000.0,196993430000,19699343,1167,10000.0,10000.0
2023-05-31,10000.0,10000.0,10000.0,10000.0,30659090000,3065909,520,10000.0,10000.0
2023-07-09,10281.0,10282.0,10281.0,10281.0,12001987848,1167374,119,10000.0,10282.0
2023-07-10,10288.0,10289.0,10288.0,10289.0,68926263976,6699317,240,10281.0,10289.0
2023-07-11,10296.0,10296.0,10295.0,10296.0,194063353399,18848501,179,10289.0,10295.0
2023-07-12,10007.0,10011.0,10007.0,10008.0,91614971899,9154414,224,10296.0,10007.0
2023-07-15,10027.0,10028.0,10027.0,10027.0,45547898570,4542339,196,10008.0,10027.0
2023-07-16,10034.0,10035.0,10034.0,10034.0,53391042250,5320906,139,10027.0,10035.0
2023-07-17,10041.0,10042.0,10041.0,10041.0,5790643749,576678,94,10034.0,10041.0
2023-07-18,10048.0,10050.0,10048.0,10049.0,99600308125,9911522,127,10041.0,10048.0
2023-07-19,10055.0,10060.0,10055.0,10056.0,3533476018,351369,123,10049.0,10056.0
2023-07-22,10075.0,10076.0,10075.0,10075.0,67427326123,6692280,136,10056.0,10076.0
2023-07-23,10082.0,10084.0,10082.0,10083.0,91719269070,9096689,96,10075.0,10082.0
2023-07-24,10089.0,10091.0,10089.0,10089.0,20935275596,2075031,64,10083.0,10090.0
2023-07-25,10096.0,10097.0,10096.0,10096.0,16662467940,1650358,78,10089.0,10097.0
2023-07-26,10103.0,10106.0,10103.0,10105.0,7574604235,749570,58,10096.0,10106.0
2023-07-29,10123.0,10124.0,10123.0,10123.0,93850895866,9270724,77,10105.0,10124.0
2023-07-30,10130.0,10131.0,10130.0,10130.0,16676940995,1646253,85,10123.0,10130.0
2023-07-31,10137.0,10138.0,10137.0,10137.0,11994955037,1183267,56,10130.0,10137.0
2023-08-01,10144.0,10152.0,10144.0,10145.0,30827393989,3038671,86,10137.0,10144.0
2023-08-05,10171.0,10172.0,10171.0,10171.0,108426241575,10659834,109,10145.0,10172.0
2023-08-06,10178.0,10179.0,10178.0,10178.0,11691358156,1148637,56,10171.0,10179.0
2023-08-07,10185.0,10186.0,10185.0,10185.0,63872585988,6271229,86,10178.0,10186.0
2023-08-08,10193.0,10193.0,10192.0,10192.0,9539820993,935985,60,10185.0,10193.0
2023-08-09,10199.0,10207.0,10199.0,10200.0,9152968418,897337,30,10192.0,10207.0
2023-08-12,10008.0,10008.0,10007.0,10008.0,100732472370,10065445,159,10200.0,10008.0
2023-08-13,10014.0,10015.0,10014.0,10014.0,6456668457,644749,83,10008.0,10015.0
2023-08-14,10021.0,10022.0,10021.0,10021.0,15283178926,1525055,71,10014.0,10021.0
2023-08-15,10027.0,10028.0,10027.0,10027.0,86246386206,8601154,51,10021.0,10028.0
2023-08-16,10036.0,10039.0,10036.0,10039.0,25931855545,2583147,79,10027.0,10037.0
2023-08-19,10055.0,10056.0,10055.0,10055.0,9193717043,914322,66,10039.0,10056.0
2023-08-20,10062.0,10063.0,10062.0,10062.0,4046812887,402170,44,10055.0,10063.0
2023-08-21,10068.0,10069.0,10068.0,10068.0,4773074927,474067,47,10062.0,10069.0
2023-08-22,10075.0,10076.0,10075.0,10075.0,18418393083,1828117,51,10068.0,10076.0
2023-08-23,10085.0,10087.0,10084.0,10085.0,13857875718,1374135,56,10075.0,10084.0
2023-08-26,10103.0,10104.0,10103.0,10103.0,14773612882,1462257,72,10085.0,10103.0
2023-08-27,10110.0,10111.0,10110.0,10110.0,159757549575,15801887,84,10103.0,10111.0
2023-08-28,10116.0,10117.0,10116.0,10116.0,113833270883,11252275,84,10110.0,10117.0
2023-08-29,10123.0,10124.0,10123.0,10123.0,3072844329,303543,50,10116.0,10124.0
2023-08-30,10132.0,10135.0,10132.0,10134.0,2541036432,250756,87,10123.0,10133.0
2023-09-02,10151.0,10152.0,10151.0,10151.0,1335265786,131535,53,10134.0,10152.0
2023-09-03,10158.0,10159.0,10158.0,10158.0,12088257682,1189979,28,10151.0,10158.0
2023-09-04,10164.0,10165.0,10164.0,10164.0,3699284599,363943,47,10158.0,10164.0
2023-09-05,10181.0,10184.0,10181.0,10182.0,6459604628,634402,58,10164.0,10184.0
2023-09-09,10199.0,10201.0,10199.0,10200.0,28823471691,2825842,55,10182.0,10201.0
