date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-09-06,3000.0,3000.0,3000.0,3000.0,45035073000,15011691,3015,1000.0,3000.0
2022-09-07,3090.0,3090.0,3090.0,3090.0,41741095050,13508445,13783,3000.0,3090.0
2022-09-10,3182.0,3182.0,3182.0,3182.0,16947166536,5325948,5384,3090.0,3182.0
2022-09-11,3277.0,3277.0,3277.0,3275.0,10382669842,3168346,3252,3182.0,3277.0
2022-09-12,3373.0,3373.0,3373.0,3360.0,9444254961,2799957,2795,3275.0,3373.0
2022-09-13,3460.0,3460.0,3460.0,3425.0,7323525960,2116626,2223,3360.0,3460.0
2022-09-14,3527.0,3527.0,3527.0,3527.0,11477186011,3254093,2040,3425.0,3527.0
2022-09-18,3632.0,3632.0,3632.0,3632.0,15565804048,4285739,3129,3527.0,3632.0
2022-09-19,3740.0,3740.0,3740.0,3740.0,12457577220,3330903,1965,3632.0,3740.0
2022-09-20,3852.0,3852.0,3852.0,3852.0,15797460312,4101106,1473,3740.0,3852.0
2022-09-21,3967.0,3967.0,3967.0,3967.0,58233040955,14679365,8264,3852.0,3967.0
2022-09-24,4086.0,4086.0,4086.0,4086.0,159647901894,39071929,15552,3967.0,4086.0
2022-09-26,4208.0,4208.0,4208.0,4208.0,31432156752,7469619,3862,4086.0,4208.0
2022-09-28,4334.0,4334.0,4334.0,4334.0,14863145286,3429429,1641,4208.0,4334.0
2022-10-11,4464.0,4464.0,4464.0,4464.0,21714940512,4864458,1451,4334.0,4464.0
2022-10-12,4597.0,4597.0,4470.0,4593.0,464848128481,101207093,18517,4464.0,4597.0
2022-10-15,4730.0,4730.0,4456.0,4608.0,420603865471,91285708,29821,4593.0,4520.0
2022-10-16,4490.0,4575.0,4470.0,4483.0,206658415435,46098308,13782,4608.0,4470.0
2022-10-17,4420.0,4617.0,4370.0,4580.0,146591624267,32006907,5483,4483.0,4617.0
2022-10-18,4700.0,4717.0,4625.0,4714.0,40208256526,8529684,2247,4580.0,4717.0
2022-10-19,4855.0,4855.0,4855.0,4855.0,30504076665,6283023,2480,4714.0,4855.0
2022-10-22,5000.0,5000.0,5000.0,5000.0,20740470000,4148094,1923,4855.0,5000.0
2022-10-23,5150.0,5150.0,5150.0,5150.0,22829615250,4432935,1298,5000.0,5150.0
2022-10-24,5304.0,5304.0,5304.0,5304.0,33581416752,6331338,1665,5150.0,5304.0
2022-10-25,5463.0,5463.0,5145.0,5379.0,121953880503,22673411,2995,5304.0,5145.0
2022-10-26,5218.0,5218.0,5218.0,5222.0,10464458972,2005454,149,5379.0,5218.0
2022-10-29,5070.0,5070.0,5070.0,5070.0,18711565080,3690644,179,5222.0,5070.0
2022-10-30,4920.0,4920.0,4920.0,4920.0,15561315480,3162869,129,5070.0,4920.0
2022-10-31,4780.0,4900.0,4780.0,4790.0,388814547890,81139089,11477,4920.0,4880.0
2022-11-01,4720.0,4930.0,4650.0,4840.0,203419457590,41988007,7733,4790.0,4750.0
2022-11-02,4700.0,4770.0,4700.0,4700.0,24960330190,5309878,522,4840.0,4700.0
2022-11-05,4559.0,4620.0,4559.0,4560.0,38717827179,8491142,715,4700.0,4559.0
2022-11-06,4424.0,4669.0,4424.0,4512.0,201162837274,44584932,8598,4560.0,4599.0
2022-11-07,4645.0,4647.0,4548.0,4611.0,131169046548,28445404,5566,4512.0,4647.0
2022-11-08,4645.0,4700.0,4473.0,4540.0,99655620391,21948179,4117,4611.0,4473.0
2022-11-09,4450.0,4450.0,4404.0,4405.0,56550961077,12837719,1788,4540.0,4404.0
2022-11-12,4310.0,4367.0,4273.0,4277.0,25442710625,5948927,572,4405.0,4273.0
2022-11-13,4149.0,4149.0,4149.0,4160.0,8590280454,2070446,131,4277.0,4149.0
2022-11-14,4036.0,4036.0,4036.0,4036.0,13444880604,3331239,231,4160.0,4036.0
2022-11-15,4010.0,4157.0,4010.0,4130.0,65797664762,15930371,2852,4036.0,4157.0
2022-11-16,4253.0,4253.0,4253.0,4253.0,27015983154,6352218,1099,4130.0,4253.0
2022-11-19,4380.0,4380.0,4126.0,4232.0,77393039266,18287847,2858,4253.0,4128.0
2022-11-20,4128.0,4220.0,4106.0,4111.0,52878662837,12861409,2350,4232.0,4106.0
2022-11-21,4020.0,4215.0,4005.0,4078.0,24473055917,6001624,1805,4111.0,4074.0
2022-11-22,4070.0,4140.0,3956.0,4007.0,56983023590,14221979,1992,4078.0,4013.0
2022-11-23,4000.0,4013.0,3950.0,3974.0,18843853554,4741655,1622,4007.0,3976.0
2022-11-26,3887.0,4000.0,3855.0,3872.0,27771933075,7172202,1691,3974.0,3855.0
2022-11-27,3780.0,3980.0,3780.0,3915.0,31138059178,7953833,1592,3872.0,3970.0
2022-11-28,3970.0,3970.0,3870.0,3897.0,17140759563,4398495,1118,3915.0,3900.0
2022-11-29,3900.0,3940.0,3850.0,3872.0,12423335761,3208356,1013,3897.0,3859.0
2022-11-30,3963.0,3963.0,3820.0,3847.0,10532413083,2737579,973,3872.0,3869.0
2022-12-03,3869.0,3962.0,3840.0,3932.0,52896547653,13452989,1294,3847.0,3962.0
2022-12-04,4040.0,4049.0,3972.0,4046.0,17824000035,4405177,729,3932.0,4049.0
2022-12-05,4167.0,4167.0,4060.0,4141.0,52889405026,12773254,1843,4046.0,4160.0
2022-12-06,4167.0,4175.0,4036.0,4073.0,17867898990,4387203,1306,4141.0,4037.0
2022-12-07,4020.0,4023.0,3951.0,3956.0,42940804536,10854776,1498,4073.0,3951.0
2022-12-10,3845.0,3916.0,3838.0,3843.0,34448742538,8965042,1073,3956.0,3840.0
2022-12-11,3810.0,3958.0,3810.0,3931.0,17861142980,4544109,974,3843.0,3955.0
2022-12-12,3990.0,3990.0,3831.0,3898.0,13243723508,3397289,1039,3931.0,3910.0
2022-12-13,3900.0,3967.0,3898.0,3915.0,10651565205,2720621,1048,3898.0,3938.0
2022-12-14,3870.0,3990.0,3865.0,3920.0,9996353343,2550297,1023,3915.0,3917.0
2022-12-17,3870.0,3959.0,3846.0,3899.0,17807966051,4566787,1172,3920.0,3930.0
2022-12-18,3903.0,3960.0,3900.0,3919.0,22054116975,5626914,1145,3899.0,3926.0
2022-12-19,3902.0,4036.0,3902.0,4015.0,26205719963,6526242,1309,3919.0,4036.0
2022-12-20,4035.0,4125.0,3941.0,4009.0,27688827102,6906343,1059,4015.0,4061.0
2022-12-21,4061.0,4129.0,4009.0,4122.0,23518742758,5705702,738,4009.0,4129.0
2022-12-24,4130.0,4245.0,4130.0,4239.0,40929269315,9656467,1059,4122.0,4245.0
2022-12-25,4350.0,4366.0,4250.0,4352.0,38147535529,8765562,1016,4239.0,4280.0
2022-12-26,4365.0,4365.0,4252.0,4290.0,25863503037,6029201,1389,4352.0,4270.0
2022-12-28,4270.0,4330.0,4182.0,4248.0,47553400198,11194909,2096,4290.0,4220.0
2022-12-31,4180.0,4180.0,4121.0,4122.0,34573825814,8386664,1303,4248.0,4121.0
2023-01-01,4121.0,4190.0,3999.0,4028.0,28023270261,6956360,1308,4122.0,4000.0
2023-01-02,4003.0,4148.0,4003.0,4137.0,43186006338,10439506,1281,4028.0,4148.0
