date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-08-16,8304.0,8304.0,6455.0,6822.0,5778774663808,847098236,1522626,1000.0,6455.0
2023-08-19,7160.0,7160.0,7160.0,7160.0,43228156320,6037452,2400,6822.0,7160.0
2023-08-20,7510.0,7510.0,7510.0,7510.0,184916431940,24622694,4951,7160.0,7510.0
2023-08-21,7880.0,7880.0,7560.0,7770.0,2812840176790,361803879,353293,7510.0,7610.0
2023-08-22,7490.0,7550.0,7390.0,7410.0,775687300210,104691804,133271,7770.0,7390.0
2023-08-23,7130.0,7320.0,7040.0,7150.0,922812760440,129021070,144490,7410.0,7230.0
2023-08-26,7300.0,7400.0,7230.0,7310.0,522055341110,71463231,51308,7150.0,7280.0
2023-08-27,7410.0,7490.0,7200.0,7320.0,671087561250,91740141,62523,7310.0,7260.0
2023-08-28,7230.0,7390.0,7060.0,7170.0,488697223000,68131240,72408,7320.0,7080.0
2023-08-29,7080.0,7280.0,7060.0,7150.0,325903778570,45565458,50478,7170.0,7090.0
2023-08-30,7080.0,7330.0,7060.0,7190.0,405442420670,56407397,88913,7150.0,7180.0
2023-09-02,7210.0,7290.0,7050.0,7120.0,238241356120,33456146,18536,7190.0,7080.0
2023-09-03,7100.0,7150.0,7050.0,7080.0,165602004550,23375553,15549,7120.0,7080.0
2023-09-04,7080.0,7200.0,7060.0,7100.0,161513873180,22755589,13735,7080.0,7090.0
2023-09-05,7120.0,7170.0,7030.0,7070.0,219034977370,30972356,19337,7100.0,7030.0
2023-09-09,7020.0,7170.0,6800.0,6950.0,266757238860,38409827,23039,7070.0,6910.0
2023-09-10,6920.0,7100.0,6910.0,6960.0,141502224350,20319248,14106,6950.0,6960.0
2023-09-11,6990.0,7000.0,6920.0,6950.0,111038896110,15973543,9103,6960.0,6930.0
2023-09-12,6940.0,6970.0,6880.0,6920.0,111688105050,16131859,9607,6950.0,6940.0
2023-09-13,6900.0,6970.0,6890.0,6920.0,92033328190,13292492,6426,6920.0,6900.0
2023-09-17,6890.0,6950.0,6870.0,6900.0,136756694790,19806151,8632,6920.0,6870.0
2023-09-18,6880.0,6960.0,6840.0,6880.0,93350512740,13568271,8359,6900.0,6890.0
2023-09-19,6900.0,6920.0,6800.0,6840.0,67907057340,9923693,5436,6880.0,6860.0
2023-09-20,6820.0,6850.0,6780.0,6810.0,75449710610,11084065,4658,6840.0,6800.0
2023-09-23,6820.0,6840.0,6760.0,6790.0,56405009270,8306635,5464,6810.0,6770.0
2023-09-25,6840.0,6840.0,6660.0,6730.0,69179257490,10277509,6207,6790.0,6670.0
2023-09-26,6690.0,6690.0,6600.0,6620.0,86646657300,13086113,6288,6730.0,6600.0
2023-09-27,6620.0,6630.0,6520.0,6580.0,95025004760,14443823,5630,6620.0,6540.0
2023-09-30,6550.0,6580.0,6310.0,6400.0,119112553570,18598856,9814,6580.0,6320.0
