date,open,high,low,adjClose,value,volume,count,yesterday,close
2017-10-07,240.0,259.0,235.0,244.0,4474985591,18360576,3887,1000.0,250.0
2017-10-08,243.0,254.0,229.0,240.0,3344745261,13927949,1067,244.0,237.0
2017-10-09,231.0,243.0,231.0,238.0,1601376988,6721408,547,240.0,236.0
2017-10-10,234.0,241.0,234.0,239.0,2439557155,10202347,557,238.0,239.0
2017-10-11,240.0,241.0,234.0,237.0,1289786626,5443138,386,239.0,236.0
2017-10-14,231.0,245.0,230.0,241.0,2450377295,10187744,605,237.0,240.0
2017-10-15,240.0,242.0,237.0,240.0,2395800200,9967563,621,241.0,241.0
2017-10-16,240.0,240.0,228.0,233.0,4063981841,17478993,747,240.0,230.0
2017-10-17,232.0,233.0,226.0,228.0,1131827487,4960793,335,233.0,226.0
2017-10-18,226.0,229.0,221.0,224.0,1498892835,6699589,409,228.0,225.0
2017-10-21,228.0,231.0,211.0,218.0,4232266839,19388402,815,224.0,218.0
2017-10-22,219.0,219.0,212.0,215.0,1641793006,7623039,371,218.0,218.0
2017-10-23,213.0,220.0,208.0,211.0,1983844415,9382593,385,215.0,209.0
2017-10-24,210.0,210.0,199.0,201.0,5334717759,26507095,1189,211.0,205.0
2017-10-25,194.0,203.0,194.0,200.0,2731247257,13637050,611,201.0,200.0
2017-10-28,200.0,204.0,198.0,201.0,1763898172,8796831,466,200.0,201.0
2017-10-29,200.0,221.0,200.0,218.0,13356734795,61403944,1937,201.0,218.0
2017-10-30,220.0,225.0,209.0,217.0,8644512255,39839405,1408,218.0,209.0
2017-10-31,214.0,217.0,199.0,202.0,10056450536,49902417,1556,217.0,202.0
2017-11-01,202.0,212.0,202.0,207.0,6454640248,31205469,941,202.0,205.0
2017-11-04,209.0,216.0,205.0,210.0,4497200677,21411695,873,207.0,208.0
2017-11-05,208.0,209.0,202.0,205.0,2422982306,11843361,509,210.0,207.0
2017-11-06,205.0,207.0,202.0,204.0,1447082485,7100270,324,205.0,204.0
2017-11-07,204.0,211.0,203.0,205.0,2734724320,13346194,598,204.0,205.0
2017-11-08,207.0,207.0,200.0,202.0,3983401002,19731805,730,205.0,205.0
2017-11-11,204.0,204.0,199.0,200.0,2969090978,14829966,564,202.0,200.0
2017-11-12,200.0,202.0,197.0,199.0,1969793040,9891699,447,200.0,198.0
2017-11-13,199.0,199.0,190.0,192.0,7485793318,38919581,1407,199.0,190.0
2017-11-14,190.0,193.0,179.0,185.0,10615062631,57454267,2285,192.0,180.0
