date,open,high,low,adjClose,value,volume,count,yesterday,close
2016-05-16,2022.0,3500.0,2022.0,3382.0,491831724,145438,76,1000.0,3400.0
2016-05-17,3400.0,3423.0,3190.0,3264.0,193950197,59414,54,3382.0,3200.0
2016-05-18,3191.0,3191.0,2802.0,3037.0,192640705,63421,31,3264.0,2990.0
2016-05-21,3388.0,3388.0,2861.0,2905.0,21104382,7264,11,3037.0,2900.0
2016-05-23,2983.0,2983.0,2700.0,2747.0,426419634,155250,55,2905.0,2700.0
2016-05-24,2750.0,2750.0,2700.0,2715.0,26726100,9843,19,2747.0,2700.0
2016-05-25,2700.0,2700.0,2602.0,2695.0,297081650,110215,40,2715.0,2700.0
2016-05-28,2763.0,2829.0,2763.0,2818.0,288287787,102315,52,2695.0,2829.0
2016-05-29,2958.0,2958.0,2845.0,2949.0,151293927,51308,50,2818.0,2955.0
2016-05-30,2811.0,3090.0,2811.0,2993.0,92513578,30905,24,2949.0,3050.0
2016-05-31,2903.0,3000.0,2844.0,2873.0,242128513,84286,58,2993.0,3000.0
2016-06-01,2740.0,2900.0,2740.0,2874.0,325173810,113127,69,2873.0,2900.0
2016-06-05,2900.0,2900.0,2800.0,2816.0,365584276,129818,43,2874.0,2800.0
2016-06-06,2726.0,2897.0,2726.0,2775.0,369557174,133153,74,2816.0,2750.0
2016-06-07,2845.0,2845.0,2650.0,2730.0,386339596,141501,67,2775.0,2842.0
2016-06-08,2839.0,2866.0,2594.0,2808.0,1675829085,596872,182,2730.0,2750.0
2016-06-11,2770.0,2910.0,2727.0,2797.0,52119711,18632,12,2808.0,2731.0
2016-06-12,2731.0,2731.0,2725.0,2730.0,241794691,88561,29,2797.0,2725.0
2016-06-13,2725.0,2750.0,2596.0,2670.0,335309779,125590,60,2730.0,2596.0
2016-06-14,2537.0,2537.0,2537.0,2537.0,26841460,10580,10,2670.0,2537.0
2016-06-15,2411.0,2663.0,2411.0,2629.0,55317129,21038,15,2537.0,2663.0
2016-06-18,2760.0,2760.0,2500.0,2522.0,232832162,92311,51,2629.0,2550.0
2016-06-19,2396.0,2648.0,2396.0,2615.0,561300566,214650,75,2522.0,2640.0
2016-06-20,2600.0,2600.0,2487.0,2599.0,192224966,73958,47,2615.0,2599.0
2016-06-21,2600.0,2600.0,2500.0,2600.0,392299500,150900,73,2599.0,2599.0
2016-06-22,2550.0,2600.0,2511.0,2580.0,82968383,32153,9,2600.0,2600.0
2016-06-25,2515.0,2600.0,2515.0,2579.0,72506463,28118,26,2580.0,2516.0
2016-06-26,2589.0,2697.0,2589.0,2639.0,542580640,205620,26,2579.0,2640.0
2016-06-28,2525.0,2770.0,2520.0,2624.0,1585251110,604153,183,2639.0,2770.0
2016-07-12,2715.0,3000.0,2715.0,2941.0,41236521,14019,9,2624.0,3000.0
2016-07-13,3000.0,3000.0,2801.0,2900.0,189374575,65298,55,2941.0,2890.0
2016-07-16,3000.0,3000.0,2900.0,2927.0,10743500,3670,6,2900.0,2900.0
2016-07-17,2826.0,2900.0,2820.0,2876.0,84841346,29500,19,2927.0,2900.0
