date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-08-01,10000.0,10000.0,10000.0,10000.0,1140000000000,114000000,11400,10000.0,10000.0
2023-08-05,10000.0,10000.0,10000.0,10000.0,260000000000,26000000,2600,10000.0,10000.0
2023-10-02,10400.0,10789.0,10247.0,10419.0,186701167254,17918978,1243,10000.0,10667.0
2023-10-04,10611.0,10750.0,10500.0,10560.0,61430733923,5817336,593,10419.0,10626.0
2023-10-07,10660.0,10660.0,10560.0,10560.0,80426664386,7615812,577,10560.0,10561.0
2023-10-08,10560.0,10560.0,10150.0,10266.0,18996710538,1850443,371,10560.0,10270.0
2023-10-09,10130.0,10270.0,10052.0,10154.0,8704648595,857274,311,10266.0,10116.0
2023-10-10,10091.0,10188.0,10040.0,10086.0,5802713481,575307,173,10154.0,10184.0
2023-10-11,10168.0,10168.0,10011.0,10053.0,14637315467,1455967,272,10086.0,10086.0
2023-10-14,10035.0,10084.0,9900.0,9985.0,8697698916,871069,274,10053.0,9973.0
2023-10-15,9996.0,10002.0,9702.0,9866.0,6183684744,626745,181,9985.0,10000.0
2023-10-16,9881.0,10600.0,9881.0,10401.0,36589605260,3517872,341,9866.0,10281.0
2023-10-17,10202.0,10207.0,9900.0,10039.0,6716371206,669060,157,10401.0,10100.0
2023-10-18,10010.0,10199.0,9905.0,10114.0,6199866769,613001,122,10039.0,10100.0
2023-10-21,10026.0,10159.0,10026.0,10117.0,3183672438,314684,82,10114.0,10100.0
2023-10-22,10122.0,10385.0,10121.0,10223.0,4754902434,465103,89,10117.0,10260.0
2023-10-23,10153.0,10270.0,10150.0,10178.0,6206469168,609820,97,10223.0,10269.0
2023-10-24,10161.0,10375.0,10152.0,10226.0,1953955702,191074,44,10178.0,10227.0
2023-10-25,10157.0,10350.0,10150.0,10181.0,1750095537,171894,53,10226.0,10296.0
2023-10-28,10154.0,10329.0,10150.0,10210.0,8301193991,813067,131,10181.0,10200.0
2023-10-29,10345.0,10399.0,10215.0,10307.0,3031203813,294078,75,10210.0,10382.0
2023-10-30,10221.0,10397.0,10221.0,10348.0,2575626209,248898,94,10307.0,10340.0
2023-10-31,10370.0,10370.0,10271.0,10288.0,354208078,34429,35,10348.0,10320.0
2023-11-01,10250.0,10300.0,10201.0,10240.0,1864980435,182120,52,10288.0,10300.0
2023-11-04,10399.0,10399.0,10221.0,10273.0,1434175668,139610,45,10240.0,10295.0
2023-11-05,10300.0,10300.0,10220.0,10240.0,1306031608,127537,177,10273.0,10221.0
2023-11-06,10250.0,10257.0,10162.0,10202.0,4302370284,421713,229,10240.0,10246.0
2023-11-07,10249.0,10249.0,10188.0,10213.0,975024841,95473,67,10202.0,10205.0
2023-11-08,10280.0,10280.0,10201.0,10215.0,898860888,87990,109,10213.0,10201.0
2023-11-11,10250.0,10287.0,10173.0,10208.0,1094836553,107258,74,10215.0,10246.0
2023-11-12,10244.0,10244.0,10178.0,10195.0,755071391,74063,33,10208.0,10229.0
2023-11-13,10184.0,10220.0,10175.0,10183.0,1469605175,144316,139,10195.0,10190.0
2023-11-14,10151.0,10199.0,10120.0,10143.0,647150409,63801,64,10183.0,10197.0
2023-11-15,10121.0,10193.0,10121.0,10151.0,392568555,38673,50,10143.0,10193.0
2023-11-18,10198.0,10198.0,10002.0,10075.0,1695225205,168267,141,10151.0,10089.0
2023-11-19,10090.0,10158.0,10020.0,10095.0,22334332979,2212380,189,10075.0,10100.0
2023-11-20,10120.0,10120.0,10021.0,10029.0,1608297571,160365,126,10095.0,10055.0
2023-11-21,10024.0,10196.0,10008.0,10047.0,3207808635,319276,91,10029.0,10196.0
2023-11-22,10100.0,10200.0,10064.0,10150.0,3150330499,310382,46,10047.0,10199.0
2023-11-25,10200.0,10200.0,10057.0,10069.0,1415458892,140574,68,10150.0,10096.0
2023-11-26,10060.0,10145.0,10060.0,10072.0,602358234,59803,24,10069.0,10098.0
2023-11-27,10175.0,10175.0,10042.0,10065.0,1122651015,111541,59,10072.0,10090.0
2023-11-28,10120.0,10148.0,10050.0,10085.0,642051876,63664,69,10065.0,10068.0
2023-11-29,10051.0,10388.0,10010.0,10085.0,10517349324,1042834,241,10085.0,10289.0
2023-12-02,10250.0,10250.0,10097.0,10144.0,4423849658,436116,102,10085.0,10219.0
2023-12-03,10239.0,10239.0,10102.0,10145.0,4418557076,435546,202,10144.0,10180.0
2023-12-04,10150.0,10200.0,10108.0,10161.0,2261851104,222606,79,10145.0,10160.0
2023-12-05,10160.0,10190.0,10100.0,10106.0,3354305183,331908,81,10161.0,10134.0
2023-12-06,10170.0,10170.0,10057.0,10119.0,491938395,48616,66,10106.0,10066.0
2023-12-09,10150.0,10150.0,10001.0,10047.0,3628492575,361169,90,10119.0,10017.0
2023-12-10,10050.0,10075.0,10005.0,10032.0,1708666714,170325,77,10047.0,10020.0
2023-12-11,10020.0,10074.0,10010.0,10025.0,1156233862,115331,56,10032.0,10058.0
2023-12-12,10025.0,10050.0,10002.0,10021.0,682097822,68065,86,10025.0,10050.0
2023-12-13,10050.0,10050.0,10000.0,10018.0,5254810139,524535,116,10021.0,10050.0
2023-12-16,10060.0,10192.0,10013.0,10041.0,30516260640,3039165,138,10018.0,10049.0
2023-12-18,10050.0,10050.0,10012.0,10028.0,2852050977,284422,123,10041.0,10027.0
2023-12-19,10028.0,10050.0,10011.0,10026.0,934271726,93182,49,10028.0,10030.0
2023-12-20,10079.0,10080.0,10010.0,10023.0,2015473560,201086,88,10026.0,10033.0
2023-12-23,10055.0,10056.0,10010.0,10041.0,872934314,86937,69,10023.0,10052.0
2023-12-24,10070.0,10070.0,10020.0,10030.0,210612981,20999,23,10041.0,10030.0
2023-12-25,10040.0,10040.0,10013.0,10015.0,467771714,46706,31,10030.0,10015.0
2023-12-26,10011.0,10020.0,10000.0,10004.0,4551659748,454964,94,10015.0,10015.0
2023-12-27,10000.0,10019.0,9983.0,10000.0,3892466365,389228,65,10004.0,10016.0
2023-12-30,10004.0,10009.0,10000.0,10002.0,1136112760,113592,51,10000.0,10009.0
2023-12-31,10090.0,10090.0,10000.0,10004.0,892729675,89237,41,10002.0,10011.0
2024-01-01,10060.0,10060.0,10000.0,10005.0,457274783,45705,28,10004.0,10017.0
2024-01-02,10050.0,10100.0,10000.0,10067.0,9947473816,988154,124,10005.0,10090.0
2024-01-03,10079.0,10079.0,10025.0,10029.0,345670442,34467,27,10067.0,10027.0
2024-01-06,10010.0,10035.0,10000.0,10010.0,1327637038,132636,53,10029.0,10030.0
2024-01-07,10001.0,10159.0,10000.0,10039.0,15488380492,1542858,214,10010.0,10003.0
2024-01-08,10005.0,10899.0,10005.0,10227.0,22887028292,2237939,250,10039.0,10677.0
2024-01-09,10400.0,10649.0,10250.0,10447.0,4434814886,424505,100,10227.0,10500.0
2024-01-10,10400.0,10658.0,10400.0,10608.0,21419814081,2019182,127,10447.0,10650.0
2024-01-13,10500.0,10939.0,10500.0,10773.0,23221472330,2155436,202,10608.0,10798.0
2024-01-14,10700.0,10740.0,10450.0,10600.0,5062067594,477539,140,10773.0,10598.0
2024-01-15,10551.0,10936.0,10400.0,10839.0,10702331686,987392,132,10600.0,10835.0
2024-01-16,10750.0,10900.0,10500.0,10881.0,34913718000,3208625,163,10839.0,10780.0
2024-01-17,10800.0,10800.0,10610.0,10737.0,2525131565,235182,57,10881.0,10750.0
2024-01-20,10750.0,10800.0,10504.0,10716.0,2994732154,279466,92,10737.0,10769.0
2024-01-21,10650.0,10660.0,10551.0,10586.0,631062685,59611,30,10716.0,10639.0
2024-01-22,10526.0,10800.0,10526.0,10737.0,6463293552,601941,42,10586.0,10542.0
2024-01-23,10600.0,10650.0,10450.0,10530.0,553695589,52585,33,10737.0,10520.0
2024-01-24,10500.0,10580.0,10420.0,10516.0,1480570264,140795,39,10530.0,10500.0
2024-01-27,10447.0,10770.0,10430.0,10595.0,4759746730,449257,112,10516.0,10590.0
2024-01-28,10521.0,10800.0,10440.0,10650.0,11786804494,1106794,145,10595.0,10795.0
2024-01-29,10700.0,10872.0,10630.0,10720.0,13456027462,1255223,195,10650.0,10769.0
2024-01-30,10800.0,10897.0,10500.0,10674.0,7722894584,723517,136,10720.0,10700.0
