date,open,high,low,adjClose,value,volume,count,yesterday,close
2022-09-06,19015.0,19015.0,16550.0,18208.0,1092463237388,60000000,230,1000.0,16550.0
2022-09-07,19480.0,19480.0,19480.0,19480.0,30992680000,1591000,109,18208.0,19480.0
2022-09-10,20840.0,20840.0,19100.0,20150.0,438224829070,21743157,4347,19480.0,19350.0
2022-09-11,18770.0,19300.0,18740.0,18830.0,99086679800,5263279,1602,20150.0,18740.0
2022-09-12,18310.0,18990.0,17910.0,18360.0,24705150870,1345407,744,18830.0,18780.0
2022-09-13,18950.0,18960.0,18400.0,18680.0,19334207590,1035211,581,18360.0,18650.0
2022-09-14,18900.0,18900.0,18120.0,18470.0,14448403760,782472,456,18680.0,18230.0
2022-09-18,18480.0,18480.0,17550.0,17770.0,26953562180,1516892,571,18470.0,17550.0
2022-09-19,17750.0,17750.0,16890.0,17280.0,27061895980,1566028,409,17770.0,17500.0
2022-09-20,17500.0,17500.0,16640.0,17080.0,7234399080,428042,254,17280.0,17170.0
2022-09-21,17710.0,17920.0,17000.0,17340.0,9523299310,545297,294,17080.0,17700.0
2022-09-24,17350.0,17830.0,16610.0,17100.0,7329536710,434470,195,17340.0,16880.0
2022-09-26,17100.0,17520.0,16810.0,17180.0,11332117860,658416,248,17100.0,17450.0
2022-09-28,17210.0,17720.0,17190.0,17290.0,6201022320,355279,90,17180.0,17220.0
2022-10-01,17290.0,17970.0,16430.0,17040.0,18322525090,1075089,404,17290.0,17150.0
2022-10-02,17040.0,17290.0,16860.0,17020.0,4546661620,267744,88,17040.0,16920.0
2022-10-03,17020.0,17270.0,16710.0,17010.0,1717806790,101334,75,17020.0,16710.0
2022-10-04,17010.0,17010.0,16630.0,16980.0,2137105100,127063,85,17010.0,16670.0
2022-10-08,16980.0,17100.0,16380.0,16700.0,13066181540,784230,214,16980.0,16410.0
2022-10-09,16700.0,16700.0,15560.0,15940.0,12658876630,798176,267,16700.0,15840.0
2022-10-10,15940.0,15940.0,15060.0,15860.0,3051962690,195642,133,15940.0,15350.0
2022-10-11,15840.0,16370.0,15570.0,15840.0,5832081650,369113,147,15860.0,15950.0
2022-10-12,15990.0,16140.0,15200.0,15670.0,7264499120,468191,159,15840.0,15460.0
2022-10-15,15500.0,15700.0,15010.0,15570.0,3622338470,237283,126,15670.0,15050.0
2022-10-16,15410.0,15410.0,14720.0,15320.0,6377860410,425005,145,15570.0,14720.0
2022-10-17,15000.0,15200.0,14850.0,15250.0,2659719000,177700,83,15320.0,14900.0
2022-10-18,15090.0,15910.0,14830.0,15270.0,4353913310,284247,137,15250.0,15430.0
2022-10-19,14650.0,15600.0,14650.0,15270.0,2630254730,172288,93,15270.0,15070.0
2022-10-22,14710.0,15960.0,14710.0,15280.0,1174448730,76499,60,15270.0,15340.0
2022-10-23,15120.0,15600.0,14910.0,15240.0,3542739230,234478,80,15280.0,14910.0
2022-10-24,14950.0,14950.0,14590.0,15150.0,2343328560,159717,94,15240.0,14590.0
2022-10-25,14130.0,15130.0,14090.0,14130.0,20136968760,1424683,257,15150.0,14090.0
2022-10-26,14620.0,14680.0,13480.0,14200.0,4322201810,301072,168,14130.0,14000.0
2022-10-29,14400.0,14600.0,13530.0,14200.0,2689993590,189686,82,14200.0,14250.0
2022-10-30,14490.0,14490.0,13860.0,14210.0,4711202040,331125,93,14200.0,14310.0
2022-10-31,13930.0,14590.0,13930.0,14210.0,2057566460,144584,61,14210.0,14250.0
2022-11-01,14490.0,15050.0,14210.0,14230.0,4660753790,326726,77,14210.0,14210.0
2022-11-02,14690.0,14690.0,14020.0,14230.0,1228974200,86296,43,14230.0,14360.0
2022-11-05,14410.0,14800.0,14170.0,14290.0,6651223470,462676,127,14230.0,14390.0
2022-11-06,14170.0,14470.0,14000.0,14210.0,11680359650,823608,140,14290.0,14380.0
2022-11-07,14390.0,15200.0,14240.0,14970.0,21362290280,1427469,249,14210.0,15200.0
2022-11-08,15500.0,16010.0,15320.0,15760.0,24804406650,1573998,366,14970.0,16010.0
2022-11-09,16290.0,16660.0,16070.0,16390.0,16860466740,1027690,355,15760.0,16370.0
2022-11-12,16310.0,17290.0,15610.0,16400.0,15390308070,938423,238,16390.0,16420.0
2022-11-13,16070.0,16870.0,15820.0,16370.0,2711554530,167080,69,16400.0,16180.0
2022-11-14,15710.0,16760.0,15710.0,16260.0,7804111760,482839,188,16370.0,16340.0
2022-11-15,15850.0,16300.0,15500.0,16190.0,3280822480,205956,112,16260.0,15830.0
2022-11-16,15470.0,16470.0,15470.0,16090.0,11455796290,713338,180,16190.0,16330.0
2022-11-19,16010.0,16190.0,15460.0,16090.0,7646861370,475402,105,16090.0,16000.0
2022-11-20,15670.0,16900.0,15670.0,16160.0,7027915150,432787,106,16090.0,16650.0
2022-11-21,16270.0,17170.0,16270.0,16260.0,3924774820,237084,103,16160.0,16300.0
2022-11-22,16770.0,16920.0,15740.0,16300.0,4380846220,267293,72,16260.0,16000.0
