date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-12-14,1121.0,1121.0,1121.0,1121.0,2075733280,1851680,85,974.0,1121.0
2015-01-18,1121.0,1121.0,1120.0,1120.0,45921000,41000,3,1121.0,1120.0
2015-01-19,1100.0,1100.0,1100.0,1100.0,64900000,59000,2,1120.0,1100.0
2015-03-01,1130.0,1130.0,1130.0,1130.0,113000,100,1,1100.0,1130.0
2015-03-10,1100.0,1100.0,1001.0,1003.0,59065900,58900,3,1130.0,1001.0
2015-04-19,1100.0,1100.0,1100.0,1100.0,220000,200,1,1003.0,1100.0
2015-07-13,1100.0,1100.0,1100.0,1100.0,4400000,4000,1,1095.0,1100.0
2016-02-15,1050.0,1050.0,1050.0,1050.0,288750000,275000,1,1100.0,1050.0
2016-04-26,1200.0,1200.0,1200.0,1200.0,22305600,18588,1,1050.0,1200.0
2016-05-08,1200.0,1200.0,1200.0,1200.0,3960000,3300,1,1200.0,1200.0
2016-06-05,1220.0,1220.0,1220.0,1220.0,22677360,18588,1,1200.0,1220.0
2016-06-29,1200.0,1200.0,1200.0,1200.0,4320000,3600,3,1220.0,1200.0
2016-07-12,1200.0,1200.0,1200.0,1200.0,24000,20,2,1200.0,1200.0
2016-09-06,900.0,900.0,900.0,900.0,302738400,336376,3,1195.0,900.0
2016-11-01,1000.0,1000.0,999.0,999.0,7533162,7538,5,900.0,999.0
2017-04-12,999.0,999.0,999.0,999.0,89910,90,1,999.0,999.0
2017-05-15,920.0,920.0,920.0,920.0,31280000,34000,1,999.0,920.0
2018-01-13,920.0,920.0,920.0,920.0,117233760,127428,10,920.0,920.0
2018-01-15,920.0,920.0,920.0,920.0,119993760,130428,11,920.0,920.0
2018-01-20,1050.0,1050.0,1050.0,1050.0,11438700,10894,6,920.0,1050.0
2018-02-03,1050.0,1050.0,1050.0,1050.0,10500000,10000,2,1050.0,1050.0
2018-02-07,1100.0,1100.0,1100.0,1100.0,52427100,47661,13,1050.0,1100.0
2018-02-12,1100.0,1100.0,1100.0,1100.0,65681000,59710,7,1100.0,1100.0
2018-02-14,1100.0,1100.0,1100.0,1100.0,52479900,47709,4,1100.0,1100.0
2018-02-17,1210.0,1210.0,1210.0,1210.0,44168630,36503,15,1100.0,1210.0
2018-02-19,1221.0,1221.0,1221.0,1221.0,159900939,130959,20,1210.0,1221.0
2018-02-21,1334.0,1400.0,1334.0,1339.0,130629156,97584,19,1221.0,1400.0
2018-02-24,1354.0,1354.0,1354.0,1354.0,98229992,72548,9,1339.0,1354.0
2018-02-26,1401.0,1401.0,1401.0,1401.0,41301480,29480,3,1354.0,1401.0
2018-03-03,1517.0,1517.0,1517.0,1517.0,89857978,59234,12,1401.0,1517.0
2018-03-10,1573.0,1573.0,1573.0,1573.0,65623987,41719,14,1517.0,1573.0
2018-03-12,2000.0,2000.0,1695.0,1797.0,103924855,57832,18,1573.0,1695.0
2018-03-14,1975.0,1975.0,1975.0,1975.0,158554975,80281,22,1797.0,1975.0
2018-03-17,2110.0,2110.0,2106.0,2109.0,144937410,68711,19,1975.0,2106.0
2018-03-19,2110.0,2110.0,2110.0,2110.0,50279190,23829,21,2109.0,2110.0
2018-04-04,2320.0,2320.0,2290.0,2316.0,160271060,69188,23,2110.0,2290.0
2018-04-07,2350.0,2350.0,2350.0,2350.0,55948800,23808,8,2316.0,2350.0
2018-04-30,2170.0,2170.0,2170.0,2170.0,62387500,28750,16,2350.0,2170.0
2018-05-14,1999.0,1999.0,1999.0,1999.0,15966013,7987,7,2170.0,1999.0
2018-05-16,1987.0,1987.0,1987.0,1987.0,10622502,5346,3,1999.0,1987.0
2018-05-19,1987.0,1987.0,1987.0,1987.0,36276659,18257,2,1987.0,1987.0
2018-06-11,1800.0,1800.0,1800.0,1800.0,10427400,5793,3,1987.0,1800.0
2018-06-18,1799.0,1799.0,1799.0,1799.0,1799000,1000,1,1800.0,1799.0
2018-06-20,1799.0,1799.0,1799.0,1799.0,1091993,607,1,1799.0,1799.0
2018-06-23,1799.0,1799.0,1799.0,1799.0,1084797,603,1,1799.0,1799.0
2018-06-25,1750.0,1750.0,1750.0,1750.0,3675000,2100,1,1799.0,1750.0
2018-07-07,1749.0,1749.0,1749.0,1749.0,4442460,2540,2,1750.0,1749.0
2018-07-16,1745.0,1745.0,1745.0,1745.0,61169230,35054,6,1749.0,1745.0
2018-07-30,1715.0,1715.0,1501.0,1589.0,6738315,4241,3,1715.0,1501.0
2018-08-13,1589.0,1589.0,1589.0,1589.0,1015371,639,1,1589.0,1589.0
2018-08-20,1588.0,1588.0,1588.0,1588.0,38688444,24363,2,1589.0,1588.0
2018-08-27,1588.0,1588.0,1588.0,1588.0,3970000,2500,1,1588.0,1588.0
2018-08-29,1650.0,1650.0,1650.0,1650.0,63661950,38583,13,1588.0,1650.0
2018-09-01,1650.0,1650.0,1650.0,1650.0,27837150,16871,6,1650.0,1650.0
2018-09-03,2000.0,2000.0,2000.0,2000.0,249328000,124664,34,1650.0,2000.0
2018-09-05,2393.0,2393.0,2393.0,2393.0,493118331,206067,26,2000.0,2393.0
2018-09-08,2818.0,3000.0,2818.0,2883.0,652750170,226384,26,2393.0,3000.0
2018-09-10,4000.0,4000.0,3000.0,3842.0,1213356000,315839,43,2883.0,3000.0
2018-09-12,4596.0,4600.0,4596.0,4596.0,1050161656,228486,27,3842.0,4600.0
2018-09-15,5510.0,5530.0,5510.0,5516.0,446120120,80874,21,4596.0,5530.0
2018-09-17,7501.0,7501.0,7501.0,7501.0,2602959515,347015,102,5516.0,7501.0
2018-09-22,8695.0,8695.0,8694.0,8695.0,2505298341,288134,69,7501.0,8694.0
2018-09-24,8499.0,8499.0,8499.0,8499.0,164702121,19379,16,8695.0,8499.0
2018-09-26,7700.0,7700.0,7689.0,7699.0,1623195585,210828,79,8499.0,7689.0
2018-09-29,7399.0,7399.0,5500.0,6928.0,621667242,89739,26,7699.0,5500.0
2018-10-01,5399.0,5399.0,4554.0,4825.0,1587495510,328995,54,6928.0,4554.0
2018-10-03,3038.0,3600.0,3038.0,3090.0,460234170,148967,38,4825.0,3600.0
2018-10-06,4002.0,4556.0,4002.0,4383.0,354748292,80946,19,3090.0,4556.0
2018-10-08,5131.0,5131.0,5131.0,5131.0,180949846,35266,20,4383.0,5131.0
2018-10-10,4500.0,4500.0,3718.0,3763.0,744391284,197793,20,5131.0,3718.0
2018-10-13,3763.0,3763.0,3763.0,3763.0,18965520,5040,4,3763.0,3763.0
2018-10-15,3311.0,3311.0,3311.0,3311.0,841043665,254015,47,3763.0,3311.0
2018-10-17,3311.0,3311.0,3311.0,3311.0,678509986,204926,32,3311.0,3311.0
2018-10-20,3311.0,3500.0,3311.0,3347.0,608341951,181763,45,3311.0,3500.0
2018-10-22,3347.0,3347.0,3100.0,3174.0,114870679,36190,10,3347.0,3100.0
2018-10-24,2700.0,2720.0,2700.0,2707.0,138754200,51266,15,3174.0,2720.0
2018-10-27,2400.0,2609.0,2400.0,2470.0,118184000,47850,13,2707.0,2609.0
2018-10-29,2200.0,3269.0,2200.0,2392.0,452146000,189000,18,2470.0,3269.0
2018-10-31,2700.0,3100.0,2700.0,2975.0,198222600,66638,13,2392.0,3100.0
2018-11-03,3500.0,3719.0,3500.0,3539.0,1824732909,515595,82,2975.0,3719.0
2018-11-05,3499.0,3499.0,3499.0,3499.0,279647078,79922,37,3539.0,3499.0
2018-11-10,3499.0,3499.0,3499.0,3499.0,54706865,15635,8,3499.0,3499.0
2018-11-12,3499.0,3499.0,3499.0,3499.0,7914738,2262,5,3499.0,3499.0
2018-11-14,2955.0,2955.0,2955.0,2955.0,73875000,25000,4,3499.0,2955.0
2018-11-17,2600.0,2750.0,2600.0,2602.0,79330950,30483,7,2955.0,2750.0
2018-11-19,2602.0,2750.0,2602.0,2642.0,155298770,58787,14,2602.0,2750.0
2018-11-21,2900.0,2900.0,2900.0,2900.0,75765400,26126,14,2642.0,2900.0
2018-11-24,2900.0,2900.0,2800.0,2872.0,206164900,71781,18,2900.0,2800.0
2018-11-28,2779.0,2800.0,2779.0,2779.0,297364774,106993,53,2872.0,2800.0
2018-12-01,2790.0,2790.0,2650.0,2726.0,65894300,24170,5,2779.0,2650.0
2018-12-03,2500.0,2500.0,2500.0,2500.0,227992500,91197,27,2726.0,2500.0
2018-12-05,2400.0,2424.0,2400.0,2401.0,122712912,51115,19,2500.0,2424.0
2018-12-08,2412.0,2412.0,2412.0,2412.0,78361056,32488,8,2401.0,2412.0
2018-12-10,2255.0,2255.0,2255.0,2255.0,111234640,49328,7,2412.0,2255.0
2018-12-12,2188.0,2250.0,2188.0,2196.0,83477326,38018,13,2255.0,2250.0
2018-12-15,2250.0,2250.0,2250.0,2250.0,107775000,47900,12,2196.0,2250.0
2018-12-17,2250.0,2250.0,2250.0,2250.0,47043000,20908,9,2250.0,2250.0
2018-12-19,2200.0,2200.0,2200.0,2200.0,117700000,53500,18,2250.0,2200.0
2018-12-22,2021.0,2021.0,2021.0,2021.0,40426063,20003,5,2200.0,2021.0
2018-12-24,2000.0,2000.0,2000.0,2000.0,316754000,158377,21,2021.0,2000.0
2018-12-26,2050.0,2050.0,2050.0,2050.0,198064850,96617,9,2000.0,2050.0
2018-12-29,2000.0,2100.0,2000.0,2010.0,263472000,131061,29,2050.0,2100.0
2018-12-31,2010.0,2112.0,2010.0,2026.0,190166490,93849,13,2010.0,2112.0
2019-01-02,2100.0,2200.0,2100.0,2123.0,314040500,147905,30,2026.0,2200.0
