date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-07-12,54000.0,54000.0,41500.0,44600.0,1284471700000,28800000,169,1000.0,41500.0
2023-07-15,46800.0,46800.0,46800.0,46800.0,18773071200,401134,53,44600.0,46800.0
2023-07-16,49100.0,49100.0,49100.0,49100.0,36268206000,738660,83,46800.0,49100.0
2023-07-17,51550.0,51550.0,51550.0,51550.0,67237696000,1304320,133,49100.0,51550.0
2023-07-18,54100.0,54100.0,54100.0,54100.0,119683698800,2212268,307,51550.0,54100.0
2023-07-25,54000.0,54000.0,51300.0,52200.0,545719386350,10451433,2272,53100.0,52450.0
2023-07-26,54800.0,54800.0,54400.0,54800.0,511327861650,9330860,1727,52200.0,54800.0
2023-07-29,55650.0,57500.0,55000.0,57250.0,395613734700,6913179,2383,54800.0,57500.0
2023-07-30,57700.0,59750.0,54700.0,55450.0,127776214100,2304040,1229,57250.0,57000.0
2023-07-31,57500.0,58200.0,56200.0,58150.0,294144911150,5058996,1505,55450.0,58200.0
2023-08-01,59000.0,61050.0,59000.0,60900.0,141144594150,2316711,865,58150.0,61050.0
2023-08-05,63900.0,63900.0,63500.0,63900.0,383104220800,5995702,1712,60900.0,63900.0
2023-08-06,66000.0,66000.0,61700.0,63300.0,205718733750,3249217,1747,63900.0,63300.0
2023-08-07,64000.0,64000.0,60150.0,61300.0,251350027450,4101616,1876,63300.0,62900.0
2023-08-08,63000.0,64350.0,62700.0,64300.0,191206265450,2974374,1354,61300.0,64350.0
2023-08-09,66000.0,67500.0,65000.0,67450.0,404863090150,6002549,2198,64300.0,67500.0
2023-08-13,67000.0,67950.0,64100.0,64900.0,224480897500,3458541,1601,67450.0,65000.0
2023-08-14,67000.0,67000.0,62000.0,63850.0,222837435150,3488888,1733,64900.0,63250.0
2023-08-15,63200.0,64000.0,60750.0,62300.0,120822769100,1939585,1056,63850.0,62750.0
2023-08-16,64400.0,65200.0,62700.0,64250.0,72398645950,1126713,903,62300.0,64250.0
2023-08-19,65250.0,67000.0,62700.0,65100.0,114122162450,1752405,1036,64250.0,63750.0
2023-08-20,65000.0,65200.0,62900.0,64100.0,151647049400,2364904,725,65100.0,64000.0
2023-08-21,63250.0,67250.0,63000.0,65050.0,136475529150,2097247,889,64100.0,65350.0
2023-08-22,67000.0,68300.0,64650.0,67750.0,194291275000,2867878,1024,65050.0,68300.0
2023-08-23,70000.0,71100.0,68500.0,70850.0,244460373600,3451497,1545,67750.0,71100.0
2023-08-26,71000.0,71000.0,67350.0,68250.0,167055321150,2447269,1710,70850.0,68350.0
2023-08-27,69550.0,71250.0,66900.0,68550.0,132829909200,1937480,887,68250.0,69000.0
2023-08-28,70500.0,70750.0,68000.0,68800.0,61309575900,891259,603,68550.0,68500.0
2023-08-29,69900.0,69900.0,66300.0,67700.0,81066722100,1197778,487,68800.0,66300.0
2023-09-03,69000.0,70250.0,68350.0,69100.0,52261164400,756515,387,67700.0,68700.0
2023-09-04,68700.0,69750.0,66700.0,68350.0,173880163400,2543167,849,69100.0,68050.0
