date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-08-07,17500.0,17500.0,13000.0,13780.0,2480366651300,179999585,1490103,1000.0,13780.0
2023-08-08,14460.0,14460.0,14460.0,14460.0,39192022500,2710375,1666,13780.0,14460.0
2023-08-09,15180.0,15180.0,15180.0,15180.0,58217910960,3835172,2344,14460.0,15180.0
2023-08-12,15930.0,15930.0,15930.0,15930.0,107322512760,6737132,9229,15180.0,15930.0
2023-08-13,16720.0,16720.0,16720.0,16720.0,175948455760,10523233,14598,15930.0,16720.0
2023-08-14,17550.0,17550.0,17530.0,17550.0,1800091500070,102569407,212016,16720.0,17550.0
2023-08-15,17740.0,18360.0,17120.0,17920.0,1522681772820,84985396,331609,17550.0,17820.0
2023-08-16,17990.0,18000.0,17120.0,17340.0,605028805870,34882509,207814,17920.0,17320.0
2023-08-19,17370.0,17370.0,16480.0,16710.0,288945683790,17293567,36252,17340.0,16480.0
2023-08-20,16230.0,16610.0,15880.0,16150.0,466404062150,28886495,49997,16710.0,16390.0
2023-08-21,16490.0,16860.0,15960.0,16350.0,192451462360,11769173,27606,16150.0,15970.0
2023-08-22,15980.0,16220.0,15540.0,15680.0,197436911110,12590659,25463,16350.0,15540.0
2023-08-23,15450.0,15790.0,15100.0,15470.0,135393474460,8750666,18906,15680.0,15640.0
2023-08-26,15710.0,16090.0,15650.0,15850.0,132685736610,8373147,12978,15470.0,15940.0
2023-08-27,15620.0,16260.0,15620.0,15880.0,188226972760,11849575,17221,15850.0,15770.0
2023-08-28,15770.0,16040.0,15100.0,15440.0,237388507040,15374049,26070,15880.0,15240.0
2023-08-29,15210.0,15600.0,15090.0,15290.0,92509589670,6052189,19339,15440.0,15170.0
2023-08-30,15150.0,15680.0,15100.0,15330.0,145660126410,9503834,35690,15290.0,15300.0
2023-09-02,15440.0,15670.0,15200.0,15360.0,88835239160,5782661,8408,15330.0,15340.0
2023-09-03,15560.0,15560.0,15300.0,15370.0,61411835280,3995403,6893,15360.0,15310.0
2023-09-04,15400.0,15540.0,15250.0,15360.0,90762326350,5909209,7846,15370.0,15270.0
2023-09-05,15350.0,15460.0,15130.0,15260.0,123658241600,8102784,9785,15360.0,15160.0
2023-09-09,15310.0,15310.0,14750.0,14970.0,97944238990,6543258,10171,15260.0,14770.0
2023-09-10,14740.0,14950.0,14520.0,14810.0,61879244550,4178819,7984,14970.0,14850.0
2023-09-11,14850.0,15550.0,14810.0,15480.0,234365860300,15140803,10137,14810.0,15550.0
2023-09-12,15690.0,15790.0,15450.0,15600.0,90674737300,5811749,6118,15480.0,15490.0
2023-09-13,15600.0,15600.0,15150.0,15280.0,59335975070,3883733,5018,15600.0,15300.0
2023-09-17,15420.0,15570.0,15280.0,15390.0,48159713430,3129805,5249,15280.0,15310.0
2023-09-18,15400.0,15800.0,15280.0,15550.0,84375157160,5426541,5867,15390.0,15400.0
2023-09-19,15400.0,15760.0,15360.0,15500.0,32391878240,2089235,3545,15550.0,15420.0
2023-09-20,15550.0,15770.0,15420.0,15570.0,29163927490,1873473,2100,15500.0,15560.0
2023-09-23,15400.0,15700.0,15340.0,15470.0,36319729140,2347973,4067,15570.0,15370.0
2023-09-25,15470.0,15470.0,14940.0,15130.0,45133509220,2983054,4487,15470.0,15010.0
2023-09-26,14930.0,15170.0,14850.0,14960.0,37522092800,2508857,4031,15130.0,14900.0
2023-09-27,14970.0,15170.0,14910.0,15040.0,31950164870,2124337,3696,14960.0,15070.0
2023-09-30,15100.0,15270.0,14630.0,14820.0,27680945830,1867728,5884,15040.0,14670.0
2023-10-01,14800.0,14800.0,14100.0,14410.0,47088701420,3267746,4513,14820.0,14210.0
2023-10-02,14200.0,14520.0,14200.0,14370.0,31823050770,2214700,3591,14410.0,14450.0
2023-10-04,14310.0,14590.0,14070.0,14280.0,34434301780,2410631,3079,14370.0,14190.0
2023-10-07,14100.0,14430.0,13800.0,14020.0,27402232240,1953843,3304,14280.0,13900.0
2023-10-08,14000.0,14000.0,13320.0,13370.0,57043787220,4267467,1830,14020.0,13320.0
2023-10-09,12910.0,13500.0,12710.0,12940.0,93410087830,7220651,4138,13370.0,13070.0
2023-10-10,13010.0,13100.0,12680.0,12790.0,51208867320,4003092,2827,12940.0,12770.0
2023-10-11,12710.0,13070.0,12710.0,12860.0,43802896750,3407352,1962,12790.0,12760.0
2023-10-14,12870.0,12870.0,12220.0,12390.0,48425200100,3907694,2678,12860.0,12300.0
2023-10-15,12300.0,12580.0,12040.0,12180.0,23490682410,1929217,2120,12390.0,12100.0
2023-10-16,12100.0,12780.0,12100.0,12740.0,69527044780,5457486,2334,12180.0,12780.0
