date,open,high,low,adjClose,value,volume,count,yesterday,close
2012-09-23,2010.0,2170.0,2010.0,2057.0,7032190,3419,2,1000.0,2170.0
2012-09-24,2221.0,2221.0,2221.0,2221.0,40908599,18419,14,2057.0,2221.0
2012-09-25,2398.0,2398.0,2398.0,2398.0,67261502,28049,8,2221.0,2398.0
2012-09-26,2589.0,2589.0,2589.0,2589.0,190863669,73721,28,2398.0,2589.0
2012-09-29,2795.0,2796.0,2650.0,2768.0,331058218,119592,48,2589.0,2796.0
2012-09-30,2800.0,2800.0,2547.0,2588.0,258516629,99908,40,2768.0,2547.0
2012-10-01,2420.0,2420.0,2381.0,2383.0,40584459,17030,8,2588.0,2381.0
2012-10-02,2196.0,2415.0,2196.0,2323.0,1297566196,558561,87,2383.0,2400.0
2012-10-03,2498.0,2502.0,2351.0,2446.0,721665900,295074,77,2323.0,2351.0
2012-10-06,2322.0,2338.0,2260.0,2301.0,965608116,419727,42,2446.0,2331.0
2012-10-07,2280.0,2349.0,2153.0,2251.0,613443349,272464,48,2301.0,2250.0
2012-10-08,2385.0,2387.0,2300.0,2357.0,713072880,302472,49,2251.0,2300.0
2012-10-09,2358.0,2375.0,2235.0,2291.0,244083411,106559,36,2357.0,2286.0
2012-10-10,2118.0,2300.0,2118.0,2223.0,405803830,182559,26,2291.0,2261.0
2012-10-13,2141.0,2215.0,2113.0,2149.0,460953890,214543,31,2223.0,2113.0
2012-10-14,2111.0,2320.0,2111.0,2220.0,977167695,440246,110,2149.0,2268.0
2012-10-15,2293.0,2397.0,2240.0,2308.0,2163755039,937677,158,2220.0,2243.0
2012-10-16,2290.0,2397.0,2271.0,2308.0,393982325,170722,42,2308.0,2339.0
2012-10-17,2151.0,2367.0,2151.0,2326.0,382780645,164573,77,2308.0,2330.0
2012-10-20,2512.0,2512.0,2512.0,2512.0,202120544,80462,31,2326.0,2512.0
2013-01-27,5024.0,5300.0,5024.0,5179.0,833800000,161000,10,2512.0,5300.0
2013-01-30,5025.0,5025.0,5025.0,5025.0,4959172500,986900,15,5179.0,5025.0
2015-04-12,520.0,561.0,510.0,530.0,473485543,892856,352,5025.0,561.0
2015-04-13,572.0,572.0,572.0,572.0,453116092,792161,223,530.0,572.0
2015-04-14,617.0,617.0,617.0,617.0,54524290,88370,30,572.0,617.0
2015-04-15,666.0,666.0,666.0,666.0,326534472,490292,96,617.0,666.0
2015-04-18,689.0,697.0,620.0,663.0,1133441910,1708718,719,666.0,660.0
2015-04-19,688.0,690.0,640.0,662.0,441804783,667553,469,663.0,660.0
2015-04-20,630.0,650.0,623.0,630.0,836099391,1326607,427,662.0,636.0
2015-04-21,610.0,638.0,593.0,611.0,503616739,823763,272,630.0,620.0
2015-04-22,634.0,634.0,594.0,601.0,1331032024,2214995,526,611.0,611.0
2015-04-25,630.0,630.0,600.0,613.0,254770647,415711,169,601.0,601.0
2015-04-26,601.0,609.0,580.0,597.0,206976428,346755,112,613.0,588.0
2015-04-27,580.0,597.0,567.0,580.0,158704369,273613,71,597.0,597.0
2015-04-28,571.0,585.0,560.0,567.0,140335206,247525,81,580.0,570.0
2015-04-29,560.0,571.0,550.0,557.0,338532921,607916,181,567.0,550.0
2015-05-03,545.0,557.0,545.0,550.0,111203155,202180,40,557.0,550.0
2015-05-04,550.0,550.0,530.0,545.0,510021760,936106,275,550.0,546.0
2015-05-05,550.0,571.0,534.0,552.0,242058480,438251,125,545.0,569.0
2015-05-06,524.0,555.0,524.0,545.0,31687994,58111,12,552.0,555.0
2015-05-09,525.0,530.0,525.0,528.0,20918359,39626,19,545.0,530.0
2015-05-10,510.0,515.0,509.0,511.0,78786352,154255,42,528.0,512.0
2015-05-11,493.0,520.0,481.0,502.0,56058204,111675,32,511.0,520.0
2015-05-12,510.0,515.0,490.0,503.0,178859110,355671,103,502.0,510.0
2015-05-13,472.0,500.0,471.0,479.0,70022556,146171,61,503.0,481.0
2015-05-17,460.0,460.0,442.0,445.0,123162950,276737,102,479.0,444.0
2015-05-18,444.0,444.0,420.0,429.0,66062912,153921,82,445.0,422.0
2015-05-19,408.0,410.0,400.0,401.0,804849681,2006623,686,429.0,400.0
2015-05-20,379.0,409.0,379.0,391.0,98140300,250936,51,401.0,380.0
2015-05-23,355.0,374.0,352.0,355.0,95887575,269735,56,391.0,356.0
2015-05-24,340.0,365.0,320.0,336.0,257995854,768241,78,355.0,348.0
2015-05-25,347.0,350.0,315.0,330.0,712797389,2160128,137,336.0,330.0
2015-05-26,303.0,320.0,303.0,310.0,433838866,1401399,66,330.0,315.0
2015-05-27,303.0,318.0,299.0,303.0,159318077,525823,28,310.0,301.0
2015-05-30,308.0,311.0,280.0,291.0,272408227,935694,70,303.0,289.0
2015-05-31,285.0,285.0,262.0,268.0,254627890,949670,65,291.0,266.0
2015-06-01,255.0,294.0,255.0,286.0,419803008,1469418,96,268.0,294.0
2015-06-02,295.0,310.0,280.0,292.0,147437295,505318,44,286.0,281.0
2015-06-06,268.0,287.0,268.0,277.0,20935628,75617,16,292.0,276.0
2015-06-07,273.0,275.0,252.0,267.0,312152789,1168760,58,277.0,269.0
2015-06-08,254.0,260.0,242.0,250.0,134871222,538785,57,267.0,250.0
2015-06-09,249.0,249.0,225.0,227.0,286196801,1261402,97,250.0,225.0
2015-09-02,178.0,178.0,161.0,162.0,10487369340,64610160,1262,227.0,161.0
2017-04-04,659.0,724.0,657.0,689.0,917791517,1332724,206,162.0,724.0
2017-04-05,757.0,757.0,721.0,743.0,933353006,1256008,177,689.0,725.0
2017-04-08,743.0,780.0,685.0,719.0,881941542,1226627,187,743.0,749.0
2017-04-09,720.0,780.0,710.0,750.0,649221475,865962,122,719.0,770.0
2017-04-10,750.0,825.0,750.0,821.0,2629498038,3201472,218,750.0,825.0
2017-04-12,822.0,903.0,822.0,891.0,1397375996,1568819,186,821.0,903.0
2017-04-15,920.0,971.0,920.0,954.0,634298399,665008,91,891.0,947.0
2017-04-16,949.0,980.0,859.0,866.0,1375497916,1587776,132,954.0,859.0
2017-04-17,811.0,909.0,811.0,865.0,961108669,1111576,76,866.0,889.0
2017-04-18,866.0,907.0,866.0,878.0,399257445,454879,59,865.0,868.0
2017-04-19,866.0,887.0,812.0,860.0,179932826,209186,58,878.0,873.0
2017-04-22,873.0,910.0,774.0,877.0,878163614,1001587,102,860.0,774.0
2017-04-23,863.0,887.0,812.0,845.0,286870080,339685,77,877.0,873.0
2017-04-24,850.0,899.0,770.0,816.0,1079027494,1322452,145,845.0,836.0
2017-04-26,887.0,887.0,765.0,808.0,223374874,276340,45,816.0,780.0
2017-04-29,809.0,828.0,799.0,813.0,129113335,158716,54,808.0,801.0
2017-04-30,814.0,878.0,795.0,843.0,2225541135,2640782,274,813.0,870.0
2017-05-01,927.0,927.0,920.0,926.0,2934641824,3169880,170,843.0,927.0
2017-05-02,985.0,1018.0,954.0,999.0,4780111316,4786088,216,926.0,1018.0
2017-05-03,1022.0,1098.0,1022.0,1096.0,4085302924,3728090,212,999.0,1098.0
2017-05-06,1205.0,1205.0,1058.0,1153.0,1791006972,1553168,152,1096.0,1098.0
2017-05-07,1119.0,1149.0,1039.0,1087.0,1157920060,1065193,134,1153.0,1120.0
2017-05-08,1046.0,1140.0,1040.0,1100.0,809550041,735958,81,1087.0,1040.0
2017-05-09,1030.0,1030.0,990.0,994.0,838507530,843529,48,1100.0,991.0
2017-05-10,1010.0,1079.0,1019.0,1024.0,515395881,503121,45,994.0,1030.0
2017-05-13,1025.0,1092.0,922.0,953.0,1002299837,1052031,57,1024.0,922.0
2017-05-14,862.0,935.0,858.0,861.0,1726887382,2004727,84,953.0,930.0
2017-05-15,924.0,924.0,870.0,883.0,220584832,249797,26,861.0,918.0
2017-05-16,885.0,952.0,885.0,924.0,103695349,112237,13,883.0,930.0
2017-05-17,969.0,999.0,928.0,980.0,112387615,114670,26,924.0,997.0
2017-05-20,1065.0,1065.0,986.0,1003.0,351170022,350063,21,980.0,1000.0
2017-05-21,1004.0,1005.0,903.0,990.0,249392148,251850,39,1003.0,1000.0
2017-05-22,1000.0,1020.0,970.0,995.0,710868634,714132,42,990.0,970.0
2017-05-23,996.0,1039.0,969.0,989.0,803574803,812759,66,995.0,1005.0
2017-05-24,1029.0,1069.0,986.0,996.0,455330349,457248,38,989.0,1008.0
2017-05-27,1040.0,1040.0,990.0,1000.0,3960634540,3960880,196,996.0,997.0
2017-05-28,1000.0,1000.0,950.0,976.0,148660761,152342,33,1000.0,970.0
2017-05-29,970.0,982.0,900.0,930.0,1110990330,1194150,236,976.0,919.0
2017-05-30,937.0,937.0,837.0,849.0,524582026,617591,112,930.0,840.0
2017-05-31,850.0,850.0,765.0,798.0,1213792960,1521274,146,849.0,766.0
2017-08-07,766.0,766.0,719.0,766.0,231597500,302500,4,798.0,719.0
2017-08-08,690.0,690.0,690.0,690.0,451302780,654062,28,766.0,690.0
2017-08-09,650.0,759.0,650.0,702.0,5421600000,7720000,149,690.0,759.0
2017-08-12,772.0,772.0,772.0,772.0,5018000000,6500000,121,702.0,772.0
2017-08-13,849.0,849.0,800.0,802.0,5216892000,6508000,66,772.0,801.0
2017-08-14,802.0,802.0,800.0,801.0,3582326000,4471295,99,802.0,800.0
2020-01-20,7777.0,8554.0,7040.0,8030.0,30082810777,3746311,1875,801.0,8554.0
2020-01-21,8833.0,8833.0,8200.0,8683.0,34782810919,4005828,2231,8030.0,8499.0
2020-01-22,8778.0,8778.0,7851.0,8307.0,14177688989,1706681,1162,8683.0,8499.0
2020-01-25,8499.0,8510.0,7900.0,8097.0,13476924425,1664340,1126,8307.0,7995.0
2020-01-26,7766.0,7999.0,7301.0,7452.0,22715248826,3048298,1187,8097.0,7490.0
2020-01-27,7303.0,8197.0,7303.0,7931.0,24980873307,3149919,1047,7452.0,8151.0
2020-01-28,8433.0,8433.0,7811.0,8000.0,12791172751,1598930,531,7931.0,7864.0
2020-02-01,8000.0,8000.0,7452.0,7616.0,5468251554,718010,425,8000.0,7768.0
2020-02-02,7555.0,7876.0,7301.0,7626.0,13467218947,1765960,397,7616.0,7542.0
2020-02-03,7848.0,8388.0,7548.0,8236.0,25971726159,3153281,908,7626.0,8388.0
2020-02-04,8509.0,9058.0,8203.0,8889.0,34204171593,3848130,738,8236.0,8530.0
2020-02-05,8688.0,8800.0,8211.0,8371.0,6620977498,790952,457,8889.0,8248.0
2020-02-08,8846.0,8846.0,8011.0,8348.0,6712537450,804094,434,8371.0,8055.0
2020-02-09,8348.0,8348.0,7870.0,7985.0,5582656001,699184,327,8348.0,7933.0
2020-02-10,8248.0,8248.0,7601.0,7762.0,3110226046,400702,189,7985.0,7720.0
2020-02-12,8082.0,8200.0,7520.0,7904.0,5322189837,673381,330,7762.0,7520.0
2020-02-15,7572.0,7999.0,7472.0,7624.0,5181952435,679700,301,7904.0,7679.0
2020-02-16,7403.0,8163.0,7403.0,7921.0,10181816013,1285486,486,7624.0,8150.0
2020-02-17,8292.0,8630.0,8112.0,8373.0,30120353299,3597233,698,7921.0,8300.0
2020-02-18,8719.0,9210.0,8250.0,9036.0,19191651420,2123860,479,8373.0,9210.0
2020-02-19,9788.0,9788.0,9220.0,9473.0,18410297351,1943545,753,9036.0,9281.0
2020-02-22,8551.0,10139.0,8551.0,9731.0,28992762637,2979309,630,9473.0,9600.0
2020-02-23,10200.0,10625.0,9750.0,10336.0,26648262586,2578154,864,9731.0,10470.0
2020-02-24,10704.0,10704.0,9600.0,10153.0,38406396675,3782746,1038,10336.0,10188.0
2020-02-25,10188.0,10449.0,9601.0,10170.0,19772739229,1944155,705,10153.0,10200.0
2020-02-26,10333.0,10480.0,9800.0,10171.0,21106574907,2075131,438,10170.0,9889.0
