date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-09-30,10000.0,10000.0,10000.0,10000.0,4834221880000,483422188,80784,10000.0,10000.0
2023-10-01,10000.0,10000.0,10000.0,10000.0,5065778120000,506577812,3781,10000.0,10000.0
2023-10-21,10050.0,10090.0,10020.0,10040.0,112067847400,11163723,336,10000.0,10040.0
2023-10-22,10040.0,10090.0,10020.0,10030.0,40464799730,4032757,383,10040.0,10030.0
2023-10-23,10050.0,10060.0,10020.0,10040.0,21682730610,2159906,238,10030.0,10030.0
2023-10-24,10040.0,10050.0,10000.0,10010.0,160468766850,16027055,582,10040.0,10000.0
2023-10-25,10030.0,10040.0,10010.0,10020.0,80494212930,8033971,181,10010.0,10010.0
2023-10-28,10020.0,10020.0,9940.0,9990.0,65405644410,6550158,252,10020.0,9960.0
2023-10-29,9990.0,10010.0,9980.0,10000.0,81061863690,8107640,189,9990.0,10000.0
2023-10-30,10000.0,10140.0,10000.0,10070.0,422537296270,41978582,235,10000.0,10080.0
2023-10-31,10050.0,10100.0,10020.0,10050.0,187052440010,18619648,181,10070.0,10070.0
2023-11-01,10050.0,10090.0,9940.0,9990.0,418121862900,41852111,217,10050.0,10070.0
2023-11-04,10060.0,10220.0,10060.0,10110.0,50162044000,4961364,189,9990.0,10130.0
2023-11-05,10200.0,10200.0,10130.0,10190.0,126113091510,12370328,168,10110.0,10170.0
2023-11-06,10150.0,10230.0,10100.0,10160.0,110379731990,10860761,185,10190.0,10190.0
2023-11-07,10180.0,10350.0,10160.0,10260.0,134071603120,13066016,238,10160.0,10290.0
2023-11-08,10210.0,10400.0,10210.0,10300.0,38447714450,3734020,168,10260.0,10350.0
2023-11-11,10400.0,10400.0,10300.0,10340.0,25015186160,2419455,109,10300.0,10340.0
2023-11-12,10290.0,10340.0,10260.0,10280.0,37332937840,3630755,119,10340.0,10330.0
2023-11-13,10280.0,10430.0,10250.0,10270.0,58342473230,5682862,138,10280.0,10250.0
2023-11-14,10390.0,10390.0,10210.0,10250.0,17933384760,1750417,85,10270.0,10220.0
2023-11-15,10200.0,10300.0,10170.0,10200.0,9331782220,915286,160,10250.0,10210.0
2023-11-18,10180.0,10300.0,10120.0,10160.0,42346429570,4168007,149,10200.0,10150.0
2023-11-19,10130.0,10280.0,10130.0,10210.0,1023953870,100243,165,10160.0,10220.0
2023-11-20,10130.0,10270.0,10110.0,10130.0,22947060720,2265589,311,10210.0,10120.0
2023-11-21,10130.0,10280.0,10110.0,10130.0,3916516370,386488,117,10130.0,10140.0
2023-11-22,10140.0,10260.0,10110.0,10170.0,116816979360,11490562,228,10130.0,10130.0
2023-11-25,10150.0,10180.0,10110.0,10130.0,29171551550,2880283,208,10170.0,10130.0
2023-11-26,10140.0,10190.0,10120.0,10130.0,22775354630,2247416,571,10130.0,10160.0
2023-11-27,10140.0,10200.0,10140.0,10170.0,32377181800,3184388,994,10130.0,10200.0
2023-11-28,10280.0,10280.0,10140.0,10220.0,33215032270,3250585,800,10170.0,10240.0
2023-11-29,10300.0,10330.0,10200.0,10260.0,129444458170,12614872,747,10220.0,10300.0
2023-12-02,10350.0,10600.0,10310.0,10410.0,70594150570,6780032,1003,10260.0,10380.0
2023-12-03,10580.0,11140.0,10390.0,10790.0,322725014800,29902461,792,10410.0,11120.0
2023-12-04,11020.0,11240.0,10820.0,10970.0,143536569320,13085385,541,10790.0,10840.0
2023-12-05,10900.0,11000.0,10850.0,10910.0,44520457550,4079621,200,10970.0,10880.0
2023-12-06,10930.0,10950.0,10790.0,10890.0,25795179120,2368667,134,10910.0,10900.0
2023-12-09,10950.0,10950.0,10700.0,10770.0,65962234240,6125830,162,10890.0,10760.0
2023-12-10,10740.0,10900.0,10740.0,10800.0,9424248130,872249,119,10770.0,10840.0
2023-12-11,10800.0,10930.0,10780.0,10790.0,30368077780,2813205,118,10800.0,10780.0
2023-12-12,10780.0,10900.0,10750.0,10770.0,15109862000,1402434,121,10790.0,10750.0
2023-12-13,10760.0,10860.0,10740.0,10770.0,146124629300,13569609,114,10770.0,10770.0
2023-12-16,10900.0,10940.0,10810.0,10860.0,7043009030,648617,123,10770.0,10940.0
2023-12-18,10860.0,11100.0,10860.0,11000.0,50191170840,4563635,192,10860.0,11100.0
2023-12-19,11040.0,11210.0,11040.0,11090.0,102884426820,9279445,209,11000.0,11050.0
2023-12-20,11000.0,11120.0,11000.0,11090.0,10640040540,959347,89,11090.0,11100.0
2023-12-23,11090.0,11180.0,10990.0,11030.0,44426529550,4028728,170,11090.0,11100.0
2023-12-24,11100.0,11150.0,10910.0,10990.0,143734971440,13083038,207,11030.0,11030.0
2023-12-25,11100.0,11100.0,10980.0,11030.0,123140982390,11161868,103,10990.0,11030.0
2023-12-26,11010.0,11050.0,10870.0,10910.0,49328023010,4523288,126,11030.0,10870.0
2023-12-27,10880.0,11070.0,10880.0,10910.0,18765165870,1720356,242,10910.0,11050.0
2023-12-30,10930.0,11080.0,10880.0,10960.0,81689325700,7454366,151,10910.0,10980.0
2023-12-31,11700.0,11700.0,10900.0,10920.0,172903270720,15828026,191,10960.0,10910.0
2024-01-01,10900.0,11070.0,10860.0,10880.0,38116557920,3502665,187,10920.0,10960.0
2024-01-02,10890.0,11000.0,10810.0,10860.0,264393837450,24339786,155,10880.0,10810.0
2024-01-03,10800.0,10990.0,10800.0,10830.0,35389024410,3267717,86,10860.0,10920.0
2024-01-06,11050.0,11050.0,10850.0,10860.0,10240539060,942980,86,10830.0,10880.0
2024-01-07,10920.0,11000.0,10850.0,10870.0,20502193390,1885587,105,10860.0,10880.0
2024-01-08,10890.0,10900.0,10830.0,10890.0,122852764710,11285010,90,10870.0,10890.0
2024-01-09,10850.0,10990.0,10850.0,10910.0,5673580860,520219,107,10890.0,10890.0
2024-01-10,10890.0,11080.0,10890.0,11050.0,67824291130,6136273,137,10910.0,11020.0
2024-01-13,11000.0,11150.0,10980.0,11050.0,35035382290,3171667,171,11050.0,11070.0
2024-01-14,10970.0,11180.0,10970.0,11070.0,26176602650,2363779,161,11050.0,11140.0
2024-01-15,11140.0,11190.0,10990.0,11130.0,84038895690,7548349,130,11070.0,11080.0
2024-01-16,11050.0,11170.0,11010.0,11070.0,75516766910,6818970,117,11130.0,11060.0
2024-01-17,11110.0,11110.0,11000.0,11030.0,25615264750,2322476,88,11070.0,11040.0
2024-01-20,11160.0,11160.0,10900.0,11070.0,5644929460,510123,92,11030.0,11060.0
2024-01-21,10910.0,11050.0,10880.0,10910.0,29406986440,2696552,105,11070.0,11010.0
2024-01-22,10910.0,11040.0,10790.0,10840.0,43979506220,4056780,90,10910.0,10820.0
2024-01-23,10850.0,10890.0,10570.0,10720.0,36657025740,3420490,92,10840.0,10760.0
2024-01-24,10900.0,10900.0,10730.0,10810.0,28016624530,2592884,184,10720.0,10840.0
2024-01-27,10900.0,10950.0,10780.0,10850.0,48442573420,4464802,168,10810.0,10850.0
2024-01-28,10850.0,10970.0,10850.0,10890.0,66650338690,6118244,134,10850.0,10910.0
2024-01-29,10900.0,11020.0,10800.0,10880.0,80745406420,7418761,155,10890.0,10910.0
2024-01-30,10930.0,11060.0,10850.0,10900.0,41289558830,3787086,173,10880.0,10880.0
2024-01-31,10880.0,11070.0,10850.0,10970.0,79208902320,7219939,123,10900.0,11040.0
