date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-03-14,10000.0,10000.0,10000.0,10000.0,139559990000,13955999,1500,10000.0,10000.0
2023-03-15,10000.0,10000.0,10000.0,10000.0,179381100000,17938110,2562,10000.0,10000.0
2023-03-18,10000.0,10000.0,10000.0,10000.0,369794490000,36979449,3574,10000.0,10000.0
2023-03-19,10000.0,10000.0,10000.0,10000.0,291264420000,29126442,2212,10000.0,10000.0
2023-05-03,10970.0,10994.0,10289.0,10674.0,190639216109,17860597,3516,10000.0,10977.0
2023-05-06,11385.0,11737.0,10830.0,11375.0,131290741439,11542393,2435,10674.0,11633.0
2023-05-07,11230.0,11230.0,10300.0,10643.0,95327339760,8956710,2173,11375.0,10520.0
2023-05-08,10400.0,10840.0,10400.0,10758.0,96030969920,8926343,1689,10643.0,10799.0
2023-05-09,11020.0,11350.0,10990.0,11092.0,62495195480,5634502,1298,10758.0,11001.0
2023-05-10,10700.0,10964.0,10631.0,10727.0,41333373144,3853181,1219,11092.0,10721.0
2023-05-13,10580.0,10592.0,10350.0,10423.0,37566114265,3604201,1219,10727.0,10415.0
2023-05-14,10690.0,10827.0,10371.0,10526.0,31757309368,3017040,1131,10423.0,10392.0
2023-05-15,10392.0,10392.0,10202.0,10239.0,39910481013,3898005,1333,10526.0,10260.0
2023-05-17,10210.0,10210.0,9950.0,10023.0,52419111124,5229821,1730,10239.0,10022.0
2023-05-20,10002.0,10290.0,10002.0,10140.0,25786418416,2543098,864,10023.0,10206.0
2023-05-21,10397.0,10470.0,10347.0,10410.0,40622375777,3902131,976,10140.0,10399.0
2023-05-22,10500.0,10588.0,10404.0,10494.0,96669695227,9211737,1247,10410.0,10470.0
2023-05-23,10350.0,10426.0,10200.0,10298.0,22048176361,2140963,668,10494.0,10276.0
2023-05-24,10280.0,10327.0,10182.0,10235.0,13803527333,1348619,653,10298.0,10235.0
2023-05-27,0.0,10090.0,10002.0,10014.0,23801851644,2376843,1037,10235.0,10022.0
2023-05-28,10001.0,10001.0,9778.0,9873.0,32757770634,3317916,1428,10014.0,9792.0
2023-05-29,9990.0,10032.0,9899.0,9979.0,25100777058,2515315,721,9873.0,9977.0
2023-05-30,9950.0,9950.0,9800.0,9835.0,24724740149,2514050,707,9979.0,9860.0
2023-05-31,9801.0,9801.0,9634.0,9676.0,28650498969,2961043,955,9835.0,9667.0
2023-06-03,9560.0,9791.0,9551.0,9674.0,12514036497,1293530,523,9676.0,9761.0
2023-06-06,9810.0,9810.0,9706.0,9758.0,7110251443,728681,351,9674.0,9750.0
2023-06-07,9730.0,9730.0,9479.0,9545.0,16134473768,1690339,933,9758.0,9522.0
2023-06-10,9389.0,9389.0,8990.0,9186.0,29892082849,3254247,1001,9545.0,9215.0
2023-06-11,9090.0,9214.0,8800.0,9018.0,29788498488,3303185,1225,9186.0,8847.0
2023-06-12,8800.0,9000.0,8720.0,8798.0,34402625792,3910250,883,9018.0,8925.0
2023-06-13,9185.0,9480.0,8940.0,9122.0,20038683045,2196729,640,8798.0,9117.0
2023-06-14,9170.0,9170.0,8961.0,9039.0,10639728207,1177105,486,9122.0,8998.0
2023-06-17,9100.0,9170.0,8853.0,9006.0,13078409389,1452211,462,9039.0,8890.0
2023-06-18,8766.0,8899.0,8766.0,8822.0,5201859786,589619,341,9006.0,8820.0
2023-06-19,8802.0,8803.0,8600.0,8669.0,10125400985,1167996,565,8822.0,8723.0
2023-06-20,8600.0,8815.0,8600.0,8754.0,3316627896,378854,252,8669.0,8815.0
2023-06-21,8755.0,8950.0,8670.0,8719.0,4880904425,559827,235,8754.0,8746.0
2023-06-24,9040.0,9040.0,8760.0,8827.0,12894375257,1460734,342,8719.0,8828.0
2023-06-25,8845.0,8892.0,8800.0,8853.0,13285201838,1500683,276,8827.0,8888.0
2023-06-26,8955.0,8955.0,8750.0,8814.0,7835896286,889052,218,8853.0,8841.0
2023-06-27,8890.0,8890.0,8814.0,8842.0,2762511354,312423,135,8814.0,8890.0
2023-06-28,8847.0,8847.0,8806.0,8813.0,3220506346,365417,278,8842.0,8814.0
2023-07-01,8817.0,8999.0,8817.0,8908.0,6514458724,731305,246,8813.0,8915.0
2023-07-02,8980.0,9145.0,8912.0,9035.0,10733409281,1187969,364,8908.0,9051.0
2023-07-03,9200.0,9200.0,8961.0,9027.0,7423680439,822423,394,9035.0,9033.0
2023-07-04,9000.0,9000.0,8866.0,8921.0,5275979503,591440,246,9027.0,8930.0
2023-07-05,8900.0,8970.0,8800.0,8899.0,15163349777,1703889,292,8921.0,8969.0
2023-07-08,8845.0,8949.0,8845.0,8920.0,8015476214,898557,172,8899.0,8929.0
2023-07-09,8806.0,8850.0,8781.0,8813.0,8838793345,1002965,391,8920.0,8797.0
2023-07-10,8880.0,8880.0,8725.0,8744.0,5790419734,662204,224,8813.0,8762.0
2023-07-11,8723.0,8723.0,8634.0,8665.0,14436025640,1666008,350,8744.0,8689.0
2023-07-12,8601.0,8800.0,8601.0,8732.0,5132087949,587766,228,8665.0,8800.0
2023-07-15,8750.0,8830.0,8750.0,8785.0,5235766964,596001,177,8732.0,8790.0
2023-07-16,8700.0,8700.0,8590.0,8605.0,10548686471,1225844,343,8785.0,8620.0
2023-07-17,8690.0,8690.0,8605.0,8633.0,3170413709,367228,146,8605.0,8626.0
2023-07-18,8750.0,8780.0,8660.0,8715.0,6940898896,796418,274,8633.0,8720.0
2023-07-19,8860.0,8860.0,8656.0,8678.0,2971729645,342455,246,8715.0,8708.0
2023-07-22,8679.0,8684.0,8590.0,8611.0,8525583368,990078,319,8678.0,8629.0
2023-07-23,8638.0,8638.0,8558.0,8569.0,2998788458,349968,187,8611.0,8594.0
2023-07-24,8561.0,8679.0,8558.0,8606.0,5249196566,609968,171,8569.0,8657.0
2023-07-25,8630.0,8790.0,8615.0,8711.0,5575031259,639978,199,8606.0,8775.0
2023-07-26,8840.0,8930.0,8776.0,8866.0,11670588390,1316381,291,8711.0,8900.0
2023-07-29,8980.0,8980.0,8762.0,8795.0,7069426251,803799,311,8866.0,8836.0
2023-07-30,8829.0,8829.0,8779.0,8807.0,2574357009,292302,149,8795.0,8810.0
2023-07-31,8820.0,9000.0,8800.0,8944.0,9440454765,1055552,271,8807.0,8994.0
2023-08-01,9167.0,9297.0,9100.0,9218.0,16954448749,1839367,469,8944.0,9296.0
2023-08-05,9200.0,9200.0,9032.0,9067.0,5972158588,658694,279,9218.0,9062.0
2023-08-06,9050.0,9063.0,8850.0,8992.0,2527401955,281069,82,9067.0,9019.0
2023-08-07,9190.0,9190.0,8977.0,9026.0,4445892729,492563,195,8992.0,8977.0
2023-08-08,8979.0,8990.0,8911.0,8951.0,5304668521,592636,244,9026.0,8955.0
2023-08-09,8904.0,9059.0,8902.0,8987.0,4089275495,455002,168,8951.0,9059.0
2023-08-12,8699.0,8787.0,8641.0,8729.0,6463678496,740457,268,8987.0,8731.0
2023-08-13,8910.0,8910.0,8790.0,8818.0,3583582941,406393,125,8729.0,8835.0
2023-08-14,8890.0,8890.0,8773.0,8804.0,1805685816,205104,126,8818.0,8795.0
2023-08-15,8700.0,8789.0,8684.0,8719.0,8763260218,1005076,231,8804.0,8739.0
2023-08-16,8700.0,8764.0,8660.0,8706.0,4076034308,468201,194,8719.0,8720.0
2023-08-19,8640.0,8657.0,8607.0,8619.0,5546308051,643468,209,8706.0,8638.0
2023-08-20,8688.0,8689.0,8619.0,8638.0,768338527,88948,46,8619.0,8644.0
2023-08-21,8620.0,8660.0,8601.0,8623.0,1586592355,183995,153,8638.0,8627.0
2023-08-22,8651.0,8713.0,8651.0,8696.0,2350448535,270279,140,8623.0,8709.0
2023-08-23,8700.0,8740.0,8650.0,8687.0,3578961844,411992,162,8696.0,8686.0
2023-08-26,8660.0,8699.0,8624.0,8645.0,4629304566,535462,255,8687.0,8628.0
2023-08-27,8640.0,8789.0,8638.0,8660.0,3442299329,397510,182,8645.0,8651.0
2023-08-28,8659.0,8689.0,8620.0,8650.0,2516998252,290996,201,8660.0,8638.0
2023-08-29,8688.0,8688.0,8620.0,8637.0,3347383498,387584,238,8650.0,8639.0
2023-08-30,8653.0,8735.0,8642.0,8691.0,8021589875,922928,291,8637.0,8660.0
2023-09-02,8670.0,8757.0,8670.0,8724.0,4267012260,489084,240,8691.0,8697.0
2023-09-03,8800.0,8899.0,8787.0,8807.0,6694712314,760118,304,8724.0,8821.0
2023-09-04,8800.0,8800.0,8700.0,8750.0,4932735390,563720,255,8807.0,8748.0
2023-09-05,8660.0,8760.0,8660.0,8701.0,1946728993,223725,134,8750.0,8719.0
2023-09-09,8760.0,8795.0,8701.0,8727.0,3316841672,380051,232,8701.0,8718.0
2023-09-10,8663.0,8719.0,8663.0,8707.0,3859033675,443209,229,8727.0,8698.0
2023-09-11,8640.0,8705.0,8640.0,8670.0,5915567246,682265,180,8707.0,8699.0
2023-09-12,8642.0,8694.0,8615.0,8627.0,3435738264,398245,348,8670.0,8694.0
2023-09-13,8650.0,8699.0,8630.0,8665.0,2979162385,343811,144,8627.0,8690.0
2023-09-17,8656.0,8700.0,8632.0,8660.0,5127632473,592128,174,8665.0,8664.0
2023-09-18,8640.0,8640.0,8590.0,8606.0,4289799135,498469,176,8660.0,8640.0
2023-09-19,8599.0,8629.0,8585.0,8602.0,4256218179,494791,249,8606.0,8623.0
2023-09-20,8590.0,8620.0,8550.0,8567.0,1776752235,207407,221,8602.0,8550.0
2023-09-23,8571.0,8571.0,8500.0,8516.0,5112437297,600302,334,8567.0,8519.0
2023-09-25,8500.0,8500.0,8400.0,8435.0,9441424443,1119372,274,8516.0,8422.0
2023-09-26,8401.0,8450.0,8360.0,8394.0,2294193963,273306,115,8435.0,8420.0
2023-09-27,8394.0,8411.0,8350.0,8358.0,3486635422,417175,251,8394.0,8355.0
2023-09-30,8340.0,8341.0,8213.0,8287.0,6873623155,829471,199,8358.0,8325.0
2023-10-01,8325.0,8400.0,8241.0,8284.0,6780610723,818480,147,8287.0,8311.0
2023-10-02,8330.0,8339.0,8282.0,8302.0,2264616654,272778,161,8284.0,8311.0
2023-10-04,8310.0,8310.0,8218.0,8278.0,3555901679,429585,174,8302.0,8279.0
2023-10-07,8332.0,8571.0,8300.0,8478.0,11589173862,1367018,239,8278.0,8571.0
2023-10-08,8802.0,9145.0,8802.0,9006.0,36299198154,4030505,710,8478.0,9048.0
2023-10-09,9245.0,9274.0,9010.0,9173.0,34363307129,3746304,691,9006.0,9215.0
2023-10-10,9169.0,9198.0,8692.0,8800.0,22553332845,2562804,513,9173.0,8730.0
2023-10-11,8751.0,8850.0,8700.0,8799.0,3751478524,426372,178,8800.0,8800.0
2023-10-14,8891.0,9020.0,8891.0,8982.0,11294575909,1257454,336,8799.0,8954.0
2023-10-15,8900.0,9010.0,8816.0,8976.0,5522568112,615256,179,8982.0,8941.0
2023-10-16,8800.0,8878.0,8773.0,8805.0,7277515874,826516,213,8976.0,8826.0
2023-10-17,8860.0,8965.0,8811.0,8878.0,7208481861,811939,199,8805.0,8950.0
2023-10-18,9090.0,9130.0,9050.0,9102.0,8615108089,946470,234,8878.0,9085.0
2023-10-21,9069.0,9069.0,9002.0,9012.0,10967250212,1216902,141,9102.0,9003.0
2023-10-22,9129.0,9129.0,8910.0,9080.0,24849693509,2736629,257,9012.0,9105.0
2023-10-23,9080.0,9135.0,9080.0,9118.0,16404336226,1799039,150,9080.0,9121.0
2023-10-24,9100.0,9164.0,9064.0,9106.0,7344161778,806481,118,9118.0,9091.0
2023-10-25,9180.0,9180.0,9130.0,9151.0,19514991889,2132653,216,9106.0,9147.0
2023-10-28,9419.0,9530.0,9344.0,9478.0,43980717143,4640483,681,9151.0,9481.0
2023-10-29,9340.0,9340.0,9262.0,9288.0,6730238282,724580,211,9478.0,9300.0
2023-10-30,9194.0,9310.0,9192.0,9265.0,3076765214,332080,119,9288.0,9300.0
2023-10-31,9470.0,9470.0,9266.0,9303.0,4079240782,438502,162,9265.0,9364.0
2023-11-01,9340.0,9378.0,9275.0,9319.0,18820487202,2019634,332,9303.0,9378.0
2023-11-04,9001.0,9233.0,9001.0,9182.0,12881531771,1402839,274,9319.0,9210.0
2023-11-05,9288.0,9288.0,9214.0,9252.0,7063393701,763438,146,9182.0,9259.0
2023-11-06,9250.0,9250.0,9120.0,9187.0,11590758377,1261680,237,9252.0,9202.0
2023-11-07,9127.0,9179.0,9116.0,9120.0,6397094838,701452,229,9187.0,9120.0
2023-11-08,9050.0,9168.0,9050.0,9120.0,8184222239,897393,189,9120.0,9135.0
