date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-02-25,10000.0,10000.0,10000.0,10000.0,1980000000000,198000000,488,10000.0,10000.0
2023-03-15,10050.0,10054.0,10050.0,10050.0,10052512900,1000250,7,10000.0,10054.0
2023-03-18,10067.0,10069.0,10067.0,10068.0,302446157319,30041350,88,10050.0,10069.0
2023-03-19,10092.0,10094.0,10092.0,10094.0,157358151956,15589481,65,10068.0,10094.0
2023-03-25,10109.0,10110.0,10109.0,10110.0,21978523136,2173995,23,10094.0,10109.0
2023-03-27,10121.0,10122.0,10121.0,10121.0,158243213645,15635135,98,10110.0,10122.0
2023-03-28,10128.0,10128.0,10127.0,10127.0,84502342024,8344258,37,10121.0,10128.0
2023-03-29,10150.0,10150.0,10149.0,10149.0,7007762533,690482,46,10127.0,10150.0
2023-04-03,10165.0,10165.0,10164.0,10164.0,490811593,48289,27,10149.0,10164.0
2023-04-04,10170.0,10171.0,10170.0,10170.0,81475754810,8011087,28,10164.0,10171.0
2023-04-05,10007.0,10010.0,10006.0,10010.0,211212985065,21100227,64,10170.0,10010.0
2023-04-08,10027.0,10027.0,10026.0,10026.0,84092175509,8387368,93,10010.0,10026.0
2023-04-09,10032.0,10033.0,10032.0,10033.0,407066066101,40574720,108,10026.0,10032.0
2023-04-10,10040.0,10040.0,10039.0,10039.0,39496101117,3934164,32,10033.0,10040.0
2023-04-11,10057.0,10058.0,10057.0,10058.0,79555983133,7909834,36,10039.0,10057.0
2023-04-15,10073.0,10074.0,10073.0,10073.0,736335360250,73099886,176,10058.0,10073.0
2023-04-16,10081.0,10081.0,10080.0,10080.0,22818108703,2263680,18,10073.0,10080.0
2023-04-17,10088.0,10088.0,10087.0,10088.0,414168105682,41055532,73,10080.0,10087.0
2023-04-18,10095.0,10096.0,10095.0,10095.0,109839393385,10880067,44,10088.0,10095.0
2023-04-19,10122.0,10122.0,10114.0,10115.0,1089222301929,107683890,146,10095.0,10114.0
2023-04-24,10130.0,10130.0,10129.0,10130.0,9968962644,984119,20,10115.0,10129.0
2023-04-25,10135.0,10136.0,10135.0,10136.0,123411504699,12175639,26,10130.0,10135.0
2023-04-26,10150.0,10150.0,10149.0,10149.0,36308832703,3577573,15,10136.0,10149.0
2023-04-29,10165.0,10165.0,10164.0,10164.0,178241455394,17535944,30,10149.0,10164.0
2023-04-30,10171.0,10172.0,10171.0,10171.0,72792359166,7156653,36,10164.0,10172.0
2023-05-01,10180.0,10180.0,10179.0,10179.0,60314025176,5925085,47,10171.0,10179.0
2023-05-02,10186.0,10187.0,10186.0,10186.0,39607124077,3888285,33,10179.0,10187.0
2023-05-03,10195.0,10196.0,10195.0,10196.0,173433221963,17009949,41,10186.0,10196.0
2023-05-06,10006.0,10007.0,10006.0,10007.0,25270573163,2525316,59,10196.0,10006.0
2023-05-07,10014.0,10014.0,10013.0,10014.0,1969633109,196693,14,10007.0,10013.0
2023-05-08,10020.0,10021.0,10020.0,10021.0,46746493195,4664978,56,10014.0,10021.0
2023-05-09,10027.0,10028.0,10027.0,10027.0,160583357224,16015075,33,10021.0,10028.0
2023-05-10,10036.0,10037.0,10036.0,10036.0,640980124562,63866561,82,10027.0,10036.0
2023-05-13,10051.0,10052.0,10051.0,10051.0,202413690511,20138657,33,10036.0,10051.0
2023-05-14,10059.0,10059.0,10058.0,10058.0,1401810155755,139372339,150,10051.0,10058.0
2023-05-15,10067.0,10068.0,10067.0,10067.0,20438884653,2030267,16,10058.0,10067.0
2023-05-17,10084.0,10085.0,10084.0,10085.0,134030349027,13290100,35,10067.0,10085.0
2023-05-20,10099.0,10100.0,10099.0,10100.0,6171240700,611015,14,10085.0,10100.0
2023-05-21,10107.0,10107.0,10106.0,10106.0,1272927130,125955,5,10100.0,10107.0
2023-05-22,10113.0,10114.0,10113.0,10114.0,145710720703,14407252,29,10106.0,10114.0
2023-05-23,10120.0,10120.0,10119.0,10119.0,27239027258,2691789,14,10114.0,10119.0
2023-05-24,10128.0,10129.0,10128.0,10129.0,97858317752,9661584,22,10119.0,10129.0
2023-05-27,10138.0,10139.0,10138.0,10138.0,160594350222,15840296,28,10129.0,10139.0
2023-05-28,10148.0,10148.0,10147.0,10147.0,75398202166,7430310,21,10138.0,10147.0
2023-05-29,10157.0,10157.0,10156.0,10156.0,190746468417,18781090,40,10147.0,10157.0
2023-05-30,10165.0,10166.0,10165.0,10165.0,210605961057,20718728,35,10156.0,10165.0
2023-05-31,10188.0,10188.0,10174.0,10174.0,125937792956,12377893,45,10165.0,10174.0
2023-06-03,10187.0,10198.0,10187.0,10190.0,1048794928708,102921763,137,10174.0,10198.0
2023-06-06,10006.0,10007.0,10006.0,10006.0,694802894936,69438613,108,10190.0,10006.0
2023-06-07,10016.0,10017.0,10016.0,10017.0,289494537107,28901528,101,10006.0,10016.0
2023-06-10,10032.0,10033.0,10032.0,10033.0,117176075359,11679151,37,10017.0,10033.0
2023-06-11,10038.0,10039.0,10038.0,10038.0,36300183697,3616159,51,10033.0,10038.0
2023-06-12,10045.0,10046.0,10045.0,10046.0,253027670397,25187795,93,10038.0,10045.0
2023-06-13,10051.0,10052.0,10051.0,10052.0,148206454523,14744265,47,10046.0,10052.0
2023-06-14,10060.0,10061.0,10060.0,10061.0,747482406116,74295233,149,10052.0,10061.0
2023-06-17,10077.0,10077.0,10076.0,10076.0,1380746979308,137032843,293,10061.0,10076.0
2023-06-18,10084.0,10084.0,10083.0,10083.0,103636586192,10278031,105,10076.0,10083.0
2023-06-19,10090.0,10092.0,10089.0,10090.0,356601922913,35342512,123,10083.0,10090.0
2023-06-20,10097.0,10097.0,10096.0,10097.0,1000510857,99091,18,10090.0,10097.0
2023-06-21,10107.0,10107.0,10106.0,10107.0,196694498581,19461464,96,10097.0,10107.0
2023-06-24,10122.0,10122.0,10121.0,10121.0,126931629445,12541390,41,10107.0,10122.0
2023-06-25,10129.0,10129.0,10128.0,10129.0,110523821158,10912149,36,10121.0,10128.0
2023-06-26,10137.0,10138.0,10136.0,10137.0,302348553756,29826799,75,10129.0,10136.0
2023-06-27,10143.0,10145.0,10143.0,10145.0,202082642483,19920193,76,10137.0,10145.0
2023-06-28,10156.0,10157.0,10156.0,10156.0,353791887010,34834818,93,10145.0,10157.0
2023-07-01,10168.0,10169.0,10168.0,10169.0,396267633436,38969243,99,10156.0,10169.0
