date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-05-31,5422.0,2800.0,1920.0,2239.0,1343635850000,600000000,333,1000.0,1920.0
2023-06-03,2350.0,2350.0,2350.0,2350.0,47000000000,20000000,433,2239.0,2350.0
2023-06-06,2467.0,2467.0,2467.0,2467.0,66609000000,27000000,526,2350.0,2467.0
2023-06-07,2590.0,2590.0,2590.0,2590.0,59570000000,23000000,333,2467.0,2590.0
2023-06-10,2719.0,2719.0,2719.0,2719.0,140391992234,51633686,970,2590.0,2719.0
2023-06-11,2854.0,2854.0,2854.0,2854.0,531800355422,186335093,3635,2719.0,2854.0
2023-06-12,2996.0,2996.0,2996.0,2996.0,647841120584,216235354,4461,2854.0,2996.0
2023-06-13,3145.0,3145.0,3145.0,3145.0,467572273205,148671629,3477,2996.0,3145.0
2023-06-14,3302.0,3302.0,3302.0,3302.0,416871536588,126248194,2697,3145.0,3302.0
2023-06-19,3137.0,3137.0,3137.0,3137.0,69001423767,21995991,653,3302.0,3137.0
2023-06-20,2981.0,3092.0,2981.0,2992.0,1750740866608,585105594,18610,3137.0,2981.0
2023-06-21,3019.0,3035.0,2852.0,2937.0,346161940256,117851416,5747,2992.0,2901.0
2023-06-24,2903.0,2903.0,2791.0,2797.0,421144110104,150556224,5856,2937.0,2791.0
2023-06-25,2770.0,2830.0,2670.0,2722.0,204252413391,75025089,3739,2797.0,2739.0
2023-06-26,2692.0,2858.0,2692.0,2827.0,392405675659,138802506,5141,2722.0,2786.0
2023-06-27,2790.0,2820.0,2692.0,2756.0,195251296276,70856395,2812,2827.0,2706.0
2023-06-28,2680.0,2711.0,2640.0,2671.0,107536735806,40266883,2008,2756.0,2679.0
2023-07-01,2682.0,2747.0,2652.0,2706.0,60574587091,22382320,1327,2671.0,2690.0
2023-07-02,2692.0,2780.0,2677.0,2708.0,102073781495,37691206,1772,2706.0,2700.0
2023-07-03,2740.0,2779.0,2678.0,2724.0,83289960949,30581028,1712,2708.0,2765.0
2023-07-04,2780.0,2795.0,2725.0,2761.0,92748422172,33589864,1741,2724.0,2791.0
2023-07-10,2444.0,2444.0,2250.0,2352.0,40743776945,17320088,877,2341.0,2335.0
2023-07-11,2315.0,2380.0,2235.0,2284.0,75264996588,32948012,2161,2352.0,2235.0
2023-07-12,2275.0,2290.0,2170.0,2191.0,60032235964,27404961,1370,2284.0,2181.0
2023-07-15,2250.0,2250.0,2157.0,2200.0,37848387995,17207531,828,2191.0,2199.0
2023-07-16,2175.0,2224.0,2090.0,2129.0,63687138005,29907494,1386,2200.0,2179.0
2023-07-17,2235.0,2235.0,2235.0,2235.0,50198580525,22460215,378,2129.0,2235.0
2023-07-18,2346.0,2346.0,2346.0,2346.0,34696554090,14789665,207,2235.0,2346.0
2023-07-19,2463.0,2463.0,2360.0,2455.0,639292103679,260433099,6046,2346.0,2463.0
2023-07-22,2455.0,2568.0,2368.0,2484.0,166751845538,67121724,2744,2455.0,2497.0
2023-07-23,2500.0,2608.0,2451.0,2593.0,134217879990,51762158,1211,2484.0,2608.0
2023-07-24,2722.0,2722.0,2659.0,2714.0,334206894698,123149627,3650,2593.0,2722.0
2023-07-25,2770.0,2788.0,2617.0,2700.0,222811058592,82512901,3687,2714.0,2630.0
2023-07-26,2630.0,2689.0,2565.0,2618.0,118837596161,45399990,2133,2700.0,2640.0
2023-07-29,2631.0,2746.0,2580.0,2668.0,91493860515,34290946,1510,2618.0,2746.0
2023-07-30,2760.0,2801.0,2693.0,2787.0,255959877893,91824791,2853,2668.0,2801.0
2023-07-31,2926.0,2926.0,2901.0,2924.0,89642049482,30656874,609,2787.0,2926.0
2023-08-01,3070.0,3070.0,2960.0,3058.0,416758107559,136301846,4349,2924.0,3070.0
2023-08-05,3062.0,3150.0,2920.0,3041.0,316079318336,103930240,5496,3058.0,3057.0
2023-08-06,3057.0,3128.0,3001.0,3081.0,168154332080,54578819,2554,3041.0,3076.0
2023-08-07,3100.0,3117.0,2927.0,2966.0,256864871016,86609886,4233,3081.0,2929.0
2023-08-08,2950.0,3114.0,2832.0,3051.0,229940856808,75353542,3077,2966.0,3114.0
2023-08-09,3179.0,3203.0,3121.0,3201.0,242334688464,75698492,1768,3051.0,3203.0
2023-08-12,3245.0,3361.0,3081.0,3293.0,392948553903,119316223,4060,3201.0,3361.0
2023-08-13,3302.0,3457.0,3302.0,3430.0,489272395107,142631450,5977,3293.0,3380.0
2023-08-14,3430.0,3442.0,3259.0,3349.0,430958059995,128692240,5938,3430.0,3361.0
2023-08-15,3396.0,3396.0,3182.0,3208.0,307268934502,95775644,3731,3349.0,3182.0
2023-08-16,3150.0,3299.0,3100.0,3200.0,232292523119,72598546,3220,3208.0,3229.0
2023-08-19,3200.0,3229.0,3040.0,3093.0,205286286783,66381053,2895,3200.0,3040.0
2023-08-20,2960.0,3093.0,2939.0,2986.0,257349136522,86181499,3125,3093.0,3010.0
2023-08-21,3059.0,3080.0,3000.0,3033.0,116358893337,38370039,1917,2986.0,3009.0
2023-08-22,3000.0,3090.0,2962.0,3043.0,131817660476,43321238,2462,3033.0,3039.0
2023-08-23,3010.0,3119.0,3010.0,3055.0,82611368562,27038607,1517,3043.0,3090.0
2023-08-26,3100.0,3207.0,3100.0,3172.0,156414506404,49311170,1922,3055.0,3169.0
2023-08-27,3210.0,3260.0,3071.0,3169.0,214488401632,67673520,3136,3172.0,3132.0
2023-08-28,3090.0,3240.0,3088.0,3148.0,163541615645,51958587,2716,3169.0,3171.0
2023-08-29,3205.0,3229.0,3130.0,3162.0,74570474184,23584732,1178,3148.0,3148.0
2023-08-30,3114.0,3223.0,3114.0,3154.0,110574575817,35059029,1752,3162.0,3136.0
2023-09-02,3120.0,3170.0,2999.0,3078.0,112767149242,36635529,1947,3154.0,3040.0
2023-09-03,3016.0,3098.0,2999.0,3037.0,101589851995,33455127,1643,3078.0,3040.0
2023-09-04,3110.0,3188.0,3051.0,3179.0,199722790696,62832607,1436,3037.0,3188.0
2023-09-05,3310.0,3311.0,3201.0,3256.0,195817309364,60149486,2349,3179.0,3222.0
2023-09-09,3222.0,3250.0,3096.0,3138.0,105394049130,33585280,2061,3256.0,3099.0
2023-09-10,3100.0,3170.0,3081.0,3114.0,92242730148,29619431,1315,3138.0,3094.0
2023-09-11,3103.0,3117.0,3040.0,3073.0,79319217549,25814998,1280,3114.0,3056.0
2023-09-12,3060.0,3143.0,3015.0,3078.0,72061732460,23409518,1089,3073.0,3052.0
2023-09-13,3072.0,3100.0,3030.0,3047.0,61284365871,20112389,868,3078.0,3047.0
2023-09-17,3045.0,3094.0,3031.0,3065.0,61904971932,20196892,831,3047.0,3054.0
2023-09-18,3041.0,3067.0,3000.0,3028.0,68702026383,22687801,998,3065.0,3006.0
2023-09-19,3011.0,3027.0,2943.0,2973.0,77161332343,25956471,1326,3028.0,2953.0
2023-09-20,2972.0,2972.0,2893.0,2911.0,58829648904,20212285,1016,2973.0,2897.0
2023-09-23,2911.0,2957.0,2869.0,2889.0,44839852687,15522419,882,2911.0,2870.0
2023-09-25,2870.0,2932.0,2862.0,2902.0,46064948736,15872838,703,2889.0,2871.0
2023-09-26,2918.0,2918.0,2845.0,2874.0,44080562129,15338959,738,2902.0,2861.0
2023-09-27,2906.0,3017.0,2851.0,2974.0,101107228767,33994782,1464,2874.0,3017.0
2023-09-30,3050.0,3122.0,2992.0,3096.0,146964065134,47468283,2180,2974.0,3085.0
2023-10-01,3107.0,3110.0,2989.0,3029.0,46722927627,15425401,986,3096.0,3008.0
2023-10-02,3001.0,3046.0,2935.0,2975.0,55485695686,18648602,1433,3029.0,2941.0
2023-10-04,2936.0,2989.0,2860.0,2895.0,74775829137,25825432,2044,2975.0,2927.0
2023-10-07,2938.0,2938.0,2850.0,2887.0,31490117270,10908054,705,2895.0,2864.0
2023-10-08,2840.0,2890.0,2743.0,2746.0,97255298441,35417793,1155,2887.0,2748.0
2023-10-09,2700.0,2804.0,2681.0,2730.0,31428324292,11510215,684,2746.0,2735.0
2023-10-10,2680.0,2785.0,2680.0,2724.0,34872956608,12801112,624,2730.0,2754.0
2023-10-11,2751.0,2811.0,2722.0,2761.0,20187325173,7311243,425,2724.0,2733.0
2023-10-14,2760.0,2760.0,2623.0,2632.0,48868422449,18565909,791,2761.0,2623.0
2023-10-15,2660.0,2700.0,2540.0,2590.0,31761747912,12263218,827,2632.0,2569.0
2023-10-16,2572.0,2699.0,2571.0,2648.0,22036348614,8320858,496,2590.0,2688.0
2023-10-17,2690.0,2719.0,2580.0,2625.0,29423369033,11208425,851,2648.0,2600.0
2023-10-18,2575.0,2620.0,2501.0,2559.0,29697254947,11605704,897,2625.0,2550.0
2023-10-21,2630.0,2660.0,2572.0,2603.0,15509070640,5957509,382,2559.0,2573.0
2023-10-22,2600.0,2615.0,2578.0,2600.0,19583433846,7533214,481,2603.0,2578.0
2023-10-23,2664.0,2664.0,2536.0,2574.0,20298252677,7887196,629,2600.0,2539.0
2023-10-24,2530.0,2574.0,2446.0,2471.0,43914879647,17770563,884,2574.0,2475.0
2023-10-25,2450.0,2529.0,2436.0,2488.0,15962459972,6415461,341,2471.0,2493.0
2023-10-28,2420.0,2420.0,2364.0,2365.0,54772149413,23164061,801,2488.0,2364.0
2023-10-29,2281.0,2440.0,2281.0,2373.0,23113798990,9739686,489,2365.0,2370.0
2023-10-30,2427.0,2470.0,2349.0,2411.0,23622710567,9797049,473,2373.0,2450.0
2023-10-31,2468.0,2468.0,2320.0,2368.0,20105899408,8492103,462,2411.0,2358.0
2023-11-05,2480.0,2486.0,2442.0,2485.0,20493090309,8246679,278,2368.0,2486.0
2023-11-06,2540.0,2545.0,2456.0,2505.0,30032876902,11988410,630,2485.0,2489.0
2023-11-07,2506.0,2598.0,2480.0,2529.0,40193931053,15892975,704,2505.0,2527.0
2023-11-08,2570.0,2570.0,2490.0,2515.0,17996310005,7156254,435,2529.0,2518.0
2023-11-11,2498.0,2589.0,2498.0,2546.0,27405543036,10762437,545,2515.0,2550.0
2023-11-12,2580.0,2595.0,2520.0,2561.0,26480410601,10338863,616,2546.0,2572.0
2023-11-13,2599.0,2600.0,2539.0,2559.0,18731897115,7320083,449,2561.0,2551.0
2023-11-14,2527.0,2559.0,2485.0,2510.0,18707736579,7452974,577,2559.0,2494.0
2023-11-15,2481.0,2528.0,2480.0,2498.0,13609983321,5449043,338,2510.0,2512.0
2023-11-18,2501.0,2530.0,2486.0,2500.0,17812618961,7124732,375,2498.0,2490.0
2023-11-19,2510.0,2530.0,2440.0,2476.0,25380887992,10249730,543,2500.0,2448.0
2023-11-20,2476.0,2483.0,2400.0,2432.0,12982381427,5337840,454,2476.0,2401.0
2023-11-21,2440.0,2525.0,2390.0,2463.0,28835424005,11709379,797,2432.0,2495.0
2023-11-22,2520.0,2520.0,2451.0,2475.0,11471364200,4635232,379,2463.0,2460.0
2023-11-25,2421.0,2500.0,2421.0,2456.0,18475475035,7523824,405,2475.0,2428.0
2023-11-26,2456.0,2578.0,2456.0,2563.0,117480302067,45832666,1331,2456.0,2578.0
2023-11-27,2600.0,2617.0,2537.0,2576.0,49003277231,19020572,776,2563.0,2551.0
2023-11-28,2576.0,2576.0,2500.0,2525.0,17665416683,6995699,468,2576.0,2525.0
2023-11-29,2586.0,2586.0,2532.0,2549.0,30199294851,11845631,476,2525.0,2536.0
2023-12-02,2579.0,2637.0,2545.0,2584.0,40509460306,15674005,644,2549.0,2562.0
2023-12-03,2584.0,2649.0,2542.0,2585.0,45434270274,17573438,783,2584.0,2635.0
2023-12-04,2637.0,2679.0,2600.0,2630.0,32370522874,12306606,520,2585.0,2623.0
2023-12-05,2650.0,2682.0,2589.0,2634.0,25703735410,9758380,612,2630.0,2600.0
2023-12-06,2630.0,2633.0,2575.0,2593.0,21086047445,8130553,478,2634.0,2591.0
2023-12-09,2600.0,2636.0,2530.0,2576.0,15792272690,6130950,511,2593.0,2550.0
2023-12-10,2600.0,2600.0,2539.0,2559.0,15019530290,5869696,369,2576.0,2554.0
2023-12-11,2559.0,2587.0,2530.0,2556.0,24311567522,9511752,518,2559.0,2532.0
2023-12-12,2556.0,2556.0,2508.0,2527.0,17186520384,6800896,547,2556.0,2510.0
2023-12-13,2521.0,2553.0,2500.0,2517.0,18227154619,7242637,422,2527.0,2518.0
2023-12-16,2572.0,2572.0,2500.0,2516.0,19635463061,7805188,517,2517.0,2519.0
2023-12-18,2530.0,2629.0,2511.0,2578.0,24198842130,9387054,547,2516.0,2583.0
2023-12-19,2579.0,2640.0,2578.0,2608.0,22840930169,8756842,503,2578.0,2595.0
2023-12-20,2613.0,2624.0,2565.0,2585.0,16717720062,6466064,308,2608.0,2592.0
