date,open,high,low,adjClose,value,volume,count,yesterday,close
2015-07-05,20.0,20.0,20.0,20.0,2000000,100000,1,1000.0,20.0
2016-02-01,551.0,551.0,551.0,551.0,192538685,349435,3,20.0,551.0
2016-02-03,451.0,451.0,451.0,451.0,13530000,30000,1,551.0,451.0
2016-02-07,407.0,411.0,400.0,405.0,147324900,363900,11,451.0,400.0
2016-02-08,400.0,400.0,400.0,400.0,28000000,70000,1,405.0,400.0
2016-02-09,340.0,340.0,340.0,340.0,34000000,100000,2,400.0,340.0
2016-02-10,302.0,302.0,301.0,301.0,16258000,54000,3,340.0,302.0
2016-02-13,251.0,260.0,200.0,239.0,88250000,370000,6,301.0,210.0
2016-02-14,150.0,150.0,150.0,150.0,54765000,365100,3,239.0,150.0
2016-02-15,190.0,190.0,190.0,190.0,1900000,10000,1,150.0,190.0
2016-02-17,190.0,190.0,190.0,190.0,9492457000,49960300,16,190.0,190.0
2016-02-20,190.0,190.0,190.0,190.0,9490500000,49950000,2,190.0,190.0
2016-02-21,190.0,191.0,190.0,190.0,8344678080,43919332,170,190.0,190.0
2018-01-23,552.0,607.0,552.0,592.0,13400688630,22635593,1439,190.0,607.0
2018-01-24,608.0,625.0,533.0,548.0,9893295445,18048974,1218,592.0,533.0
2018-01-27,500.0,513.0,494.0,495.0,4717550460,9530131,614,548.0,494.0
2018-01-28,450.0,528.0,450.0,486.0,2102542706,4327893,405,495.0,478.0
2018-01-29,472.0,505.0,438.0,457.0,1645043594,3600233,293,486.0,450.0
2018-01-30,454.0,502.0,412.0,470.0,4549711924,9679110,725,457.0,502.0
2018-01-31,480.0,492.0,451.0,463.0,975545855,2108731,198,470.0,460.0
2018-02-03,497.0,497.0,417.0,421.0,2020925515,4797790,344,463.0,417.0
2018-02-04,430.0,447.0,390.0,421.0,552781134,1311838,163,421.0,423.0
2018-02-05,439.0,439.0,379.0,399.0,642628729,1611805,175,421.0,386.0
2018-02-06,405.0,405.0,360.0,370.0,924773536,2496170,238,399.0,360.0
2018-02-07,338.0,381.0,338.0,351.0,1052573711,2996739,261,370.0,345.0
2018-02-10,355.0,364.0,316.0,324.0,1234840580,3815936,295,351.0,320.0
2018-02-12,327.0,356.0,325.0,341.0,1881538441,5519079,387,324.0,356.0
2018-02-13,370.0,375.0,339.0,358.0,2486992086,6943099,450,341.0,345.0
2018-02-14,350.0,354.0,335.0,345.0,473621301,1374290,122,358.0,338.0
2018-02-17,350.0,350.0,311.0,321.0,367455210,1143644,93,345.0,311.0
2018-02-18,320.0,320.0,289.0,293.0,866034946,2956080,200,321.0,289.0
2018-02-19,276.0,310.0,277.0,293.0,505811625,1727567,148,293.0,290.0
2018-02-21,271.0,300.0,271.0,297.0,37643398,126899,19,293.0,300.0
2018-02-24,281.0,290.0,268.0,272.0,591429954,2173640,143,297.0,268.0
2018-02-25,281.0,281.0,245.0,245.0,552204155,2250499,128,272.0,245.0
2018-02-26,227.0,245.0,221.0,230.0,296961782,1292648,97,245.0,221.0
2018-02-27,220.0,238.0,207.0,212.0,1537811870,7262317,398,230.0,210.0
2018-02-28,221.0,233.0,212.0,230.0,1123226286,4891851,256,212.0,233.0
2018-03-03,245.0,249.0,230.0,237.0,1246918134,5260299,307,230.0,237.0
2018-03-04,218.0,246.0,218.0,234.0,471727895,2020074,140,237.0,228.0
2018-03-05,218.0,234.0,211.0,217.0,784264055,3613082,239,234.0,217.0
2018-03-14,197.0,209.0,196.0,197.0,236302707,1196878,76,217.0,196.0
2018-03-17,180.0,216.0,178.0,197.0,1034529037,5259074,243,197.0,216.0
2018-03-18,216.0,216.0,199.0,213.0,465398336,2184878,133,197.0,205.0
2018-03-19,216.0,225.0,194.0,212.0,142730637,673156,56,213.0,218.0
2018-03-25,194.0,210.0,191.0,192.0,369658448,1929211,131,212.0,191.0
2018-03-26,192.0,192.0,173.0,174.0,203629734,1172958,76,192.0,174.0
2018-03-27,181.0,181.0,157.0,160.0,529316431,3299264,139,174.0,158.0
2018-03-28,159.0,165.0,144.0,147.0,492996253,3357163,278,160.0,146.0
2018-04-03,154.0,158.0,135.0,140.0,137969250,986604,58,147.0,135.0
2018-04-04,131.0,145.0,131.0,136.0,136549101,1006730,55,140.0,137.0
2018-04-07,141.0,141.0,123.0,125.0,134608184,1073808,58,136.0,123.0
2018-04-08,115.0,126.0,113.0,113.0,367547332,3248981,185,125.0,113.0
2018-04-09,102.0,103.0,102.0,102.0,254714830,2496000,174,113.0,102.0
2018-04-10,92.0,92.0,92.0,92.0,20608000,224000,9,102.0,92.0
2018-04-11,83.0,92.0,83.0,88.0,235480728,2674193,125,92.0,85.0
2018-04-15,92.0,93.0,83.0,86.0,8801830,101850,6,88.0,83.0
2018-04-16,85.0,85.0,78.0,79.0,99245940,1252930,86,86.0,78.0
2018-04-17,72.0,80.0,72.0,74.0,78072272,1057251,49,79.0,78.0
2018-04-18,77.0,81.0,77.0,81.0,83959466,1036586,43,74.0,81.0
2018-04-21,89.0,89.0,85.0,89.0,244064639,2742719,146,81.0,89.0
2018-07-03,170.0,170.0,170.0,170.0,2533000000,14900000,298,89.0,170.0
2018-07-04,187.0,187.0,187.0,187.0,2786300000,14900000,298,170.0,187.0
2018-07-07,205.0,205.0,205.0,205.0,3064750000,14950000,299,187.0,205.0
2018-07-08,225.0,225.0,225.0,225.0,3363750000,14950000,299,205.0,225.0
2018-07-10,247.0,247.0,247.0,247.0,3692650000,14950000,299,225.0,247.0
2018-07-11,271.0,271.0,271.0,271.0,3848204065,14200015,285,247.0,271.0
2018-07-14,298.0,298.0,298.0,298.0,41040718834,137720533,2762,271.0,298.0
2019-07-06,911.0,911.0,820.0,845.0,637049841,754135,78,298.0,820.0
2019-07-07,761.0,850.0,761.0,785.0,2866246894,3652545,333,845.0,781.0
2019-07-08,791.0,863.0,791.0,845.0,1759054455,2081788,195,785.0,863.0
2019-07-09,920.0,929.0,855.0,910.0,1439600508,1582607,165,845.0,929.0
2019-07-10,962.0,988.0,898.0,917.0,800795583,873081,76,910.0,909.0
2019-07-13,851.0,919.0,851.0,890.0,104949939,117967,30,917.0,890.0
2019-07-14,855.0,945.0,855.0,902.0,868140888,962640,88,890.0,881.0
2019-07-15,812.0,856.0,812.0,822.0,393379464,478529,37,902.0,820.0
2019-07-16,800.0,860.0,741.0,773.0,342853136,443558,41,822.0,746.0
2019-07-17,746.0,836.0,697.0,784.0,258580888,329870,45,773.0,801.0
2019-07-20,848.0,848.0,782.0,803.0,189214875,235633,22,784.0,800.0
2019-07-21,800.0,829.0,790.0,799.0,76315880,95484,22,803.0,794.0
2019-07-22,850.0,878.0,791.0,872.0,747612931,857611,106,799.0,878.0
2019-07-23,890.0,959.0,890.0,958.0,1565828682,1634925,134,872.0,959.0
2019-07-24,1053.0,1053.0,1003.0,1050.0,1513398681,1441892,172,958.0,1053.0
