date,open,high,low,adjClose,value,volume,count,yesterday,close
2016-11-13,668.0,734.0,640.0,699.0,9042951105,12930171,1147,1000.0,734.0
2016-11-14,768.0,768.0,741.0,766.0,5273415440,6884453,453,699.0,768.0
2016-11-15,818.0,830.0,770.0,796.0,10980671728,13787189,1012,766.0,781.0
2016-11-16,756.0,798.0,752.0,769.0,4335574846,5641400,425,796.0,782.0
2016-11-19,784.0,830.0,770.0,788.0,2954639500,3748295,366,769.0,775.0
2016-11-21,780.0,839.0,780.0,820.0,6436232757,7844740,690,788.0,823.0
2016-11-22,830.0,835.0,785.0,815.0,5586903746,6852623,632,820.0,830.0
2016-11-23,830.0,887.0,830.0,850.0,4497875871,5290777,505,815.0,840.0
2016-11-26,870.0,870.0,821.0,839.0,3645863641,4345899,407,850.0,823.0
2016-11-27,848.0,860.0,800.0,829.0,4654693298,5616550,512,839.0,824.0
2016-11-29,837.0,837.0,762.0,782.0,2600847567,3326285,340,829.0,781.0
2016-12-03,751.0,754.0,707.0,726.0,2389713722,3289620,371,782.0,740.0
2016-12-04,735.0,778.0,735.0,747.0,1092850502,1462182,145,726.0,741.0
2016-12-05,730.0,780.0,730.0,765.0,1534614237,2006067,254,747.0,764.0
2016-12-06,741.0,794.0,741.0,775.0,1259063464,1625367,199,765.0,765.0
2016-12-07,779.0,793.0,740.0,770.0,1580561943,2053020,235,775.0,745.0
2016-12-10,743.0,755.0,726.0,740.0,790268421,1067598,126,770.0,740.0
2016-12-11,756.0,758.0,704.0,710.0,734283452,1033719,119,740.0,704.0
2016-12-12,685.0,685.0,651.0,666.0,1446177719,2171522,205,710.0,652.0
2016-12-13,640.0,685.0,640.0,662.0,898523005,1356492,121,666.0,659.0
2016-12-14,660.0,671.0,612.0,638.0,1518760887,2382231,160,662.0,621.0
2016-12-18,613.0,613.0,575.0,578.0,1744392952,3019292,249,638.0,575.0
2016-12-19,598.0,598.0,521.0,525.0,1834294733,3494492,240,578.0,521.0
2016-12-20,510.0,515.0,474.0,487.0,1255170443,2578719,266,525.0,499.0
2016-12-21,500.0,520.0,500.0,509.0,726443909,1427220,127,487.0,506.0
2016-12-24,510.0,559.0,510.0,540.0,1856944774,3439581,325,509.0,550.0
2016-12-25,534.0,550.0,516.0,523.0,435065129,831705,79,540.0,516.0
2016-12-26,508.0,532.0,508.0,520.0,740894539,1425670,134,523.0,511.0
