date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-11-06,3900.0,4095.0,3900.0,3941.0,4047606130,1027070,58,1000.0,3951.0
2023-11-07,3755.0,3900.0,3744.0,3753.0,7180368892,1913353,130,3941.0,3744.0
2023-11-08,3566.0,3667.0,3566.0,3574.0,14730663725,4121328,247,3753.0,3566.0
2023-11-11,3445.0,3660.0,3445.0,3533.0,2787741886,789064,60,3574.0,3534.0
2023-11-12,3480.0,3611.0,3445.0,3509.0,4555085194,1298148,102,3533.0,3599.0
2023-11-13,3521.0,3667.0,3516.0,3547.0,2393149238,674773,46,3509.0,3531.0
2023-11-14,3500.0,3724.0,3500.0,3537.0,3082777623,871572,41,3547.0,3698.0
2023-11-15,3532.0,3670.0,3532.0,3589.0,1181605729,329218,33,3537.0,3553.0
2023-11-18,3648.0,3768.0,3648.0,3755.0,4340339725,1155949,88,3589.0,3758.0
2023-11-19,3849.0,3900.0,3588.0,3714.0,4612645830,1242058,104,3755.0,3745.0
2023-11-20,3529.0,3770.0,3529.0,3590.0,3401325658,947323,67,3714.0,3602.0
2023-11-21,3769.0,3769.0,3454.0,3529.0,2833699625,802993,87,3590.0,3503.0
2023-11-22,3569.0,3700.0,3502.0,3576.0,1958607325,547636,41,3529.0,3590.0
2023-11-25,3466.0,3490.0,3416.0,3435.0,3994620219,1162816,81,3576.0,3416.0
2023-11-26,3287.0,3527.0,3287.0,3435.0,706234022,205608,26,3435.0,3527.0
2023-11-27,3355.0,3380.0,3333.0,3358.0,1321679468,393645,43,3435.0,3368.0
2023-11-28,3380.0,3449.0,3330.0,3393.0,1011017895,297989,22,3358.0,3420.0
2023-11-29,3354.0,3555.0,3280.0,3326.0,4663964985,1402226,133,3393.0,3294.0
2023-12-02,3400.0,3400.0,3317.0,3351.0,1480292566,441698,59,3326.0,3400.0
2023-12-03,3300.0,3442.0,3269.0,3319.0,2272560919,684759,77,3351.0,3273.0
2023-12-04,3300.0,3428.0,3210.0,3309.0,2126429554,642608,37,3319.0,3379.0
2023-12-05,3423.0,3445.0,3255.0,3349.0,1895891773,566163,50,3309.0,3408.0
2023-12-06,3408.0,3408.0,3350.0,3389.0,285329841,84190,22,3349.0,3406.0
2023-12-09,3450.0,3450.0,3234.0,3279.0,1938471679,591147,79,3389.0,3234.0
2023-12-10,3300.0,3428.0,3300.0,3364.0,694591502,206457,35,3279.0,3312.0
2023-12-11,3440.0,3440.0,3320.0,3402.0,446993292,131398,19,3364.0,3400.0
2023-12-12,3400.0,3400.0,3302.0,3331.0,865484481,259791,33,3402.0,3305.0
2023-12-13,3439.0,3497.0,3350.0,3457.0,744148563,215239,29,3331.0,3430.0
2023-12-16,3320.0,3420.0,3312.0,3321.0,1207958315,363705,42,3457.0,3420.0
2023-12-18,3430.0,3430.0,3330.0,3391.0,536358470,158148,15,3321.0,3390.0
2023-12-19,3550.0,3550.0,3323.0,3338.0,382709330,114664,22,3391.0,3360.0
2023-12-20,3418.0,3489.0,3416.0,3438.0,1169413184,340190,37,3338.0,3489.0
2023-12-23,3348.0,3454.0,3348.0,3374.0,844851020,250437,18,3438.0,3390.0
2023-12-24,3400.0,3400.0,3300.0,3324.0,2189115441,658647,59,3374.0,3390.0
2023-12-25,3368.0,3370.0,3325.0,3344.0,1174502455,351214,52,3324.0,3344.0
2023-12-26,3372.0,3460.0,3334.0,3385.0,2632857984,777724,54,3344.0,3386.0
2023-12-27,3490.0,3554.0,3421.0,3542.0,1872511281,528701,44,3385.0,3539.0
2023-12-30,3553.0,3554.0,3410.0,3461.0,3502963198,1012186,90,3542.0,3510.0
2023-12-31,3445.0,3634.0,3445.0,3617.0,6372611079,1761608,145,3461.0,3634.0
2024-04-16,5600.0,5600.0,5600.0,5600.0,3645336800,650953,14,3620.0,5600.0
2024-04-17,5600.0,5600.0,5600.0,5600.0,280000000,50000,1,5600.0,5600.0
2024-04-20,5880.0,5880.0,5880.0,5880.0,11760000,2000,1,5600.0,5880.0
2024-04-21,6100.0,6100.0,6100.0,6100.0,30500000,5000,1,5880.0,6100.0
2024-04-22,6270.0,6270.0,5800.0,5830.0,2375349800,407570,28,6100.0,5800.0
2024-04-23,6080.0,6080.0,5600.0,5600.0,168010954810,30000000,652,5830.0,5600.0
2024-04-24,5880.0,5880.0,5880.0,5880.0,12680837400,2156605,78,5600.0,5880.0
