date,open,high,low,adjClose,value,volume,count,yesterday,close
2017-09-03,12200.0,12200.0,12200.0,12200.0,201296413200,16499706,58110,1000.0,12200.0
2017-09-04,12810.0,12810.0,12810.0,12810.0,110819169090,8650989,32073,12200.0,12810.0
2017-09-05,12850.0,13450.0,12850.0,13224.0,66554277604,5032828,14000,12810.0,13450.0
2017-09-06,13884.0,13885.0,13515.0,13880.0,15212381295,1096012,2320,13224.0,13885.0
2017-09-10,14000.0,14441.0,13902.0,14108.0,31735984872,2249569,5792,13880.0,14142.0
2017-09-11,14020.0,14106.0,13881.0,13974.0,30075344081,2152280,5098,14108.0,14100.0
2017-09-12,13920.0,14131.0,13908.0,13953.0,17969652631,1287849,3640,13974.0,13999.0
2017-09-13,14060.0,14060.0,13901.0,13921.0,10575577698,759696,1583,13953.0,13905.0
2017-09-16,14000.0,14000.0,13901.0,13926.0,6031254732,433080,719,13921.0,13901.0
2017-09-17,13951.0,14400.0,13951.0,14101.0,5578422252,395605,796,13926.0,14200.0
2017-09-18,14205.0,14806.0,14205.0,14723.0,15900696063,1079954,1012,14101.0,14806.0
2017-09-19,15307.0,15459.0,15060.0,15429.0,8519902223,552218,357,14723.0,15459.0
2017-09-20,16200.0,16200.0,15828.0,16166.0,21409685028,1324360,953,15429.0,16200.0
2017-09-23,16160.0,16239.0,15358.0,15560.0,13863786374,890972,970,16166.0,15358.0
2017-09-24,15700.0,15900.0,15100.0,15376.0,5053269857,328656,498,15560.0,15401.0
2017-09-25,15116.0,16144.0,15116.0,16025.0,8689938937,542259,645,15376.0,16144.0
2017-09-26,16826.0,16826.0,16300.0,16722.0,6910205042,413245,487,16025.0,16724.0
2017-09-27,16500.0,16500.0,16040.0,16173.0,3512482489,217186,300,16722.0,16440.0
2017-10-02,15379.0,16250.0,15379.0,16101.0,8994215356,558626,429,16173.0,16112.0
2017-10-03,15400.0,16200.0,15400.0,16115.0,5937362740,368435,385,16101.0,16179.0
2017-10-04,16000.0,16370.0,15500.0,15575.0,16214656339,1041046,402,16115.0,15500.0
2017-10-07,15830.0,16099.0,15801.0,15907.0,7555635149,474990,401,15575.0,16001.0
2017-10-08,15961.0,16002.0,15300.0,15917.0,12956975989,814024,446,15907.0,15970.0
2017-10-09,15302.0,16100.0,15302.0,15955.0,4368763374,273817,335,15917.0,16099.0
2017-10-10,16000.0,16300.0,16000.0,16120.0,1119065466,69423,143,15955.0,16180.0
2017-10-11,16200.0,16250.0,16120.0,16174.0,1864778631,115292,180,16120.0,16240.0
2017-10-14,16280.0,16800.0,16230.0,16384.0,6706719034,409337,295,16174.0,16800.0
2017-10-15,16700.0,16700.0,16250.0,16437.0,2064575844,125603,213,16384.0,16600.0
2017-10-16,16502.0,16960.0,16502.0,16808.0,1976851153,117612,210,16437.0,16960.0
2017-10-17,16980.0,16980.0,16720.0,16813.0,2401052698,142811,187,16808.0,16790.0
2017-10-18,17000.0,17090.0,16650.0,16829.0,2887281692,171567,244,16813.0,16800.0
2017-10-21,17000.0,17100.0,16750.0,16832.0,3558567549,211417,128,16829.0,16750.0
2017-10-22,16800.0,16800.0,16600.0,16701.0,1200166855,71862,128,16832.0,16770.0
2017-10-23,16800.0,16800.0,16180.0,16287.0,1308543666,80341,153,16701.0,16200.0
2017-10-24,16498.0,16499.0,15600.0,15605.0,39603174224,2537930,565,16287.0,15600.0
2017-10-25,15600.0,16385.0,15490.0,15668.0,35516031430,2266723,1023,15605.0,16385.0
2017-10-28,16451.0,16451.0,16451.0,16451.0,3718945962,226062,56,15668.0,16451.0
2017-10-29,17273.0,17273.0,17273.0,17273.0,3918500961,226857,70,16451.0,17273.0
2017-10-30,18136.0,18136.0,17700.0,18010.0,36001704186,1998958,909,17273.0,17850.0
2017-10-31,18200.0,18200.0,17880.0,17940.0,4196408901,233908,202,18010.0,17900.0
2017-11-01,17998.0,18300.0,17910.0,18062.0,6229566049,344899,264,17940.0,18062.0
2017-11-04,18260.0,18965.0,18260.0,18839.0,8110971424,430549,308,18062.0,18777.0
2017-11-05,18302.0,18650.0,18302.0,18416.0,598525781,32501,62,18839.0,18550.0
2017-11-06,18300.0,18800.0,18285.0,18465.0,1516073997,82103,74,18416.0,18285.0
2017-11-07,18320.0,18700.0,18320.0,18531.0,1705681725,92043,67,18465.0,18668.0
2017-11-08,18666.0,18700.0,18200.0,18617.0,1411146058,75798,71,18531.0,18300.0
2017-11-11,18240.0,18510.0,18150.0,18294.0,557599253,30480,53,18617.0,18400.0
2017-11-12,18400.0,18729.0,18340.0,18632.0,2422358963,130011,106,18294.0,18632.0
2017-11-13,18700.0,18700.0,18490.0,18579.0,2702957949,145481,86,18632.0,18700.0
2017-11-14,18739.0,18739.0,18500.0,18642.0,778352458,41752,63,18579.0,18700.0
2017-11-15,18765.0,18965.0,18600.0,18717.0,3308461893,176764,158,18642.0,18965.0
2017-11-18,18970.0,19300.0,18970.0,19188.0,323628594,16866,39,18717.0,19010.0
2017-11-20,19241.0,19480.0,19186.0,19293.0,1940882002,100601,89,19188.0,19300.0
2017-11-21,19470.0,19547.0,19470.0,19500.0,1500783666,76963,95,19293.0,19501.0
2017-11-22,19500.0,19720.0,19500.0,19570.0,1752989325,89574,62,19500.0,19568.0
2017-11-25,19789.0,19945.0,19700.0,19784.0,904213173,45704,55,19570.0,19701.0
2017-11-26,19896.0,19964.0,18795.0,19269.0,8594647556,446044,168,19784.0,19298.0
2017-11-28,19500.0,19500.0,18800.0,19216.0,3857620068,200748,97,19269.0,18800.0
2017-11-29,19250.0,19250.0,18256.0,18833.0,2641749139,140271,206,19216.0,18256.0
2017-12-02,17892.0,18817.0,17892.0,17908.0,2516397145,140516,141,18833.0,17930.0
2017-12-03,17867.0,18100.0,17867.0,18073.0,209847911,11611,32,17908.0,18022.0
2017-12-04,17990.0,18499.0,17915.0,18096.0,534089424,29514,42,18073.0,18447.0
2017-12-05,17900.0,18747.0,17900.0,18247.0,417193630,22864,32,18096.0,18290.0
2017-12-09,17924.0,17924.0,17335.0,17338.0,8480195788,489107,270,18247.0,17351.0
2017-12-10,18180.0,18180.0,16709.0,17806.0,1000263278,56175,96,17338.0,17700.0
2017-12-11,17867.0,18030.0,17300.0,17630.0,1284132883,72839,81,17806.0,17980.0
